Term,Mitigated Information
we,-0.010201832
quark,-0.014057318
mass,-0.01986714
qcd,-0.022053901
hadron,-0.025109254
model,-0.025295231
energi,-0.025857124
matter,-0.026379965
from,-0.027065579
which,-0.0285637
particl,-0.028595176
use,-0.029003937
neutrino,-0.029019978
dark,-0.029819401
can,-0.030160828
discuss,-0.030310158
gluon,-0.03076122
theori,-0.0309594
effect,-0.031306792
gaug,-0.031457815
lhc,-0.03145976
higg,-0.031562727
result,-0.031674188
field,-0.031886417
decay,-0.0319367
physic,-0.032022223
scalar,-0.032588154
calcul,-0.032744367
collid,-0.032952916
heavi,-0.033072848
studi,-0.033215668
standard,-0.033710144
boson,-0.03412514
show,-0.03417322
present,-0.034416124
our,-0.034459434
coupl,-0.03462781
meson,-0.034638
also,-0.03476851
observ,-0.03478806
baryon,-0.035043236
two,-0.035187863
lepton,-0.035209298
interact,-0.035209913
collis,-0.035292305
perturb,-0.03534672
phenomenolog,-0.03574659
paper,-0.035973985
base,-0.035990823
product,-0.036092393
data,-0.036106836
parton,-0.036151715
electroweak,-0.036219068
propos,-0.03637508
one,-0.036378846
flavor,-0.03655954
order,-0.036636055
new,-0.03663709
chiral,-0.03664982
method,-0.03665364
symmetri,-0.036702693
scale,-0.036785927
scatter,-0.036829375
paramet,-0.036897488
momentum,-0.036913212
cosmolog,-0.036945455
non,-0.037016936
find,-0.03704223
have,-0.037203215
larg,-0.037258483
possibl,-0.03737285
state,-0.03741038
violat,-0.037419934
system,-0.037454326
high,-0.03760698
lead,-0.03761173
recent,-0.03763588
between,-0.037685934
provid,-0.037715245
background,-0.03779023
nucleon,-0.037863858
differ,-0.037870824
light,-0.037904534
gev,-0.037914656
depend,-0.037939467
fermion,-0.03798355
has,-0.03806206
time,-0.038075283
relativist,-0.0380831
univers,-0.03810671
func,-0.03815068
perform,-0.03825775
potenti,-0.03832466
approach,-0.03840689
inflat,-0.038453087
experi,-0.038523737
proc,-0.03854942
loop,-0.038568944
proton,-0.03863952
includ,-0.03865779
general,-0.038686737
sector,-0.038707513
relat,-0.03874767
obtain,-0.038770307
section,-0.038770434
correct,-0.03878642
both,-0.038809136
well,-0.03881883
pion,-0.03886246
measur,-0.038934704
tev,-0.03894715
consid,-0.038970046
it,-0.038978722
break,-0.039041318
supersymmetr,-0.039061163
vacuum,-0.0391789
contribut,-0.039184276
cosmic,-0.039201204
phase,-0.039253395
densiti,-0.039317124
search,-0.03935348
learn,-0.039396763
predict,-0.039397467
experiment,-0.0393985
first,-0.03942783
strong,-0.0394357
charg,-0.039492764
review,-0.039524734
quantum,-0.0395277
problem,-0.039553132
equat,-0.03957209
net,-0.039626315
space,-0.03966327
case,-0.03966609
generat,-0.039678574
work,-0.03973084
investig,-0.03975323
all,-0.03976139
photon,-0.0397696
term,-0.03977552
demonstr,-0.03978983
axion,-0.039800644
cp,-0.039821625
comput,-0.039834417
limit,-0.03985471
compar,-0.039887846
current,-0.039900832
constraint,-0.039918106
where,-0.039926134
cross,-0.03994513
s,-0.040006045
some,-0.040051106
structur,-0.040059283
other,-0.040078565
produc,-0.040082708
particular,-0.04009124
been,-0.04012741
than,-0.0401688
1,-0.040209673
describ,-0.04022254
jet,-0.040263046
point,-0.040270448
nuclear,-0.040295422
dynam,-0.040301904
futur,-0.040307187
more,-0.040308062
properti,-0.040311277
may,-0.040326726
probe,-0.04033266
direct,-0.04033842
temperatur,-0.040351216
gravit,-0.040387064
deriv,-0.040391833
distribut,-0.040413603
algo,-0.040427286
howev,-0.040458005
allow,-0.040474873
applic,-0.04051133
when,-0.040541343
transvers,-0.04055779
determin,-0.040568262
devel,-0.040580615
exist,-0.04059004
spectrum,-0.04061063
onli,-0.04061649
set,-0.040627442
analysi,-0.040692277
consist,-0.040707495
radiat,-0.040738963
low,-0.040756907
thermal,-0.040777642
number,-0.040783264
valu,-0.040794555
optim,-0.040796705
within,-0.04084796
while,-0.040866643
annihil,-0.04087261
train,-0.04088933
form,-0.040923733
dataset,-0.040949844
2,-0.04102991
theoret,-0.041071735
lattic,-0.041078314
introduc,-0.041086774
through,-0.041093636
detect,-0.0411009
under,-0.041101556
due,-0.041113984
three,-0.04111845
rang,-0.041136872
final,-0.04114019
out,-0.041142154
signific,-0.041145705
how,-0.041178845
effici,-0.041189432
framework,-0.041191366
addit,-0.041208867
like,-0.041216675
relic,-0.0412257
simul,-0.04122792
inform,-0.04123175
expect,-0.04123667
wave,-0.0412587
design,-0.041272003
task,-0.041303374
mechan,-0.04130829
transit,-0.041316196
scenario,-0.041316677
improv,-0.041318003
amplitud,-0.04133832
approxim,-0.041339703
solut,-0.041370105
achiev,-0.04138283
renorm,-0.041400265
inflaton,-0.041404553
appli,-0.041449517
small,-0.04145019
natur,-0.041469164
requir,-0.0414701
expans,-0.04149153
factor,-0.041526448
over,-0.041534863
