Term,Mitigated Information
theori,-0.0071738753
we,-0.009045366
field,-0.019506563
graviti,-0.023561668
gaug,-0.028130531
quantum,-0.030285241
scalar,-0.031407256
which,-0.031530164
use,-0.03570533
model,-0.035835415
from,-0.036271047
general,-0.03642709
string,-0.037155118
black,-0.037713435
can,-0.037874043
non,-0.037903458
cosmolog,-0.03795608
spacetim,-0.03803747
symmetri,-0.038135394
hole,-0.03873215
result,-0.038996823
show,-0.039181463
studi,-0.03970547
equat,-0.040074762
also,-0.040319093
two,-0.040845618
discuss,-0.040999867
dimension,-0.041066077
space,-0.041254498
relat,-0.041321404
gravit,-0.04136973
our,-0.041602634
perturb,-0.041654374
one,-0.042207878
energi,-0.042342052
construct,-0.042444147
deriv,-0.042975623
effect,-0.043210126
coupl,-0.043304056
tensor,-0.043453638
base,-0.04368905
term,-0.043851227
find,-0.044009816
solut,-0.044243746
paper,-0.044305474
physic,-0.044310067
present,-0.044346523
obtain,-0.04435119
propos,-0.044351865
invari,-0.04443155
dimens,-0.04444522
brane,-0.04451412
conform,-0.044566397
method,-0.044597447
func,-0.044735275
system,-0.044889845
background,-0.0449048
time,-0.045100205
consid,-0.04511316
between,-0.045148432
correspond,-0.045161728
univers,-0.045248024
sitter,-0.045262482
state,-0.04526389
have,-0.045268353
vacuum,-0.045328006
order,-0.045373328
case,-0.045486845
perform,-0.04568556
particl,-0.045736574
fermion,-0.045898557
mass,-0.04603058
1,-0.046053637
describ,-0.046079714
data,-0.046123937
matter,-0.046176568
provid,-0.046224494
holograph,-0.046294678
has,-0.046391167
point,-0.046398863
new,-0.046405844
massless,-0.046501353
einstein,-0.04654402
2,-0.046569172
differ,-0.04657039
it,-0.04658108
horizon,-0.04660167
charg,-0.04660282
approach,-0.046614364
n,-0.046629865
inflat,-0.046740893
action,-0.046893045
learn,-0.046899244
explicit,-0.046980295
form,-0.046997756
supersymmetr,-0.047045317
some,-0.047127098
dynam,-0.047292918
constant,-0.04730735
observ,-0.047428645
first,-0.04747795
integr,-0.04748302
both,-0.047519125
limit,-0.047560472
all,-0.047564793
well,-0.047625575
paramet,-0.047690343
structur,-0.047734924
s,-0.047796562
larg,-0.047799326
phase,-0.047830027
comput,-0.047868766
scale,-0.04788935
work,-0.047898404
particular,-0.04789909
net,-0.047906347
lead,-0.047908254
algebra,-0.0479116
problem,-0.047921322
proc,-0.047959894
recent,-0.048077166
yang,-0.04807728
geometri,-0.048103347
curvatur,-0.048149068
investig,-0.04821274
loop,-0.048215568
properti,-0.048336137
condit,-0.04835867
high,-0.0483893
demonstr,-0.04842239
calcul,-0.048435364
local,-0.04844255
possibl,-0.048482046
mill,-0.048542418
correct,-0.048546888
potenti,-0.048581198
interact,-0.048600182
depend,-0.048606955
includ,-0.048621908
oper,-0.04862523
exact,-0.04867432
algo,-0.048740342
give,-0.04878948
supergrav,-0.04886664
optim,-0.04888053
expans,-0.048887018
exist,-0.048937097
other,-0.048941337
classic,-0.048941825
when,-0.048965152
supersymmetri,-0.04900842
finit,-0.04901219
dualiti,-0.049072403
spin,-0.04907976
train,-0.049083296
group,-0.049094804
where,-0.04910019
valu,-0.04911124
more,-0.049123093
momentum,-0.049138196
onli,-0.04914972
out,-0.049166724
entropi,-0.04920078
howev,-0.049233112
applic,-0.049259484
dataset,-0.049274243
improv,-0.04928004
set,-0.04935287
under,-0.04937319
formul,-0.04937442
been,-0.049410656
type,-0.04946488
generat,-0.049476225
allow,-0.04948882
devel,-0.04948984
higher,-0.04956177
introduc,-0.049565695
how,-0.04960525
topolog,-0.049618814
shown,-0.049643796
relativist,-0.049647216
renorm,-0.049655624
design,-0.04966153
flat,-0.049680483
natur,-0.049685787
compar,-0.04970056
number,-0.049705017
formal,-0.04973092
exampl,-0.049750187
chiral,-0.049757805
task,-0.049775913
quantiz,-0.04978423
graviton,-0.049800966
singular,-0.049804136
standard,-0.049805466
defin,-0.04980953
cft,-0.049816344
experi,-0.049818087
inflationari,-0.04983669
effici,-0.049857505
free,-0.049863067
mode,-0.04989004
dual,-0.04989674
boundari,-0.049905445
linear,-0.04991406
matrix,-0.049924
while,-0.049933296
extend,-0.04994189
hawk,-0.049987655
boson,-0.050004788
analysi,-0.050016284
may,-0.050021417
metric,-0.050029963
class,-0.050062288
achiev,-0.050077066
analyt,-0.05008572
framework,-0.050087374
appli,-0.050111957
lagrangian,-0.050137203
sector,-0.050145097
mechan,-0.050149698
dirac,-0.05015009
than,-0.050154917
like,-0.050179724
inform,-0.05018608
su,-0.050195504
wave,-0.050201073
consist,-0.050217204
dilaton,-0.050233707
challeng,-0.050257396
known,-0.050266016
massiv,-0.05028026
freedom,-0.05029531
simul,-0.05030709
connect,-0.050340578
associ,-0.050367754
signific,-0.05037165
asymptot,-0.050375547
measur,-0.05043308
temperatur,-0.050436057
lorentz,-0.05044058
four,-0.050447036
engin,-0.05048378
presenc,-0.05049441
spectrum,-0.050494835
break,-0.05050503
express,-0.050519187
determin,-0.05052036
over,-0.0505539
addit,-0.050560318
given,-0.05056995
zero,-0.050581932
through,-0.05059506
three,-0.050595675
due,-0.05061166
d,-0.050639253
argu,-0.05067961
numer,-0.050700247
strong,-0.050710954
distribut,-0.05071148
imag,-0.050714824
densiti,-0.050719395
formula,-0.050733943
symmetr,-0.050757255
final,-0.050779484
arbitrari,-0.05078014
previous,-0.05079389
direct,-0.050794408
vanish,-0.050803367
schwarzschild,-0.050811976
evolut,-0.050818622
constraint,-0.05081958
here,-0.05083768
deform,-0.050844826
requir,-0.050875194
ani,-0.050887037
complex,-0.050910726
so,-0.050920088
simon,-0.050924517
vector,-0.050926235
way,-0.050931215
3,-0.0509337
predict,-0.050973147
abelian,-0.050982412
hamiltonian,-0.050983515
amplitud,-0.050997913
transform,-0.051007275
featur,-0.051015884
evalu,-0.051061835
same,-0.05111017
estim,-0.05111473
appear,-0.051124025
ghost,-0.051124517
most,-0.051151257
ad,-0.05117672
novel,-0.051181275
modifi,-0.05118319
second,-0.051184315
each,-0.051198676
generic,-0.051200546
represent,-0.051201984
increas,-0.051215652
specif,-0.051217776
neural,-0.051238175
i,-0.051249497
mani,-0.051264044
e,-0.0512655
low,-0.051274776
within,-0.05127787
approxim,-0.05128157
sever,-0.05129135
fix,-0.051296555
transit,-0.051297292
lattic,-0.05129898
descript,-0.05130384
level,-0.051315103
inflaton,-0.051336277
import,-0.05133897
up,-0.051343434
art,-0.05135783
techniqu,-0.051365998
current,-0.05139531
analyz,-0.05139561
found,-0.05141166
phenomenolog,-0.051420026
aris,-0.051437844
contribut,-0.051448736
interest,-0.05145405
real,-0.051455993
singl,-0.051468454
thermodynam,-0.05147841
experiment,-0.051482
various,-0.05149807
anti,-0.05150203
chern,-0.051510785
correl,-0.051511217
expect,-0.051519252
complet,-0.05153156
simpl,-0.051540915
sampl,-0.05154621
fluctuat,-0.05155151
equival,-0.051562842
detail,-0.05157126
infinit,-0.051571336
certain,-0.05159735
even,-0.051597983
degre,-0.051599763
dark,-0.05160871
covari,-0.051612455
make,-0.051613946
qcd,-0.051633824
entangl,-0.05165186
geometr,-0.051653564
review,-0.05165408
interpret,-0.051680364
without,-0.051697362
trivial,-0.0516984
theoret,-0.051705554
critic,-0.051714607
higg,-0.051727876
prove,-0.051728696
conjectur,-0.05174347
extens,-0.051753018
power,-0.05176013
research,-0.051761676
bulk,-0.05176458
behavior,-0.051791243
accuraci,-0.051824063
small,-0.05184337
moduli,-0.05185229
further,-0.051864646
control,-0.051867984
minkowski,-0.051894955
cosmic,-0.051898334
product,-0.05189989
canon,-0.051904034
noncommut,-0.051908597
static,-0.051910937
manifold,-0.05191112
combin,-0.05191171
self,-0.051915187
identifi,-0.051919006
bound,-0.051922567
test,-0.051933847
feynman,-0.051941205
explor,-0.051944427
spheric,-0.051944926
reduc,-0.051956546
radiat,-0.0519667
detect,-0.051970858
contain,-0.051982637
us,-0.051989462
4,-0.05199157
vacua,-0.052001797
unitari,-0.052007306
multipl,-0.052026473
close,-0.052041225
after,-0.052043248
avail,-0.052045986
fundament,-0.052050516
propag,-0.052059088
focus,-0.052062295
region,-0.052068222
rang,-0.05207109
solv,-0.052072722
respect,-0.05208058
independ,-0.052081347
suggest,-0.05208501
minim,-0.05209456
conserv,-0.052104574
deep,-0.052111104
similar,-0.05211132
induc,-0.052116927
condens,-0.05212245
origin,-0.052126504
magnet,-0.052128635
emerg,-0.052134715
principl,-0.052134994
mean,-0.052138686
context,-0.052143313
thus,-0.052147456
role,-0.052151036
multi,-0.05216363
witten,-0.05217282
address,-0.05217478
call,-0.052176137
rate,-0.0521798
object,-0.052180395
via,-0.052194804
outperform,-0.0521961
latter,-0.052200336
regim,-0.052201655
special,-0.052209247
maxwel,-0.052216288
posit,-0.052225024
initi,-0.05222908
law,-0.052234877
broken,-0.052238386
user,-0.05225107
implic,-0.05225558
light,-0.05225841
satisfi,-0.052263323
anomali,-0.052271772
part,-0.05227235
primordi,-0.052273437
planck,-0.0522822
motion,-0.052282713
instanton,-0.052283637
near,-0.052295335
thermal,-0.05229724
violat,-0.052299794
involv,-0.052306723
sourc,-0.05231894
machin,-0.052319013
veri,-0.052326586
implement,-0.05233195
axion,-0.052334867
surfac,-0.052342266
enabl,-0.052346267
factor,-0.052349962
impli,-0.052371856
consequ,-0.05237717
doe,-0.05238664
becom,-0.052388374
superstr,-0.05239832
configur,-0.052405477
commut,-0.052408278
open,-0.05240837
them,-0.052411683
those,-0.05241255
compactif,-0.05241833
do,-0.052427128
schwinger,-0.05243072
whose,-0.05243385
relev,-0.052446574
scatter,-0.052447964
understand,-0.052453753
qualiti,-0.052453965
rotat,-0.052462947
spontan,-0.05246338
could,-0.052469
take,-0.052488633
spatial,-0.05249854
compact,-0.052499115
scenario,-0.052510697
continu,-0.05251456
main,-0.052521463
human,-0.052527137
graph,-0.05252973
realiz,-0.05253885
transfer,-0.05254492
domain,-0.052547786
monopol,-0.05254917
about,-0.05255142
need,-0.052552365
