Term,Mitigated Information
ring,0.0016327391
ideal,0.00016763294
we,-0.00090908684
algebra,-0.0013023942
macaulay,-0.0025968042
polynomi,-0.0031137052
cohen,-0.0032723085
monomi,-0.0033870977
model,-0.0037235143
modul,-0.003813796
prove,-0.0038868394
use,-0.0041147103
finit,-0.004124028
give,-0.0042326683
grade,-0.004279376
which,-0.004298966
paper,-0.0043387236
commut,-0.0043721255
hilbert,-0.004388465
result,-0.004393016
from,-0.0044367337
noetherian,-0.0044661863
over,-0.0044958405
propos,-0.004509958
gorenstein,-0.0045942026
can,-0.00460674
show,-0.0046575423
betti,-0.00470228
general,-0.0047107833
local,-0.004752052
also,-0.004768033
studi,-0.004786736
our,-0.004788058
some,-0.0048450227
base,-0.004849082
conjectur,-0.004941807
properti,-0.00498077
data,-0.00498402
time,-0.0049904203
perform,-0.005010655
method,-0.0050118305
prime,-0.0050224117
complet,-0.0050396426
characterist,-0.0050483714
state,-0.0050845486
intersect,-0.0051293536
toric,-0.005129634
system,-0.005134699
number,-0.005147275
effect,-0.0051529026
dimens,-0.0051651127
two,-0.005178407
generat,-0.0051936433
r,-0.0052000033
net,-0.0052034087
learn,-0.005205067
artinian,-0.00521583
present,-0.00522764
high,-0.0052338573
determinant,-0.005234001
case,-0.005234378
field,-0.0052435077
have,-0.0052477103
theorem,-0.005249506
certain,-0.0052496917
one,-0.0052825143
varieti,-0.005284766
provid,-0.0052847774
has,-0.0052876314
demonstr,-0.005291
comput,-0.005317137
approach,-0.00532062
let,-0.005332349
s,-0.0053333165
set,-0.005333382
obner,-0.005335094
it,-0.0053354525
defin,-0.005337109
class,-0.0053401478
group,-0.0053402134
proof,-0.005341688
hochster,-0.005342949
proc,-0.005342983
regular,-0.0053525334
construct,-0.005360418
differ,-0.0053646984
between,-0.0053681834
invari,-0.0053697014
new,-0.0053843763
irreduc,-0.0053861565
character,-0.005387588
degre,-0.005390657
kunz,-0.005391086
f,-0.005396688
introduc,-0.0054056332
dynam,-0.0054073418
term,-0.0054141195
hypersurfac,-0.0054159737
project,-0.0054450375
monoid,-0.005447734
simul,-0.005455425
notion,-0.005456658
func,-0.005462788
cohomolog,-0.0054640537
theori,-0.005474556
experi,-0.0054819956
homolog,-0.005488622
all,-0.0054925913
problem,-0.005492719
