Term,Mitigated Information
we,-0.0019198393
varieti,-0.007355106
algebra,-0.007425897
prove,-0.0120989
curv,-0.012825568
bundl,-0.014314911
moduli,-0.015392381
conjectur,-0.015716676
smooth,-0.016075158
project,-0.016160281
give,-0.016584048
group,-0.016874844
use,-0.016891105
cohomolog,-0.01695537
space,-0.017165974
model,-0.017321289
which,-0.017847925
result,-0.018063257
from,-0.01824472
show,-0.018667195
singular,-0.01873043
can,-0.018775033
over,-0.01886702
sheav,-0.018970575
ration,-0.019158792
construct,-0.019223195
general,-0.019353375
propos,-0.019558359
our,-0.019573871
paper,-0.019583778
studi,-0.019621717
theori,-0.019668609
toric,-0.019682294
ring,-0.019728106
divisor,-0.019872878
surfac,-0.01989634
perform,-0.019927027
theorem,-0.020140976
point,-0.020187898
base,-0.020208135
yau,-0.020268599
also,-0.020360626
invari,-0.020521842
geometr,-0.02053742
time,-0.020583179
geometri,-0.020612035
complex,-0.020637205
s,-0.020689256
method,-0.020718267
calabi,-0.020782208
case,-0.020925945
data,-0.020928584
field,-0.020972837
polynomi,-0.0209911
hodg,-0.021049354
two,-0.021049963
defin,-0.021075312
system,-0.021123404
proof,-0.021133367
effect,-0.021212455
genus,-0.021224862
class,-0.021225516
intersect,-0.021257434
state,-0.021291483
relat,-0.021292262
finit,-0.021310117
manifold,-0.021325568
one,-0.021332892
some,-0.021383647
proc,-0.021422893
certain,-0.021429332
have,-0.02146888
present,-0.021499483
demonstr,-0.02151267
func,-0.02155779
high,-0.021587448
sheaf,-0.021650217
learn,-0.021650827
number,-0.021679442
approach,-0.02173328
quotient,-0.021810107
abelian,-0.021899858
affin,-0.021899931
formula,-0.021901784
between,-0.021909906
has,-0.021926805
net,-0.02193219
k,-0.021932932
differ,-0.02196392
provid,-0.021964239
comput,-0.022019556
chow,-0.02207555
hypersurfac,-0.022090033
non,-0.022123758
categori,-0.02214997
birat,-0.022214271
howev,-0.022228451
applic,-0.022274444
canon,-0.022295326
it,-0.02229845
k3,-0.022309316
structur,-0.022318471
dimens,-0.0223218
characterist,-0.022322912
new,-0.022340225
experi,-0.022381255
grothendieck,-0.022385322
degre,-0.022387689
simul,-0.02239286
complet,-0.022430466
problem,-0.022444373
local,-0.022445103
work,-0.022457084
all,-0.02248934
threefold,-0.022493107
both,-0.022498893
set,-0.02257894
picard,-0.022590064
observ,-0.022590248
compar,-0.022606406
map,-0.022616072
larg,-0.022634678
given,-0.022690423
morphism,-0.022745093
associ,-0.022747101
exampl,-0.022759495
dynam,-0.02275988
obtain,-0.022765355
famili,-0.022788335
while,-0.022836102
type,-0.022842785
first,-0.022846323
particular,-0.02285626
explicit,-0.022876728
witten,-0.022889396
introduc,-0.022893816
x,-0.022919156
term,-0.022929013
dataset,-0.022930158
design,-0.022932466
correspond,-0.02294091
inform,-0.022944806
irreduc,-0.02295303
train,-0.02295519
