Term,Mitigated Information
equat,0.010361747
solut,-0.0013522065
we,-0.0031325333
prove,-0.006906886
problem,-0.014967455
boundari,-0.015279473
nonlinear,-0.018222565
result,-0.01843726
which,-0.01903537
use,-0.019099899
exist,-0.019283745
condit,-0.019305198
paper,-0.019454315
consid,-0.01990914
studi,-0.0200013
space,-0.020456292
from,-0.020663293
regular,-0.02094473
uniqu,-0.021087974
model,-0.021131607
show,-0.021479117
can,-0.021539778
time,-0.021578949
system,-0.021726597
posed,-0.021918176
our,-0.021940976
estim,-0.022136461
general,-0.022247497
func,-0.022277651
two,-0.022345457
ellipt,-0.022350743
parabol,-0.022381978
initi,-0.02243039
global,-0.022448305
also,-0.022451332
bound,-0.022492941
wave,-0.022675717
case,-0.022795375
establish,-0.02281219
method,-0.022934213
proof,-0.022973033
navier,-0.023098845
obtain,-0.023107562
propos,-0.023120614
type,-0.023200348
base,-0.023209283
oper,-0.023307605
diffus,-0.023378741
deriv,-0.0234043
stoke,-0.023427503
dimension,-0.023432873
weak,-0.023574136
order,-0.023598623
sobolev,-0.023599772
differenti,-0.023636784
linear,-0.023673242
some,-0.023674484
under,-0.023694973
term,-0.023712443
inequ,-0.023719443
perform,-0.023868876
well,-0.023925757
one,-0.023951206
asymptot,-0.023978943
data,-0.024018852
dirichlet,-0.024123063
class,-0.02417906
present,-0.024309285
flow,-0.024309779
non,-0.024397556
have,-0.02440273
domain,-0.024427634
converg,-0.02452644
energi,-0.024561277
first,-0.024644714
provid,-0.024666034
local,-0.024678431
learn,-0.024695372
dimens,-0.024827734
cauchi,-0.024836477
singular,-0.024836872
approach,-0.02484066
stabil,-0.024846045
incompress,-0.024870276
new,-0.024877474
set,-0.024877634
effect,-0.02490045
has,-0.024919339
coeffici,-0.024961308
between,-0.024976218
state,-0.024994312
theori,-0.025102574
differ,-0.025108779
smooth,-0.025152275
net,-0.02521886
properti,-0.02522093
theorem,-0.02527002
particular,-0.025276095
partial,-0.025294395
s,-0.025369877
field,-0.02538103
proc,-0.02539713
assumpt,-0.025414126
demonstr,-0.025444033
numer,-0.025451703
blow,-0.02548098
it,-0.025484428
work,-0.025484722
fluid,-0.025486482
limit,-0.02550995
classic,-0.02554015
high,-0.025560554
depend,-0.025603022
give,-0.025616005
analysi,-0.025621483
manifold,-0.025627157
valu,-0.025695741
both,-0.025716523
euler,-0.025736026
applic,-0.025768204
laplacian,-0.025774058
howev,-0.025777224
continu,-0.025779912
larg,-0.02580059
oding,-0.025822116
point,-0.025854254
introduc,-0.025867697
schr,-0.02587349
suitabl,-0.02588031
relat,-0.025885288
correspond,-0.025909018
when,-0.02594474
compact,-0.025968973
viscos,-0.025970275
pde,-0.025981916
comput,-0.026002873
structur,-0.026007287
construct,-0.026011692
approxim,-0.026019145
measur,-0.026043775
finit,-0.02606733
dynam,-0.026084028
neumann,-0.026094198
nonloc,-0.026109824
more,-0.026114943
devel,-0.026127266
dataset,-0.026133155
algo,-0.026134329
experi,-0.02615988
infin,-0.026193244
inform,-0.026197959
small,-0.026205055
compar,-0.02622144
associ,-0.026241034
been,-0.026253635
second,-0.026267966
potenti,-0.02627064
task,-0.026275616
where,-0.026298061
given,-0.026317228
observ,-0.02633649
generat,-0.026354592
train,-0.026369115
appli,-0.026371807
hyperbol,-0.02637901
main,-0.02637928
find,-0.026438028
semilinear,-0.026439339
argument,-0.026450675
onli,-0.0264703
while,-0.026470952
curvatur,-0.026479704
sharp,-0.02648176
signific,-0.026492292
paramet,-0.02651481
allow,-0.0265217
behavior,-0.026523393
improv,-0.02652394
investig,-0.026531367
effici,-0.026566986
recent,-0.026571535
eigenvalu,-0.026590966
other,-0.026592437
homogen,-0.026596941
all,-0.026601141
uniform,-0.026603283
mean,-0.026605686
integr,-0.026635721
optim,-0.026635738
includ,-0.026636403
satisfi,-0.02664417
variat,-0.026654545
three,-0.02667776
evalu,-0.026677951
