Term,Mitigated Information
homotopi,0.00286515
homolog,-0.00056112837
we,-0.0008537538
cohomolog,-0.0009516617
categori,-0.0017094959
algebra,-0.0025788068
topolog,-0.002814458
group,-0.003140379
simplici,-0.0037692413
space,-0.004179602
theori,-0.004234464
manifold,-0.0046011843
prove,-0.004614527
construct,-0.00480097
give,-0.0048236204
which,-0.005118154
use,-0.0051222877
complex,-0.0051669534
paper,-0.005452937
from,-0.0054544844
theorem,-0.005519692
equival,-0.005527112
show,-0.0056015453
result,-0.005602475
general,-0.0056097237
equivari,-0.005614724
quillen,-0.005629253
operad,-0.0056335563
model,-0.0056982595
can,-0.005798286
our,-0.0059641423
also,-0.006024478
finit,-0.0060280073
structur,-0.006054195
propos,-0.0061048325
k,-0.0061114123
func,-0.0061390796
map,-0.006139423
relat,-0.006158407
studi,-0.0061932122
base,-0.006248437
notion,-0.0062631364
ring,-0.0063277627
perform,-0.006329908
method,-0.0063402113
defin,-0.006348258
some,-0.0063731065
s,-0.006389606
effect,-0.0063946093
system,-0.006410548
two,-0.006434572
time,-0.006437498
invari,-0.006452919
set,-0.00645931
one,-0.006487552
connect,-0.0064952937
isomorph,-0.006516816
between,-0.006530743
comput,-0.006534244
present,-0.0065379175
introduc,-0.006538891
new,-0.006561249
proof,-0.0065691094
over,-0.00657289
have,-0.006579302
data,-0.0065867123
monoid,-0.0065985844
geometr,-0.006599514
homotop,-0.0066011515
state,-0.0066144424
version,-0.006631827
case,-0.0066503296
has,-0.006661432
provid,-0.0066808034
applic,-0.006693769
abelian,-0.0066945637
learn,-0.0067033824
approach,-0.006709442
morphism,-0.006735351
bundl,-0.006751048
demonstr,-0.0067538638
2,-0.006757685
it,-0.0067581977
differ,-0.0067673707
work,-0.0067832856
proc,-0.0067959684
conjectur,-0.0068032495
class,-0.006825134
exampl,-0.0068329056
high,-0.0068396917
sphere,-0.006848911
sequenc,-0.0068677035
properti,-0.0068689855
problem,-0.006870094
first,-0.006900302
given,-0.0069003967
point,-0.0069049457
howev,-0.0069066286
cofibr,-0.006914904
type,-0.0069193104
local,-0.006922933
associ,-0.0069237975
well,-0.0069257016
certain,-0.006933173
simul,-0.0069351858
obtain,-0.0069472534
larg,-0.006948833
both,-0.0069490667
extend,-0.0069513526
grade,-0.006953464
net,-0.006958564
cobord,-0.0069710277
symmetr,-0.006971266
stabl,-0.00697264
energi,-0.006976207
persist,-0.006976639
more,-0.0069885645
under,-0.0069890004
modul,-0.007000221
n,-0.007002531
smooth,-0.007002873
experi,-0.0070065525
commut,-0.0070066713
torus,-0.007010658
dualiti,-0.0070130024
action,-0.0070158076
field,-0.007016516
non,-0.007018086
devel,-0.007025895
compar,-0.0070275893
particular,-0.0070285
fibrat,-0.007029702
improv,-0.0070323716
dynam,-0.0070356745
observ,-0.007046669
segal,-0.00704973
classic,-0.0070516793
product,-0.007052685
ration,-0.0070568454
algo,-0.0070600845
other,-0.007064103
describ,-0.0070649358
higher,-0.007068979
number,-0.0070691938
p,-0.007070988
deriv,-0.007071584
all,-0.0070776306
consid,-0.007083608
while,-0.007086604
been,-0.007088174
train,-0.007092053
when,-0.0070930305
exist,-0.0071089487
optim,-0.0071090176
explicit,-0.00711139
dimension,-0.007113896
natur,-0.0071142074
find,-0.007114663
main,-0.00712092
signific,-0.0071222517
generat,-0.007122558
design,-0.007125584
whose,-0.007128708
achiev,-0.007132982
close,-0.007134903
distribut,-0.0071375323
lie,-0.0071399403
fibrant,-0.0071426416
subgroup,-0.007142683
recent,-0.0071430234
dimens,-0.007144522
solut,-0.007154207
term,-0.00715423
effici,-0.0071543297
includ,-0.007155023
g,-0.0071556205
order,-0.0071631274
appli,-0.0071654925
object,-0.007167071
inform,-0.0071671577
mod,-0.007176678
call,-0.0071773822
trivial,-0.0071774838
motiv,-0.0071782335
spectral,-0.007179321
measur,-0.007180143
analysi,-0.0071831513
ani,-0.0071832766
filtrat,-0.0071844645
where,-0.0071916245
onli,-0.0071932585
hochschild,-0.007201547
increas,-0.007203105
than,-0.0072049163
limit,-0.007206262
predict,-0.007209659
compact,-0.0072099296
potenti,-0.007210693
note,-0.0072128144
challeng,-0.0072134132
varieti,-0.0072147804
known,-0.00721498
task,-0.007219066
paramet,-0.007222233
experiment,-0.0072249863
cw,-0.0072252727
complet,-0.0072306604
depend,-0.0072340374
kan,-0.007234973
form,-0.0072382297
1,-0.00724086
scale,-0.007242363
allow,-0.007244898
investig,-0.0072467625
rate,-0.007248098
condit,-0.0072496794
sens,-0.0072545796
koszul,-0.007255577
requir,-0.0072559346
descript,-0.00725653
infin,-0.0072591323
characterist,-0.007263977
framework,-0.0072648153
through,-0.0072670607
evalu,-0.0072691753
admit,-0.0072707515
how,-0.0072715124
differenti,-0.007276709
interact,-0.007279175
phase,-0.0072803325
addit,-0.007286708
spectra,-0.007288358
way,-0.007288889
represent,-0.007288892
estim,-0.0072896667
low,-0.0072919633
eilenberg,-0.007292049
waldhausen,-0.007294295
e,-0.007298189
novel,-0.0072996696
project,-0.007301489
correspond,-0.007303752
presheav,-0.007304509
special,-0.007304903
coeffici,-0.0073084384
dataset,-0.007308667
famili,-0.0073101684
free,-0.007311081
fundament,-0.0073116003
bousfield,-0.0073135775
