Term,Mitigated Information
we,-0.0020958374
func,-0.0039406866
polynomi,-0.0056960615
equat,-0.005847746
prove,-0.006037394
result,-0.0062538227
use,-0.0062609315
differenti,-0.006279084
which,-0.006409252
model,-0.0064125806
some,-0.006481166
paper,-0.0066205934
theorem,-0.0066825156
general,-0.006748342
from,-0.006805771
inequ,-0.0068945726
obtain,-0.0069434736
can,-0.007070685
also,-0.007245867
studi,-0.007262322
our,-0.0073196767
propos,-0.007387631
show,-0.007415288
perform,-0.0074393656
type,-0.007486246
solut,-0.0075460896
formula,-0.0075897872
integr,-0.007597555
base,-0.0076031014
deriv,-0.0076399827
one,-0.0076518385
new,-0.007664153
two,-0.007700824
data,-0.007748477
method,-0.0077504665
transform,-0.007756498
condit,-0.007767205
space,-0.0077971215
give,-0.007846734
case,-0.0078549
effect,-0.007877251
oper,-0.0078775985
s,-0.007892768
system,-0.00790929
present,-0.007920206
problem,-0.007922845
learn,-0.007952396
hypergeometr,-0.00798717
state,-0.008006232
have,-0.008023582
relat,-0.008049054
provid,-0.008062617
high,-0.008076964
properti,-0.00810032
point,-0.008130362
asymptot,-0.008135272
set,-0.008159697
time,-0.008173481
approach,-0.008184416
class,-0.0081969155
has,-0.0082056485
between,-0.008210734
net,-0.008210789
order,-0.008212242
consid,-0.008215853
differ,-0.008220968
fourier,-0.008229039
orthogon,-0.008234874
painlev,-0.008238395
proof,-0.0082542235
given,-0.008272046
linear,-0.0082926
proc,-0.008307981
demonstr,-0.008308398
term,-0.008309978
it,-0.008312505
howev,-0.008322621
continu,-0.00833117
applic,-0.00833457
theori,-0.008372719
particular,-0.008377455
first,-0.008413512
bessel,-0.008418355
classic,-0.00843902
main,-0.008441245
certain,-0.008461074
experi,-0.008464525
both,-0.008471693
work,-0.008472027
introduc,-0.00847274
hardi,-0.0084744375
valu,-0.008477383
achiev,-0.008504027
observ,-0.008510923
exist,-0.008513377
fraction,-0.008519163
non,-0.008520935
associ,-0.008523461
establish,-0.008528692
well,-0.008529031
riesz,-0.008532475
compar,-0.00853283
simul,-0.008543701
algo,-0.008544443
larg,-0.008545146
riemann,-0.008546391
train,-0.008553307
comput,-0.008554483
bound,-0.008557536
exampl,-0.008559641
q,-0.008561953
task,-0.008563305
dataset,-0.008566968
more,-0.0085814325
signific,-0.008591308
explicit,-0.008591632
challeng,-0.008593386
inform,-0.00859413
singular,-0.008597814
field,-0.0086049335
estim,-0.0086080525
measur,-0.008620193
devel,-0.008626184
been,-0.008629124
paramet,-0.00862917
construct,-0.008638937
famili,-0.008649587
structur,-0.008652062
algebra,-0.008655608
other,-0.008660935
weight,-0.008661807
when,-0.00866666
under,-0.008671797
all,-0.008672549
defin,-0.00867794
while,-0.008690206
recent,-0.008695074
analysi,-0.008699001
find,-0.008700798
predict,-0.008701293
generat,-0.00870652
effici,-0.0087108305
form,-0.008711054
correspond,-0.008712663
number,-0.008715938
laplac,-0.00872351
investig,-0.008738385
dimens,-0.008743342
discret,-0.008743586
improv,-0.008745069
design,-0.008751078
dimension,-0.0087543605
includ,-0.008758512
finit,-0.0087618735
known,-0.0087629
limit,-0.008763364
character,-0.008765002
ordinari,-0.008765835
dynam,-0.008765936
optim,-0.008773389
appli,-0.00877595
coeffici,-0.008776681
detect,-0.0087782685
where,-0.008779348
onli,-0.008779417
zero,-0.008780374
than,-0.008784647
eigenfunct,-0.008786212
jacobi,-0.008791386
approxim,-0.008792908
experiment,-0.008795534
product,-0.00879651
sum,-0.008800791
framework,-0.008804509
interact,-0.008806746
over,-0.0088118855
infinit,-0.008818801
real,-0.0088224625
1,-0.00882905
increas,-0.008833407
requir,-0.008834108
depend,-0.0088363895
mean,-0.008836835
local,-0.008844287
through,-0.0088482695
art,-0.008848588
distribut,-0.008849941
complex,-0.008854287
kernel,-0.008860569
matrix,-0.00886219
novel,-0.008870234
satisfi,-0.0088723665
analyt,-0.008873564
imag,-0.008873832
allow,-0.008875283
eigenvalu,-0.008878079
laguerr,-0.008880003
e,-0.008882255
sever,-0.0088835005
interv,-0.008889901
specif,-0.008890055
featur,-0.008890122
special,-0.008892273
discuss,-0.008894665
second,-0.008895762
regular,-0.0088960435
extend,-0.008898711
posit,-0.008900916
variabl,-0.008903072
trigonometr,-0.008906426
addit,-0.008907191
energi,-0.008908579
evalu,-0.0089113405
uniqu,-0.00891274
connect,-0.008917707
most,-0.008919618
numer,-0.008920768
articl,-0.008935801
each,-0.008937089
suffici,-0.00893941
potenti,-0.008941515
represent,-0.008942919
due,-0.008943131
neural,-0.008943719
scale,-0.008946231
techniqu,-0.008949652
direct,-0.008952884
current,-0.008953699
level,-0.008953855
how,-0.00895477
mani,-0.008964389
quantum,-0.008967507
low,-0.008968111
enhanc,-0.008970137
respect,-0.008972348
ident,-0.008973791
various,-0.008974245
determin,-0.008976941
final,-0.008977965
analogu,-0.008980367
ani,-0.008984901
import,-0.008985104
author,-0.00898708
bounded,-0.008990406
consist,-0.008994242
note,-0.008996945
pointwis,-0.008997087
describ,-0.008998828
extens,-0.008999532
group,-0.009001415
2,-0.009002213
harmon,-0.009002599
involv,-0.009004046
banach,-0.00900435
lead,-0.009010625
within,-0.009011402
three,-0.009011616
control,-0.009013854
mechan,-0.009016939
possibl,-0.009018567
deep,-0.00901963
multipl,-0.009020752
shown,-0.009021747
hausdorff,-0.009022897
natur,-0.009023536
seri,-0.009028373
singl,-0.009028989
here,-0.009031127
sharp,-0.009031314
partial,-0.009035734
calculus,-0.009044468
simpl,-0.009046505
make,-0.009046981
identifi,-0.009050073
expans,-0.009050618
may,-0.009050711
research,-0.009051428
combin,-0.009056733
test,-0.009057225
liouvill,-0.00905829
uniform,-0.009058781
phase,-0.009060184
express,-0.00906296
sampl,-0.009064859
across,-0.00906587
rang,-0.009069762
similar,-0.009071709
converg,-0.009071775
robust,-0.009072825
ellipt,-0.0090751415
machin,-0.009076498
boundari,-0.009077037
physic,-0.009077521
previous,-0.009077546
hilbert,-0.009078499
multi,-0.009080904
whose,-0.009083037
version,-0.009083473
convex,-0.0090837935
user,-0.009087086
i,-0.009087625
implement,-0.009088668
address,-0.00908942
definit,-0.009089949
norm,-0.009092818
reduc,-0.009093928
euclidean,-0.009096269
avail,-0.009096634
conduct,-0.009097365
further,-0.00909783
sourc,-0.009098022
strong,-0.009100368
accuraci,-0.009100604
fix,-0.009102001
rate,-0.009104671
illustr,-0.009108
object,-0.009108194
lebesgu,-0.009108891
arbitrari,-0.009109681
outperform,-0.009109685
line,-0.00911289
power,-0.0091133425
like,-0.009114089
mittag,-0.00911531
enabl,-0.009115336
exponenti,-0.009116565
focus,-0.0091177635
need,-0.009119176
period,-0.009119503
nonlinear,-0.009120102
leffler,-0.0091203945
so,-0.009120502
carleson,-0.009121371
matric,-0.009121718
explor,-0.009122112
logarithm,-0.009122719
theoret,-0.009126017
understand,-0.009126293
behavior,-0.00912636
correl,-0.00912747
fractal,-0.009128417
code,-0.009128958
origin,-0.0091295205
without,-0.0091296565
via,-0.009129853
solv,-0.009130024
constant,-0.009132173
close,-0.009135483
magnet,-0.00913658
degre,-0.009138748
sequenc,-0.00913897
world,-0.009140222
benchmark,-0.009141624
homogen,-0.009144327
scenario,-0.009144624
optic,-0.0091451155
coupl,-0.009145832
human,-0.009146181
transfer,-0.0091465665
up,-0.0091468515
upper,-0.009147518
them,-0.009147929
euler,-0.009148851
architectur,-0.009149168
veri,-0.009150152
even,-0.009151023
ode,-0.009152252
dure,-0.009152283
analyz,-0.009152929
electron,-0.009154147
stieltj,-0.0091543
way,-0.009155757
about,-0.009156688
lower,-0.009158347
call,-0.009160969
compact,-0.009161239
practic,-0.009164744
same,-0.0091648875
dyadic,-0.009168015
devot,-0.009169994
environ,-0.009170075
densiti,-0.009170422
those,-0.00917045
calcul,-0.009170968
domain,-0.00917236
commut,-0.009173174
languag,-0.009173183
symmetr,-0.009174386
qualiti,-0.009174445
small,-0.009176739
g,-0.009178546
strategi,-0.009179139
out,-0.009179782
util,-0.009180738
graph,-0.009181748
input,-0.009182522
complet,-0.009182799
size,-0.009183346
open,-0.009183365
better,-0.009184124
consequ,-0.009184574
n,-0.009184823
p,-0.009184841
temperatur,-0.009185544
probabl,-0.009188605
found,-0.00919008
ration,-0.0091902735
cost,-0.00919157
signal,-0.00919403
standard,-0.0091956165
contain,-0.009196957
interest,-0.009198654
transit,-0.009199241
invari,-0.009199268
classif,-0.009199533
select,-0.009199657
initi,-0.009201371
thus,-0.009201593
infer,-0.00920395
wide,-0.00920498
3,-0.009205228
capabl,-0.009206647
accur,-0.009206884
sonin,-0.009207197
map,-0.009207553
devic,-0.009207999
individu,-0.0092091225
activ,-0.009209264
conjectur,-0.009209939
chang,-0.009211464
common,-0.009211503
ball,-0.009211567
zygmund,-0.009211568
multilinear,-0.009214355
random,-0.009215463
elementari,-0.009215477
spin,-0.009216308
spectral,-0.009216484
calder,-0.009217991
vector,-0.009218119
long,-0.009218241
moreov,-0.009218408
endpoint,-0.009219606
adapt,-0.009220426
sobolev,-0.009220594
circl,-0.009220791
particl,-0.009224932
captur,-0.009225542
concern,-0.009225797
compon,-0.009226426
produc,-0.009227059
reveal,-0.009227568
often,-0.009227877
macdonald,-0.009228706
could,-0.009228862
variat,-0.009229042
basic,-0.00922931
suggest,-0.009230901
aim,-0.00923265
spatial,-0.00923292
extract,-0.009233317
follow,-0.009233391
stabil,-0.009233504
constraint,-0.009233768
promis,-0.009233874
advanc,-0.009234793
assouad,-0.00923577
brascamp,-0.00923577
layer,-0.009236051
iter,-0.009237162
restrict,-0.009238444
minim,-0.009239077
plane,-0.009239176
f,-0.009239327
kind,-0.009239685
scheme,-0.009240648
global,-0.009240707
futur,-0.009241201
suitabl,-0.009241747
lipschitz,-0.009242359
fact,-0.009243222
contribut,-0.009244628
issu,-0.009247486
bilinear,-0.009247711
channel,-0.009247728
necessari,-0.0092479605
exact,-0.0092480825
leverag,-0.009248628
region,-0.009249014
gamma,-0.009251031
valid,-0.009251482
employ,-0.00925187
sturm,-0.009251978
us,-0.0092520425
indic,-0.009252292
error,-0.009252728
respons,-0.009253304
analog,-0.009253467
self,-0.009254521
statist,-0.009254783
surfac,-0.009255766
critic,-0.0092565445
report,-0.009257205
x,-0.009257602
maxim,-0.00925903
weak,-0.009259952
key,-0.009260654
invers,-0.009260903
were,-0.009261233
hermit,-0.009261618
knowledg,-0.009262205
support,-0.009262523
higher,-0.009262675
cantor,-0.009262727
protocol,-0.009263066
abil,-0.009263467
synt,-0.009265397
smooth,-0.009265707
furthermor,-0.00926747
repres,-0.009267519
context,-0.009267666
metric,-0.009268134
part,-0.00926818
integ,-0.009268981
visual,-0.009270095
confluent,-0.009270919
question,-0.009271568
tool,-0.00927202
0,-0.009272666
encod,-0.009273165
resolut,-0.0092748795
take,-0.009276167
equival,-0.009276297
almost,-0.00927647
volterra,-0.009276662
success,-0.009276865
sphere,-0.009277061
free,-0.009277186
emerg,-0.00927769
askey,-0.009277702
light,-0.009278107
target,-0.009278186
wave,-0.009278415
becom,-0.009278767
frequenc,-0.0092806015
infin,-0.009280659
independ,-0.009280689
oscil,-0.009280908
decis,-0.0092826085
precis,-0.009286979
impact,-0.009286993
factor,-0.009287116
step,-0.009287387
technolog,-0.009287411
affect,-0.00928774
bernoulli,-0.009288134
bispectr,-0.00928896
ahlfor,-0.009289226
nois,-0.009289954
b,-0.00929017
detail,-0.009290316
crucial,-0.009290682
relev,-0.009290692
remain,-0.009291015
convolut,-0.00929133
aris,-0.009291722
appropri,-0.00929403
mode,-0.009294084
formul,-0.009294979
j,-0.009295132
collect,-0.009295244
characterist,-0.009297007
materi,-0.009297404
section,-0.009298124
paley,-0.009299088
do,-0.009300193
label,-0.009300605
role,-0.009300713
borel,-0.009300741
principl,-0.009301961
mass,-0.009301989
literatur,-0.009303308
empir,-0.00930346
yield,-0.0093048215
littlewood,-0.009304885
cauchi,-0.009304908
format,-0.009304994
near,-0.009305773
cluster,-0.009305797
offer,-0.00930599
correct,-0.009306565
unbound,-0.009307749
m,-0.009307754
induc,-0.009307956
evolut,-0.009308093
output,-0.009308335
tempor,-0.009309663
fundament,-0.009310147
four,-0.009310685
exhibit,-0.009311534
5,-0.009311675
event,-0.0093117505
appear,-0.009312179
end,-0.009313039
isomonodrom,-0.009313485
concept,-0.009314693
account,-0.009314797
gauss,-0.0093148
public,-0.009314885
driven,-0.00931499
resourc,-0.0093151005
sensit,-0.009315931
expect,-0.009316771
assumpt,-0.009317342
creat,-0.009317471
pre,-0.0093181785
formal,-0.009319816
negat,-0.009320041
baselin,-0.009320834
eigenparamet,-0.009321132
geronimus,-0.009321132
kolchin,-0.009321132
search,-0.009321662
binomi,-0.00932196
among,-0.009324564
assess,-0.009325152
fuchsian,-0.009325335
argument,-0.009325418
summat,-0.009326777
presenc,-0.009327541
perturb,-0.009327666
communic,-0.009328321
divers,-0.009328442
modul,-0.009328671
typic,-0.0093288245
name,-0.009329137
semigroup,-0.009329762
bmo,-0.009330548
pattern,-0.0093321595
averag,-0.00933219
flow,-0.009332414
against,-0.00933248
squar,-0.009333102
pair,-0.009333312
unit,-0.009333384
semant,-0.009333398
loss,-0.009334304
curv,-0.00933491
mem,-0.0093353065
interpret,-0.00933547
charg,-0.009335974
becaus,-0.009336136
matter,-0.009336535
separ,-0.009337102
monoton,-0.009338012
incorpor,-0.009338358
attent,-0.009338716
stochast,-0.009338828
4,-0.009340264
caus,-0.009341643
year,-0.009342087
abl,-0.009342363
prior,-0.009342387
monodromi,-0.009342895
major,-0.009343031
locat,-0.009343523
artifici,-0.009344181
therefor,-0.009344419
supervis,-0.009344653
symmetri,-0.009344997
equal,-0.009345001
topolog,-0.00934542
doe,-0.009346555
darboux,-0.00934668
thermal,-0.00934694
photon,-0.009347185
sinc,-0.00934723
explain,-0.009348184
be,-0.00934823
toward,-0.009348482
deduc,-0.0093487585
aspect,-0.009348859
purpos,-0.009349086
help,-0.009349798
fine,-0.0093505625
automat,-0.009350906
admit,-0.009351036
tradit,-0.0093511725
build,-0.009351493
access,-0.009351538
moment,-0.009352138
tune,-0.009352522
github,-0.009352683
short,-0.009353105
copson,-0.009353481
ultraspher,-0.009353481
comprehens,-0.009353541
great,-0.009354107
polar,-0.009354354
essenti,-0.009354542
contrast,-0.009354751
fulli,-0.009354827
altern,-0.009354896
project,-0.009354934
along,-0.009354951
acceler,-0.009355261
wright,-0.009355288
few,-0.009355649
after,-0.009355726
program,-0.009355858
doubl,-0.009355906
much,-0.009357237
engin,-0.009357765
appel,-0.009358523
area,-0.009358883
core,-0.009358908
motiv,-0.00935898
weierstrass,-0.009359156
best,-0.009359412
intellig,-0.0093597295
affin,-0.009359972
reli,-0.009360715
lie,-0.00936096
agent,-0.009361429
still,-0.009361444
motion,-0.009362014
earlier,-0.009362141
t,-0.009362511
deploy,-0.009363374
mathemat,-0.009363566
cross,-0.009363581
equilibrium,-0.009363904
exploit,-0.009364462
regim,-0.009364465
h,-0.009364581
overal,-0.009364582
univers,-0.009364593
match,-0.009366033
hole,-0.00936606
drive,-0.009366194
ground,-0.0093677705
comparison,-0.009367995
secur,-0.009368051
transport,-0.0093681775
element,-0.009368334
sawyer,-0.009369302
absolut,-0.009369417
text,-0.009369421
3d,-0.009369861
distanc,-0.009370224
advantag,-0.009370564
lemma,-0.009371237
v,-0.00937151
varieti,-0.009371772
view,-0.009371774
full,-0.009372344
dual,-0.009372415
gap,-0.009373221
excit,-0.009373326
widom,-0.009373517
play,-0.009373782
either,-0.009373964
emiss,-0.009373976
2n,-0.009374185
black,-0.0093747685
vari,-0.009374794
embed,-0.00937503
length,-0.009375454
made,-0.009375676
idea,-0.009376074
insight,-0.009376333
less,-0.009376373
assum,-0.009376588
everi,-0.009376646
star,-0.009376809
shape,-0.009376831
metal,-0.0093772765
bernstein,-0.009377463
geometr,-0.009377758
d,-0.009378008
radiat,-0.009378175
genet,-0.009378205
r,-0.0093783345
momentum,-0.009378419
notion,-0.009378926
delay,-0.009379229
influenc,-0.009379373
picard,-0.009380762
markov,-0.009380797
platform,-0.009381009
score,-0.009381253
attractor,-0.009381618
review,-0.009381764
especi,-0.009382146
transcend,-0.009382484
good,-0.009382685
diffus,-0.009382707
social,-0.009383001
lattic,-0.009383115
confirm,-0.009383404
atom,-0.009384107
total,-0.009384193
cell,-0.009384362
side,-0.009384703
descript,-0.009384862
examin,-0.009385531
gaussian,-0.009385655
recurr,-0.009385677
hard,-0.009386122
usual,-0.009386153
wkb,-0.009386438
symbol,-0.0093870545
polici,-0.009387216
variant,-0.00938737
molecular,-0.009387482
normal,-0.009388167
degener,-0.009388312
goal,-0.009388713
run,-0.009389144
vessiot,-0.009389687
occur,-0.009389704
heisenberg,-0.00939006
speed,-0.009390197
spectrum,-0.009390346
spheric,-0.00939041
hahn,-0.009390495
action,-0.009390729
benefit,-0.009390929
abov,-0.009391141
survey,-0.009391437
edg,-0.0093918815
geometri,-0.009391966
gradient,-0.009392648
k,-0.009392807
central,-0.009392933
carpet,-0.009393027
half,-0.009393058
face,-0.00939337
math,-0.009393698
law,-0.009393987
recognit,-0.009394218
gain,-0.00939469
what,-0.009394822
bias,-0.009395011
lack,-0.009396834
fit,-0.009396864
szego,-0.009396886
convent,-0.009397406
propag,-0.009397753
sure,-0.009397764
zeta,-0.009397764
hypertext,-0.009397995
mix,-0.009398447
realiz,-0.009398667
massiv,-0.009398767
larger,-0.0093994085
tridiagon,-0.009399531
although,-0.009399782
share,-0.0093999095
despit,-0.009400147
gravit,-0.009400471
10,-0.009400478
ratio,-0.009400548
scatter,-0.009400579
binari,-0.009400647
augment,-0.009400991
simultan,-0.009401219
facilit,-0.009401652
right,-0.009401689
reliabl,-0.009402327
riccati,-0.009402538
rule,-0.00940255
strength,-0.009402994
interpol,-0.009403099
refin,-0.00940331
reason,-0.009403342
multipli,-0.00940378
third,-0.0094040455
guid,-0.00940413
superior,-0.009404372
togeth,-0.009404588
electr,-0.009404954
pseudodifferenti,-0.009405313
off,-0.009405457
modifi,-0.009406294
organ,-0.009406373
preserv,-0.009406476
sensor,-0.009406614
fluctuat,-0.009406957
joint,-0.009406963
reach,-0.009406975
regard,-0.009407052
hold,-0.009407223
yet,-0.009407339
adversari,-0.009407505
generic,-0.009407518
probe,-0.009407554
manifold,-0.009407559
last,-0.0094077205
deal,-0.009407751
quasi,-0.009407875
translat,-0.009408036
configur,-0.00940807
alpert,-0.00940809
angelesco,-0.00940809
buschman,-0.00940809
cusa,-0.00940809
francia,-0.00940809
katrakhov,-0.00940809
konhaus,-0.00940809
ldag,-0.00940809
martel,-0.00940809
spiridonov,-0.00940809
stolarski,-0.00940809
struve,-0.00940809
voro,-0.00940809
wilker,-0.00940809
wiman,-0.00940809
zhedanov,-0.00940809
relationship,-0.009408308
fast,-0.009408413
highlight,-0.009408591
l,-0.00940862
bayesian,-0.009408663
caputo,-0.009408665
legendr,-0.009408747
meromorph,-0.009408747
sens,-0.009409016
galoi,-0.009409489
static,-0.009410012
detector,-0.009410121
io,-0.009410266
popular,-0.009410266
lotka,-0.009410514
band,-0.009410852
cloud,-0.009410902
link,-0.0094114095
forc,-0.009411493
profil,-0.009412337
nice,-0.0094124265
refer,-0.009412589
entri,-0.009412886
com,-0.009412995
levinson,-0.0094132135
tur,-0.0094132135
laplacian,-0.009413273
should,-0.009413345
mention,-0.009413459
substanti,-0.009413487
reson,-0.009413654
intens,-0.009413672
background,-0.00941388
retriev,-0.009414011
amount,-0.009414185
reinforc,-0.009414791
extrapol,-0.00941525
rich,-0.009415945
cannot,-0.009416865
bodi,-0.00941688
veloc,-0.009416916
stabl,-0.009417029
feasibl,-0.0094173765
coher,-0.009417551
around,-0.009417572
racah,-0.009417648
semiflow,-0.009417648
rapid,-0.009417793
per,-0.009417964
sixth,-0.00941812
video,-0.009418158
stage,-0.00941874
subject,-0.00941962
autonom,-0.009419623
maximum,-0.009420105
evid,-0.009420339
node,-0.00942069
orbit,-0.00942079
reconstruct,-0.009420844
reduct,-0.009420854
semi,-0.009420874
attack,-0.009421001
scalabl,-0.009421605
lieb,-0.009421661
adopt,-0.009421726
systemat,-0.009421726
align,-0.009421896
interfac,-0.009421899
deform,-0.009422079
dirichlet,-0.009422228
argu,-0.009422454
heat,-0.009422483
vision,-0.009422761
instead,-0.00942279
perspect,-0.009423034
manag,-0.009423069
stor,-0.009423069
ray,-0.009423285
hand,-0.009423734
root,-0.009423798
graviti,-0.00942386
unitari,-0.009423867
path,-0.009423894
sign,-0.009424116
candid,-0.009424445
o,-0.009424516
whether,-0.009424686
beurl,-0.00942486
lizorkin,-0.00942486
triebel,-0.00942486
consider,-0.009425043
onlin,-0.009425139
