Term,Mitigated Information
categori,0.014231086
we,-0.0009766023
monoid,-0.0013356172
algebra,-0.0018969852
notion,-0.0018991629
morphism,-0.0020480216
theori,-0.0022186188
categor,-0.0026751342
homotopi,-0.0027512808
construct,-0.0029759472
equival,-0.0029986482
object,-0.0034231702
monad,-0.00349287
prove,-0.0035174987
give,-0.0035636625
which,-0.003678447
use,-0.0037801587
structur,-0.003837516
defin,-0.00390745
func,-0.003923407
show,-0.003999821
from,-0.004028851
subcategori,-0.004036926
paper,-0.004117124
model,-0.0041846153
can,-0.004206697
finit,-0.004231782
result,-0.004235122
bicategori,-0.004260115
set,-0.004328415
general,-0.0043461067
between,-0.0043626777
our,-0.004365688
colimit,-0.0043748096
triangul,-0.0043777777
commut,-0.004458718
studi,-0.0044635455
s,-0.004477197
over,-0.0044991462
propos,-0.004514167
introduc,-0.004516965
theorem,-0.00452225
method,-0.004531972
perform,-0.004532906
topolog,-0.004542532
space,-0.004545706
topo,-0.0045537683
base,-0.004580069
relat,-0.0045803203
also,-0.004616484
groupoid,-0.004617621
adjunct,-0.0046193297
abelian,-0.004621025
comonad,-0.0046246024
modul,-0.0046449704
operad,-0.0046644825
time,-0.0046773083
two,-0.004689266
grothendieck,-0.004701277
properti,-0.004711934
group,-0.0047133267
effect,-0.0047136713
natur,-0.0047379076
some,-0.004745563
kan,-0.0047518387
present,-0.004755479
one,-0.004767965
system,-0.0047781384
symmetr,-0.004779363
data,-0.004781154
has,-0.0047931233
exampl,-0.0048084846
lawver,-0.0048095626
high,-0.004820317
have,-0.0048303483
quillen,-0.004834832
provid,-0.0048397426
state,-0.0048449268
simplici,-0.0048465403
it,-0.0048522134
local,-0.0048544006
adjoint,-0.0048760413
sens,-0.004877831
generalis,-0.004895641
equip,-0.00490356
2,-0.0049040243
ring,-0.004906604
given,-0.0049088118
demonstr,-0.004917816
approach,-0.0049281777
first,-0.0049387054
learn,-0.004952294
differ,-0.0049529015
case,-0.004953948
whose,-0.00495895
sheav,-0.0049629477
particular,-0.0049629905
abstract,-0.004964172
applic,-0.004965267
weak,-0.0049719336
type,-0.0049732868
work,-0.004975466
isomorph,-0.0049777864
algo,-0.004989761
enrich,-0.004992934
complet,-0.00501099
composit,-0.005014297
way,-0.0050193127
version,-0.0050239125
problem,-0.005024724
proc,-0.005031423
howev,-0.005045577
new,-0.005048524
quotient,-0.0050609214
larg,-0.005064368
ani,-0.005065956
product,-0.0050699566
net,-0.0050700842
morita,-0.005071375
simul,-0.0050722673
deriv,-0.0050732237
optim,-0.005075088
tensor,-0.005075229
experi,-0.005076213
certain,-0.005077839
associ,-0.0050822226
bimodul,-0.005084184
presheav,-0.0050873933
devel,-0.005088143
class,-0.0050908104
effici,-0.005100549
both,-0.0051014493
homolog,-0.0051056063
more,-0.005106949
tierney,-0.005107333
calculus,-0.005108141
comput,-0.005112774
describ,-0.005113027
well,-0.0051193237
diagram,-0.0051213657
fibrant,-0.00512283
consid,-0.005124923
cohomolog,-0.005126019
call,-0.005129236
axiom,-0.005129921
pullback,-0.005133636
when,-0.005136036
improv,-0.005137543
everi,-0.005141986
find,-0.005145946
compar,-0.0051472704
under,-0.0051482134
represent,-0.0051492215
left,-0.0051517244
exist,-0.0051536923
signific,-0.0051537636
field,-0.005155992
scale,-0.005157699
extens,-0.00516192
presheaf,-0.0051619885
train,-0.005164492
form,-0.0051685013
all,-0.0051710038
predict,-0.0051720073
obtain,-0.0051745772
cocomplet,-0.0051759714
kleisli,-0.0051759714
energi,-0.0051771756
coalgebra,-0.0051791198
compact,-0.005182568
idempot,-0.005183118
observ,-0.0051833703
estim,-0.0051851613
condit,-0.00518809
bousfield,-0.0051952093
includ,-0.0051961136
been,-0.0051994943
dualiti,-0.0052008233
induc,-0.0052015283
paramet,-0.0052043092
cartesian,-0.005204884
map,-0.005207872
dataset,-0.0052099624
recol,-0.005211077
definit,-0.005211472
term,-0.005212756
formal,-0.0052131605
non,-0.005215707
descript,-0.0052222805
other,-0.0052232295
inform,-0.0052284733
increas,-0.0052289357
explicit,-0.005230386
generat,-0.0052322433
exact,-0.005234222
dynam,-0.005234923
where,-0.0052371277
order,-0.00523724
task,-0.0052425703
hom,-0.0052472414
onli,-0.005247374
challeng,-0.0052517257
segal,-0.0052532847
achiev,-0.0052544354
analysi,-0.005255193
while,-0.0052563343
recent,-0.00525824
geometr,-0.0052620876
proof,-0.0052634617
each,-0.005265318
measur,-0.0052653803
experiment,-0.005265441
allow,-0.005269115
framework,-0.005274472
character,-0.005275786
connect,-0.0052777417
real,-0.0052783205
how,-0.0052805133
correspond,-0.0052805278
solut,-0.0052819876
depend,-0.0052821953
waldhausen,-0.0052842847
than,-0.0052843136
establish,-0.0052884426
design,-0.0052903593
number,-0.0052925586
bicategor,-0.005296155
classic,-0.0052976124
addit,-0.0052985437
novel,-0.0052990173
limit,-0.005301752
evalu,-0.005303531
higher,-0.005304885
univers,-0.0053068995
complex,-0.0053103315
strict,-0.005312515
intern,-0.005315369
known,-0.0053185504
diagrammat,-0.0053187525
bundl,-0.005320167
potenti,-0.005320483
context,-0.0053217486
e,-0.005322574
discuss,-0.005322579
distribut,-0.0053244038
art,-0.005324992
investig,-0.005327877
small,-0.0053290036
extend,-0.005330664
appli,-0.005331357
close,-0.00533422
test,-0.005334403
topos,-0.0053350427
admit,-0.005335799
motiv,-0.005337239
concept,-0.0053408844
quantum,-0.005343282
frobenius,-0.005345827
low,-0.0053463853
hochschild,-0.0053477567
aris,-0.0053487592
homotop,-0.0053496417
requir,-0.0053521483
through,-0.0053524068
interact,-0.005353091
imag,-0.0053540627
fact,-0.0053541083
spivak,-0.005356605
tannaka,-0.005356605
point,-0.0053574
noetherian,-0.005357512
main,-0.0053600576
mani,-0.0053626243
most,-0.005362638
