Term,Mitigated Information
we,-0.001132104
holomorph,-0.002113357
func,-0.002980168
prove,-0.0035195034
complex,-0.0035517695
manifold,-0.0044512954
model,-0.0047073904
space,-0.0048006563
result,-0.0048082317
use,-0.004846833
theorem,-0.00490571
riemann,-0.004963683
map,-0.0051171603
which,-0.005125898
from,-0.00523634
can,-0.005325064
meromorph,-0.005325889
studi,-0.005391225
bergman,-0.0053929733
general,-0.005487888
show,-0.0055529466
paper,-0.005555515
propos,-0.0055725304
class,-0.0056437906
our,-0.005644381
perform,-0.0056878948
also,-0.005702601
some,-0.00571198
algebra,-0.0057466486
base,-0.005811594
polynomi,-0.0058202473
analyt,-0.0058205603
compact,-0.005859904
plurisubharmon,-0.0058779474
ahler,-0.0058795875
singular,-0.005883754
obtain,-0.0059210276
data,-0.005931556
system,-0.0059321863
method,-0.005946338
two,-0.00600579
state,-0.00603264
defin,-0.0060645314
effect,-0.006071376
time,-0.0061067184
learn,-0.006131891
bound,-0.0061439555
set,-0.0061514657
unival,-0.0061518853
give,-0.0061615324
one,-0.006166651
have,-0.0061791586
point,-0.0061823605
present,-0.006193073
unit,-0.006209044
approach,-0.0062229726
high,-0.0062293625
plane,-0.0062373085
equat,-0.0062479787
boundari,-0.006253609
domain,-0.0062592644
case,-0.0062604314
new,-0.0062706727
hardi,-0.00627813
net,-0.006279326
disk,-0.006282172
proc,-0.006289715
demonstr,-0.006298307
s,-0.0063035637
bundl,-0.0063081863
conjectur,-0.006309925
metric,-0.0063165408
has,-0.006319367
differenti,-0.0063246405
between,-0.0063286955
mong,-0.006333053
theori,-0.0063429335
differ,-0.006346251
provid,-0.006352908
problem,-0.0063604554
properti,-0.006386959
surfac,-0.0063872887
hyperbol,-0.0063914196
it,-0.006423261
famili,-0.0064363265
howev,-0.006443901
project,-0.0064551546
both,-0.0064621046
relat,-0.0064650476
proof,-0.0064665237
certain,-0.0064701424
foliat,-0.006471881
experi,-0.0064799613
k,-0.006492219
non,-0.0064953407
compar,-0.0065004644
toeplitz,-0.006506062
applic,-0.006508873
main,-0.006512765
condit,-0.0065305345
work,-0.006530599
type,-0.006533568
ball,-0.006536114
construct,-0.0065438715
