Term,Mitigated Information
manifold,0.01179745
curvatur,-0.0020765811
we,-0.0024441874
riemannian,-0.0041716592
space,-0.010244353
prove,-0.010272516
metric,-0.011014506
ricci,-0.011516726
bundl,-0.012532887
compact,-0.012939578
use,-0.0138468435
model,-0.0139998635
which,-0.014258536
result,-0.014645644
geometri,-0.014883917
from,-0.014962018
geometr,-0.014999152
theorem,-0.015010648
paper,-0.015096025
geodes,-0.015312697
show,-0.015325561
can,-0.015486503
general,-0.01570677
lie,-0.01571331
studi,-0.01584576
also,-0.015955765
ahler,-0.015992906
invari,-0.01599754
give,-0.0159998
surfac,-0.016055118
propos,-0.016065959
our,-0.016094217
submanifold,-0.01633456
base,-0.016346054
smooth,-0.016433632
perform,-0.01656935
structur,-0.016781805
group,-0.016815303
connect,-0.016870996
construct,-0.016934574
method,-0.016990056
effect,-0.017039325
some,-0.01705987
hypersurfac,-0.017175542
defin,-0.017261041
admit,-0.017261885
two,-0.017283043
sphere,-0.017294444
system,-0.017314153
hyperbol,-0.017317709
differenti,-0.017326849
dimension,-0.017363066
conform,-0.017364671
k,-0.017429586
case,-0.017447406
obtain,-0.017487423
data,-0.017578565
present,-0.01757943
state,-0.01758901
high,-0.017607458
have,-0.017638221
non,-0.017688913
euclidean,-0.017693086
func,-0.01770009
one,-0.017708922
equat,-0.01776431
complet,-0.01779348
s,-0.017793845
type,-0.01780152
flow,-0.017823985
dimens,-0.017864347
approach,-0.017876366
demonstr,-0.017891895
problem,-0.01789387
learn,-0.017895062
algebra,-0.0179237
theori,-0.017954372
between,-0.017962407
relat,-0.017970013
time,-0.01797145
holomorph,-0.017985238
differ,-0.017986815
net,-0.017990412
provid,-0.018006183
exampl,-0.018026445
exist,-0.018028704
has,-0.018029753
new,-0.018038604
condit,-0.018046392
flat,-0.018077979
proof,-0.018080836
close,-0.018092357
curv,-0.01810822
first,-0.018156959
applic,-0.018174328
proc,-0.018183518
it,-0.018197436
class,-0.018204115
complex,-0.018208992
isometr,-0.018318225
section,-0.018322483
bound,-0.018334657
vector,-0.018343925
introduc,-0.018372826
set,-0.018390682
form,-0.018401068
howev,-0.018416585
local,-0.018420305
singular,-0.018436586
constant,-0.018456811
point,-0.018493641
foliat,-0.018511167
experi,-0.018519444
symmetr,-0.018522022
given,-0.018526131
boundari,-0.018535506
solut,-0.018550444
notion,-0.018568976
both,-0.018573869
work,-0.0185752
yau,-0.018590447
ani,-0.018592238
algo,-0.018601611
particular,-0.018605018
term,-0.018606635
under,-0.01861716
simul,-0.018624548
larg,-0.018638272
compar,-0.018648596
famili,-0.018651014
observ,-0.018668035
consid,-0.018669344
einstein,-0.018699188
field,-0.018727679
formula,-0.018745849
comput,-0.018759094
inform,-0.018774139
signific,-0.01882851
tensor,-0.018831141
train,-0.018837191
all,-0.018838242
well,-0.018843098
while,-0.018848717
been,-0.018851582
symplect,-0.01885327
more,-0.018866496
3,-0.0188693
design,-0.01890078
effici,-0.018929247
deriv,-0.018933127
gromov,-0.018939003
posit,-0.018950514
improv,-0.018955156
2,-0.018956043
inequ,-0.01896722
generat,-0.018973507
m,-0.018974012
devel,-0.018978072
hermitian,-0.01899148
properti,-0.019001514
challeng,-0.019003136
map,-0.019003427
oper,-0.019012887
achiev,-0.019023955
when,-0.019031407
predict,-0.019042278
scalar,-0.019070137
dataset,-0.019079426
diffeomorph,-0.019082423
order,-0.019092176
over,-0.019093914
find,-0.019104918
task,-0.01910583
associ,-0.019111408
explicit,-0.019113546
dynam,-0.019125162
correspond,-0.019137805
onli,-0.019148193
