Term,Mitigated Information
we,-0.0032110815
dynam,-0.0075119813
system,-0.009183107
prove,-0.012991723
which,-0.013153221
result,-0.013624633
use,-0.013717183
show,-0.014831016
from,-0.014997443
model,-0.0151255205
studi,-0.015191182
equat,-0.015392439
can,-0.015557482
paper,-0.015604495
set,-0.015901826
our,-0.016019443
general,-0.016281731
space,-0.016370209
invari,-0.016372569
also,-0.016458629
condit,-0.016490918
map,-0.016519122
period,-0.016586326
point,-0.016658504
one,-0.016712295
two,-0.016776003
time,-0.016875748
differenti,-0.016877985
method,-0.016944557
base,-0.017051194
exist,-0.01708404
func,-0.017126858
exampl,-0.01713406
case,-0.017149556
bifurc,-0.017179318
non,-0.017198589
provid,-0.017304597
propos,-0.017326424
consid,-0.017373152
manifold,-0.017427647
have,-0.017473249
present,-0.017568741
hyperbol,-0.017635576
linear,-0.017650126
properti,-0.017652294
finit,-0.017661875
problem,-0.017702566
some,-0.017737688
stabil,-0.017768748
dimension,-0.01778516
under,-0.017857144
theorem,-0.017917918
theori,-0.017933499
data,-0.017974816
has,-0.017995043
state,-0.018001705
it,-0.018022144
continu,-0.018064633
nonlinear,-0.018092487
class,-0.018113757
perform,-0.018115858
approach,-0.018118352
ergod,-0.018123718
lyapunov,-0.018129447
numer,-0.01814897
measur,-0.018195072
solut,-0.018195337
between,-0.018221483
orbit,-0.018279037
s,-0.018291868
attractor,-0.0183623
differ,-0.01838247
effect,-0.018386152
obtain,-0.01844043
particular,-0.018444048
topolog,-0.018456178
give,-0.01846353
asymptot,-0.018476972
new,-0.01849701
applic,-0.018602338
construct,-0.018633692
proc,-0.018640032
first,-0.018643195
both,-0.01866819
order,-0.01867188
work,-0.018711356
comput,-0.0187157
introduc,-0.018725535
flow,-0.018733662
structur,-0.018734824
paramet,-0.018736318
group,-0.018742636
well,-0.018778967
relat,-0.018796733
when,-0.018804671
given,-0.018862005
deriv,-0.018895816
type,-0.01891487
high,-0.018924728
demonstr,-0.018928336
analysi,-0.018941808
all,-0.018944483
number,-0.018999703
local,-0.019047942
famili,-0.019049075
devel,-0.01905032
includ,-0.019082945
more,-0.019085627
field,-0.0190883
larg,-0.019108547
dimens,-0.019121882
limit,-0.019124521
compact,-0.019138018
net,-0.019139256
investig,-0.019162102
chaotic,-0.01916415
appli,-0.019166637
depend,-0.019166935
discret,-0.019173637
learn,-0.019174898
defin,-0.019184943
where,-0.019186823
term,-0.019212151
howev,-0.019255904
ani,-0.01926224
bound,-0.019275732
mani,-0.019297019
onli,-0.01930046
been,-0.019306196
algo,-0.019313214
control,-0.019316139
analyt,-0.019320797
other,-0.019332364
approxim,-0.019338192
complex,-0.01933959
converg,-0.019354543
describ,-0.01935777
infinit,-0.019360889
find,-0.019369284
stabl,-0.019392973
compar,-0.019422386
observ,-0.019423865
illustr,-0.01943106
experi,-0.019482758
generat,-0.019483216
connect,-0.019485481
correspond,-0.019491652
action,-0.019506836
close,-0.019521996
recent,-0.019530555
form,-0.019534048
allow,-0.019534199
over,-0.019553762
while,-0.019569492
establish,-0.019571496
perturb,-0.019578123
each,-0.019578755
associ,-0.019580724
entropi,-0.019596538
extend,-0.019599522
known,-0.019601762
proof,-0.019609874
estim,-0.019610781
suffici,-0.019613056
than,-0.019624265
simul,-0.019630024
inform,-0.019632049
improv,-0.019638032
behavior,-0.019643541
valu,-0.019650133
sever,-0.019651111
discuss,-0.019662537
optim,-0.019665075
e,-0.019671237
dataset,-0.019697055
certain,-0.019704552
fix,-0.019721957
integr,-0.01972335
determin,-0.019730145
how,-0.019731754
posit,-0.019733522
call,-0.019736364
signific,-0.019746697
achiev,-0.019748626
singular,-0.019749291
hamiltonian,-0.01976303
smooth,-0.019763492
global,-0.019779293
stochast,-0.019780358
framework,-0.019787267
hausdorff,-0.01979168
train,-0.019792125
distribut,-0.019794244
preserv,-0.019802993
homeomorph,-0.019803349
possibl,-0.019806992
diffeomorph,-0.019813472
vector,-0.019814292
effici,-0.01981848
through,-0.01982215
evalu,-0.019824442
subshift,-0.01982633
1,-0.01983539
anosov,-0.019836018
oper,-0.019837113
mathemat,-0.019846454
addit,-0.019851156
equilibrium,-0.01985349
trajectori,-0.019857844
three,-0.019875577
requir,-0.019890126
may,-0.019892981
direct,-0.019896515
whose,-0.01989765
design,-0.019904425
task,-0.0199143
here,-0.019915773
polynomi,-0.019922225
character,-0.019933578
homoclin,-0.019935174
algebra,-0.01993905
techniqu,-0.01993916
interact,-0.019944705
potenti,-0.019947842
main,-0.01996383
predict,-0.019969305
classic,-0.019973991
natur,-0.019977864
challeng,-0.019993668
energi,-0.019995935
most,-0.01999878
scale,-0.020007493
initi,-0.020010596
imag,-0.020014424
quantum,-0.020030182
specif,-0.02003113
admit,-0.020034201
novel,-0.020035181
exponenti,-0.020035695
2,-0.020038262
reduc,-0.020038912
due,-0.020039026
uniqu,-0.020046487
real,-0.020053025
zero,-0.02005629
ordinari,-0.020058155
final,-0.020060038
transform,-0.020068264
i,-0.020068558
countabl,-0.020071244
previous,-0.020071972
import,-0.02007443
boundari,-0.020079084
respect,-0.020088976
increas,-0.020090891
random,-0.020094484
geometr,-0.020102944
ode,-0.0201051
featur,-0.020107156
explicit,-0.020111114
complet,-0.020112466
small,-0.020118441
lead,-0.02012316
reaction,-0.020129178
mechan,-0.020134235
theoret,-0.020143671
surfac,-0.020144597
multipl,-0.020150172
experiment,-0.020153208
second,-0.020161698
various,-0.020162921
notion,-0.020163815
partial,-0.02016728
rate,-0.02016931
simpl,-0.020170612
piecewis,-0.020177249
analyz,-0.020177675
shown,-0.020181255
torus,-0.020181533
art,-0.020202389
low,-0.020203676
assumpt,-0.020204937
regular,-0.020216282
singl,-0.02022702
combin,-0.020236144
mean,-0.020239081
aris,-0.020241482
coupl,-0.020241667
consist,-0.02024308
uniform,-0.020245962
level,-0.020253025
make,-0.020253824
foliat,-0.020257944
transit,-0.0202648
expon,-0.020277947
detect,-0.020278689
iter,-0.020282209
solv,-0.020285139
phase,-0.020285334
oscil,-0.020302238
delay,-0.020308843
strong,-0.020311262
moreov,-0.020315653
unstabl,-0.020325843
via,-0.020332478
within,-0.020333482
so,-0.020334015
test,-0.02033845
identifi,-0.020339316
cycl,-0.020341177
everi,-0.020344047
same,-0.020344112
physic,-0.020346077
exhibit,-0.0203506
similar,-0.020354528
current,-0.020358253
focus,-0.020360533
satisfi,-0.020363094
conjugaci,-0.020369215
motion,-0.020375779
interest,-0.020380791
articl,-0.020383656
probabl,-0.020387989
further,-0.020393545
rang,-0.02039485
without,-0.020395275
research,-0.020398343
even,-0.020399684
circl,-0.02040653
degre,-0.020407524
geodes,-0.0204083
weak,-0.020409556
origin,-0.020410644
g,-0.020410996
extens,-0.020413792
about,-0.020415971
object,-0.020421537
govern,-0.02042401
way,-0.020424759
like,-0.02042768
multi,-0.02042962
3,-0.020432072
implement,-0.020436162
billiard,-0.020441325
address,-0.020443233
power,-0.020447249
ration,-0.020448288
chang,-0.020448562
electron,-0.020449016
normal,-0.020450614
curv,-0.020450972
part,-0.020451616
represent,-0.020452222
variabl,-0.020452907
neural,-0.020453231
understand,-0.020454053
chao,-0.020454999
almost,-0.020457638
product,-0.020464696
out,-0.020465808
involv,-0.020469803
equival,-0.020475665
sampl,-0.020475868
full,-0.020478826
evolut,-0.02048384
graph,-0.020483842
contain,-0.020484459
hopf,-0.020488696
up,-0.020492554
mix,-0.02049449
open,-0.020496223
diffus,-0.020498628
matrix,-0.020503812
sourc,-0.020503841
explor,-0.020504225
forc,-0.020519309
user,-0.020519855
standard,-0.020522103
domain,-0.020522559
interv,-0.020522712
averag,-0.020524135
avail,-0.020529417
equilibria,-0.020529743
sequenc,-0.020532591
poincar,-0.020532638
enhanc,-0.020532776
n,-0.020536711
critic,-0.020537231
minim,-0.02053978
accuraci,-0.020540196
recurr,-0.020540515
near,-0.020542437
enabl,-0.02054912
compon,-0.020550808
veri,-0.020551937
long,-0.020553831
deep,-0.020553954
densiti,-0.020559013
them,-0.020566251
calcul,-0.020568004
lower,-0.020569667
assum,-0.020570457
nois,-0.020570599
higher,-0.020574601
thus,-0.020577813
conjug,-0.02057951
classif,-0.020581074
temperatur,-0.020582812
reduct,-0.020583449
determinist,-0.020584056
ruell,-0.020584617
planar,-0.020585392
tool,-0.02058559
need,-0.020587794
found,-0.020588519
transfer,-0.02058959
saddl,-0.020590222
lorenz,-0.020601429
metric,-0.020601539
affin,-0.02060714
formula,-0.020607265
suitabl,-0.020607807
birkhoff,-0.020610563
formul,-0.020614378
stationari,-0.020614883
aim,-0.020617833
languag,-0.020618867
free,-0.020619132
sens,-0.020619262
autonom,-0.020624166
error,-0.020625154
robust,-0.020626457
size,-0.020627532
amen,-0.020634789
special,-0.020637438
wide,-0.020641323
julia,-0.020641487
detail,-0.020646833
independ,-0.020648848
step,-0.020649754
equal,-0.020651827
arbitrari,-0.020651896
induc,-0.020654602
us,-0.020655546
support,-0.02065656
meromorph,-0.02065705
decomposit,-0.02065749
region,-0.02065926
furthermor,-0.020661801
version,-0.020665381
necessari,-0.02066876
either,-0.020670842
optic,-0.020671654
frequenc,-0.020672213
constant,-0.02067259
impli,-0.020673862
fundament,-0.020674396
common,-0.020675547
guarante,-0.020680424
follow,-0.020680867
variat,-0.020680994
self,-0.020681925
code,-0.020683223
respons,-0.020683518
magnet,-0.020685013
precis,-0.020685574
correl,-0.020686625
driven,-0.020688117
scheme,-0.02068831
doe,-0.020688843
those,-0.020690065
machin,-0.020690631
do,-0.020693518
markov,-0.020694701
expans,-0.020695105
qualiti,-0.0206963
statist,-0.020697156
context,-0.020697454
rotat,-0.020698452
valid,-0.020699644
repres,-0.020701397
outperform,-0.020702276
question,-0.020703059
express,-0.020703584
exact,-0.020704173
restrict,-0.020706872
strategi,-0.020707162
util,-0.02070916
better,-0.020709593
occur,-0.020710427
take,-0.020714173
wave,-0.020715656
suggest,-0.02071583
along,-0.020718746
bowen,-0.02071882
growth,-0.020720527
holomorph,-0.020721648
often,-0.020723034
automorph,-0.020726033
tori,-0.020726426
practic,-0.020727145
fractal,-0.020728957
input,-0.020729225
aperiod,-0.020732393
spatial,-0.020732973
conjectur,-0.020736795
diophantin,-0.020737274
across,-0.020738471
conduct,-0.020742588
