Term,Mitigated Information
space,-0.0006783387
we,-0.0021459118
oper,-0.00408745
banach,-0.004950431
func,-0.006917842
prove,-0.007155951
hilbert,-0.007274258
theorem,-0.007513184
result,-0.007767487
model,-0.007928615
use,-0.0080878865
general,-0.0081019765
paper,-0.008157909
which,-0.008320705
inequ,-0.008342811
from,-0.008698465
norm,-0.008717867
some,-0.008940508
can,-0.009069792
also,-0.009112336
show,-0.009228447
studi,-0.009280099
bound,-0.009337193
our,-0.009375591
propos,-0.009394257
compact,-0.009557841
properti,-0.009587597
give,-0.009627203
base,-0.009704048
perform,-0.00972759
set,-0.009792342
character,-0.009817325
method,-0.009975577
data,-0.009999539
condit,-0.010026862
type,-0.010046816
two,-0.010083798
effect,-0.010100542
present,-0.010119906
class,-0.010135159
given,-0.0101382425
system,-0.01014265
obtain,-0.0102002695
algebra,-0.010226667
have,-0.010289807
case,-0.010290767
provid,-0.010299308
problem,-0.010311036
applic,-0.010320978
new,-0.010326795
theori,-0.010330368
high,-0.010383384
time,-0.010406537
one,-0.010411117
continu,-0.010413412
state,-0.010464528
introduc,-0.010475284
approach,-0.010490341
sobolev,-0.010500378
has,-0.010505945
between,-0.010509273
establish,-0.010563001
convex,-0.0105637815
s,-0.010565457
defin,-0.010571504
differ,-0.010578888
linear,-0.010652009
demonstr,-0.010653325
finit,-0.010692121
learn,-0.010698724
valu,-0.0107129915
relat,-0.010729522
proc,-0.010733462
it,-0.010747392
howev,-0.010766906
semigroup,-0.010780886
net,-0.010800472
lipschitz,-0.010807301
consid,-0.010817517
extend,-0.010818783
both,-0.0108218035
exampl,-0.010833946
classic,-0.010859415
first,-0.01086599
work,-0.010868948
exist,-0.010874251
experi,-0.010876325
non,-0.010893147
besov,-0.010897418
compar,-0.010906266
notion,-0.010909463
hardi,-0.010929576
particular,-0.010932239
group,-0.0109382
vector,-0.010951693
commut,-0.010955734
simul,-0.010958209
comput,-0.010960739
measur,-0.0109624425
well,-0.010972986
larg,-0.010973664
algo,-0.010977552
order,-0.010980028
dimension,-0.01098514
observ,-0.011009688
integr,-0.011011108
construct,-0.011018864
field,-0.01102293
equat,-0.011024157
certain,-0.011026998
point,-0.011031002
more,-0.011031851
proof,-0.011033421
investig,-0.011037128
while,-0.01105237
signific,-0.011082895
train,-0.011088038
recent,-0.011093445
solut,-0.011093499
when,-0.0110958535
been,-0.011101656
predict,-0.011103367
devel,-0.011107037
under,-0.011108022
dataset,-0.011110844
bounded,-0.011111187
version,-0.011115295
