Term,Mitigated Information
group,0.016677216
subgroup,0.0010489565
finit,-0.001202212
we,-0.0013704206
prove,-0.00504347
model,-0.005674877
algebra,-0.005760448
use,-0.0062149316
automorph,-0.0062484653
which,-0.0064057144
give,-0.0065165632
show,-0.0065617124
hyperbol,-0.006638874
from,-0.0067268964
nilpot,-0.006727002
result,-0.0067686113
class,-0.0067722886
abelian,-0.006811814
can,-0.006921242
propos,-0.00695863
conjugaci,-0.007150292
paper,-0.0071720644
generat,-0.007180418
general,-0.0071979663
our,-0.0072279517
base,-0.0073287897
data,-0.007361619
also,-0.0073962677
free,-0.007426191
studi,-0.0074262833
perform,-0.0074595427
theorem,-0.0074736713
method,-0.0075189453
coxet,-0.007602294
g,-0.0076191863
construct,-0.0076254085
infinit,-0.0076390267
two,-0.007645416
effect,-0.0076790657
everi,-0.0076936088
present,-0.0077317813
product,-0.007768969
system,-0.007801055
2,-0.0078031467
has,-0.007825216
properti,-0.007830874
have,-0.007843448
s,-0.007857671
demonstr,-0.007868858
it,-0.0078693805
time,-0.007876681
approach,-0.00787916
state,-0.007898588
exampl,-0.007946436
relat,-0.007947104
action,-0.007947429
non,-0.007956451
some,-0.007969117
space,-0.007981988
set,-0.007999353
theori,-0.008011495
isomorph,-0.008013301
learn,-0.008015851
differ,-0.008045103
conjectur,-0.008046854
high,-0.008049938
net,-0.00805004
one,-0.008062892
provid,-0.008076925
rank,-0.008088549
let,-0.008096872
proof,-0.008097489
act,-0.008104356
problem,-0.008104501
between,-0.008111104
element,-0.008139297
proc,-0.0081432015
quotient,-0.008162428
all,-0.00816914
cohomolog,-0.008171125
semigroup,-0.008184065
structur,-0.008199059
case,-0.008217447
certain,-0.008230062
introduc,-0.008231117
simul,-0.008232588
given,-0.008253241
both,-0.008255283
map,-0.008271196
experi,-0.008272253
new,-0.008272509
compar,-0.008281807
number,-0.008290312
commut,-0.0082973605
howev,-0.008298771
observ,-0.008308042
lie,-0.0083249835
cat,-0.008334051
cyclic,-0.008337746
while,-0.008353109
achiev,-0.008357644
work,-0.008361591
func,-0.008371608
solvabl,-0.008382079
contain,-0.008382136
gromov,-0.008382163
ani,-0.0083891135
order,-0.008391092
close,-0.008407089
over,-0.008417567
applic,-0.008422178
challeng,-0.008427266
comput,-0.008427295
p,-0.008433183
obtain,-0.0084386775
first,-0.008443755
optim,-0.008445976
particular,-0.008449986
train,-0.008449992
field,-0.008454679
defin,-0.0084550055
larg,-0.008455408
dataset,-0.00846307
countabl,-0.008465272
energi,-0.008470782
more,-0.008475576
connect,-0.008478884
invari,-0.0084790485
algo,-0.008486179
braid,-0.008487183
well,-0.008487316
been,-0.008499654
design,-0.008505086
signific,-0.008512121
isometri,-0.008517068
when,-0.008517348
type,-0.008520391
task,-0.008521339
inform,-0.008523359
3,-0.008525267
compact,-0.008530557
torsion,-0.008531409
simpl,-0.0085332645
virtual,-0.00853432
devel,-0.00854238
profinit,-0.008544657
paramet,-0.008545655
evalu,-0.008550173
amen,-0.008553793
experiment,-0.008556292
irreduc,-0.008559868
find,-0.008560799
complet,-0.008563665
predict,-0.008570752
dynam,-0.008572545
distribut,-0.008574096
improv,-0.008578753
exist,-0.008580167
onli,-0.008581661
word,-0.008586236
1,-0.008587218
famili,-0.008587808
effici,-0.008591268
admit,-0.00859599
complex,-0.008596872
linear,-0.008608375
consid,-0.008609823
interact,-0.008613348
other,-0.008615294
analysi,-0.008621227
cocompact,-0.008624336
framework,-0.008624836
artin,-0.008625946
featur,-0.008626059
recent,-0.008627164
novel,-0.008632593
dehn,-0.008637676
measur,-0.0086431075
known,-0.008645491
term,-0.008649186
index,-0.008651083
under,-0.008651502
through,-0.00865702
represent,-0.008668565
where,-0.008672584
graph,-0.008675695
depend,-0.008678193
limit,-0.0086809015
than,-0.008682549
local,-0.008685298
increas,-0.008685614
potenti,-0.00868597
tit,-0.008686668
includ,-0.008694787
requir,-0.008695525
equival,-0.008703126
n,-0.008706795
phase,-0.00870812
permut,-0.008708503
investig,-0.008722726
topolog,-0.008726844
garsid,-0.00872734
current,-0.00872907
physic,-0.00872964
describ,-0.008732945
scale,-0.008737668
numer,-0.008739604
cayley,-0.008741363
articl,-0.008741468
condit,-0.0087426575
bound,-0.008755816
associ,-0.008759064
question,-0.008760327
appli,-0.008766285
natur,-0.008766362
mani,-0.008767051
detect,-0.008768581
solut,-0.008769768
classif,-0.008775741
ring,-0.008777426
corollari,-0.008781404
correspond,-0.008782511
extens,-0.008783469
low,-0.008784419
quasi,-0.008787786
manifold,-0.008788667
point,-0.008789076
quantum,-0.008791226
notion,-0.008792054
addit,-0.008794469
allow,-0.008795402
each,-0.008795556
normal,-0.008795688
burnsid,-0.008795909
root,-0.008796665
extend,-0.008797462
art,-0.008798229
test,-0.008800108
estim,-0.008802865
most,-0.008806727
cube,-0.008807892
due,-0.008812122
acylindr,-0.008813158
note,-0.00881426
techniqu,-0.008815279
level,-0.008816369
left,-0.008817467
mechan,-0.008822789
geometr,-0.008824551
discuss,-0.008827026
multi,-0.008827773
imag,-0.008828986
isometr,-0.008830556
specif,-0.008831765
neural,-0.008836121
how,-0.008836943
homeomorph,-0.008839353
call,-0.008840855
main,-0.008841217
prime,-0.008842612
tree,-0.008844111
automaton,-0.008846887
direct,-0.008847458
avail,-0.008849114
rang,-0.00884952
deriv,-0.008854453
dimension,-0.008854677
baumslag,-0.008855279
solitar,-0.008855279
sever,-0.008856237
singl,-0.00885981
unipot,-0.008860913
implement,-0.00886179
consequ,-0.0088674035
lead,-0.008869035
accuraci,-0.008869703
import,-0.008870018
form,-0.0088702
whose,-0.008872131
real,-0.008878125
sampl,-0.008878703
address,-0.008881822
make,-0.008882149
character,-0.0088828
determin,-0.008885456
consist,-0.00888639
e,-0.008887271
coset,-0.008892425
coupl,-0.008892495
control,-0.008892875
surfac,-0.008894266
arithmet,-0.008897769
respect,-0.008899098
monoid,-0.008900152
equat,-0.008902419
within,-0.008903417
0,-0.00890442
correl,-0.008905849
here,-0.008906457
f,-0.008906635
follow,-0.00890668
h,-0.008909013
amalgam,-0.008910814
possibl,-0.008911238
three,-0.008912651
answer,-0.008914312
may,-0.008918535
semisimpl,-0.008920968
similar,-0.008922407
homolog,-0.0089231655
util,-0.008923178
various,-0.008926644
oper,-0.008926714
author,-0.008927447
way,-0.008928888
enabl,-0.008933767
satisfi,-0.008934508
quasiconvex,-0.008936647
second,-0.00893691
thompson,-0.008936995
combin,-0.008937824
length,-0.008938334
often,-0.008939489
sidki,-0.008942574
research,-0.00894292
c,-0.008944295
deep,-0.008945138
valu,-0.008945255
previous,-0.008949574
enhanc,-0.0089499485
groupoid,-0.008952949
transfer,-0.008955419
conjug,-0.008956501
classic,-0.008956968
sourc,-0.008957694
lattic,-0.008957769
boundari,-0.008959077
electron,-0.008960664
without,-0.008965704
theoret,-0.008967183
temperatur,-0.008968279
i,-0.008969952
twist,-0.0089710085
fundament,-0.008971145
discret,-0.008972036
wreath,-0.008972367
power,-0.008972871
rate,-0.008973278
regular,-0.0089739375
integr,-0.008974755
magnet,-0.008974997
multipl,-0.008975084
user,-0.008976915
strong,-0.0089777885
dimens,-0.008978171
further,-0.008978624
about,-0.008979546
explicit,-0.0089818295
final,-0.008982367
densiti,-0.008983128
deduc,-0.008983187
scenario,-0.0089832675
sylow,-0.008983893
metabelian,-0.008984127
reduc,-0.008984984
approxim,-0.008985451
wide,-0.008987099
conduct,-0.008987107
wave,-0.008988474
object,-0.008991188
involut,-0.008991252
k,-0.008997954
identifi,-0.008998582
outperform,-0.008999056
suffici,-0.008999071
spatial,-0.009000271
focus,-0.009002376
homomorph,-0.009003009
shown,-0.00900582
endomorph,-0.009005884
like,-0.009006074
maxim,-0.009008163
ration,-0.009009131
particl,-0.00901106
qualiti,-0.009013607
select,-0.009014442
behavior,-0.009014498
analyz,-0.009014866
same,-0.009014869
proper,-0.009015593
understand,-0.009016522
least,-0.009017501
statist,-0.00901754
out,-0.009018135
geometri,-0.009019718
robust,-0.009021695
accur,-0.009022241
bowditch,-0.009025009
mean,-0.009025336
them,-0.009025728
elementari,-0.009027641
monster,-0.009027808
better,-0.0090295095
cubul,-0.009029764
special,-0.009030087
benchmark,-0.009030643
error,-0.009031501
up,-0.00903193
optic,-0.0090340525
need,-0.009034326
human,-0.009035251
symmetr,-0.009035309
central,-0.009035339
evolut,-0.009035738
light,-0.009036567
chang,-0.009036672
architectur,-0.009038251
across,-0.0090393685
critic,-0.009039674
subset,-0.0090415925
region,-0.009041824
analogu,-0.009043292
explor,-0.009043516
combinatori,-0.009045885
found,-0.00904725
so,-0.00904741
establish,-0.009048871
random,-0.009050219
generalis,-0.009050916
hnn,-0.009051335
signal,-0.0090527795
valid,-0.009055529
domain,-0.009056179
nonabelian,-0.009056727
frequenc,-0.009057914
long,-0.009058823
even,-0.009058954
invers,-0.009059093
open,-0.009060702
world,-0.009060732
small,-0.009060904
fix,-0.009061776
report,-0.009061843
calcul,-0.009062049
machin,-0.009062249
code,-0.009063674
charact,-0.009063733
reveal,-0.009064097
capabl,-0.009065683
dure,-0.009065919
posit,-0.009068308
strategi,-0.009068663
semidirect,-0.009071409
counterexampl,-0.009071674
arbitrari,-0.009072338
size,-0.009072833
suggest,-0.009073599
aris,-0.0090736095
practic,-0.009073897
becom,-0.009074794
activ,-0.0090752505
solv,-0.009076298
analyt,-0.009076959
averag,-0.009077521
synt,-0.009078061
ivanov,-0.009079623
interest,-0.009080324
mass,-0.009080402
uniform,-0.009081265
moreov,-0.009081328
veri,-0.009081412
standard,-0.0090816235
nois,-0.0090830205
m,-0.0090831565
protocol,-0.0090836575
success,-0.009084345
issu,-0.009085171
transform,-0.009085996
lemma,-0.009087126
mode,-0.0090874955
analog,-0.009088345
pair,-0.009088422
cover,-0.009088778
leverag,-0.009089436
environ,-0.009089507
moufang,-0.009090155
input,-0.009090949
simplici,-0.009092217
anosov,-0.009094719
integ,-0.0090953745
growth,-0.009095638
criterion,-0.00909702
chevalley,-0.009098891
decomposit,-0.009101342
languag,-0.009103192
factor,-0.009103694
trivial,-0.009106171
via,-0.009107399
knowledg,-0.009107587
continu,-0.009108809
asymptot,-0.009109259
curv,-0.009110924
scheme,-0.009111057
descript,-0.009111847
respons,-0.009113434
thus,-0.009114355
preserv,-0.009114562
minim,-0.009114981
alperin,-0.009117192
grigorchuk,-0.009117192
aim,-0.009117195
presenc,-0.009117383
were,-0.009118516
those,-0.009119196
faith,-0.009120968
adapt,-0.009121705
promis,-0.009121932
morita,-0.00912242
quandl,-0.009122424
variabl,-0.009122517
employ,-0.009122904
partial,-0.009124297
characterist,-0.009125475
communic,-0.009125962
transit,-0.009126359
right,-0.009126878
polynomi,-0.009127902
metric,-0.009129093
technolog,-0.009129462
futur,-0.009129965
4,-0.009130377
driven,-0.009131542
spin,-0.009133485
residu,-0.009133829
cost,-0.009135703
context,-0.009136796
incorpor,-0.009137528
near,-0.009137685
impact,-0.009138466
infer,-0.009139544
sens,-0.009140301
do,-0.009140309
x,-0.009140772
caus,-0.009141237
loss,-0.009141699
higher,-0.009141793
captur,-0.009142213
version,-0.009142506
devic,-0.009143432
weak,-0.009144324
origin,-0.009144925
target,-0.009145949
univers,-0.0091461465
common,-0.009147528
format,-0.009147781
statement,-0.009148257
compon,-0.009148689
tool,-0.009148778
pattern,-0.009148792
extract,-0.009149574
produc,-0.009149623
w,-0.009150432
support,-0.009150665
abil,-0.00915123
key,-0.009153508
part,-0.00915362
contribut,-0.009153731
nonlinear,-0.009154813
repres,-0.00915509
stochast,-0.00915561
indic,-0.009157035
degre,-0.009157268
initi,-0.009157839
public,-0.00915792
resourc,-0.009158057
full,-0.0091604795
categori,-0.009161929
layer,-0.009162301
precis,-0.0091623785
survey,-0.009163288
constraint,-0.009164048
definit,-0.009164478
take,-0.009165123
emerg,-0.009165841
could,-0.009165879
furthermor,-0.009166378
variat,-0.009169981
individu,-0.009171324
abl,-0.009172518
b,-0.009173013
involv,-0.009173342
induc,-0.009173766
odd,-0.009174192
affect,-0.009175095
among,-0.00917732
independ,-0.009179305
sequenc,-0.009179914
geodes,-0.009180307
matter,-0.009180506
almost,-0.009180627
end,-0.009181173
tradit,-0.009182501
us,-0.00918296
moodi,-0.00918321
borel,-0.0091833575
expect,-0.009183958
matric,-0.009184142
influenc,-0.009184768
correct,-0.009185108
materi,-0.00918518
flow,-0.009185929
formula,-0.009185941
advanc,-0.009186365
fulli,-0.0091868695
doe,-0.009188056
express,-0.009188126
artifici,-0.009188472
modulo,-0.009188753
role,-0.009188842
transport,-0.009189507
detail,-0.009189532
collect,-0.009189741
gradient,-0.009189834
seri,-0.009189886
self,-0.0091899065
genus,-0.009189951
typic,-0.00919006
zero,-0.009190522
exhibit,-0.009190696
account,-0.009191055
project,-0.0091918055
best,-0.009193316
cluster,-0.009193366
offer,-0.009193787
unitari,-0.009193814
convent,-0.009194051
motion,-0.009194122
infin,-0.009194186
attent,-0.009194345
step,-0.0091945585
probabl,-0.009195262
output,-0.009195679
remain,-0.009195769
subsemigroup,-0.009196704
tempor,-0.009196829
tune,-0.009197157
punctur,-0.009197948
regim,-0.009197966
either,-0.009198498
event,-0.009198699
uncount,-0.009199389
global,-0.009199681
disconnect,-0.009200268
forc,-0.009200844
modul,-0.009201639
sensit,-0.009203334
formul,-0.009203569
griess,-0.009204339
higman,-0.009204339
malnorm,-0.009204339
quasimorph,-0.009204339
quasisimpl,-0.009204339
sageev,-0.009204339
saloff,-0.009204339
shalom,-0.009204339
brauer,-0.009204771
serr,-0.009204771
engin,-0.009204923
creat,-0.009204969
exploit,-0.009204969
pre,-0.009205523
differenti,-0.009205649
emb,-0.009205989
channel,-0.009206334
hypertext,-0.009206727
baselin,-0.009207733
therefor,-0.009207878
principl,-0.009209055
t,-0.009210561
weight,-0.009211221
vari,-0.009211383
altern,-0.009211467
combinator,-0.009211986
sphere,-0.009213251
cross,-0.009213938
help,-0.009213953
exact,-0.009213989
reson,-0.009214495
affin,-0.009214926
3d,-0.009215363
still,-0.009215457
empir,-0.009215872
restrict,-0.009215881
fact,-0.009217335
separ,-0.009217586
hold,-0.009217595
arxiv,-0.009218326
veloc,-0.00921874
excit,-0.009218788
relev,-0.009219282
pro,-0.009219728
surject,-0.009220346
atom,-0.009220788
uniqu,-0.009220964
converg,-0.009220987
strict,-0.009221153
io,-0.009221306
name,-0.009221327
mors,-0.009221446
5,-0.009221753
perturb,-0.009221864
mem,-0.0092221005
along,-0.00922212
explain,-0.009222588
although,-0.009223984
genet,-0.00922411
adopt,-0.009224915
kazhdan,-0.009224931
build,-0.009225131
diffus,-0.009225252
intens,-0.009225396
matrix,-0.009225593
appear,-0.009226258
walk,-0.009226445
ratio,-0.009227173
illustr,-0.009227187
lower,-0.009227238
reliabl,-0.0092274165
schur,-0.009228053
interpret,-0.009228236
advantag,-0.009229017
popul,-0.009229542
edg,-0.009229965
uncertainti,-0.009230213
electr,-0.009230515
resolut,-0.009230625
adic,-0.009231029
off,-0.009231162
supervis,-0.0092314035
turn,-0.009231662
polycycl,-0.009231866
schreier,-0.009232141
vector,-0.0092327185
concern,-0.009233467
thermal,-0.009233634
subalgebra,-0.009234251
convolut,-0.009234305
sinc,-0.009234335
rigid,-0.009234471
varieti,-0.0092354175
be,-0.009235449
insight,-0.009235574
equilibrium,-0.00923602
assess,-0.00923624
concept,-0.009236377
betti,-0.009236655
propag,-0.009236772
sela,-0.009236863
subnorm,-0.009236863
semilattic,-0.00923694
fine,-0.009237251
benefit,-0.009237361
access,-0.009238591
period,-0.009238952
appendix,-0.00923908
good,-0.009239089
github,-0.009239158
divers,-0.009239286
10,-0.009239981
line,-0.00924065
idempot,-0.009241003
polar,-0.009241036
cardin,-0.009241188
few,-0.009241633
psl,-0.009241672
acceler,-0.009241837
area,-0.009241978
total,-0.009242255
after,-0.009242631
against,-0.009242998
comparison,-0.009243119
four,-0.009243119
block,-0.009244332
crucial,-0.009244538
earlier,-0.009244902
year,-0.009245512
r,-0.009245731
charg,-0.009246377
exponenti,-0.009247138
reli,-0.009247225
lack,-0.00924723
decid,-0.009247375
search,-0.009248356
toward,-0.009248393
bodi,-0.0092495065
fast,-0.009249573
interfac,-0.009249627
strength,-0.009250056
share,-0.00925073
distanc,-0.00925077
dihedr,-0.009250961
q,-0.00925142
superior,-0.0092515005
short,-0.009251886
symmetri,-0.009252104
hole,-0.009252382
say,-0.009252633
biset,-0.009252686
bol,-0.009252686
jsj,-0.009252686
constant,-0.009252927
contrast,-0.009252927
intellig,-0.009253039
stabil,-0.009253415
locat,-0.009253481
zariski,-0.009254074
vertic,-0.009254335
fluctuat,-0.009254385
much,-0.009254512
visual,-0.009255008
coeffici,-0.009255096
program,-0.009255296
isoperimetr,-0.009255788
mackey,-0.0092567615
steinberg,-0.0092567615
j,-0.009257022
segment,-0.009257718
convex,-0.009259424
kac,-0.009259566
ident,-0.009259793
emiss,-0.00926036
examin,-0.009260362
poset,-0.009260373
gaussian,-0.009260465
gap,-0.009260875
semant,-0.009261239
spectrum,-0.0092617255
popular,-0.0092621595
simpli,-0.009262276
comprehens,-0.009262758
view,-0.009262889
less,-0.0092629595
band,-0.009262997
analys,-0.009263033
bass,-0.009263094
spectral,-0.009263277
metal,-0.009263581
cremona,-0.009264038
radiat,-0.00926446
momentum,-0.009264782
decis,-0.009264839
play,-0.009265005
rapid,-0.009265682
literatur,-0.009265806
ground,-0.009265827
becaus,-0.009266048
primit,-0.009266091
occur,-0.009266745
gain,-0.009266764
lusztig,-0.009266925
embed,-0.009267234
prior,-0.009267522
score,-0.009267546
maintain,-0.0092685325
shape,-0.009268729
label,-0.009268831
unit,-0.0092697255
l,-0.009269778
automata,-0.009269872
encod,-0.009270431
vision,-0.009271187
manag,-0.009271508
stor,-0.009271508
assumpt,-0.009272072
hard,-0.009272384
dualiti,-0.009272387
parabol,-0.009272469
accord,-0.009272542
canon,-0.009273022
scatter,-0.009273064
polici,-0.009273284
onlin,-0.009273605
fuchsian,-0.009273666
molecular,-0.009273712
realist,-0.009273712
photon,-0.009274023
yield,-0.009274177
configur,-0.009274635
d,-0.009274805
assum,-0.009275016
transmiss,-0.00927538
abov,-0.009275409
characteris,-0.009275712
basi,-0.009276303
latter,-0.009277072
basic,-0.009277181
made,-0.00927723
text,-0.009277526
essenti,-0.009277688
simultan,-0.009277926
star,-0.009278121
orbit,-0.009278547
maximum,-0.009278728
suitabl,-0.009278969
reason,-0.009279245
reconstruct,-0.009279504
reduct,-0.009279896
stabl,-0.009279957
great,-0.009280405
necessarili,-0.009281455
bias,-0.009281506
extern,-0.009282246
idea,-0.009282568
congruenc,-0.009283006
stabilis,-0.009283651
z,-0.009283682
cannot,-0.009283876
review,-0.009283939
necessari,-0.009284178
massiv,-0.009284813
his,-0.009284828
realiz,-0.009284961
major,-0.009285224
stage,-0.009285571
iter,-0.009285797
formal,-0.009285884
amplitud,-0.009285961
quantit,-0.009285974
hereditarili,-0.009286383
imprimit,-0.009286383
aspher,-0.009286469
gravit,-0.009286559
despit,-0.009286617
oscil,-0.009287035
circl,-0.009287078
domin,-0.009287151
goal,-0.0092872055
decay,-0.009287326
motiv,-0.0092873275
mod,-0.009287405
methodolog,-0.009287556
purpos,-0.009287844
facilit,-0.009287975
mobil,-0.009288198
usual,-0.009288371
refer,-0.009288786
path,-0.009288935
cone,-0.009288979
deploy,-0.009289001
euclidean,-0.009289119
whether,-0.009289238
around,-0.009289413
servic,-0.009289519
especi,-0.009289606
phenomena,-0.009289859
trajectori,-0.009289859
should,-0.009289924
overal,-0.00929011
bruhat,-0.009290297
planar,-0.00929035
law,-0.009290611
regress,-0.0092906235
carlo,-0.009290943
mont,-0.009291156
equal,-0.009291319
amount,-0.009291531
bieri,-0.009291553
bouc,-0.009291553
codistribut,-0.009291553
dehornoy,-0.009291553
geland,-0.009291553
gramlich,-0.009291553
kimmerl,-0.009291553
koberda,-0.009291553
krophol,-0.009291553
