Term,Mitigated Information
knot,0.0024587782
we,-0.0010667066
manifold,-0.0018025264
group,-0.0036345636
invari,-0.005400887
homolog,-0.0056111873
hyperbol,-0.0062858462
prove,-0.0064088674
3,-0.0066191554
surfac,-0.00700447
model,-0.0072110347
give,-0.0074235518
use,-0.0075542196
which,-0.007728147
show,-0.0077506946
link,-0.007901993
sphere,-0.00797207
from,-0.008206343
construct,-0.00822629
result,-0.008351299
topolog,-0.008423235
propos,-0.008433614
genus,-0.008454892
can,-0.008537751
heegaard,-0.008563533
close,-0.008572527
finit,-0.0085778665
paper,-0.008710176
space,-0.008766568
base,-0.008781033
also,-0.008796067
our,-0.008806923
method,-0.0089860875
conjectur,-0.009025058
torus,-0.009057562
floer,-0.0090750875
general,-0.009109018
perform,-0.009115868
khovanov,-0.009145368
orient,-0.009157322
polynomi,-0.009160924
defin,-0.009164786
system,-0.009167863
dehn,-0.009205793
data,-0.009234954
effect,-0.009245188
2,-0.00925095
class,-0.009289781
two,-0.009300257
studi,-0.009307541
map,-0.009316502
homotopi,-0.009370829
time,-0.00941509
thurston,-0.009446875
alexand,-0.009500242
subgroup,-0.009503857
relat,-0.00956827
braid,-0.00957166
surgeri,-0.009577157
approach,-0.009579075
theori,-0.00963803
one,-0.009640401
high,-0.009655938
present,-0.009663175
state,-0.009666241
have,-0.009667372
proc,-0.009698825
theorem,-0.009699298
learn,-0.009707289
s,-0.009709901
some,-0.009709918
homeomorph,-0.009711038
infinit,-0.009771053
demonstr,-0.009787664
differ,-0.009808002
anosov,-0.009815912
boundari,-0.009832146
between,-0.009842661
structur,-0.009842914
has,-0.009849324
net,-0.009857114
complex,-0.009867002
number,-0.009868776
ani,-0.0098907035
provid,-0.0098992335
non,-0.009900903
isotopi,-0.009906319
connect,-0.009911409
jone,-0.0099173365
seifert,-0.009951959
n,-0.009966812
experi,-0.009974969
kauffman,-0.009994745
obtain,-0.010017575
diffeomorph,-0.010017998
proof,-0.010020468
both,-0.010049986
diagram,-0.010053434
bound,-0.010055682
introduc,-0.010058901
new,-0.01007894
trivial,-0.010088094
punctur,-0.010098061
algebra,-0.010101369
problem,-0.010104718
howev,-0.010104772
admit,-0.010109097
exampl,-0.010110513
geodes,-0.010126458
it,-0.010136207
signific,-0.010137861
cobord,-0.010142212
geometr,-0.010142403
case,-0.010144831
quandl,-0.01014639
certain,-0.010155425
simul,-0.0101578375
compar,-0.010158838
func,-0.010163937
set,-0.010169901
first,-0.010185178
all,-0.010188695
design,-0.010200312
work,-0.010201825
optim,-0.010203702
observ,-0.0102104405
bundl,-0.010211419
applic,-0.010216752
twist,-0.01022005
comput,-0.010244738
contact,-0.010244956
type,-0.010245575
smooth,-0.010246906
properti,-0.010267538
unknot,-0.01026943
4,-0.010272424
while,-0.010273251
larg,-0.010285575
train,-0.010295877
algo,-0.010308614
skein,-0.0103110345
exist,-0.010313973
analysi,-0.010314264
1,-0.010322838
given,-0.010331607
inform,-0.010333283
achiev,-0.010335289
field,-0.010350793
curv,-0.010351047
more,-0.010353159
term,-0.01036458
well,-0.010365907
been,-0.010370343
distribut,-0.010370469
devel,-0.01037682
task,-0.010383038
onli,-0.010385042
everi,-0.010385605
dataset,-0.010387434
challeng,-0.01038966
teichm,-0.010390098
predict,-0.010394649
dynam,-0.010397459
famili,-0.010400074
whose,-0.010410113
effici,-0.010419305
mani,-0.010424661
fiber,-0.010426764
cohomolog,-0.010435574
energi,-0.010437694
novel,-0.01043926
consid,-0.010443861
improv,-0.010447754
interact,-0.010447787
circl,-0.010450179
find,-0.0104515385
equival,-0.010453066
under,-0.010454397
gromov,-0.010463315
when,-0.010465274
dimension,-0.010466604
particular,-0.0104688015
generat,-0.010480337
other,-0.010486654
compact,-0.010488081
experiment,-0.010499505
fundament,-0.010507565
recent,-0.010523934
triangul,-0.01052809
complet,-0.010532626
measur,-0.010533424
evalu,-0.0105364
framework,-0.01054204
turaev,-0.010542777
order,-0.010546445
witten,-0.010550447
m,-0.010552127
requir,-0.0105524445
paramet,-0.010558849
discuss,-0.010566461
version,-0.01057939
symplect,-0.0105808275
extend,-0.01058087
casson,-0.010581181
legendrian,-0.010582105
scale,-0.010583482
point,-0.010586385
geometri,-0.010587487
than,-0.0105897905
through,-0.010590467
where,-0.010593305
notion,-0.010594073
over,-0.010594202
limit,-0.010600689
associ,-0.0106009785
combinatori,-0.010603111
numer,-0.010606401
featur,-0.010607939
includ,-0.0106114065
solut,-0.010612119
formula,-0.010620498
determin,-0.010625458
foliat,-0.010626068
uller,-0.010628966
increas,-0.010634873
condit,-0.010643905
concord,-0.0106491055
potenti,-0.010652592
project,-0.010657044
art,-0.010661279
investig,-0.010666691
three,-0.010668229
depend,-0.0106693795
tangl,-0.010675269
graph,-0.010677184
cover,-0.010690019
call,-0.010690758
appli,-0.0106933955
local,-0.01069493
each,-0.010696867
known,-0.01070042
corollari,-0.010702956
low,-0.010704184
how,-0.010713351
natur,-0.01071536
describ,-0.010718958
phase,-0.010721844
neural,-0.010722392
allow,-0.010723905
automorph,-0.010727583
specif,-0.010727679
addit,-0.010730651
mechan,-0.01073858
classif,-0.010739073
test,-0.010742606
handlebodi,-0.010747633
simplici,-0.010750333
accuraci,-0.01075036
address,-0.010751643
seiberg,-0.010754857
homotop,-0.010758098
simpl,-0.010758873
correspond,-0.010758954
import,-0.010759633
form,-0.0107605215
current,-0.010765315
due,-0.010768233
torsion,-0.010770263
estim,-0.010772532
techniqu,-0.010773215
direct,-0.010773251
most,-0.010774006
coupl,-0.010778915
sever,-0.010791755
singular,-0.010792723
rang,-0.010796213
up,-0.010800567
euler,-0.010804068
imag,-0.010805087
research,-0.010809861
action,-0.010811172
reidemeist,-0.010812387
rate,-0.010813921
deriv,-0.010816232
g,-0.010819592
singl,-0.010822798
sourc,-0.010823911
implement,-0.010825252
isomorph,-0.010825512
real,-0.010827615
classic,-0.010829123
pretzel,-0.010830863
level,-0.0108341705
control,-0.010835263
trefoil,-0.010836649
transfer,-0.010837554
sampl,-0.010837734
represent,-0.0108395815
quantum,-0.010840251
physic,-0.010841083
