Term,Mitigated Information
mathemat,0.000707784
we,-0.00072856375
mathematician,-0.001389274
student,-0.0016608178
use,-0.0016986969
model,-0.0017436626
s,-0.0017638612
from,-0.0017850166
which,-0.001847387
note,-0.0018624314
articl,-0.0018881783
his,-0.0018965511
centuri,-0.0019093241
paper,-0.0019197345
result,-0.0019429895
can,-0.0019496791
proof,-0.0019886547
school,-0.0019928135
some,-0.001999494
our,-0.0020163655
present,-0.0020352683
discuss,-0.0020365878
show,-0.0020369482
number,-0.0020676786
theori,-0.002073965
have,-0.0020745285
theorem,-0.002087381
modern,-0.0020962448
base,-0.0021002446
studi,-0.0021038481
propos,-0.0021190187
devel,-0.0021361643
method,-0.0021415194
first,-0.0021428582
geometri,-0.00215398
perform,-0.002171901
also,-0.0021744822
two,-0.0021760636
how,-0.0021789141
it,-0.002179965
algebra,-0.0021831882
one,-0.0021869545
system,-0.0021885177
histori,-0.0021907005
problem,-0.0021924223
work,-0.002194451
scienc,-0.0022107223
data,-0.0022149812
univers,-0.0022159205
elementari,-0.0022224023
provid,-0.0022301525
differ,-0.0022322563
effect,-0.0022377006
between,-0.0022395088
net,-0.0022410606
histor,-0.0022435428
state,-0.002244912
educ,-0.0022459102
approach,-0.0022503734
triangl,-0.0022523068
has,-0.0022534267
give,-0.0022555292
time,-0.0022568298
demonstr,-0.0022584735
well,-0.0022782835
analysi,-0.0022801654
publish,-0.0022825045
part,-0.002285326
concept,-0.0022877748
general,-0.0022902635
do,-0.0022903418
new,-0.00229383
point,-0.0022973295
optim,-0.0022978322
larg,-0.0022995248
were,-0.0023041845
proc,-0.0023042073
what,-0.0023048625
year,-0.002307216
familiar,-0.0023090013
author,-0.0023096332
more,-0.0023112542
most,-0.0023202638
high,-0.0023242598
own,-0.0023252894
follow,-0.0023294191
both,-0.0023306203
func,-0.0023373489
i,-0.002339041
circl,-0.002339151
train,-0.0023398935
predict,-0.0023433478
comput,-0.0023446719
given,-0.0023451932
three,-0.0023478756
about,-0.002352584
been,-0.0023543683
learn,-0.0023557008
effici,-0.0023559977
improv,-0.0023569616
howev,-0.0023608692
onli,-0.0023612147
appear,-0.0023615896
experi,-0.002361695
scale,-0.0023623493
algo,-0.0023625712
compar,-0.0023625991
survey,-0.002364716
relat,-0.0023656946
particular,-0.002367839
engin,-0.0023684984
applic,-0.0023706437
teach,-0.002372202
known,-0.00237309
question,-0.0023737766
field,-0.002374042
ematiqu,-0.0023743608
book,-0.0023748917
logic,-0.0023749876
calculus,-0.002375331
idea,-0.0023772886
set,-0.002377446
construct,-0.0023777848
math,-0.0023782565
order,-0.0023784991
natur,-0.0023810852
shall,-0.0023813127
ancient,-0.0023814156
sever,-0.002382345
aspect,-0.0023848694
structur,-0.0023849616
includ,-0.002385072
generat,-0.002387157
consid,-0.0023885467
simul,-0.0023890305
energi,-0.0023901586
exist,-0.0023903162
observ,-0.0023908312
distribut,-0.0023931453
inform,-0.0023944187
when,-0.0023948627
case,-0.0023955745
import,-0.0023968706
dynam,-0.0023974704
academ,-0.0023978795
paramet,-0.0023982583
20th,-0.0023988772
introduc,-0.002398893
non,-0.0023990266
find,-0.0023992686
potenti,-0.0024007733
fundament,-0.002401148
through,-0.0024043608
dataset,-0.0024046837
origin,-0.0024050537
19th,-0.0024055387
limit,-0.002405935
philosophi,-0.0024064588
view,-0.0024070742
than,-0.0024070875
all,-0.0024072751
begin,-0.0024081976
while,-0.0024082873
prove,-0.002409475
seem,-0.002409788
obtain,-0.0024099064
exampl,-0.0024102177
possibl,-0.0024111907
undergradu,-0.002411307
measur,-0.002411505
confer,-0.0024117623
