Term,Mitigated Information
algebra,0.0012706107
cohomolog,0.0006016472
homolog,5.7333615E-05
k,-0.0003401998
we,-0.00035281247
theori,-0.0005397306
group,-0.00081256323
categori,-0.0014004149
hochschild,-0.0014423863
prove,-0.001557827
finit,-0.0017789005
conn,-0.0018189612
theorem,-0.0019971118
ring,-0.0020001347
give,-0.0020281777
grothendieck,-0.0020375708
construct,-0.002066979
model,-0.002098543
conjectur,-0.0021369006
homotopi,-0.002144505
use,-0.002188783
equivari,-0.0022101616
over,-0.0022220747
show,-0.002252029
which,-0.0022847583
kk,-0.002291475
kasparov,-0.0023146877
commut,-0.002330623
topolog,-0.0023627877
from,-0.0023635188
isomorph,-0.002379535
equival,-0.0023813583
result,-0.0024063634
s,-0.0024076994
propos,-0.0024215905
can,-0.0024504885
modul,-0.0024753981
class,-0.0024799998
general,-0.0024913708
perform,-0.0025096354
twist,-0.0025328505
our,-0.0025457663
method,-0.0025460795
paper,-0.0025678845
time,-0.002590388
cyclic,-0.0025917473
etal,-0.002595636
index,-0.0025972654
system,-0.0025991586
effect,-0.0025995886
proof,-0.002607434
defin,-0.002613244
also,-0.0026171547
base,-0.0026288747
manifold,-0.0026362257
baum,-0.0026555534
smooth,-0.0026604547
associ,-0.0026634873
space,-0.0026645213
product,-0.0026647663
map,-0.0026801873
sequenc,-0.0026917118
c,-0.0026940163
studi,-0.002700589
motiv,-0.0027077273
complex,-0.0027128106
data,-0.002718822
chern,-0.0027336965
demonstr,-0.002742322
func,-0.002742929
two,-0.002749206
monoid,-0.0027499215
state,-0.0027520666
grade,-0.002757464
learn,-0.0027664173
differ,-0.0027710553
present,-0.0027739976
between,-0.0027742237
high,-0.0027776202
approach,-0.002781793
oper,-0.0027821294
proc,-0.002786094
lie,-0.002787984
have,-0.0027887896
dualiti,-0.0027925712
tate,-0.0027946916
bott,-0.0028024684
noncommut,-0.0028152897
morphism,-0.0028176657
net,-0.002819789
bundl,-0.0028247784
relat,-0.0028296509
trivial,-0.0028381469
one,-0.0028398023
local,-0.0028419727
comput,-0.0028425017
algo,-0.002843167
applic,-0.0028441953
chow,-0.0028455423
version,-0.0028509574
while,-0.0028561666
has,-0.0028570683
provid,-0.0028571936
field,-0.0028580881
howev,-0.0028583629
experi,-0.0028601247
subcategori,-0.0028695448
case,-0.0028726065
coeffici,-0.0028769409
term,-0.002876969
improv,-0.0028819856
invari,-0.0028837118
introduc,-0.002888257
notion,-0.0028895861
problem,-0.0028903103
it,-0.0028909764
triangul,-0.0028914793
quillen,-0.0028948593
some,-0.0028990856
simul,-0.0028999322
optim,-0.002901529
both,-0.0029028151
varieti,-0.0029046824
serr,-0.0029132674
witt,-0.0029132674
waldhausen,-0.0029143628
abelian,-0.0029144362
operad,-0.0029268926
segal,-0.0029319935
structur,-0.0029357306
new,-0.0029359625
exampl,-0.0029375313
observ,-0.0029388077
solut,-0.0029402042
compact,-0.0029416983
particular,-0.0029444885
properti,-0.0029452492
design,-0.0029459142
find,-0.0029461137
work,-0.0029466865
compar,-0.0029497687
voevodski,-0.002950039
limit,-0.0029542316
train,-0.0029544183
dynam,-0.0029561354
under,-0.0029578262
signific,-0.002957871
stabl,-0.0029588083
action,-0.0029605534
atiyah,-0.0029610037
non,-0.002961281
energi,-0.002962016
roe,-0.0029627779
larg,-0.00296278
project,-0.002963015
more,-0.0029639837
analogu,-0.002965222
effici,-0.0029660265
author,-0.0029678447
challeng,-0.0029688394
achiev,-0.0029706198
let,-0.00297374
inform,-0.0029751484
first,-0.0029764355
measur,-0.0029771992
formula,-0.00297951
task,-0.002980087
distribut,-0.002981076
dataset,-0.002981361
hopf,-0.0029821182
exact,-0.0029851985
kato,-0.0029862218
been,-0.002988344
obtain,-0.0029891692
rham,-0.0029897904
cuntz,-0.002991106
increas,-0.0029926412
consid,-0.002992691
well,-0.002992867
main,-0.0029933297
set,-0.0029954563
through,-0.0029982906
estim,-0.0029987264
represent,-0.0030020732
deriv,-0.0030038694
admit,-0.003003991
subgroup,-0.0030062047
than,-0.0030102956
devel,-0.0030116476
appli,-0.0030131564
experiment,-0.0030144067
low,-0.0030153145
paramet,-0.0030163745
lott,-0.0030168172
depend,-0.0030174647
spectrum,-0.0030187133
analysi,-0.003019612
novel,-0.0030196975
exist,-0.0030197941
potenti,-0.0030232887
when,-0.003024102
requir,-0.0030243136
other,-0.0030285988
scale,-0.0030297944
julg,-0.0030299753
generat,-0.0030302766
integ,-0.0030307367
cocycl,-0.003031022
koszul,-0.00303142
g,-0.003033991
geometr,-0.0030341092
predict,-0.0030346487
higher,-0.0030349172
vector,-0.003034941
scheme,-0.0030366085
establish,-0.0030376497
certain,-0.0030379444
explicit,-0.0030383533
deform,-0.0030394173
investig,-0.0030413566
vietori,-0.003043209
all,-0.0030435014
geometri,-0.0030447324
simplici,-0.0030449538
recent,-0.00304507
charact,-0.003045125
order,-0.0030461387
form,-0.0030469783
2,-0.0030470083
dimension,-0.0030472092
onli,-0.0030472274
adic,-0.0030486467
interact,-0.0030492463
evalu,-0.003049702
complet,-0.0030511578
quotient,-0.003052726
includ,-0.0030537653
mechan,-0.003054321
physic,-0.0030551492
test,-0.00305568
where,-0.0030565285
roch,-0.0030583723
consequ,-0.0030584359
type,-0.0030590906
ani,-0.0030608578
describ,-0.003061083
given,-0.0030613951
final,-0.003061587
number,-0.003062205
karoubi,-0.003062361
featur,-0.003063701
numer,-0.0030699263
beilinson,-0.003071459
sullivan,-0.003074698
p,-0.0030761394
differenti,-0.0030762027
cup,-0.0030765375
noetherian,-0.0030765375
filtrat,-0.00307662
multi,-0.0030772206
rate,-0.0030777818
weil,-0.0030778088
higson,-0.0030784777
moscovici,-0.0030784777
riemann,-0.0030787361
hilbert,-0.0030793808
spectral,-0.0030795578
art,-0.0030799715
neural,-0.0030802032
infin,-0.003081716
regular,-0.0030819199
each,-0.0030827238
singl,-0.003083585
sampl,-0.0030851504
univers,-0.0030854512
natur,-0.0030856126
ration,-0.0030878095
fredholm,-0.0030880405
assembl,-0.0030881441
dwyer,-0.0030898645
eilenberg,-0.0030903604
known,-0.0030904482
point,-0.0030904843
framework,-0.003093759
addit,-0.0030942948
1,-0.0030944531
descript,-0.0030945437
how,-0.00309458
techniqu,-0.0030965104
analyz,-0.0030965179
l,-0.0030965616
control,-0.0030966674
satisfi,-0.0030974303
current,-0.0030983686
bornolog,-0.003098851
sourc,-0.0030989803
allow,-0.003099609
characterist,-0.0031017943
imag,-0.0031023494
symmetr,-0.0031023684
modulo,-0.003102865
homomorph,-0.0031034243
milnor,-0.0031042588
import,-0.0031047731
accuraci,-0.003105685
enabl,-0.0031060055
gersten,-0.003106174
condit,-0.0031071915
densiti,-0.0031091133
specif,-0.0031101587
phase,-0.0031108642
research,-0.0031116803
most,-0.0031118293
novikov,-0.0031126635
discuss,-0.0031127036
due,-0.003113435
morita,-0.0031156598
consist,-0.0031170188
kontsevich,-0.003117057
direct,-0.0031182272
proper,-0.003118315
e,-0.0031185858
address,-0.003119181
correspond,-0.0031191842
classif,-0.0031192177
equat,-0.0031198233
schur,-0.003120217
deep,-0.0031205816
solv,-0.00312112
lemma,-0.0031214666
detect,-0.0031220126
definit,-0.0031224247
borel,-0.0031224987
freed,-0.0031226974
induc,-0.0031228187
sphere,-0.0031228734
real,-0.0031241674
subalgebra,-0.0031248715
mani,-0.0031251789
sever,-0.003126005
size,-0.0031264513
note,-0.0031265863
discret,-0.003127134
brauer,-0.0031283596
kimura,-0.0031309784
implement,-0.003131162
baaj,-0.0031321144
barwick,-0.0031321144
cosheaf,-0.0031321144
dotto,-0.0031321144
flasqu,-0.0031321144
glasman,-0.0031321144
menabl,-0.0031321144
nardin,-0.0031321144
snashal,-0.0031321144
close,-0.0031335573
cobord,-0.0031339007
quantum,-0.0031339778
x,-0.0031340977
within,-0.0031352167
wide,-0.0031363554
galoi,-0.0031368071
delign,-0.0031377645
lead,-0.0031378283
correl,-0.003138221
possibl,-0.003138268
faith,-0.0031389245
avail,-0.0031391392
valu,-0.0031393713
three,-0.003140273
adjoint,-0.0031409257
level,-0.0031409333
combin,-0.0031425022
may,-0.0031430775
presheav,-0.003143777
here,-0.0031441774
util,-0.0031443997
explor,-0.003144451
extend,-0.0031450603
dirac,-0.0031452812
torsion,-0.0031454407
analog,-0.0031455844
various,-0.0031457068
linear,-0.003146217
transit,-0.0031462184
mayer,-0.0031465115
second,-0.003146684
bound,-0.0031479388
languag,-0.0031480035
code,-0.0031483115
posit,-0.0031483744
classic,-0.003148495
element,-0.0031489925
make,-0.00314913
extens,-0.0031498084
ellipt,-0.00314995
often,-0.003150004
n,-0.00315005
integr,-0.0031505954
thom,-0.0031513441
theoret,-0.0031515118
previous,-0.0031517814
practic,-0.003152304
error,-0.0031529397
need,-0.003153325
further,-0.0031534852
bass,-0.0031536475
coupl,-0.0031539537
rang,-0.0031558417
across,-0.0031559041
critic,-0.0031559288
understand,-0.003156052
power,-0.0031561686
particl,-0.0031571377
electron,-0.0031574669
select,-0.003158369
cover,-0.0031586008
input,-0.0031591658
call,-0.0031594436
statist,-0.003159448
untwist,-0.003159741
anick,-0.0031597698
chas,-0.0031597698
nisnevich,-0.0031597698
ranicki,-0.0031597698
key,-0.0031602902
temperatur,-0.0031603372
adapt,-0.0031605242
i,-0.0031607947
employ,-0.0031610155
accur,-0.0031611675
focus,-0.0031616283
multipl,-0.0031622974
magnet,-0.00316257
found,-0.0031628767
reduc,-0.0031630967
user,-0.0031633405
strong,-0.0031636509
world,-0.0031640292
restrict,-0.003164742
scenario,-0.0031656842
rigid,-0.0031666488
conduct,-0.003166859
canon,-0.0031673713
wave,-0.0031675112
behavior,-0.0031676227
same,-0.0031676718
activ,-0.003169299
chang,-0.0031693154
approxim,-0.0031701794
small,-0.0031705617
object,-0.003170978
boundari,-0.0031710085
outperform,-0.0031712255
cost,-0.0031715392
spatial,-0.0031716542
identifi,-0.0031718162
joshua,-0.0031722412
quasicategori,-0.0031722412
rosenberg,-0.0031722412
solberg,-0.0031722412
signal,-0.003172454
pseudodifferenti,-0.0031726551
knowledg,-0.0031730556
invert,-0.0031730884
out,-0.0031731534
via,-0.0031733746
shown,-0.00317338
famili,-0.0031734165
frequenc,-0.003174245
like,-0.0031742537
interpret,-0.003174381
bivari,-0.00317447
futur,-0.003174776
environ,-0.003174825
pair,-0.0031753276
without,-0.0031761378
qualiti,-0.003176242
reveal,-0.003176427
formul,-0.0031766116
determin,-0.003176796
capabl,-0.003177026
robust,-0.0031777616
random,-0.0031781406
sens,-0.0031787674
respect,-0.0031790822
way,-0.0031791136
skandali,-0.0031805502
suslin,-0.0031805502
enhanc,-0.0031809248
m,-0.0031810913
mean,-0.00318137
3,-0.0031817988
benchmark,-0.0031823881
mass,-0.003182515
co,-0.0031831763
cycl,-0.0031834561
optic,-0.0031836745
up,-0.0031837164
protocol,-0.0031837313
articl,-0.003183754
human,-0.0031840988
evolut,-0.003184282
probabl,-0.0031843006
light,-0.0031843449
architectur,-0.0031849525
poincar,-0.003185703
bimodul,-0.003186579
angul,-0.0031872066
carlsson,-0.0031872066
clausen,-0.0031872066
kirchberg,-0.0031872066
maclan,-0.0031872066
morel,-0.0031872066
neeman,-0.0031872066
rinehart,-0.0031872066
them,-0.0031885349
better,-0.0031893754
support,-0.0031893873
similar,-0.0031894897
end,-0.003189812
simpl,-0.0031902413
algebroid,-0.0031903835
infinit,-0.003190421
free,-0.0031904713
follow,-0.0031905253
fundament,-0.003191029
veri,-0.003191037
act,-0.0031918574
interest,-0.0031919042
even,-0.003192068
gabber,-0.0031925477
near,-0.0031930045
impact,-0.0031933822
transfer,-0.003193541
dure,-0.0031935778
common,-0.0031936076
region,-0.0031936076
calcul,-0.003194015
strategi,-0.0031944774
respons,-0.0031946695
tensor,-0.0031949265
suspens,-0.003195284
coars,-0.0031955119
th,-0.0031957352
emerg,-0.003196041
domain,-0.0031963803
friedland,-0.0031967934
shah,-0.0031967934
machin,-0.003196966
variabl,-0.0031972362
open,-0.0031972767
graph,-0.0031973948
extract,-0.003197553
advanc,-0.0031981939
gelfand,-0.0031985037
standard,-0.003198903
averag,-0.0031989752
mem,-0.003199644
categor,-0.003199974
suitabl,-0.0032005156
whose,-0.0032005801
surject,-0.003200632
bredon,-0.0032007755
goncharov,-0.0032007755
soul,-0.0032007755
nois,-0.0032009408
so,-0.0032012148
toric,-0.003201759
spectra,-0.0032018987
mode,-0.0032024859
eta,-0.003202651
parametris,-0.003202651
connect,-0.0032030654
leverag,-0.0032032775
infer,-0.0032041122
steenrod,-0.0032042102
todd,-0.0032042102
rank,-0.00320447
continu,-0.0032044735
do,-0.0032045855
independ,-0.003204804
loss,-0.0032050416
devic,-0.0032056519
assert,-0.0032059161
individu,-0.0032060675
contribut,-0.0032061087
envelop,-0.0032062242
period,-0.0032062766
bismut,-0.0032071096
comodul,-0.0032071096
recol,-0.0032071096
offer,-0.0032072177
zeta,-0.0032075674
pattern,-0.0032076612
about,-0.0032079257
transform,-0.0032081208
obstruct,-0.0032082358
strict,-0.0032091227
character,-0.0032097115
nonlinear,-0.0032098182
cofibr,-0.0032099746
smash,-0.0032099746
superalgebra,-0.0032105793
corollari,-0.00321058
suggest,-0.0032107634
report,-0.0032107888
banach,-0.0032110454
compon,-0.0032110508
thus,-0.0032112657
materi,-0.0032114063
section,-0.0032117425
long,-0.0032120133
lawson,-0.0032124256
therefor,-0.0032129916
analyt,-0.003212998
aim,-0.003213327
moreov,-0.003213618
constraint,-0.0032137607
amalgam,-0.003214499
kh,-0.0032145877
promis,-0.0032147127
toward,-0.0032147253
motion,-0.0032148361
initi,-0.0032151234
help,-0.0032153162
admiss,-0.0032154631
sheaf,-0.003215916
communic,-0.0032160168
still,-0.0032160734
valid,-0.0032161132
z,-0.0032167179
cochain,-0.0032168366
est,-0.0032168366
huber,-0.0032168366
presheaf,-0.0032168366
adam,-0.00321686
semisimpl,-0.00321686
ideal,-0.003217076
right,-0.0032176115
repres,-0.0032178592
global,-0.003218028
driven,-0.0032181183
success,-0.003218128
were,-0.0032185516
decomposit,-0.003218581
distanc,-0.0032188317
creat,-0.003218898
dual,-0.0032190266
fibrat,-0.0032190823
unit,-0.0032190853
formal,-0.0032192941
arbitrari,-0.0032193717
channel,-0.0032194322
heck,-0.003219477
hold,-0.003219767
intellig,-0.0032198313
incorpor,-0.0032202564
origin,-0.003220427
odd,-0.0032204515
along,-0.003220621
search,-0.0032206674
impli,-0.0032207512
special,-0.0032207638
caus,-0.0032215419
surfac,-0.00322156
0,-0.0032218643
layer,-0.003222082
quasi,-0.0032225456
moor,-0.003222727
empir,-0.003223138
context,-0.003223732
format,-0.0032237936
hopkin,-0.0032238336
mackey,-0.0032238336
whitehead,-0.0032238336
cluster,-0.0032240797
produc,-0.0032241617
minim,-0.0032241936
vanish,-0.0032244832
abil,-0.0032249514
regim,-0.0032257836
take,-0.0032259244
correct,-0.0032259934
fiber,-0.0032262416
stochast,-0.00322663
r,-0.003226915
cocompact,-0.003226917
part,-0.0032269252
dg,-0.0032271603
visual,-0.0032272246
those,-0.003227234
shape,-0.0032274702
resourc,-0.0032275834
b,-0.0032277398
sensit,-0.0032277699
flat,-0.003227791
indic,-0.0032281165
efimov,-0.0032281736
us,-0.0032284127
contain,-0.0032290297
could,-0.003229142
dimens,-0.003229162
appropri,-0.0032292453
target,-0.0032293673
monomi,-0.003229613
wang,-0.0032298155
tool,-0.0032299855
expect,-0.0032300977
precis,-0.0032302318
chain,-0.0032304176
zero,-0.0032304227
furthermor,-0.0032306002
yang,-0.0032306267
becom,-0.003230823
assess,-0.0032311496
fact,-0.003231759
decis,-0.0032317769
unramifi,-0.0032319175
cartan,-0.003231933
question,-0.0032320775
ground,-0.0032321145
involv,-0.0032322214
typic,-0.0032323976
divers,-0.0032324132
weak,-0.0032324498
step,-0.0032324886
degre,-0.0032325767
collect,-0.0032325932
issu,-0.0032327035
quadrat,-0.0032327292
account,-0.0032327748
engin,-0.0032332283
affect,-0.003233523
factor,-0.0032335545
preserv,-0.0032335613
relev,-0.0032337238
against,-0.0032339285
appear,-0.0032340873
sheav,-0.0032341813
hass,-0.0032342684
explain,-0.003234328
0001101,-0.0032343643
01795,-0.0032343643
09674,-0.0032343643
3765,-0.0032343643
58168,-0.0032343643
additiv,-0.0032343643
alvez,-0.0032343643
amnest,-0.0032343643
amnon,-0.0032343643
antieau,-0.0032343643
asembl,-0.0032343643
bgln,-0.0032343643
bicross,-0.0032343643
brubak,-0.0032343643
burgo,-0.0032343643
caldararu,-0.0032343643
callia,-0.0032343643
chabert,-0.0032343643
cibil,-0.0032343643
cirio,-0.0032343643
coconnect,-0.0032343643
colloq,-0.0032343643
compreli,-0.0032343643
coniveau,-0.0032343643
contractad,-0.0032343643
corepres,-0.0032343643
cortina,-0.0032343643
cycham,-0.0032343643
dadarlat,-0.0032343643
derivateur,-0.0032343643
dieck,-0.0032343643
diffeormorph,-0.0032343643
duskin,-0.0032343643
echterhoff,-0.0032343643
edidin,-0.0032343643
fman,-0.0032343643
garkusha,-0.0032343643
grouplik,-0.0032343643
gustafsson,-0.0032343643
halvorsen,-0.0032343643
hesselholt,-0.0032343643
hoschschild,-0.0032343643
isgentl,-0.0032343643
isoclin,-0.0032343643
ivashchenko,-0.0032343643
kazuya,-0.0032343643
khoskham,-0.0032343643
lanzillota,-0.0032343643
lowen,-0.0032343643
malkiewich,-0.0032343643
manyfold,-0.0032343643
motegi,-0.0032343643
mr95k,-0.0032343643
multifunctor,-0.0032343643
multimodul,-0.0032343643
nagas,-0.0032343643
nonequivari,-0.0032343643
novodvorskii,-0.0032343643
parachain,-0.0032343643
paracycl,-0.0032343643
pechenik,-0.0032343643
pincus,-0.0032343643
podl,-0.0032343643
precalculi,-0.0032343643
precycl,-0.0032343643
pretheori,-0.0032343643
prodan,-0.0032343643
quasihomomorph,-0.0032343643
quasiisomorph,-0.0032343643
rogn,-0.0032343643
sankaran,-0.0032343643
schochet,-0.0032343643
shoikhet,-0.0032343643
solotar,-0.0032343643
taillef,-0.0032343643
takeda,-0.0032343643
tsygan,-0.0032343643
uroth,-0.0032343643
vaqui,-0.0032343643
villadsen,-0.0032343643
violett,-0.0032343643
wakamatsu,-0.0032343643
yekuti,-0.0032343643
zeidler,-0.0032343643
zhengfang,-0.0032343643
embed,-0.0032348882
fix,-0.003235068
charg,-0.0032350994
lower,-0.0032352505
although,-0.003235466
tripl,-0.0032354663
5,-0.0032358293
hyperbol,-0.0032358493
diffus,-0.0032360228
reprov,-0.0032363622
affin,-0.003236657
ratio,-0.0032367252
foliat,-0.0032367562
influenc,-0.0032368854
detail,-0.0032371613
self,-0.0032371697
remain,-0.0032371704
frechet,-0.003237309
keller,-0.003237309
prior,-0.0032375033
locat,-0.0032380596
especi,-0.003238113
reason,-0.003238113
artifici,-0.003238121
kan,-0.0032381353
metriz,-0.0032381353
spin,-0.003238627
gradient,-0.0032386617
role,-0.003238754
summabl,-0.0032391883
be,-0.0032393236
chevalley,-0.0032401248
levin,-0.0032401248
convent,-0.0032401688
propag,-0.0032403893
configur,-0.0032404503
automat,-0.003240625
combinatori,-0.0032408251
captur,-0.0032411104
tempor,-0.00324118
tune,-0.0032413015
rise,-0.0032414943
