Term,Mitigated Information
we,-0.00095906365
space,-0.0017679523
prove,-0.0021106796
metric,-0.002300227
euclidean,-0.0028938735
convex,-0.0035301708
model,-0.0035699266
theorem,-0.0037609686
dimens,-0.0038109096
use,-0.003828482
which,-0.0038517008
show,-0.0040292963
result,-0.0040610824
set,-0.004116673
from,-0.004137148
general,-0.0042203874
geometr,-0.004260365
bound,-0.0042658057
point,-0.0042743874
also,-0.004286741
can,-0.0043049334
hausdorff,-0.004329821
paper,-0.0043502897
hyperbol,-0.0043719835
propos,-0.004440299
our,-0.0044474863
circl,-0.0044502174
geometri,-0.0044657835
studi,-0.0045271222
curvatur,-0.0045375917
give,-0.0045642382
finit,-0.004569048
base,-0.0045816493
gromov,-0.0045840098
triangl,-0.0045854123
perform,-0.0046091303
func,-0.004632598
group,-0.0046333335
proof,-0.0046460377
distanc,-0.0046732733
method,-0.004687677
plane,-0.0046953727
two,-0.0046960497
data,-0.0046979184
polygon,-0.0046997485
it,-0.004702589
system,-0.0047217323
properti,-0.0047328332
effect,-0.004759222
construct,-0.004763443
inequ,-0.004771535
cone,-0.0047796587
given,-0.0048109773
introduc,-0.0048154797
manifold,-0.0048236656
have,-0.004829827
tile,-0.004833742
high,-0.0048357565
s,-0.0048499233
riemannian,-0.0048563695
one,-0.0048573953
bodi,-0.0048616864
has,-0.004865678
minkowski,-0.004869586
present,-0.0048752106
conjectur,-0.004876925
polytop,-0.004902761
some,-0.0049061254
dimension,-0.0049121655
volum,-0.0049140705
state,-0.004914571
measur,-0.004922452
time,-0.0049227057
proc,-0.004927083
n,-0.004938152
provid,-0.0049410136
pack,-0.004942421
case,-0.0049475483
approach,-0.00495056
all,-0.004960084
demonstr,-0.0049657365
between,-0.004968605
learn,-0.004971344
problem,-0.0049809413
isometri,-0.0049963016
sphere,-0.005005466
compact,-0.0050143665
differ,-0.0050199996
net,-0.0050255735
obtain,-0.0050280998
defin,-0.005032885
ani,-0.0050404775
particular,-0.005040761
new,-0.005043977
notion,-0.0050490196
everi,-0.0050618853
class,-0.005089186
isometr,-0.00508945
experi,-0.0050945296
non,-0.0051091225
relat,-0.005115756
regular,-0.005116889
simul,-0.0051228697
curv,-0.005125422
first,-0.00513577
field,-0.0051467023
applic,-0.005147502
complet,-0.00514936
work,-0.005150218
number,-0.0051566097
both,-0.005158482
howev,-0.005162772
minim,-0.005164188
famili,-0.005168127
exampl,-0.0051748324
upper,-0.005180123
subset,-0.005184056
investig,-0.005187278
formula,-0.0051905266
consid,-0.005191382
satisfi,-0.0051936978
affin,-0.0051966086
compar,-0.0051978133
comput,-0.0052000433
geodes,-0.0052004363
other,-0.0052085714
exist,-0.005208772
cat,-0.0052099265
larg,-0.005215655
train,-0.005216058
well,-0.0052186474
more,-0.005220085
predict,-0.005223645
when,-0.005224449
algo,-0.00522525
theori,-0.0052262684
fractal,-0.005227202
character,-0.0052297167
type,-0.0052297274
signific,-0.0052300687
length,-0.005231007
alexandrov,-0.005231531
condit,-0.0052317725
observ,-0.005234253
inform,-0.0052439906
intersect,-0.0052447203
1,-0.005245655
map,-0.0052457354
achiev,-0.0052512255
been,-0.0052562756
structur,-0.005257554
devel,-0.0052580945
task,-0.005259554
known,-0.0052609155
while,-0.0052613993
lipschitz,-0.0052617146
extend,-0.0052647186
dynam,-0.0052762716
posit,-0.0052768406
similar,-0.0052801743
under,-0.0052831727
interact,-0.0052860794
evalu,-0.0052866978
sever,-0.0052894345
find,-0.005289477
design,-0.0052903113
close,-0.005295152
generat,-0.0052953595
complex,-0.0052954843
dataset,-0.0052968245
improv,-0.005297023
effici,-0.005299128
project,-0.00530176
challeng,-0.0053036027
2,-0.0053043016
recent,-0.005305555
graph,-0.005315532
order,-0.0053167124
experiment,-0.005317823
than,-0.0053178445
onli,-0.00531913
infinit,-0.0053261486
appli,-0.005327371
includ,-0.005331829
analysi,-0.005333213
distribut,-0.005335459
addit,-0.0053360453
k,-0.005336947
featur,-0.00533902
local,-0.0053415475
where,-0.005345432
call,-0.0053493995
respect,-0.0053495234
topolog,-0.005350651
optim,-0.0053529977
specif,-0.005353059
term,-0.0053541767
equival,-0.005354312
discret,-0.00535799
limit,-0.005360115
due,-0.0053613936
paramet,-0.005366136
boundari,-0.005367187
novel,-0.0053674886
establish,-0.0053678057
over,-0.00536996
polyhedr,-0.005370872
