Term,Mitigated Information
we,-0.0077542085
equat,-0.02159525
which,-0.026153812
theori,-0.027595235
use,-0.028218446
quantum,-0.028620413
general,-0.029541872
result,-0.030352656
from,-0.030547552
model,-0.03084063
func,-0.031131826
show,-0.031364497
system,-0.031489067
can,-0.031735815
two,-0.032184605
studi,-0.032252703
also,-0.03251578
one,-0.032606043
prove,-0.03269912
construct,-0.032746963
space,-0.0329882
oper,-0.03309769
our,-0.03311025
case,-0.033306863
field,-0.033349894
relat,-0.033393107
solut,-0.033857565
dimension,-0.033945613
paper,-0.033996142
algebra,-0.034065984
obtain,-0.03436948
deriv,-0.03440941
consid,-0.034484744
non,-0.03450397
present,-0.03462562
base,-0.034838613
integr,-0.034960486
propos,-0.035100915
method,-0.03517067
hamiltonian,-0.035301816
term,-0.035585288
correspond,-0.03578146
symmetri,-0.035812426
state,-0.035816386
problem,-0.035888925
time,-0.035970215
perform,-0.036050856
between,-0.036257345
data,-0.036311783
have,-0.036447763
classic,-0.036544777
some,-0.036585428
new,-0.03663169
provid,-0.036700916
condit,-0.036798388
explicit,-0.037012488
give,-0.037024338
approach,-0.037049826
invari,-0.037105773
learn,-0.037154783
s,-0.037252527
it,-0.037253484
particular,-0.037272472
differ,-0.03729434
form,-0.03730992
has,-0.03733473
limit,-0.037372902
effect,-0.037419178
well,-0.03752359
matrix,-0.037535287
class,-0.03759026
point,-0.03761241
describ,-0.03761566
order,-0.03764244
first,-0.037664156
properti,-0.03768198
type,-0.037700973
asymptot,-0.037769232
structur,-0.037895896
discuss,-0.037915386
proc,-0.03794903
both,-0.038002178
dynam,-0.0380082
associ,-0.03801053
energi,-0.038029224
physic,-0.038061
local,-0.038085584
finit,-0.038097586
high,-0.038111642
dimens,-0.038133606
all,-0.038156006
boundari,-0.038186718
work,-0.03820604
defin,-0.038256593
net,-0.038292453
set,-0.038330875
particl,-0.03833575
exampl,-0.03837689
demonstr,-0.038377456
under,-0.038417622
formula,-0.03846407
linear,-0.038469132
given,-0.038488846
theorem,-0.03849451
introduc,-0.03851731
wave,-0.038538896
comput,-0.038553763
manifold,-0.038558338
exist,-0.03857652
applic,-0.03867417
potenti,-0.038836107
transform,-0.03884852
eigenvalu,-0.038848538
n,-0.038893644
differenti,-0.038991272
valu,-0.039010998
infinit,-0.039012536
howev,-0.039020237
larg,-0.03902715
group,-0.039028905
experi,-0.03903222
connect,-0.039037704
paramet,-0.039050367
find,-0.039051905
number,-0.039058052
geometr,-0.039071646
devel,-0.039092593
when,-0.039094187
train,-0.039121486
recent,-0.039122615
more,-0.039138906
known,-0.03915547
1,-0.0391774
dataset,-0.039195027
depend,-0.03920061
algo,-0.039202236
appli,-0.039211202
lie,-0.039244417
analysi,-0.03925489
determin,-0.039288998
compar,-0.039306153
interact,-0.03930939
improv,-0.03931154
other,-0.03931917
express,-0.03936035
includ,-0.039368726
represent,-0.039388154
2,-0.039403576
where,-0.0394191
been,-0.039424635
allow,-0.039453533
symmetr,-0.039459195
observ,-0.03950417
onli,-0.039506543
exact,-0.039522704
generat,-0.03956455
shown,-0.039570726
extend,-0.039599024
discret,-0.039606158
schr,-0.039676834
signific,-0.039679177
mathemat,-0.03968118
investig,-0.039713062
famili,-0.039739855
while,-0.039740056
bound,-0.0397411
effici,-0.039786752
task,-0.039790116
design,-0.03979272
measur,-0.039797913
formul,-0.039831124
gaug,-0.03984212
nonlinear,-0.03984617
how,-0.03986085
perturb,-0.039864317
numer,-0.039876454
spectral,-0.039883338
inform,-0.039886434
complex,-0.03988775
establish,-0.039899632
proof,-0.03990377
achiev,-0.03995358
simul,-0.039965454
lead,-0.039981235
natur,-0.039986774
ani,-0.040003557
singular,-0.040031746
complet,-0.040039945
oding,-0.040041693
challeng,-0.040053338
than,-0.04007175
framework,-0.040079918
phase,-0.040089887
optim,-0.040111553
analyt,-0.04013356
distribut,-0.04014006
special,-0.04018452
zero,-0.040192682
mean,-0.04019864
arbitrari,-0.040208723
over,-0.040216986
three,-0.04022068
certain,-0.040245928
mechan,-0.040270783
polynomi,-0.040281516
unitari,-0.040287536
random,-0.040294457
addit,-0.04036291
through,-0.040385075
commut,-0.040415984
constant,-0.04045311
formal,-0.040479243
simpl,-0.040486477
predict,-0.040497612
matric,-0.04050685
requir,-0.040507846
increas,-0.040509697
evalu,-0.04051978
e,-0.0405325
geometri,-0.040545408
possibl,-0.040551137
tensor,-0.040555485
sever,-0.040556647
spin,-0.040566973
period,-0.040568333
here,-0.04056937
imag,-0.040570386
posit,-0.040571734
coupl,-0.0405725
free,-0.04058419
second,-0.040586945
previous,-0.040590595
evolut,-0.040594112
direct,-0.040603444
product,-0.04061295
so,-0.040616658
mani,-0.040626604
continu,-0.040630322
scale,-0.040636834
art,-0.04063933
lattic,-0.040646043
novel,-0.04065077
each,-0.040651426
version,-0.040670093
call,-0.04069482
densiti,-0.04070259
expans,-0.04070798
deform,-0.040722392
due,-0.040742826
most,-0.040752392
detect,-0.040783435
experiment,-0.040788233
techniqu,-0.0408128
whose,-0.040819805
final,-0.0408205
specif,-0.04082453
equival,-0.040827475
conserv,-0.04083225
hilbert,-0.0408352
i,-0.04084725
neural,-0.040850457
conform,-0.04085376
consist,-0.04085875
real,-0.04086325
estim,-0.040865015
featur,-0.040865295
import,-0.040865347
main,-0.040866774
out,-0.04088129
variabl,-0.04089042
spacetim,-0.04089206
may,-0.04089962
approxim,-0.040902216
satisfi,-0.040924843
spectrum,-0.040944725
symplect,-0.040948544
quantiz,-0.04096101
3,-0.040970437
law,-0.04097593
respect,-0.040984653
vector,-0.040991317
lagrangian,-0.040995657
reduc,-0.040998805
map,-0.04101655
low,-0.04104393
interest,-0.041044742
conjectur,-0.04104539
aris,-0.04106117
level,-0.041074004
extens,-0.04109921
same,-0.041111514
various,-0.041125633
initi,-0.041145474
way,-0.041161805
action,-0.04116819
analyz,-0.04117916
solv,-0.04119229
close,-0.041193094
motion,-0.041200172
scalar,-0.04121781
singl,-0.041219085
make,-0.04122702
converg,-0.041247066
research,-0.041256722
dirac,-0.041267592
surfac,-0.041279744
like,-0.041281965
strong,-0.04129645
d,-0.041297726
topolog,-0.041304115
riemann,-0.04130688
combin,-0.04130867
graviti,-0.041314576
character,-0.041323673
accuraci,-0.041325357
control,-0.04132946
test,-0.04133313
descript,-0.041335426
calcul,-0.041344814
independ,-0.041344915
current,-0.041369572
euler,-0.041374177
multipl,-0.041374773
similar,-0.04138042
sampl,-0.04138183
small,-0.04138235
appear,-0.041384332
correl,-0.041385528
standard,-0.041388564
coeffici,-0.041390005
illustr,-0.04139875
hermitian,-0.041399032
further,-0.041406948
theoret,-0.04141091
avail,-0.041430745
rang,-0.041431427
infin,-0.041431732
detail,-0.041449215
rigor,-0.041451447
bundl,-0.04145882
probabl,-0.041460674
within,-0.041476313
enhanc,-0.04147661
deep,-0.041476987
without,-0.041485578
power,-0.041487273
user,-0.04149645
regular,-0.041497007
address,-0.041498117
via,-0.041502096
object,-0.04150613
identifi,-0.041506585
principl,-0.041513424
interpret,-0.04152218
up,-0.041522488
