Term,Mitigated Information
numer,0.01447781
method,-0.0006322595
equat,-0.0032363953
problem,-0.0062985253
we,-0.006411032
converg,-0.010688423
discret,-0.011655544
approxim,-0.012184996
solut,-0.012910098
use,-0.01365743
comput,-0.013857609
solv,-0.014836787
scheme,-0.016015021
result,-0.016778342
order,-0.016841222
propos,-0.016944284
present,-0.01703181
which,-0.017268425
finit,-0.017481439
paper,-0.017549228
base,-0.018062457
differenti,-0.018414903
linear,-0.018507
algo,-0.019092562
element,-0.019106194
can,-0.019169888
error,-0.019403106
model,-0.01964943
approach,-0.019776266
from,-0.01980967
galerkin,-0.019880187
effici,-0.020154433
func,-0.020590989
show,-0.020685937
time,-0.020974737
two,-0.021089442
our,-0.02117037
mesh,-0.021391641
system,-0.021526981
exampl,-0.021703344
condit,-0.021719433
accuraci,-0.021728838
analysi,-0.021728992
optim,-0.02177417
provid,-0.021993209
space,-0.022194836
demonstr,-0.02240737
new,-0.022448849
also,-0.022549836
deriv,-0.022594636
boundari,-0.02271332
iter,-0.02273857
dimension,-0.022744412
nonlinear,-0.022747684
high,-0.022770997
applic,-0.02281634
general,-0.02285419
one,-0.022986684
studi,-0.023240987
perform,-0.023257658
experi,-0.023282425
illustr,-0.023349293
formul,-0.023366868
appli,-0.023492584
consid,-0.023529295
step,-0.023568839
stabil,-0.023611616
discontinu,-0.023636224
differ,-0.023655787
introduc,-0.023732841
sever,-0.023772374
obtain,-0.023821995
estim,-0.023885416
work,-0.023892183
well,-0.023915341
both,-0.023934236
matrix,-0.023961302
partial,-0.023963656
data,-0.023980677
term,-0.024010198
devel,-0.024029758
solver,-0.024054438
case,-0.024077425
prove,-0.024079965
integr,-0.024090596
proc,-0.024109043
have,-0.024149926
simul,-0.024234079
first,-0.02430738
polynomi,-0.024330676
under,-0.024347072
properti,-0.024373202
pdes,-0.02444911
has,-0.02456919
effect,-0.024587257
theoret,-0.024591887
techniqu,-0.024612715
oper,-0.024630405
test,-0.024688317
construct,-0.024713008
number,-0.024716143
invers,-0.02472393
implement,-0.024763025
non,-0.024767743
it,-0.024771784
domain,-0.02483056
point,-0.024907753
