Term,Mitigated Information
we,-0.0015083314
conjectur,-0.0075402744
prove,-0.00846617
adic,-0.008560682
prime,-0.009294482
number,-0.009437902
model,-0.010389844
zeta,-0.010474516
p,-0.010664799
func,-0.010745042
use,-0.0108420905
over,-0.011142835
which,-0.011223481
field,-0.011224603
result,-0.011291984
group,-0.011412523
integ,-0.011662279
ration,-0.011682356
from,-0.011737061
formula,-0.011942847
can,-0.0119849
arithmet,-0.011999186
paper,-0.0120071005
s,-0.012044311
propos,-0.012229716
algebra,-0.012245651
theorem,-0.012250089
curv,-0.012313169
modular,-0.012442436
l,-0.0124828685
galoi,-0.012488492
give,-0.012507863
general,-0.012548562
our,-0.012584583
show,-0.012723593
some,-0.012764489
certain,-0.012786148
base,-0.012834225
polynomi,-0.012869747
perform,-0.012882117
finit,-0.012882512
sum,-0.012888919
form,-0.01303673
studi,-0.013121144
data,-0.013223415
proof,-0.013268565
system,-0.013334282
also,-0.013383808
method,-0.013389046
relat,-0.013433623
time,-0.0134621635
effect,-0.013481534
state,-0.0135972425
two,-0.0135991145
tate,-0.0136267925
riemann,-0.013687061
abelian,-0.013710744
varieti,-0.013751258
point,-0.013759689
ellipt,-0.013764174
congruenc,-0.013779947
approach,-0.013786605
high,-0.013807761
have,-0.013833407
present,-0.013839748
net,-0.013846301
proc,-0.013863788
new,-0.013934886
learn,-0.013944864
one,-0.013967464
famili,-0.013977563
case,-0.014002052
explicit,-0.014030131
bound,-0.014066803
demonstr,-0.014080631
differ,-0.014109955
obtain,-0.014120089
has,-0.014150648
between,-0.014161227
class,-0.01418578
construct,-0.014190535
theori,-0.014198621
cohomolog,-0.01421143
provid,-0.01421158
defin,-0.014243182
shimura,-0.014281482
valu,-0.014285755
work,-0.014327678
diophantin,-0.014331023
howev,-0.014368471
2,-0.014391281
problem,-0.014418032
modulo,-0.014421261
simul,-0.0144431535
observ,-0.014444551
seri,-0.014451044
experi,-0.014466582
all,-0.014469499
q,-0.014472494
eisenstein,-0.014503958
quadrat,-0.014516751
non,-0.014528996
comput,-0.014535526
applic,-0.014538977
set,-0.01454
compar,-0.014543204
coeffici,-0.014551323
it,-0.014567429
both,-0.014576462
given,-0.01459267
train,-0.01463813
while,-0.014664235
heck,-0.014697208
design,-0.014718354
inform,-0.01472351
special,-0.014725828
represent,-0.014732286
properti,-0.014735067
term,-0.014746566
signific,-0.01475155
degre,-0.014753724
first,-0.014754329
divisor,-0.014762841
larg,-0.014763007
more,-0.014811038
well,-0.014833656
recent,-0.014836033
zero,-0.014838906
dataset,-0.014840009
space,-0.014845045
algo,-0.014857875
ramanujan,-0.014858244
been,-0.014868216
challeng,-0.014871499
author,-0.014878756
optim,-0.014884811
dynam,-0.014885406
achiev,-0.014888516
interact,-0.014901176
devel,-0.01490628
introduc,-0.014907491
energi,-0.014911663
particular,-0.014911914
structur,-0.014931555
consid,-0.01494664
siegel,-0.014950108
exist,-0.01495139
order,-0.014956067
when,-0.014972882
find,-0.014991988
local,-0.014993381
associ,-0.015004935
integr,-0.015010834
infinit,-0.015011525
generat,-0.015016936
task,-0.015027821
type,-0.01503641
effici,-0.015047066
requir,-0.015048556
experiment,-0.015048682
dirichlet,-0.015062934
let,-0.015064583
under,-0.015066333
k,-0.015068748
weil,-0.015069169
characterist,-0.015069765
novel,-0.015071923
analysi,-0.015072758
1,-0.015076323
