Term,Mitigated Information
algebra,0.006797593
we,-0.0014676515
quantum,-0.0031381608
group,-0.003753538
construct,-0.0038510698
hopf,-0.0038855243
theori,-0.004802569
categori,-0.0050473637
lie,-0.0055519305
use,-0.005558057
invari,-0.0056191273
which,-0.0056708744
general,-0.0058451975
deform,-0.005898969
model,-0.0059222216
give,-0.00598167
from,-0.006034876
prove,-0.006123781
result,-0.0062414
can,-0.0062594325
show,-0.006269663
modul,-0.006363682
associ,-0.006411803
braid,-0.006421411
relat,-0.0064434577
noncommut,-0.006482571
our,-0.006485522
polynomi,-0.006518901
func,-0.0065681995
structur,-0.006573628
baxter,-0.0065935967
also,-0.0065943464
represent,-0.0066003148
q,-0.0066213314
studi,-0.0066216853
drinfeld,-0.0066268696
perform,-0.006648065
propos,-0.006658664
paper,-0.0066874004
base,-0.006701223
method,-0.0067079403
quantiz,-0.0067222705
data,-0.0067722527
homolog,-0.0067805313
commut,-0.006787795
grade,-0.006797032
time,-0.006822234
finit,-0.0068483884
introduc,-0.006848491
two,-0.006869505
defin,-0.0069048833
product,-0.0069310116
formula,-0.00693348
effect,-0.0069392016
bialgebra,-0.006942562
oper,-0.006946152
subalgebra,-0.00695475
explicit,-0.006983421
system,-0.0069953357
affin,-0.0070044175
conjectur,-0.007004803
correspond,-0.0070060925
space,-0.0070084888
high,-0.0070401574
cohomolog,-0.0070420224
between,-0.0070714867
certain,-0.007072792
have,-0.0070770467
present,-0.007086852
twist,-0.007108985
demonstr,-0.0071348893
yang,-0.007148875
learn,-0.007163027
2,-0.00717461
isomorph,-0.0071921204
some,-0.0072050276
case,-0.007218359
state,-0.0072191963
symmetr,-0.0072216853
one,-0.007235082
knot,-0.007256543
approach,-0.007256643
has,-0.007257994
s,-0.007259485
new,-0.0072649713
dimension,-0.0072689205
provid,-0.0072706873
heck,-0.0072751124
experi,-0.007285483
type,-0.007291653
it,-0.0073167738
differ,-0.0073197745
dual,-0.0073250066
howev,-0.007333009
turaev,-0.0073332656
field,-0.007336923
poisson,-0.007344389
over,-0.007353898
sl,-0.0073656635
net,-0.007368297
proc,-0.0073745265
jone,-0.0073899794
classic,-0.007390623
given,-0.0074037826
comput,-0.007420023
particular,-0.007421077
analogu,-0.00743015
problem,-0.00743044
non,-0.0074401777
larg,-0.0074557457
khovanov,-0.007464356
semisimpl,-0.007466715
signific,-0.007469969
matrix,-0.007475027
properti,-0.0074770525
been,-0.0074777305
integr,-0.0074788015
modular,-0.007489439
observ,-0.0074929846
simul,-0.007493024
algo,-0.007494553
notion,-0.0074980645
obtain,-0.007499482
work,-0.007500872
term,-0.007503966
reshetikhin,-0.007508492
ring,-0.007509032
monoid,-0.0075097173
both,-0.0075123743
cocycl,-0.0075133415
tensor,-0.0075145257
all,-0.0075167683
first,-0.0075204447
