Term,Mitigated Information
algebra,0.010335836
we,-0.0013946696
ring,-0.0035958178
lie,-0.004259116
commut,-0.0043204743
model,-0.0046632616
finit,-0.0050049387
group,-0.005342154
use,-0.0053440286
paper,-0.0054179
prove,-0.005534017
which,-0.0056124777
general,-0.0057077585
give,-0.0057427413
from,-0.00578129
result,-0.0058115222
associ,-0.005857469
also,-0.0058628665
over,-0.0058863605
isomorph,-0.005940039
can,-0.0060038716
grade,-0.0060258764
construct,-0.006053944
propos,-0.006127247
introduc,-0.0061299987
show,-0.006149653
studi,-0.006166198
theori,-0.006189498
our,-0.006217511
categori,-0.006366642
perform,-0.0063823513
data,-0.0063966466
defin,-0.006408676
modul,-0.006439156
two,-0.006449928
base,-0.006451967
method,-0.006458261
hopf,-0.0065123253
time,-0.0065248543
theorem,-0.0065254048
notion,-0.0065401797
some,-0.0065749553
structur,-0.0065843244
effect,-0.0065981005
system,-0.006636493
present,-0.0066491505
automorph,-0.0067188507
high,-0.006720231
left,-0.0067203837
relat,-0.0067812908
have,-0.0068079457
state,-0.0068104425
net,-0.0068232575
equival,-0.006824094
learn,-0.0068254317
provid,-0.006831452
properti,-0.0068510897
class,-0.006858827
leibniz,-0.006859146
given,-0.0068684025
set,-0.0068828934
hom,-0.006898867
field,-0.0069124466
case,-0.006913108
idempot,-0.006914957
extend,-0.006932932
polynomi,-0.0069348775
approach,-0.0069400226
between,-0.0069412575
one,-0.0069444925
dimension,-0.0069457386
has,-0.006949678
nilpot,-0.0069572157
matric,-0.0069740918
demonstr,-0.006978446
proc,-0.006979092
non,-0.006984357
particular,-0.0069925636
differ,-0.0069927815
ideal,-0.0070100226
obtain,-0.007011156
cohomolog,-0.007032398
howev,-0.0070391074
represent,-0.0070392704
all,-0.007039492
it,-0.007054353
larg,-0.0070659425
simul,-0.007082975
new,-0.007083525
func,-0.00708629
signific,-0.007102755
s,-0.007118864
dynam,-0.007128088
problem,-0.0071299877
abelian,-0.0071404628
subalgebra,-0.0071409177
both,-0.007151743
prime,-0.007153295
experi,-0.00716336
compar,-0.007170413
applic,-0.0071712127
classif,-0.0071804076
