Term,Mitigated Information
algebra,0.0070570195
group,-0.0005341284
we,-0.0014009376
represent,-0.0048126923
categori,-0.006208173
modul,-0.006208529
lie,-0.0070973774
finit,-0.007141711
irreduc,-0.0073642065
give,-0.0076011624
model,-0.00787008
use,-0.008088748
prove,-0.008330844
quiver,-0.00834462
which,-0.008520031
construct,-0.008652777
general,-0.008667783
from,-0.008754067
result,-0.008849063
can,-0.008989355
show,-0.009028123
paper,-0.009091102
propos,-0.0092263855
conjectur,-0.009240537
charact,-0.009345633
affin,-0.009397658
our,-0.00939933
heck,-0.009411387
perform,-0.009420592
theori,-0.009476252
studi,-0.009500467
over,-0.00953088
base,-0.009562312
method,-0.009638043
effect,-0.00966935
cohomolog,-0.00971051
type,-0.0097462395
indecompos,-0.009760951
data,-0.009781306
lusztig,-0.009809011
certain,-0.009818977
also,-0.009834575
associ,-0.009839306
time,-0.009870398
system,-0.010063274
two,-0.010091198
func,-0.010115798
state,-0.0101316795
symmetr,-0.0101333065
s,-0.010135634
space,-0.01013677
high,-0.010146078
correspond,-0.010263003
ring,-0.010291042
learn,-0.010297321
case,-0.0103058815
have,-0.010307692
p,-0.010318462
present,-0.0103187235
demonstr,-0.010346887
approach,-0.010378777
explicit,-0.010384702
net,-0.010392395
isomorph,-0.010400812
ausland,-0.010406038
invari,-0.010409545
weyl,-0.010409822
defin,-0.010410854
formula,-0.010437789
g,-0.010441068
between,-0.010453704
subgroup,-0.010477403
proc,-0.010486934
let,-0.010495806
differ,-0.0104969395
one,-0.010519468
gl,-0.010532347
class,-0.010535017
relat,-0.010540948
has,-0.01055161
dimension,-0.010555962
field,-0.0105644725
provid,-0.010570321
all,-0.010572094
n,-0.01057368
polynomi,-0.010584054
proof,-0.010615236
superalgebra,-0.010617923
adic,-0.010621099
tilt,-0.01062286
varieti,-0.010625701
subalgebra,-0.0106547745
commut,-0.010656869
flag,-0.0106569715
it,-0.010657473
some,-0.010667543
simpl,-0.010672302
grade,-0.010679551
structur,-0.010679666
experi,-0.0106884325
semisimpl,-0.010696606
howev,-0.010702757
simul,-0.010713554
while,-0.010716612
kac,-0.010738289
new,-0.010744225
both,-0.010751076
reduct,-0.010760446
problem,-0.010778891
introduc,-0.0107809175
moodi,-0.010782495
observ,-0.01078338
reiten,-0.010783415
classif,-0.0107849175
local,-0.01078951
compar,-0.0107993195
quotient,-0.0108077405
equival,-0.010818361
work,-0.010840775
larg,-0.010846807
theorem,-0.01086788
dynam,-0.010882311
complet,-0.010885676
set,-0.010886842
applic,-0.010886932
optim,-0.010914515
algo,-0.01091501
connect,-0.010920677
given,-0.010921563
comput,-0.010923013
properti,-0.010924896
subcategori,-0.010932742
signific,-0.01093745
particular,-0.010946847
design,-0.010949434
obtain,-0.010951258
improv,-0.010962727
sheav,-0.010962922
challeng,-0.010966197
effici,-0.010967651
non,-0.010969486
been,-0.010973658
train,-0.010980738
2,-0.0109892795
combinatori,-0.010998425
first,-0.011008494
langland,-0.011009388
dataset,-0.011012776
achiev,-0.011016161
under,-0.011018915
twist,-0.011024169
inform,-0.011027817
more,-0.011037453
predict,-0.011043295
describ,-0.011049302
project,-0.011053461
find,-0.011058936
well,-0.011063372
ani,-0.011066927
dimens,-0.011067815
unitari,-0.011070223
task,-0.011073632
classic,-0.011080255
nilpot,-0.011085033
deriv,-0.0110927895
energi,-0.011093126
generat,-0.011093545
triangul,-0.011098654
consid,-0.01110966
kazhdan,-0.011112649
term,-0.011114577
complex,-0.011116811
devel,-0.011120354
than,-0.011122659
scale,-0.011129282
oper,-0.011131792
experiment,-0.011133839
tensor,-0.011135222
abelian,-0.011137185
measur,-0.011148389
exist,-0.011151105
notion,-0.011151414
when,-0.011153903
analogu,-0.011155565
action,-0.011200946
increas,-0.011201939
c,-0.011223198
characterist,-0.011224512
requir,-0.011226452
interact,-0.011229224
cherednik,-0.011231707
potenti,-0.011233298
number,-0.011236462
form,-0.0112382155
recent,-0.011238263
extend,-0.011239177
dualiti,-0.011243717
homolog,-0.011243975
limit,-0.011245498
other,-0.011252204
order,-0.011254309
estim,-0.011255994
distribut,-0.011258605
analysi,-0.011258877
