Term,Mitigated Information
symplect,0.00674604
manifold,0.0013696442
we,-0.00036478628
floer,-0.0015890552
homolog,-0.0019333388
prove,-0.00230499
bundl,-0.0023085466
lagrangian,-0.0023230095
contact,-0.002383819
space,-0.0026823226
invari,-0.0026896792
structur,-0.0029566223
submanifold,-0.0029909594
hamiltonian,-0.0030718555
holomorph,-0.0031731287
construct,-0.0032588514
model,-0.0032854967
use,-0.0032985818
which,-0.003336377
show,-0.0033788304
moduli,-0.003420041
cotang,-0.003431472
legendrian,-0.003464492
algebra,-0.0035010008
fukaya,-0.0035353438
theorem,-0.0035422929
from,-0.003570755
group,-0.003616093
result,-0.0036330065
give,-0.0036397206
theori,-0.0036652302
paper,-0.003667693
poisson,-0.0036793344
witten,-0.0036958663
weinstein,-0.0037063924
can,-0.0037164502
compact,-0.003729476
also,-0.0038273297
our,-0.0038320213
symplectomorph,-0.0038601304
propos,-0.0038690441
hofer,-0.0038720288
heegaard,-0.0038721752
map,-0.0038763827
gromov,-0.003880852
conjectur,-0.003886954
studi,-0.003890852
base,-0.0038917474
data,-0.0038981792
general,-0.003927647
perform,-0.003934965
method,-0.0039929706
knot,-0.004019264
action,-0.004024983
lie,-0.004029469
cohomolog,-0.0040438073
defin,-0.0040457463
smooth,-0.0040534395
s,-0.0040640775
effect,-0.0040673
notion,-0.00408323
relat,-0.004090617
state,-0.004107673
sphere,-0.0041119
introduc,-0.004115161
singular,-0.004131194
two,-0.0041319686
toric,-0.0041431915
between,-0.004148695
time,-0.0041556344
system,-0.004164473
topolog,-0.004169277
proof,-0.004169647
some,-0.004170304
class,-0.0041782833
surfac,-0.0041869567
close,-0.0041887527
have,-0.0041969023
case,-0.0041981093
version,-0.0042006155
certain,-0.0042052325
categori,-0.004205846
present,-0.004208447
foliat,-0.0042098546
high,-0.004217295
demonstr,-0.004218683
connect,-0.004219537
one,-0.0042256312
net,-0.004229894
tori,-0.0042307163
learn,-0.004231195
diffeomorph,-0.004245068
non,-0.004258079
geometri,-0.004264052
maslov,-0.00428339
approach,-0.004284999
cobord,-0.0042897006
3,-0.004296972
geometr,-0.0043021874
provid,-0.004303596
has,-0.004306349
differ,-0.004315273
admit,-0.004320294
proc,-0.004326168
complex,-0.0043282486
applic,-0.0043292595
dimension,-0.0043313447
ani,-0.00433645
func,-0.0043376493
glu,-0.0043543344
famili,-0.0043571917
over,-0.004359401
howev,-0.0043604304
note,-0.004361813
point,-0.0043665045
exampl,-0.0043686163
yau,-0.004374616
under,-0.004377565
obtain,-0.0043779314
equivari,-0.0043783006
deform,-0.004386957
fibrat,-0.004387762
problem,-0.004389937
set,-0.0043922616
pseudoholomorph,-0.0043983785
correspond,-0.0043994505
new,-0.004399852
boundari,-0.004401271
experi,-0.004406922
exist,-0.004412437
curv,-0.004413022
it,-0.004417116
work,-0.004422499
product,-0.0044248984
simul,-0.004427956
form,-0.0044324733
particular,-0.0044328333
orbit,-0.0044363127
mirror,-0.004437973
algo,-0.0044407966
design,-0.0044413004
formula,-0.004446622
both,-0.004446957
first,-0.004449796
effici,-0.0044525308
train,-0.004454165
type,-0.004455185
observ,-0.0044598826
comput,-0.004464432
larg,-0.004466117
optim,-0.004466293
genus,-0.0044668587
associ,-0.0044683
field,-0.0044715945
signific,-0.0044755293
challeng,-0.004475758
torus,-0.0044777314
compar,-0.0044783577
book,-0.0044816546
natur,-0.00448483
interact,-0.004485009
task,-0.00449276
fillabl,-0.0044928333
main,-0.004493389
reduct,-0.004494395
achiev,-0.0044946703
dataset,-0.004494719
been,-0.00449585
symmetri,-0.0044994038
more,-0.0045061335
orbifold,-0.00450931
improv,-0.004511517
increas,-0.0045116935
analysi,-0.0045129014
well,-0.0045130844
calabi,-0.0045184153
quantiz,-0.0045209997
equival,-0.0045246324
isotopi,-0.004524715
while,-0.0045249006
inform,-0.0045280494
convex,-0.004531704
describ,-0.0045339866
novel,-0.004534279
reeb,-0.0045347274
devel,-0.004534819
all,-0.004538298
evalu,-0.0045387326
mors,-0.004543895
experiment,-0.0045444407
seidel,-0.0045455345
chekanov,-0.0045478228
cieliebak,-0.0045478228
measur,-0.0045483583
properti,-0.004549122
given,-0.004549198
project,-0.004549331
discuss,-0.0045511117
eliashberg,-0.004552736
when,-0.0045586205
circl,-0.0045622056
find,-0.0045643747
number,-0.004565782
canon,-0.0045688604
generat,-0.004570958
limit,-0.00457214
morphism,-0.004573354
condit,-0.004574156
recent,-0.004576473
consid,-0.004576622
distribut,-0.0045782155
term,-0.004582263
section,-0.004582356
scale,-0.0045825504
order,-0.0045871222
homotopi,-0.0045898277
local,-0.004592619
dynam,-0.004592815
other,-0.0045938627
homotop,-0.0045956597
predict,-0.004595714
classic,-0.0046006204
onli,-0.0046009687
whose,-0.0046024863
kuranishi,-0.004608303
overtwist,-0.004608303
integr,-0.004609049
where,-0.0046115955
includ,-0.0046130433
than,-0.0046131015
arxiv,-0.004614495
open,-0.0046200515
dimens,-0.0046200794
degener,-0.0046205088
ozsvath,-0.0046239677
requir,-0.004626142
zehnder,-0.004626377
investig,-0.004626648
1,-0.0046272282
appli,-0.004627492
low,-0.004628298
author,-0.0046313475
establish,-0.0046322145
how,-0.004634517
paramet,-0.0046353065
szabo,-0.0046367976
vanish,-0.0046377396
deriv,-0.004637943
vector,-0.0046393056
obstruct,-0.0046394607
algebroid,-0.004640535
quantum,-0.004642501
art,-0.004643047
neural,-0.0046435175
infinit,-0.0046441904
polterovich,-0.004644264
m,-0.004645681
call,-0.004647016
numer,-0.004647159
through,-0.004647896
specif,-0.004647944
potenti,-0.004649447
trivial,-0.0046499786
extend,-0.004650896
up,-0.0046515698
framework,-0.004653343
depend,-0.0046539865
solut,-0.0046540042
2,-0.0046556345
equat,-0.004655802
three,-0.004656788
orient,-0.0046604043
transvers,-0.0046605826
groupoid,-0.0046649748
simpl,-0.004666516
import,-0.0046673794
period,-0.004670139
most,-0.0046702977
allow,-0.0046707913
energi,-0.004672773
addit,-0.0046737785
estim,-0.004677673
featur,-0.0046782796
classif,-0.00467983
mrowka,-0.004680262
salamon,-0.004680262
due,-0.0046807574
pair,-0.0046819267
accuraci,-0.004681952
zero,-0.0046819625
complet,-0.0046824673
differenti,-0.0046826936
sever,-0.004684508
singl,-0.004684784
analog,-0.0046849297
ellipsoid,-0.004686825
riemann,-0.004687029
atiyah,-0.0046889447
exact,-0.004688991
each,-0.004690374
oper,-0.0046904497
ball,-0.004697466
real,-0.004697806
wrap,-0.0046986598
contactomorph,-0.00469925
embed,-0.004699828
statement,-0.0047007464
fiber,-0.0047009406
various,-0.004701571
direct,-0.0047019636
reduc,-0.004702433
mani,-0.0047040293
kahler,-0.004704415
implement,-0.00470508
within,-0.0047051315
current,-0.0047056973
techniqu,-0.004705988
test,-0.004706692
enhanc,-0.00470705
bracket,-0.0047078975
lefschetz,-0.004708338
found,-0.004708925
grade,-0.0047091767
explicit,-0.004710533
coisotrop,-0.0047130194
kronheim,-0.0047130194
zaslow,-0.0047130194
fibr,-0.0047140033
k,-0.004714786
almost,-0.004715096
rate,-0.004715959
hypersurfac,-0.0047161984
consist,-0.0047168224
avail,-0.0047175116
rang,-0.0047188774
fundament,-0.0047195205
lead,-0.0047199125
fix,-0.004720097
everi,-0.004721339
level,-0.0047226604
e,-0.0047227237
physic,-0.0047228006
possibl,-0.0047238385
polytop,-0.0047240187
same,-0.004724038
ruan,-0.004724041
research,-0.0047245724
standard,-0.004725093
linear,-0.004725183
special,-0.0047262283
identifi,-0.0047265654
imag,-0.0047284802
delign,-0.00473001
robust,-0.0047330903
givent,-0.0047331387
twist,-0.0047332174
here,-0.004733556
intersect,-0.004733609
aris,-0.004734291
address,-0.0047353487
power,-0.0047358405
sft,-0.004736217
cover,-0.0047363997
finit,-0.004736738
monoton,-0.00473716
multipl,-0.0047393367
hutch,-0.0047404934
kazez,-0.0047404934
mohnk,-0.0047404934
wysocki,-0.0047404934
transfer,-0.0047406806
control,-0.004743537
quotient,-0.004744075
make,-0.0047449544
sourc,-0.004745202
represent,-0.0047455947
chern,-0.004745787
sampl,-0.0047461414
disc,-0.0047488683
deep,-0.004749793
may,-0.0047498136
combin,-0.004750906
better,-0.004751904
via,-0.004753467
detect,-0.0047537354
previous,-0.0047545955
enabl,-0.004755075
isomorph,-0.0047552637
latter,-0.0047561806
way,-0.0047563342
simpli,-0.0047569037
size,-0.004758096
valu,-0.0047588134
strategi,-0.004760266
select,-0.0047611725
analyz,-0.0047611743
phase,-0.0047612647
commut,-0.0047624023
statist,-0.0047628
dual,-0.004762817
multi,-0.004762852
temperatur,-0.004763977
mechan,-0.00476411
final,-0.004764779
accur,-0.004765435
i,-0.0047662915
momentum,-0.0047666337
further,-0.0047673373
minim,-0.0047676694
compat,-0.0047679814
g,-0.0047686645
user,-0.0047687124
n,-0.004769714
approxim,-0.004770283
like,-0.0047710445
mcduff,-0.004773018
polyfold,-0.004773018
sjamaar,-0.004773018
coadjoint,-0.004773398
conduct,-0.0047740205
known,-0.004774052
correl,-0.004774827
thurston,-0.0047756196
definit,-0.0047768694
random,-0.0047776126
densiti,-0.004777643
determin,-0.004777696
machin,-0.0047789006
focus,-0.004779685
stein,-0.0047798743
object,-0.004780076
geodes,-0.0047803908
outperform,-0.004780442
spatial,-0.004781048
argument,-0.0047817263
signal,-0.0047823763
strong,-0.00478405
idea,-0.0047841566
perturb,-0.0047849976
environ,-0.004785747
assert,-0.0047863727
report,-0.0047871643
extens,-0.0047877994
qualiti,-0.004788174
lipshitz,-0.0047889277
prequant,-0.0047889277
decomposit,-0.004789031
without,-0.0047892514
capac,-0.0047893263
capabl,-0.004789356
isotop,-0.004790664
analogu,-0.0047908425
often,-0.0047918735
theoret,-0.0047924877
sens,-0.0047927224
small,-0.004792872
fold,-0.0047939895
ahler,-0.0047955276
error,-0.004795941
wide,-0.004796354
vafa,-0.004796559
follow,-0.004797148
bound,-0.0047971746
benchmark,-0.004797196
coupl,-0.004797441
graph,-0.0047975653
interest,-0.0047986773
optic,-0.0047990535
involut,-0.0047993083
success,-0.0047995024
human,-0.004799735
articl,-0.0048002102
rabinowitz,-0.004800454
syz,-0.004800454
mean,-0.0048007057
affin,-0.00480071
fill,-0.004801039
border,-0.004801044
architectur,-0.0048013125
region,-0.0048014414
dure,-0.0048015644
posit,-0.004802139
electron,-0.004802407
domain,-0.00480431
input,-0.004804796
shown,-0.004805009
solv,-0.0048059714
layer,-0.004805993
need,-0.004806042
second,-0.0048061786
explain,-0.004807108
util,-0.004807237
employ,-0.0048073437
stabil,-0.004807803
link,-0.0048078764
similar,-0.0048080157
along,-0.004808547
tian,-0.004808678
context,-0.004809063
honda,-0.004809407
presymplect,-0.004809407
quilt,-0.004809407
understand,-0.0048094774
t,-0.004809523
explor,-0.0048096236
even,-0.0048097577
4,-0.004810814
pezzo,-0.0048108473
contain,-0.004810984
world,-0.004811623
languag,-0.0048120907
code,-0.004812498
genera,-0.0048128506
calcul,-0.0048137503
impact,-0.004813904
scenario,-0.0048139696
moment,-0.004814244
respect,-0.0048152558
respons,-0.004815804
practic,-0.0048179906
valid,-0.004818545
so,-0.004818633
punctur,-0.0048189177
higher,-0.004819144
out,-0.004819233
index,-0.004820549
advanc,-0.004820996
varieti,-0.0048211343
pseudo,-0.0048216213
cost,-0.0048223417
synt,-0.0048225317
math,-0.004823224
uniqu,-0.004823226
account,-0.0048239413
particl,-0.0048245136
ingredi,-0.004824576
them,-0.0048246826
sequel,-0.004825397
frequenc,-0.0048262337
satisfi,-0.0048265425
futur,-0.0048270617
about,-0.0048278053
bott,-0.0048284954
long,-0.0048285197
homomorph,-0.0048286724
leverag,-0.0048287464
symmetr,-0.0048294333
behavior,-0.0048295483
loss,-0.004831366
l,-0.0048313662
kaehler,-0.0048315106
