Term,Mitigated Information
estim,0.0010954889
we,-0.0030039405
asymptot,-0.004439695
statist,-0.004549665
distribut,-0.006499765
sampl,-0.007851487
use,-0.0085786395
model,-0.008674584
under,-0.008733802
data,-0.008848205
which,-0.009331542
result,-0.009337512
regress,-0.009800391
paper,-0.009935766
propos,-0.010087805
func,-0.010103498
studi,-0.010161869
problem,-0.010336726
random,-0.010443626
general,-0.010526169
likelihood,-0.010528261
our,-0.010686013
from,-0.010688129
method,-0.010737285
nonparametr,-0.010746172
show,-0.010783446
base,-0.010819201
covari,-0.010912211
proc,-0.010934027
can,-0.011060174
simul,-0.011099979
probabl,-0.011116278
consid,-0.0112992255
set,-0.0113868695
paramet,-0.011417155
illustr,-0.011522708
deriv,-0.011568851
provid,-0.011583896
also,-0.011625491
condit,-0.0116968285
converg,-0.011711399
establish,-0.011827757
case,-0.012029336
gaussian,-0.0120575465
bound,-0.012116655
properti,-0.012177885
when,-0.012233429
linear,-0.012295054
variabl,-0.012320137
approach,-0.012344533
infer,-0.012369347
applic,-0.012371694
multivari,-0.012396157
optim,-0.012409467
new,-0.012445303
minimax,-0.012530787
mean,-0.0125322575
rate,-0.012548262
error,-0.012556272
normal,-0.01256364
consist,-0.012564069
theoret,-0.012582729
two,-0.012665359
analysi,-0.012666106
bayesian,-0.012668149
have,-0.012697809
it,-0.012716614
one,-0.012748216
some,-0.012757139
observ,-0.012782946
test,-0.012836261
parametr,-0.0128500275
class,-0.012957018
algo,-0.0129584605
well,-0.0130400695
perform,-0.013044048
system,-0.013063787
has,-0.01306683
where,-0.013073294
between,-0.013129337
finit,-0.013169574
dimension,-0.013184231
both,-0.013199048
unknown,-0.013257113
present,-0.013269268
empir,-0.0132770995
particular,-0.013299983
number,-0.013308679
time,-0.01332834
prove,-0.01334496
independ,-0.013350243
non,-0.013356854
depend,-0.013361832
high,-0.013399683
obtain,-0.013411944
framework,-0.013415339
assumpt,-0.013421555
measur,-0.01343579
devel,-0.013448669
differ,-0.013455556
construct,-0.013477671
maximum,-0.013483745
varianc,-0.013509216
appli,-0.013526518
demonstr,-0.013566652
given,-0.013576498
comput,-0.013579351
posterior,-0.013597674
exampl,-0.013606018
introduc,-0.013622337
numer,-0.013633162
stochast,-0.013637613
effect,-0.0136797065
known,-0.01369955
first,-0.013707587
larg,-0.013707902
theori,-0.0137136
work,-0.013730826
valu,-0.013761989
real,-0.013767746
order,-0.013775241
state,-0.013776614
squar,-0.013808978
more,-0.013826789
approxim,-0.013881914
select,-0.013887074
structur,-0.013976308
includ,-0.01401571
other,-0.0140174525
been,-0.014030198
markov,-0.014043981
inform,-0.014045952
than,-0.01404719
onli,-0.01409021
confid,-0.014094278
size,-0.014104253
addit,-0.014120502
relat,-0.014133917
limit,-0.014134508
exist,-0.0141415335
interest,-0.014157617
howev,-0.014159521
allow,-0.014170319
learn,-0.01417149
space,-0.014174645
point,-0.014186779
effici,-0.014192778
s,-0.014198127
moment,-0.014201764
matrix,-0.014217814
compar,-0.014230676
adapt,-0.014234701
recent,-0.014252439
prior,-0.014257132
nois,-0.014261611
mani,-0.014277205
risk,-0.014277615
practic,-0.014339101
through,-0.01435277
net,-0.0143716745
hypothesi,-0.014379941
term,-0.0143818185
type,-0.014402229
dimens,-0.014404745
find,-0.014419807
smooth,-0.014433261
import,-0.014437253
while,-0.014439147
discuss,-0.014440138
field,-0.014442196
classic,-0.014444638
all,-0.014481857
defin,-0.014485741
experi,-0.0144959325
bootstrap,-0.014511214
sever,-0.014513093
spars,-0.014524483
over,-0.014530117
extend,-0.014531933
assum,-0.0145418625
exponenti,-0.01455266
interv,-0.014555461
generat,-0.0145564815
null,-0.014566334
true,-0.014575997
call,-0.014580188
densiti,-0.014580758
lead,-0.014585868
final,-0.014599901
weight,-0.014611081
investig,-0.014614089
predict,-0.01461651
mixtur,-0.014621729
simpl,-0.014626225
each,-0.01462734
achiev,-0.014628517
