Term,Mitigated Information
dynam,-0.00086959184
we,-0.0009363878
system,-0.0014635932
net,-0.0018341742
synchr,-0.0019524576
oscil,-0.0021170084
model,-0.002236194
studi,-0.0025556881
which,-0.0025945532
can,-0.0026293378
from,-0.0027990611
use,-0.002849277
coupl,-0.0029659022
result,-0.002988373
show,-0.0030260845
complex,-0.0030929144
between,-0.003138499
differ,-0.003164223
here,-0.0031933337
interact,-0.0032159365
state,-0.0032445358
behavior,-0.0032996049
our,-0.0033135437
time,-0.0033391928
organ,-0.0033493561
also,-0.0034055281
phase,-0.0034664907
two,-0.003491549
chimera,-0.00353601
find,-0.0035412968
proc,-0.003546908
structur,-0.0035581202
biolog,-0.0035883256
when,-0.0035954341
self,-0.0035990856
it,-0.0036096747
base,-0.0036166892
one,-0.0036353576
popul,-0.0036430038
has,-0.0036463896
emerg,-0.0036484879
paramet,-0.0036751805
effect,-0.0036793146
neuron,-0.0036821608
have,-0.0036827843
where,-0.0037006426
propos,-0.0037030978
pattern,-0.0037089556
paper,-0.003736292
more,-0.003756707
present,-0.0037620268
simul,-0.0038040068
both,-0.0038150616
node,-0.0038289914
method,-0.0038543183
kuramoto,-0.0038704146
been,-0.00387592
increas,-0.0038802181
func,-0.0038805262
may,-0.0039014092
mechan,-0.0039063045
distribut,-0.0039089294
theori,-0.0039132643
new,-0.003914443
natur,-0.003916192
observ,-0.0039221314
depend,-0.003924216
devel,-0.0039289165
scale,-0.0039348863
provid,-0.0039406396
transit,-0.003944232
numer,-0.0039445497
mean,-0.003947332
individu,-0.003949168
strength,-0.0039507337
larg,-0.0039535337
under,-0.0039541805
demonstr,-0.0039718295
chang,-0.0039740154
particular,-0.003974704
collect,-0.003977719
control,-0.00398108
describ,-0.003981183
stochast,-0.003981387
other,-0.0039814916
data,-0.0039824275
general,-0.0039870786
investig,-0.003994708
case,-0.0039976295
understand,-0.0039979303
small,-0.0040064617
phenomenon,-0.0040075267
equat,-0.0040146406
how,-0.004017999
mathemat,-0.0040200395
well,-0.0040304344
nonlinear,-0.0040324763
connect,-0.004036081
lead,-0.0040367786
approach,-0.0040415563
includ,-0.004042508
stabil,-0.0040439903
i,-0.004044436
physic,-0.004049311
nois,-0.004056266
non,-0.0040564807
first,-0.0040592398
high,-0.0040594563
perform,-0.0040661814
activ,-0.0040675406
inform,-0.004067791
some,-0.004067952
coexist,-0.004069262
inhibitori,-0.0040700356
consid,-0.004071011
each,-0.00408678
type,-0.004086871
applic,-0.004086966
exhibit,-0.0040869755
exampl,-0.004087979
random,-0.0040911785
evolut,-0.0040942733
evolutionari,-0.0040962584
comput,-0.0040965625
agent,-0.0040984256
order,-0.004100391
social,-0.0041020173
work,-0.0041075274
rang,-0.0041080797
properti,-0.004113102
field,-0.004114042
excitatori,-0.0041176486
all,-0.004129767
mani,-0.004133323
s,-0.004140597
e,-0.004144857
while,-0.004146532
cluster,-0.004148124
through,-0.0041510332
exist,-0.004158308
number,-0.0041602794
introduc,-0.004160301
condit,-0.0041627875
problem,-0.0041632103
thus,-0.0041693323
howev,-0.004169915
spatial,-0.004172122
regim,-0.004174214
analysi,-0.00418953
reveal,-0.0041903676
robust,-0.004192104
relat,-0.0041937768
allow,-0.0042004366
appli,-0.0042026644
size,-0.0042068576
brain,-0.0042090295
phenomena,-0.0042122276
long,-0.0042160545
onli,-0.004216982
optim,-0.0042182878
limit,-0.0042185835
global,-0.004219179
bifurc,-0.004222583
sever,-0.004223345
intermitt,-0.0042258957
rate,-0.0042261546
than,-0.004230737
level,-0.0042324644
possibl,-0.0042336355
character,-0.0042344625
role,-0.0042360257
topolog,-0.004237269
law,-0.0042387564
recent,-0.004239454
local,-0.0042406674
