Term,Mitigated Information
chaotic,0.0062752557
dynam,-0.0003692016
system,-0.0012143163
chao,-0.0015424863
we,-0.0016946541
oscil,-0.004672313
which,-0.004808604
period,-0.004840065
time,-0.0049149883
model,-0.004976549
studi,-0.0050525777
use,-0.005068089
from,-0.0050863223
bifurc,-0.0053463536
coupl,-0.0053552454
lyapunov,-0.005376541
nonlinear,-0.0053927125
numer,-0.0054694563
can,-0.0055105924
show,-0.005576019
result,-0.0057847705
two,-0.005788574
expon,-0.0058361217
attractor,-0.0058633517
phase,-0.005892791
paramet,-0.0059217727
synchr,-0.006082746
between,-0.0061325002
our,-0.0061896024
transit,-0.006194014
state,-0.006220563
equat,-0.0062991357
map,-0.006340275
differ,-0.00635101
trajectori,-0.006356904
regim,-0.00637622
one,-0.0063767238
turbul,-0.006396048
also,-0.006427624
present,-0.0064469595
base,-0.0065038623
depend,-0.0065300427
motion,-0.0065670363
dimension,-0.0065697236
method,-0.0065940083
exhibit,-0.006629412
behavior,-0.0066470467
investig,-0.00666923
propos,-0.006673851
paper,-0.00669771
orbit,-0.006720836
well,-0.0067278906
have,-0.0067421654
analyt,-0.0067477147
unstabl,-0.006795336
effect,-0.0068024187
find,-0.0068024835
theori,-0.0068193832
observ,-0.0068267523
case,-0.0068317866
it,-0.006852647
has,-0.006882165
space,-0.006895178
statist,-0.0069104256
stabil,-0.0069262744
hamiltonian,-0.0069315257
condit,-0.006935501
random,-0.0069493195
both,-0.0069555296
analysi,-0.0069577284
mechan,-0.0069592125
approach,-0.006962307
demonstr,-0.006966328
when,-0.0069689723
func,-0.006970077
where,-0.0069712233
structur,-0.006972516
order,-0.006984733
data,-0.0070002293
classic,-0.0070011346
interact,-0.007012622
point,-0.0070218286
stabl,-0.0070334505
properti,-0.0070607555
general,-0.007063199
energi,-0.0070668003
here,-0.0070738955
provid,-0.007075849
simul,-0.0070925346
consid,-0.007094371
perform,-0.007102294
describ,-0.0071119857
new,-0.0071148775
exampl,-0.0071315803
high,-0.007132832
long,-0.0071389144
forc,-0.0071410025
phenomenon,-0.007141605
distribut,-0.007146013
larg,-0.007153322
quantum,-0.007157391
non,-0.007158314
perturb,-0.007169367
intermitt,-0.007171367
proc,-0.0071804235
complex,-0.0071816994
problem,-0.007187462
net,-0.007189395
field,-0.0071947603
comput,-0.0071961246
scale,-0.0072037946
limit,-0.007209559
under,-0.007213268
wave,-0.0072188303
been,-0.007225374
first,-0.0072270557
appli,-0.0072307796
exist,-0.007243053
applic,-0.0072526205
flow,-0.007257094
billiard,-0.0072683147
small,-0.007277263
local,-0.007283561
dissip,-0.007297284
relat,-0.0073039234
obtain,-0.0073167235
work,-0.0073216753
form,-0.0073249224
s,-0.0073256604
number,-0.0073325676
set,-0.007336444
valu,-0.0073400214
lead,-0.007345508
linear,-0.00735157
more,-0.0073526483
type,-0.007370445
physic,-0.0073733125
reson,-0.007373753
devel,-0.0073751276
recent,-0.0073805125
discuss,-0.0073808655
correspond,-0.0073815063
shown,-0.007381664
amplitud,-0.0073886933
term,-0.0073889894
found,-0.0073913555
known,-0.0073922547
deriv,-0.0073934337
direct,-0.0073975422
three,-0.0073982906
potenti,-0.0074005183
strength,-0.007401518
chimera,-0.007406928
delay,-0.0074085575
initi,-0.007410052
mani,-0.0074102785
occur,-0.00741215
possibl,-0.0074146315
learn,-0.0074230866
lorenz,-0.007424353
fluctuat,-0.007425337
includ,-0.007427575
other,-0.007427963
how,-0.007429833
analyz,-0.007429902
through,-0.0074488935
predict,-0.007449046
introduc,-0.007450363
howev,-0.007452228
may,-0.0074600494
all,-0.007460063
equilibrium,-0.0074605783
simpl,-0.0074619856
measur,-0.0074632224
nois,-0.007466083
onli,-0.007468803
control,-0.00746919
character,-0.0074699637
experiment,-0.0074707773
increas,-0.0074760276
allow,-0.007477394
mean,-0.007489289
generat,-0.0074912226
particl,-0.007492803
averag,-0.007497601
algo,-0.0075106076
region,-0.007516315
rang,-0.0075163213
particular,-0.007518784
e,-0.0075193737
degre,-0.007522009
seri,-0.007525239
while,-0.007525826
than,-0.0075332597
solut,-0.0075386483
ergod,-0.0075390455
mode,-0.007539498
some,-0.007546614
featur,-0.0075500715
compar,-0.0075540743
invari,-0.007557484
natur,-0.0075637517
i,-0.00757094
integr,-0.007570977
weak,-0.0075765275
singl,-0.0075925565
ensembl,-0.007594777
regular,-0.007595345
dataset,-0.007595684
experi,-0.007595923
stochast,-0.007602142
saddl,-0.0076025575
determin,-0.0076131336
similar,-0.0076136803
addit,-0.0076139527
power,-0.007614453
global,-0.007614515
inform,-0.007614767
specif,-0.007614878
kuramoto,-0.007620183
variabl,-0.0076201875
exponenti,-0.007624278
correl,-0.007627038
presenc,-0.0076280925
respons,-0.0076307617
univers,-0.0076317005
finit,-0.0076329242
each,-0.0076338477
associ,-0.007641637
frequenc,-0.007643714
improv,-0.007645516
out,-0.0076479353
signific,-0.0076497653
further,-0.00764986
consist,-0.007651125
driven,-0.0076513006
framework,-0.007654586
extern,-0.007661705
determinist,-0.007662616
connect,-0.0076631643
strong,-0.007663929
symmetri,-0.0076649245
optim,-0.007667362
discret,-0.0076683806
sever,-0.007668637
calcul,-0.0076686614
interest,-0.0076718
over,-0.0076719588
evolut,-0.00767231
theoret,-0.0076775365
given,-0.007678973
continu,-0.007679325
coexist,-0.0076843537
low,-0.0076859263
extend,-0.007688096
due,-0.007688627
effici,-0.0076978887
achiev,-0.00770101
fluid,-0.0077031376
train,-0.0077087437
rate,-0.0077097556
task,-0.0077150958
construct,-0.0077217175
techniqu,-0.007724847
reveal,-0.007725704
semiclass,-0.007728438
matrix,-0.007729382
same,-0.007735357
behaviour,-0.007735469
1,-0.0077367164
recurr,-0.007740057
role,-0.007741571
design,-0.007744336
challeng,-0.007745105
excit,-0.0077466415
requir,-0.0077474643
evalu,-0.0077496055
import,-0.0077500823
spatial,-0.0077513475
manifold,-0.007751393
within,-0.007751706
illustr,-0.0077541606
close,-0.007755191
most,-0.007756811
probabl,-0.0077573303
typic,-0.007757756
level,-0.0077591157
detail,-0.0077612684
various,-0.0077630286
emerg,-0.007763169
pattern,-0.0077673164
characterist,-0.0077694724
coher,-0.0077712475
suggest,-0.0077713756
chang,-0.007777949
govern,-0.007778672
like,-0.007779369
combin,-0.0077803535
cycl,-0.007782051
novel,-0.0077845864
estim,-0.0077860104
previous,-0.0077873217
induc,-0.0077917483
thus,-0.0077918186
relev,-0.007798316
boundari,-0.007798469
imag,-0.007799186
critic,-0.0078008217
differenti,-0.007802918
multist,-0.0078118653
origin,-0.007816952
approxim,-0.007818997
basin,-0.007819487
give,-0.007823626
pol,-0.007823651
class,-0.007823718
transport,-0.007824038
veloc,-0.007824514
densiti,-0.007825394
real,-0.007828666
2,-0.00783001
onset,-0.007834616
incoher,-0.007837982
even,-0.007838337
feedback,-0.007839409
so,-0.007839928
veri,-0.007840256
spectrum,-0.007840491
size,-0.0078405775
reduc,-0.007842073
oper,-0.007843745
exact,-0.007843831
way,-0.007848596
final,-0.007849948
explor,-0.007850383
instabl,-0.007850872
surfac,-0.007851018
rotat,-0.007851203
current,-0.007852643
enon,-0.007853951
aris,-0.007854315
duf,-0.007854876
fundament,-0.0078566875
poincar,-0.007856896
make,-0.007857233
appear,-0.007859375
report,-0.0078603085
tempor,-0.007866087
second,-0.007866185
understand,-0.007866583
respect,-0.007867457
art,-0.007868325
multipl,-0.007870798
certain,-0.00787086
diffus,-0.007875854
law,-0.007876958
entropi,-0.00787926
bodi,-0.007881348
extrem,-0.007881443
descript,-0.007881481
biolog,-0.007883612
damp,-0.007883899
identifi,-0.007884909
near,-0.007885155
test,-0.007887889
fix,-0.007888958
doubl,-0.00789141
harmon,-0.007891796
famili,-0.007891915
main,-0.007892131
ani,-0.00789268
detect,-0.007892816
diagram,-0.007894607
spectral,-0.007895749
analog,-0.007895998
chua,-0.007896526
ossler,-0.007896526
via,-0.007896681
asymptot,-0.007897068
neural,-0.007898346
steadi,-0.007898717
explain,-0.007900267
bistabl,-0.007903463
call,-0.007904479
few,-0.007904758
standard,-0.007904837
node,-0.007909472
qualit,-0.0079108905
consequ,-0.007911127
up,-0.007912658
establish,-0.007912847
defin,-0.007914369
play,-0.007915105
hyperbol,-0.007915346
user,-0.007916606
without,-0.007916737
fractal,-0.007916918
focus,-0.007917092
generic,-0.007917713
revers,-0.007918643
prove,-0.007920258
transform,-0.00792096
neuron,-0.007922894
infinit,-0.007922907
independ,-0.007924876
activ,-0.007927248
cascad,-0.007927281
indic,-0.00792737
research,-0.007928602
multi,-0.007928812
mix,-0.007929469
sampl,-0.007929639
name,-0.007930044
phenomena,-0.007934578
object,-0.007935279
popul,-0.007936105
dimens,-0.007937256
enhanc,-0.007938521
address,-0.007939447
self,-0.007941173
repres,-0.007941568
implement,-0.007942043
laminar,-0.007943319
extens,-0.007945996
wide,-0.007946351
avail,-0.007946399
individu,-0.007948753
domain,-0.00795004
sensit,-0.007950332
transient,-0.007953885
vari,-0.007956242
contribut,-0.007956384
island,-0.007958994
open,-0.007959973
disappear,-0.007960864
paradigmat,-0.007963547
concept,-0.007964753
slow,-0.007966007
scheme,-0.007966279
transfer,-0.007967381
temperatur,-0.007967589
separ,-0.007968093
account,-0.00796823
sourc,-0.007968505
eigenst,-0.007968566
circuit,-0.007969342
posit,-0.007969943
represent,-0.007970093
distinguish,-0.00797067
kolmogorov,-0.00797167
them,-0.007974129
agreement,-0.007975872
valid,-0.007976587
whose,-0.007977423
puls,-0.007978422
reservoir,-0.007978821
robust,-0.007979634
influenc,-0.007980526
accuraci,-0.007980808
deep,-0.007981484
follow,-0.007982353
becom,-0.007982896
growth,-0.007983455
enabl,-0.007986461
stationari,-0.007986604
bound,-0.007987224
eigenvalu,-0.007988364
need,-0.007989414
higher,-0.007990796
fast,-0.00799127
latter,-0.0079919845
stuart,-0.007992032
caus,-0.007992856
free,-0.007994458
complet,-0.007994834
length,-0.007995452
topolog,-0.007997589
graph,-0.007998842
caviti,-0.007999155
zero,-0.007999908
quasi,-0.008002792
eddi,-0.008002849
intens,-0.008004101
modifi,-0.008004253
scenario,-0.008005404
solv,-0.008006757
freedom,-0.008007988
common,-0.008010641
classif,-0.008011025
drive,-0.008011592
do,-0.008011742
abl,-0.0080122
collect,-0.008012442
support,-0.008012488
beyond,-0.008012575
explicit,-0.008013081
employ,-0.00801345
captur,-0.008014256
expect,-0.008014514
often,-0.008014621
about,-0.008015338
climat,-0.008016069
3,-0.008016882
those,-0.008017245
kick,-0.008018522
moreov,-0.008019805
central,-0.008020054
contain,-0.008020296
laser,-0.008021325
normal,-0.008022318
group,-0.008023751
varieti,-0.008023811
languag,-0.0080264155
fulli,-0.008026655
gaussian,-0.008026899
take,-0.008026996
variat,-0.008027104
tool,-0.008027766
chirikov,-0.0080282595
sticki,-0.008028742
sinc,-0.008029092
practic,-0.008032343
rather,-0.008032631
display,-0.008032872
outperform,-0.0080345385
multifract,-0.008035795
were,-0.008036779
formal,-0.008037068
deviat,-0.008037135
produc,-0.008037694
input,-0.008038762
formul,-0.008039023
express,-0.008039094
key,-0.008039615
irregular,-0.0080403425
accur,-0.008040455
util,-0.0080409665
shape,-0.008041026
