Term,Mitigated Information
cellular,0.0023421217
automata,0.0017580919
automaton,0.0003811267
we,-0.000112657806
rule,-0.0003151475
system,-0.00042961264
lattic,-0.00044332273
simul,-0.0005260785
ca,-0.00053514144
model,-0.00054052455
dynam,-0.00054062647
discret,-0.0006019707
one,-0.0006432972
which,-0.0006491118
state,-0.0006532012
allow,-0.0006583575
complex,-0.00068521965
use,-0.0006921204
time,-0.00070380734
can,-0.0007064118
from,-0.0007117508
also,-0.0007212447
show,-0.0007359751
structur,-0.0007385208
result,-0.0007422328
studi,-0.0007473695
elementari,-0.00074860104
comput,-0.0007550657
two,-0.0007770551
between,-0.0007841636
have,-0.0007913287
emerg,-0.00079478836
dimension,-0.0008023645
it,-0.0008061568
univers,-0.00081155624
local,-0.0008123007
numer,-0.00081388117
net,-0.0008194096
our,-0.0008222504
base,-0.0008252089
describ,-0.00082869444
solut,-0.00083085446
equat,-0.000832801
diagram,-0.000835603
paper,-0.0008383934
space,-0.00084191235
method,-0.0008502768
updat,-0.00085099443
boolean,-0.0008523759
pattern,-0.0008546316
paramet,-0.00085476565
field,-0.0008572277
neighbor,-0.00085893384
configur,-0.0008594287
problem,-0.0008651195
has,-0.0008653735
like,-0.00086557545
differ,-0.0008657753
cell,-0.0008658484
propos,-0.00086595904
random,-0.0008661231
stationari,-0.0008685296
interact,-0.000869995
evolut,-0.0008715828
present,-0.00087236287
physic,-0.00087308494
valu,-0.00087506254
neighborhood,-0.0008781652
provid,-0.0008789674
spatial,-0.00087930216
same,-0.00087979157
new,-0.0008799438
proc,-0.0008803178
initi,-0.0008841233
properti,-0.0008841499
where,-0.00088436547
obtain,-0.0008864358
produc,-0.0008864671
consid,-0.00088869245
scale,-0.00089103176
ani,-0.00089256425
algo,-0.0008927659
condit,-0.0008934928
particular,-0.0008953363
propag,-0.0008953961
glider,-0.0009006799
number,-0.0009035034
data,-0.00090713025
approach,-0.00090739585
relat,-0.00090806396
simpl,-0.0009082701
func,-0.0009088852
point,-0.0009092514
deriv,-0.0009101379
repres,-0.0009135726
each,-0.0009136834
effect,-0.00091537886
particl,-0.0009153943
distribut,-0.00091842003
some,-0.0009186766
theori,-0.00091904006
perform,-0.0009191764
transit,-0.00091960497
general,-0.0009214339
other,-0.0009225167
exist,-0.0009235154
behavior,-0.00092581793
here,-0.0009264864
e,-0.00092859264
type,-0.0009291048
exhibit,-0.00092972524
explicit,-0.00093003485
demonstr,-0.00093030464
densiti,-0.00093159056
finit,-0.0009316591
replic,-0.00093212177
diffus,-0.00093223964
organ,-0.00093272456
traffic,-0.00093435904
appli,-0.00093594345
well,-0.0009362429
s,-0.00093675527
devel,-0.0009372293
under,-0.0009377447
when,-0.00093778264
all,-0.00093791273
onli,-0.0009379133
while,-0.00093813194
stochast,-0.0009384288
high,-0.00093890086
phase,-0.00094055734
class,-0.0009405789
exampl,-0.0009417094
bernoulli,-0.000941764
construct,-0.0009432579
continu,-0.0009457579
kardar,-0.0009468844
binari,-0.0009476153
work,-0.0009480375
set,-0.0009483079
both,-0.0009490202
turi,-0.00094994716
direct,-0.00095020205
non,-0.0009507781
find,-0.00095078
1,-0.00095116626
introduc,-0.0009513537
probabilist,-0.00095205655
framework,-0.00095208443
depend,-0.00095209543
learn,-0.00095300114
graph,-0.00095338695
coars,-0.0009539019
dimens,-0.00095450773
refractori,-0.000954816
excit,-0.00095505116
stabl,-0.0009552266
howev,-0.000955762
give,-0.00095644273
mean,-0.0009565641
analogu,-0.00095778576
macroscop,-0.00095955876
partial,-0.00096028874
parisi,-0.0009611703
first,-0.0009628317
activ,-0.0009629844
becom,-0.0009630683
more,-0.0009631716
von,-0.0009635639
order,-0.0009640055
036114,-0.0009641224
10gb,-0.0009641224
145701,-0.0009641224
choatic,-0.0009641224
dellar,-0.0009641224
discoglid,-0.0009641224
frauenfeld,-0.0009641224
hedlung,-0.0009641224
lgca,-0.0009641224
matiec,-0.0009641224
permi,-0.0009641224
pggs,-0.0009641224
qsqw,-0.0009641224
resembr,-0.0009641224
rivesund,-0.0009641224
rnca,-0.0009641224
s2345,-0.0009641224
shercliff,-0.0009641224
statespac,-0.0009641224
streamifi,-0.0009641224
given,-0.0009643137
evolv,-0.0009649908
possibl,-0.00096500624
than,-0.0009650758
variabl,-0.00096548
includ,-0.0009655449
limit,-0.00096572307
painlev,-0.00096623186
term,-0.0009669772
dataset,-0.00096702087
been,-0.00096718024
map,-0.0009682219
applic,-0.00096859044
phenomena,-0.0009686236
larg,-0.00096912985
improv,-0.0009691666
character,-0.0009694612
hypercub,-0.00096952484
nonequilibrium,-0.0009698044
observ,-0.00096998585
thus,-0.0009706497
generat,-0.00097144325
veri,-0.0009714459
boundari,-0.00097267504
second,-0.00097449805
period,-0.000974613
understand,-0.00097461307
topolog,-0.000974618
optim,-0.0009748906
compar,-0.0009750068
infect,-0.0009750582
similar,-0.0009753215
correspond,-0.0009764701
way,-0.0009768754
neumann,-0.0009770646
synchr,-0.0009774998
experi,-0.0009777469
theoret,-0.0009781398
typic,-0.000978309
investig,-0.0009785517
squar,-0.0009788129
rang,-0.0009798981
i,-0.0009800611
life,-0.0009801541
mechan,-0.0009803051
potenti,-0.0009807338
polynomi,-0.0009809654
determinist,-0.000980966
specif,-0.0009809828
various,-0.000981051
natur,-0.0009812983
three,-0.000981299
mani,-0.0009813064
real,-0.0009813765
case,-0.0009822856
node,-0.0009823018
cannot,-0.0009826294
probabl,-0.0009828435
plus,-0.000983094
analysi,-0.0009834063
cluni,-0.0009841012
misanthrop,-0.0009841012
ssep,-0.0009841012
vdr,-0.0009841012
genet,-0.0009843429
measur,-0.0009852049
moreov,-0.00098562
0,-0.0009859671
analyt,-0.0009862409
signific,-0.0009864073
recent,-0.000986547
tool,-0.0009866081
neighbourhood,-0.000986787
inform,-0.0009868866
over,-0.0009869989
effici,-0.0009872471
statist,-0.0009881458
zhang,-0.0009896822
version,-0.0009898464
arbitrari,-0.0009909085
addit,-0.0009910087
exclus,-0.00099157
joo,-0.0009916287
passabl,-0.0009916287
sel,-0.0009916287
subdynam,-0.0009916287
novel,-0.0009922071
affect,-0.0009922978
size,-0.000992568
assum,-0.0009932551
achiev,-0.0009934021
defin,-0.0009935251
theorem,-0.0009935874
increas,-0.0009936099
dissimilar,-0.0009937397
estim,-0.0009940085
paradigmat,-0.0009947151
lead,-0.0009949867
2,-0.0009950387
form,-0.000995097
focus,-0.0009954185
extens,-0.0009954444
rate,-0.0009954958
tropic,-0.0009955532
symmetri,-0.0009958306
qualit,-0.0009959113
evalu,-0.0009960294
special,-0.0009963422
gravel,-0.0009965097
ja,-0.0009965097
margolus,-0.0009965097
ruleset,-0.0009965097
ultradiscret,-0.0009965097
wildland,-0.0009965097
opposit,-0.0009966876
reproduct,-0.0009970737
drift,-0.0009970824
devis,-0.0009971262
generic,-0.0009972211
task,-0.0009972841
analog,-0.0009983535
motion,-0.0009983707
exact,-0.0009984451
through,-0.0009985479
precipit,-0.0009986637
logarithm,-0.0009989416
art,-0.0009991903
nonlinear,-0.0009995262
design,-0.0009995546
predict,-0.0009997267
concept,-0.0009999588
requir,-0.0010000162
perish,-0.0010001336
pj,-0.0010001336
definit,-0.0010005089
challeng,-0.0010009882
fundament,-0.001001066
agre,-0.0010012044
interpret,-0.0010012855
train,-0.0010015944
relev,-0.001001685
unstabl,-0.001002691
dequant,-0.0010030172
immunodefici,-0.0010030172
nonhyperbol,-0.0010030172
techniqu,-0.0010033915
spite,-0.0010036946
remain,-0.0010038865
onto,-0.0010040718
agreement,-0.0010042613
prioriti,-0.0010043426
interplay,-0.0010049096
independ,-0.0010050016
quantum,-0.0010052468
644,-0.0010054116
drake,-0.0010054116
hegselmann,-0.0010054116
quadtre,-0.0010054116
wolfram,-0.0010054116
self,-0.0010054607
truli,-0.0010057536
asymmetr,-0.0010058646
shown,-0.0010059422
fire,-0.0010062295
energi,-0.001006996
experiment,-0.0010070141
wave,-0.0010071225
linear,-0.001007437
accuraci,-0.0010074563
world,-0.0010075055
1956,-0.0010075443
aca,-0.0010075443
baffl,-0.0010075443
lebowitz,-0.0010075443
may,-0.001007606
singl,-0.0010076395
uniform,-0.0010078802
d,-0.0010087213
start,-0.001008894
prove,-0.0010093
open,-0.0010093016
how,-0.0010093196
synopsi,-0.0010093311
long,-0.001009496
so,-0.0010096289
strong,-0.0010096364
power,-0.0010097018
multi,-0.0010097147
chang,-0.0010097548
determin,-0.0010098565
most,-0.0010098995
classif,-0.0010099312
found,-0.0010099732
standard,-0.0010100992
extend,-0.0010101945
due,-0.0010104283
pdes,-0.0010107944
mathemat,-0.0010108589
179,-0.001010916
curti,-0.001010916
kov,-0.001010916
import,-0.0010113694
consist,-0.0010114757
modifi,-0.001011541
evid,-0.0010117402
bear,-0.001011996
discuss,-0.0010120107
fractal,-0.0010124396
featur,-0.0010126978
momenta,-0.0010127906
speed,-0.0010128624
aspect,-0.0010132116
make,-0.0010134398
172,-0.0010136318
platon,-0.0010136318
larger,-0.0010136502
neighbour,-0.0010137262
nomin,-0.0010137262
box,-0.0010141387
sever,-0.0010148117
integ,-0.0010150521
whose,-0.0010150991
spatiotempor,-0.0010154969
9th,-0.0010159037
asep,-0.0010159037
conp,-0.0010159037
pde,-0.0010159712
