Term,Mitigated Information
nuclear,0.0010900791
collis,-0.000457559
energi,-0.0012890882
nuclei,-0.0016619647
we,-0.0018501682
neutron,-0.0019874214
heavi,-0.0020143036
proton,-0.0021945166
io,-0.002513584
reaction,-0.0029300381
measur,-0.0031284932
nucleus,-0.0031758193
nucleon,-0.003216133
particl,-0.003596156
use,-0.0037701894
from,-0.0038281432
hadron,-0.003941683
mev,-0.004065858
detector,-0.004162914
product,-0.0042958395
experi,-0.00429661
studi,-0.0043108645
result,-0.0044068834
section,-0.0044334987
experiment,-0.0044414094
beam,-0.004577947
model,-0.0045905416
quark,-0.0046375976
present,-0.004667325
gluon,-0.004703462
mass,-0.0047073676
isotop,-0.004722676
which,-0.0047239154
rhic,-0.0048016515
calcul,-0.0048503545
matter,-0.0048514064
data,-0.004858943
interact,-0.004863712
momentum,-0.0048845788
discuss,-0.0048910254
lhc,-0.0049048825
can,-0.0049530216
decay,-0.0049643717
observ,-0.004970923
high,-0.0050296
cross,-0.0051986207
physic,-0.005276042
scatter,-0.0052827722
new,-0.0052865692
our,-0.0052895416
effect,-0.0052947993
pion,-0.0053225593
relativist,-0.0053562284
been,-0.005361944
show,-0.0053699715
charg,-0.0053992285
state,-0.0054037003
have,-0.005425313
also,-0.005428157
parton,-0.005451489
deuteron,-0.005470449
depend,-0.00547345
base,-0.0054745013
gev,-0.00550113
first,-0.005505794
two,-0.005516991
well,-0.0055182106
beta,-0.005545951
paper,-0.0055496395
propos,-0.005557223
method,-0.005572886
qcd,-0.0055933963
alic,-0.0055957483
gamma,-0.0055972543
provid,-0.005602926
collid,-0.0056216707
has,-0.0056236517
system,-0.005624924
larg,-0.0056490907
proc,-0.0056652837
correl,-0.0056679593
facil,-0.0056739375
medium,-0.005678609
describ,-0.0056915754
meson,-0.005705524
time,-0.0057090325
pb,-0.0057137925
differ,-0.0057371915
one,-0.0057673883
between,-0.00577581
func,-0.005781926
compar,-0.005803024
perform,-0.0058214627
includ,-0.0058236183
low,-0.005827822
fragment,-0.0058318647
laboratori,-0.0058371024
approach,-0.0058511966
event,-0.0058575273
spectromet,-0.0058704447
distribut,-0.0058794627
both,-0.0058852844
predict,-0.0059003397
structur,-0.0059124804
background,-0.005912792
recent,-0.005922322
transvers,-0.005923821
sensit,-0.005924299
obtain,-0.005937208
devel,-0.0059411377
rang,-0.0059433086
electron,-0.005947068
problem,-0.005952564
relat,-0.005955765
neutrino,-0.0059696063
excit,-0.0059886915
shell,-0.0059946515
learn,-0.006002624
1,-0.006006236
astrophys,-0.0060093957
radioact,-0.0060140938
inelast,-0.006031608
densiti,-0.00604044
review,-0.0060507045
work,-0.006054275
investig,-0.006054665
dynam,-0.006057064
analysi,-0.006057398
properti,-0.0060575106
it,-0.0060746945
precis,-0.0060877153
azimuth,-0.006089285
target,-0.006091497
demonstr,-0.006094575
p,-0.0060948804
order,-0.006096891
search,-0.0061041494
2,-0.006107581
were,-0.0061080074
baryon,-0.006121313
fission,-0.0061229854
produc,-0.0061252182
spectra,-0.0061253384
field,-0.0061259605
other,-0.0061340607
theoret,-0.0061342292
final,-0.0061349412
general,-0.006137278
s,-0.0061396933
possibl,-0.006140182
cern,-0.0061436757
net,-0.0061465837
collect,-0.0061481753
kinemat,-0.006150008
isospin,-0.0061579887
n,-0.006167116
applic,-0.0061717625
light,-0.00617259
more,-0.00617975
comput,-0.006182626
strong,-0.0061827544
find,-0.006184502
induc,-0.006186483
gsi,-0.0061871912
particular,-0.006187947
futur,-0.0061916634
determin,-0.0061988677
some,-0.0061990237
import,-0.006199308
howev,-0.0062045557
eic,-0.006218222
non,-0.0062197335
found,-0.006220346
region,-0.0062221764
contribut,-0.0062237238
ray,-0.0062267534
set,-0.0062284516
algo,-0.0062297527
exist,-0.006232759
angular,-0.006235007
number,-0.0062428806
0,-0.006245504
improv,-0.0062468853
dataset,-0.006249173
current,-0.0062500825
paramet,-0.0062510753
strang,-0.006255062
addit,-0.006255513
various,-0.0062563103
than,-0.0062600723
jet,-0.006264783
na61,-0.0062652403
detect,-0.0062669623
generat,-0.006268847
all,-0.006269088
hot,-0.0062709483
inform,-0.0062717316
introduc,-0.006271817
onli,-0.0062740655
transport,-0.006276235
when,-0.006279258
phase,-0.0062793987
theori,-0.006279613
probe,-0.006286519
understand,-0.006288297
12c,-0.006289129
neutrinoless,-0.006289129
lead,-0.0062891925
factor,-0.0062900702
simul,-0.0062931166
direct,-0.0063000806
case,-0.00630102
allow,-0.006302537
consid,-0.0063063274
5,-0.0063090045
potenti,-0.0063100876
requir,-0.0063106962
train,-0.0063123736
while,-0.006312921
chiral,-0.006314758
up,-0.00631861
qgp,-0.0063190153
optim,-0.0063204896
where,-0.0063214228
signific,-0.0063223853
sever,-0.006328859
photoproduct,-0.0063292957
sps,-0.006329386
limit,-0.0063331863
reson,-0.006333949
shown,-0.0063348543
about,-0.0063350312
scale,-0.0063357814
task,-0.00633888
photon,-0.006340936
flow,-0.006343148
multipl,-0.006346694
under,-0.0063489177
report,-0.006352583
space,-0.006353613
urqmd,-0.0063536316
over,-0.0063537452
interest,-0.0063539594
framework,-0.00635578
alpha,-0.006359121
through,-0.006359582
acceler,-0.0063602147
previous,-0.006361421
incid,-0.0063614645
mechan,-0.0063616503
emiss,-0.006366917
charm,-0.0063727745
phenix,-0.006372846
descript,-0.0063736546
focus,-0.0063740676
spin,-0.006375747
valu,-0.0063758474
program,-0.006378901
techniqu,-0.006382728
small,-0.0063831406
increas,-0.0063836733
three,-0.0063837655
effici,-0.0063883667
role,-0.006389885
ratio,-0.006390103
achiev,-0.0063902377
antineutrino,-0.0063953972
due,-0.00639545
muon,-0.006396009
appli,-0.006396886
real,-0.0064005433
rich,-0.0064010564
uncertainti,-0.0064011253
most,-0.0064021545
4,-0.006402556
design,-0.006404176
within,-0.0064051924
resolut,-0.0064068767
complex,-0.0064100362
overview,-0.0064111724
term,-0.0064133424
c,-0.006414541
mani,-0.00641526
solut,-0.006416844
equat,-0.006416928
psi,-0.0064172223
transit,-0.00641911
prove,-0.006423005
veri,-0.0064254324
kev,-0.0064267903
electromagnet,-0.006427594
shine,-0.0064298282
10,-0.006430426
here,-0.0064313123
jefferson,-0.0064339032
comparison,-0.006434567
good,-0.0064376984
hyperon,-0.0064380243
spectat,-0.0064380243
project,-0.0064388616
deriv,-0.0064406903
au,-0.0064415685
quantum,-0.0064420677
test,-0.0064421687
further,-0.006445055
local,-0.006445573
initi,-0.006445901
evalu,-0.006446763
how,-0.006446784
rapid,-0.006447368
approxim,-0.006447973
novel,-0.006450901
76,-0.006452871
consist,-0.0064533423
chromodynam,-0.0064535956
challeng,-0.00645439
condit,-0.0064544547
star,-0.0064547635
singl,-0.0064578243
doubl,-0.0064591034
each,-0.006461136
those,-0.006461378
plasma,-0.006462347
sourc,-0.0064631375
explor,-0.006463291
brookhaven,-0.0064644967
specif,-0.006466126
hade,-0.006468479
central,-0.006468983
threshold,-0.0064706793
point,-0.0064714323
polar,-0.006471852
oper,-0.0064718956
collabor,-0.0064722477
numer,-0.006473475
jlab,-0.006473626
year,-0.0064752107
extract,-0.0064759054
drip,-0.0064768437
featur,-0.006477195
coupl,-0.006477601
thermal,-0.006478582
estim,-0.006478739
near,-0.006480335
upgrad,-0.006480967
wide,-0.00649096
natur,-0.006491935
out,-0.006492058
channel,-0.0064929626
level,-0.0064937524
power,-0.0064962944
e,-0.0064967824
inclus,-0.0064975847
bodi,-0.006497917
imag,-0.006498509
form,-0.0065006223
7,-0.006500646
correct,-0.0065006786
yield,-0.006502293
type,-0.006504463
even,-0.006504756
given,-0.0065065515
multi,-0.006507184
may,-0.0065088742
angl,-0.006509706
antiproton,-0.0065121134
element,-0.0065134405
indic,-0.0065146433
make,-0.006514947
status,-0.006515168
pair,-0.006515346
combin,-0.0065161753
expect,-0.0065163663
extend,-0.00651668
dipol,-0.00651716
temperatur,-0.0065176776
statist,-0.006517789
modif,-0.0065185037
reduc,-0.006519927
class,-0.0065211914
nica,-0.0065218396
spectrum,-0.006522557
peripher,-0.0065248623
evolut,-0.0065251375
i,-0.0065252213
flavor,-0.0065264585
known,-0.0065264953
rate,-0.006527752
dimension,-0.006528726
z,-0.0065321918
construct,-0.0065331454
exampl,-0.0065346304
emit,-0.0065351212
could,-0.0065361545
analyz,-0.006537153
linear,-0.006537286
control,-0.0065400456
reconstruct,-0.0065403585
identifi,-0.006541509
hpge,-0.0065445974
midrapid,-0.0065445974
pseudorapid,-0.0065445974
constraint,-0.0065450505
underground,-0.006545986
reactor,-0.006546051
graph,-0.0065473323
germanium,-0.0065476457
give,-0.006548946
x,-0.0065500224
asymmetri,-0.0065512746
symmetri,-0.0065532606
research,-0.006554138
art,-0.0065552676
object,-0.006555589
neural,-0.006555954
main,-0.0065573384
deform,-0.006558074
mean,-0.006558283
enhanc,-0.0065585608
correspond,-0.0065601217
epo,-0.006560459
few,-0.006560591
atom,-0.006561194
200,-0.0065628346
signal,-0.0065632937
fluctuat,-0.0065636323
like,-0.006566867
projectil,-0.0065675704
avail,-0.0065678144
integr,-0.0065683466
standard,-0.0065694368
far,-0.006569733
d,-0.0065706833
ultra,-0.0065713376
3,-0.0065716985
cms,-0.0065752235
extens,-0.0065752715
breakup,-0.006576188
lepton,-0.0065763295
open,-0.006576353
transfer,-0.0065771085
cosi,-0.006577437
extrapol,-0.006578703
follow,-0.00657912
suppress,-0.0065811006
microscop,-0.006584716
ani,-0.006585395
alamo,-0.006585714
nuclid,-0.006585714
shape,-0.0065889526
forward,-0.0065907035
address,-0.006591608
fair,-0.0065917443
elast,-0.0065921657
without,-0.0065931366
magnet,-0.006593172
8,-0.006595452
represent,-0.006596151
tev,-0.0065977257
total,-0.006598208
below,-0.0065994174
long,-0.0065994724
superheavi,-0.0065994966
eta,-0.0065997513
perspect,-0.0066008572
close,-0.0066009816
sampl,-0.0066019497
simpl,-0.006603363
discoveri,-0.006604681
critic,-0.0066050272
genet,-0.006605169
radiat,-0.0066053816
implement,-0.0066057933
momenta,-0.0066078184
similar,-0.0066078664
same,-0.0066079265
respect,-0.0066081574
detail,-0.006608181
deep,-0.006608379
protocol,-0.00661062
accuraci,-0.006610679
carlo,-0.006611233
calibr,-0.0066117905
size,-0.0066123875
way,-0.006612954
explain,-0.0066143973
238u,-0.0066151964
hypernuclear,-0.0066151964
208pb,-0.0066161975
rare,-0.0066165267
core,-0.00661661
dure,-0.0066173207
classif,-0.006617377
need,-0.006617435
origin,-0.0066178525
defin,-0.0066178828
crank,-0.006618373
finit,-0.0066186804
employ,-0.006618705
second,-0.0066191484
thus,-0.006619672
fundament,-0.006620522
interpret,-0.0066205696
pythia,-0.006621176
respons,-0.0066221636
via,-0.0066260262
domain,-0.006626302
enabl,-0.0066269147
higher,-0.006629493
tritium,-0.006629727
uniqu,-0.0066302526
sigma,-0.0066303485
outperform,-0.006630714
tag,-0.0066309907
deuterium,-0.0066310214
aim,-0.0066311276
chang,-0.0066315457
transform,-0.0066318596
recoil,-0.0066319867
languag,-0.006632702
four,-0.006633167
activ,-0.0066332393
dedic,-0.006633945
mont,-0.0066358754
adapt,-0.006636399
nation,-0.0066366163
associ,-0.0066367593
pi,-0.006638871
amplitud,-0.0066394885
compton,-0.0066397456
select,-0.0066403355
di,-0.0066406443
pariti,-0.0066409637
16o,-0.0066409707
spallat,-0.0066409707
key,-0.006641154
behavior,-0.0066430657
so,-0.0066435165
solv,-0.006643719
made,-0.0066439477
next,-0.0066439486
metric,-0.0066441027
tool,-0.006644565
them,-0.006644624
analyt,-0.0066454443
posit,-0.006646324
call,-0.0066463486
better,-0.0066467007
systemat,-0.0066472385
play,-0.0066473866
across,-0.0066473894
reveal,-0.0066476064
agreement,-0.006647642
group,-0.00664812
phenomenolog,-0.006648767
line,-0.0066491077
bnl,-0.006649146
character,-0.0066494886
success,-0.0066496213
univers,-0.00664992
us,-0.0066509615
separ,-0.0066516288
lambda,-0.006651719
array,-0.0066519785
14b,-0.006652064
antihypertriton,-0.006652064
ebac,-0.006652064
itep,-0.006652064
mcnp6,-0.006652064
highlight,-0.0066526867
briefli,-0.006654031
bound,-0.0066540516
valid,-0.0066556297
exot,-0.006655856
flavour,-0.0066565024
plane,-0.0066566356
bind,-0.0066566635
pqcd,-0.00665708
classic,-0.006657704
influenc,-0.0066585764
code,-0.006659898
cosmic,-0.006660296
lab,-0.0066605555
g,-0.0066606347
start,-0.006660696
ground,-0.0066610468
radius,-0.0066618337
random,-0.006663065
continu,-0.0066635744
darmstadt,-0.0066637844
infn,-0.0066637844
format,-0.0066640694
suggest,-0.0066640745
creat,-0.006665108
complet,-0.006665276
strategi,-0.0066655264
vector,-0.00666561
relev,-0.0066657853
therefor,-0.0066659763
intens,-0.006667217
contain,-0.006668286
decad,-0.0066684526
coulomb,-0.0066689616
machin,-0.0066691977
soft,-0.0066692
48ca,-0.006669907
cbm,-0.006669907
15,-0.0066701146
capabl,-0.0066702664
robust,-0.0066715223
fusion,-0.0066716354
deviat,-0.006671956
util,-0.0066724475
collinear,-0.0066734743
probabl,-0.0066735186
eo,-0.0066736396
connect,-0.00667375
shower,-0.0066741896
configur,-0.0066744904
user,-0.006675084
6,-0.0066752248
40ca,-0.0066755973
gogni,-0.0066755973
hbt,-0.0066755973
cost,-0.006675714
plan,-0.0066762464
implic,-0.0066766758
reproduc,-0.0066770287
reach,-0.0066773095
map,-0.0066774525
communic,-0.0066777146
hydrodynam,-0.006679544
perturb,-0.0066797975
question,-0.0066798767
reflect,-0.0066799973
radioisotop,-0.0066804485
help,-0.006680648
human,-0.0066807694
readout,-0.006680824
compon,-0.0066809473
ongo,-0.006681288
take,-0.0066817575
establish,-0.0066822353
furthermor,-0.006682466
error,-0.006682595
center,-0.0066841776
124sn,-0.006684378
antinuclei,-0.006684378
catania,-0.006684378
cebaf,-0.006684378
hauser,-0.006684378
lansc,-0.006684378
often,-0.006684471
taken,-0.00668519
involv,-0.0066854623
dens,-0.006685703
radii,-0.006686298
practic,-0.006686734
scheme,-0.0066869054
global,-0.0066874237
common,-0.006688325
impact,-0.006688539
wave,-0.0066894176
opportun,-0.006689484
cold,-0.006689654
repres,-0.0066897133
run,-0.00669025
account,-0.0066910507
context,-0.006691221
support,-0.0066924505
offer,-0.0066930354
minim,-0.0066931346
degre,-0.006693507
optic,-0.0066935173
progress,-0.0066939704
pen,-0.006693972
accur,-0.0066940016
articl,-0.0066941483
after,-0.0066941883
surfac,-0.0066947304
part,-0.0066952636
exhibit,-0.0066956873
input,-0.0066965483
residu,-0.0066971956
variabl,-0.0066974577
