Term,Mitigated Information
beam,0.006887553
acceler,0.0027576003
bunch,-0.00024362048
electron,-0.0012529327
we,-0.0013247728
particl,-0.002302094
energi,-0.0023084204
laser,-0.0023875772
linac,-0.0025531438
high,-0.0026778374
use,-0.0027185916
puls,-0.002906079
collid,-0.0029098636
wakefield,-0.0030480768
emitt,-0.0032181428
present,-0.0032587964
facil,-0.0032714563
undul,-0.0032719728
proton,-0.003291605
charg,-0.003385862
plasma,-0.0033911415
rf,-0.0033924596
result,-0.0034512826
from,-0.0034556985
simul,-0.003464521
caviti,-0.0035335673
magnet,-0.0035548713
transvers,-0.0035945077
can,-0.0036191265
which,-0.00362459
io,-0.0036529964
injector,-0.0036570039
intens,-0.0036834157
fel,-0.0037239233
oper,-0.0037967674
superconduct,-0.0038088842
design,-0.003853378
field,-0.0038889442
model,-0.003890379
studi,-0.0039148955
discuss,-0.003944954
inject,-0.0039638174
ring,-0.0039762165
our,-0.004017138
effect,-0.0040282793
physic,-0.0040333816
paper,-0.004039899
longitudin,-0.0040520458
measur,-0.0040737935
cool,-0.0040868623
fermilab,-0.004109378
has,-0.004110963
system,-0.0041262107
show,-0.0041339016
current,-0.004145796
experi,-0.0041560936
been,-0.0041769845
base,-0.0041794907
synchr,-0.0041812
cryomodul,-0.0042162286
also,-0.004225384
perform,-0.004231977
frequenc,-0.0042338604
radiat,-0.00424211
betatron,-0.0042540566
requir,-0.0042747743
propos,-0.0042923694
two,-0.004299083
mev,-0.004299413
method,-0.004317629
have,-0.0043420917
applic,-0.0043437947
1,-0.0043441392
gev,-0.0043510473
provid,-0.00436905
both,-0.0043750904
sourc,-0.004388458
devel,-0.00440452
test,-0.0044060284
time,-0.0044064973
generat,-0.004445874
describ,-0.004461033
cell,-0.004462319
power,-0.004474373
paramet,-0.004475085
lcls,-0.004485484
limit,-0.0044941115
data,-0.004494323
stor,-0.004497621
includ,-0.004514427
new,-0.0045158197
cw,-0.004517294
low,-0.004521805
futur,-0.0045357435
space,-0.0045359535
well,-0.004537107
2,-0.004541043
approach,-0.0045543117
dynam,-0.004557895
one,-0.0045772
diagnost,-0.004585476
cern,-0.00458836
between,-0.0045938906
state,-0.004598357
demonstr,-0.0046033235
interact,-0.0046105944
proc,-0.004614218
numer,-0.004617595
differ,-0.004619628
quadrupol,-0.0046196617
beamlin,-0.004630396
net,-0.0046349512
apertur,-0.004637854
x,-0.004645677
srf,-0.004648681
it,-0.0046515306
advanc,-0.004652317
order,-0.0046529123
instal,-0.0046533295
experiment,-0.004666061
relativist,-0.0046752454
learn,-0.00467762
length,-0.004681195
technolog,-0.004691468
xfel,-0.0046922415
gun,-0.0046934024
first,-0.0046948865
achiev,-0.0046950206
problem,-0.0046953303
produc,-0.0047027254
more,-0.0047057485
techniqu,-0.0047136093
possibl,-0.0047178776
work,-0.004721198
3,-0.0047212574
distribut,-0.004724778
general,-0.004725761
singl,-0.0047293454
increas,-0.0047302553
phase,-0.0047315108
larg,-0.0047320677
due,-0.004733915
func,-0.0047372673
sextupol,-0.0047378433
circular,-0.0047378913
free,-0.0047385194
calcul,-0.0047404314
report,-0.0047502476
than,-0.0047505507
5,-0.0047517484
optim,-0.0047522015
compar,-0.0047532786
laboratori,-0.004755727
s,-0.0047587804
analyt,-0.004759125
control,-0.0047600036
ray,-0.0047748736
structur,-0.004780417
comput,-0.004784767
positron,-0.00478529
linear,-0.0047861473
reson,-0.00478667
optic,-0.0047879713
rfq,-0.0047900644
dataset,-0.0047924747
ilc,-0.0047939452
condit,-0.0047976393
howev,-0.0048044752
investig,-0.0048072473
non,-0.0048073865
reduc,-0.0048104585
rang,-0.0048105135
up,-0.0048113335
were,-0.004811845
coher,-0.004814728
dipol,-0.004819636
set,-0.004822317
when,-0.0048231473
algo,-0.004823613
observ,-0.004823823
densiti,-0.0048240256
properti,-0.0048317136
radio,-0.004835043
consid,-0.0048362673
muon,-0.004837832
recent,-0.004837907
obtain,-0.004840525
luminos,-0.0048406287
commiss,-0.0048407065
mw,-0.004846151
relat,-0.0048475577
through,-0.0048492616
mhz,-0.0048502074
introduc,-0.004851627
spread,-0.0048551457
signific,-0.0048572626
depend,-0.0048584035
exist,-0.0048603076
other,-0.0048606726
allow,-0.004862108
tune,-0.004862358
case,-0.0048643067
where,-0.004866354
target,-0.0048675807
find,-0.004868826
nb3sn,-0.0048724823
