Term,Mitigated Information
we,-0.0031348434
devic,-0.0033099651
materi,-0.0037396974
use,-0.005943031
demonstr,-0.0064787455
here,-0.0068714917
high,-0.0070003606
can,-0.0070772124
optic,-0.0074963695
applic,-0.007735231
which,-0.008143648
from,-0.008243225
base,-0.008544803
fabric,-0.008849878
result,-0.008856186
design,-0.00908532
effect,-0.009241193
electr,-0.009273751
electron,-0.009309111
structur,-0.009395565
metal,-0.009569639
experiment,-0.009635424
have,-0.009648147
field,-0.009690488
devel,-0.009715509
film,-0.0097379275
show,-0.009863738
model,-0.0098912185
studi,-0.0099994335
system,-0.010096088
our,-0.010130281
low,-0.010130719
frequenc,-0.010197095
perform,-0.010205073
surfac,-0.010228055
rang,-0.010282251
two,-0.010350265
properti,-0.0103551475
present,-0.010366561
work,-0.010418539
control,-0.0104386
method,-0.010449123
measur,-0.010465061
enabl,-0.010553945
proc,-0.010562983
report,-0.010563287
howev,-0.010571562
provid,-0.010603784
differ,-0.010649585
mechan,-0.010687793
photon,-0.010690888
achiev,-0.010703444
has,-0.010730578
layer,-0.010745992
been,-0.010759954
reson,-0.010765565
energi,-0.01076619
time,-0.010797484
thin,-0.010797944
light,-0.010815835
nm,-0.010821871
also,-0.010824554
substrat,-0.010870552
chip,-0.010933119
propos,-0.010938305
between,-0.010947013
technolog,-0.010951747
due,-0.0109552685
state,-0.010976399
both,-0.011003995
power,-0.011015268
respons,-0.011020256
temperatur,-0.011025203
integr,-0.011045533
approach,-0.011061915
wave,-0.011063387
laser,-0.011066234
circuit,-0.011069636
effici,-0.0111094285
potenti,-0.011180443
direct,-0.011197588
generat,-0.011227625
paper,-0.011228945
singl,-0.011261314
oxid,-0.011273551
new,-0.011286697
voltag,-0.011343778
current,-0.011353452
simul,-0.011357933
requir,-0.011367877
investig,-0.011373261
thick,-0.011391427
wavelength,-0.011391679
silicon,-0.011409901
increas,-0.011412528
one,-0.011412839
combin,-0.011455653
oper,-0.011463926
it,-0.011469033
mode,-0.011474862
realiz,-0.011477276
func,-0.011482976
through,-0.011492075
promis,-0.01149526
depend,-0.011531975
coupl,-0.011542535
semiconductor,-0.011543193
magnet,-0.011554823
transmiss,-0.011588414
signific,-0.011605051
larg,-0.011625482
metasurfac,-0.0116524715
thermal,-0.011686156
data,-0.011693424
well,-0.011715989
limit,-0.01172404
dynam,-0.011735903
techniqu,-0.011768985
puls,-0.011786964
phase,-0.011797318
cell,-0.011804341
microscopi,-0.011816168
scale,-0.011865821
beam,-0.011875564
compar,-0.011877185
induc,-0.01187783
waveguid,-0.011891447
under,-0.01191544
platform,-0.0119298715
electrod,-0.011948466
engin,-0.011964767
comput,-0.011971713
while,-0.011977321
excit,-0.011990516
includ,-0.011992406
tunabl,-0.011998897
more,-0.012007632
resist,-0.012011504
non,-0.012052606
absorpt,-0.012055599
challeng,-0.01205899
quantum,-0.012059319
conduct,-0.012064175
observ,-0.01206537
element,-0.012081302
physic,-0.012100978
up,-0.012103248
than,-0.012108972
enhanc,-0.012120454
optim,-0.012121131
order,-0.012125858
carrier,-0.012129513
deposit,-0.012137436
recent,-0.012140274
densiti,-0.012140389
convent,-0.012140643
first,-0.012146556
novel,-0.012163768
chang,-0.01216479
were,-0.012170423
signal,-0.012171338
propag,-0.012171961
1,-0.01218451
problem,-0.012191516
microwav,-0.012195477
over,-0.012195686
exhibit,-0.012202638
modul,-0.01220971
character,-0.012213532
lead,-0.012222875
obtain,-0.012224823
size,-0.012226065
spectroscopi,-0.012231039
implement,-0.012237647
switch,-0.012238925
allow,-0.012244866
crystal,-0.012260226
further,-0.012264262
dimension,-0.012268405
s,-0.012270677
sens,-0.012274959
band,-0.012277304
heat,-0.012277414
diod,-0.012277975
condit,-0.01228619
strain,-0.012290123
addit,-0.012292659
find,-0.012297589
dielectr,-0.012297925
nano,-0.012298045
sensit,-0.012300242
mem,-0.012303283
improv,-0.012308102
onli,-0.012308876
possibl,-0.012309726
metamateri,-0.012310484
appli,-0.012313567
2d,-0.012314933
other,-0.012327707
0,-0.012330657
charg,-0.012336993
advanc,-0.012338041
manipul,-0.012341097
room,-0.012350297
net,-0.012350572
introduc,-0.012352172
general,-0.012355645
numer,-0.012369877
import,-0.012384526
transistor,-0.012391725
free,-0.012397919
inform,-0.012400593
plasmon,-0.012400822
relat,-0.012413969
solid,-0.012424958
solut,-0.012430607
when,-0.012443081
paramet,-0.012444359
experi,-0.012448072
analysi,-0.01246725
electromagnet,-0.012473775
interfac,-0.012478135
offer,-0.012479979
learn,-0.012489881
theoret,-0.012493569
nanoscal,-0.01249427
all,-0.0124944355
polar,-0.01250495
pattern,-0.012505133
activ,-0.012511584
algo,-0.012516319
radiat,-0.01252687
type,-0.012528195
io,-0.012530753
various,-0.012531134
within,-0.012534412
number,-0.012540242
complex,-0.01254531
set,-0.012555253
transit,-0.012557887
