Term,Mitigated Information
atom,0.00023371051
molecul,0.00013742462
molecular,-4.1803316E-05
electron,-0.00011482334
we,-0.00039292657
cluster,-0.00041305748
io,-0.0004208666
energi,-0.000503347
use,-0.0007179353
vibrat,-0.00074792816
structur,-0.00076014694
carbon,-0.0007862393
interact,-0.0008123888
which,-0.00082188187
calcul,-0.0008220705
state,-0.00084545946
experiment,-0.0008464025
excit,-0.0008662345
func,-0.00089292263
densiti,-0.00089407887
can,-0.000894479
dynam,-0.00090763625
from,-0.0009175921
result,-0.00093655824
potenti,-0.0009378382
quantum,-0.0009451839
system,-0.0009474692
laser,-0.0009797134
found,-0.0009828669
have,-0.0009987414
metal,-0.0010042252
helium,-0.0010068229
chemistri,-0.0010142864
theoret,-0.0010154701
model,-0.0010210703
due,-0.0010234058
between,-0.0010237067
mechan,-0.0010375741
surfac,-0.0010507653
chemic,-0.0010537524
been,-0.0010609794
bond,-0.0010680537
discuss,-0.0010738536
shell,-0.0010774193
studi,-0.001078971
high,-0.0010832476
our,-0.0010869168
method,-0.0010906433
ab,-0.0010951256
effect,-0.001095207
correl,-0.0011001527
show,-0.0011009184
proc,-0.0011065605
where,-0.0011069417
well,-0.0011084261
present,-0.0011104746
has,-0.0011108199
strong,-0.0011110984
initio,-0.0011153411
paper,-0.0011160998
investig,-0.0011205063
agreement,-0.0011241322
field,-0.0011278759
propos,-0.0011283321
base,-0.0011318487
also,-0.0011322016
free,-0.0011394615
time,-0.0011395087
differ,-0.001140138
two,-0.0011402947
observ,-0.0011407223
ground,-0.001141502
dimer,-0.0011420603
theori,-0.0011427128
temperatur,-0.0011448058
induc,-0.001152092
one,-0.0011544246
bodi,-0.0011603441
form,-0.0011611921
forc,-0.0011636763
valenc,-0.0011646246
size,-0.00116681
weak,-0.0011678583
it,-0.0011684753
intermolecular,-0.0011756745
nm,-0.001177857
format,-0.0011850903
intens,-0.0011882784
determin,-0.001188632
data,-0.0011892332
than,-0.0011902526
orbit,-0.0011932501
approach,-0.0011940459
compar,-0.0011961308
dioxid,-0.001196703
both,-0.0011974678
depend,-0.0012020986
employ,-0.0012029784
perform,-0.0012045724
describ,-0.0012046333
radiat,-0.0012056795
interatom,-0.0012063695
charg,-0.001206648
experi,-0.0012103474
non,-0.0012113522
lumo,-0.001211579
comput,-0.0012118287
coulomb,-0.0012171218
predict,-0.0012187036
physic,-0.0012205295
control,-0.0012208744
doubl,-0.0012218102
intramolecular,-0.0012226255
nanoparticl,-0.0012233978
beam,-0.0012240441
provid,-0.0012241977
singl,-0.0012243522
simul,-0.0012246923
measur,-0.0012248346
obtain,-0.0012259375
small,-0.0012263308
natur,-0.001227357
possibl,-0.0012275226
shown,-0.0012295836
spectra,-0.0012297247
reaction,-0.0012299181
demonstr,-0.0012300904
decay,-0.0012306647
bind,-0.0012307913
femtosecond,-0.0012333195
puls,-0.0012355847
1,-0.0012361468
freedom,-0.0012364069
dress,-0.0012377817
conic,-0.001239219
number,-0.0012409117
all,-0.0012411476
occur,-0.0012412486
other,-0.001241273
general,-0.0012425141
homo,-0.0012429849
problem,-0.0012430656
impur,-0.0012444654
light,-0.0012446753
sensit,-0.0012450007
here,-0.0012472917
hydrocarbon,-0.001247748
work,-0.0012485265
diatom,-0.0012486225
coupl,-0.0012487444
more,-0.0012488089
symmetri,-0.0012490831
local,-0.0012507357
devel,-0.0012518158
nanotub,-0.0012520337
indic,-0.0012523325
new,-0.0012530137
wave,-0.0012530768
particular,-0.0012543037
fragment,-0.0012544307
order,-0.0012550786
analysi,-0.0012553827
onli,-0.0012554491
properti,-0.001255716
genet,-0.001256618
approxim,-0.0012568352
cage,-0.0012573395
absorpt,-0.0012578691
howev,-0.0012580345
first,-0.0012580908
degre,-0.0012581589
larg,-0.0012582331
like,-0.0012582678
dft,-0.0012597163
algo,-0.0012603281
td,-0.0012607799
microscop,-0.0012609157
mark,-0.0012609386
scatter,-0.0012611694
transit,-0.0012614913
alkali,-0.0012620463
learn,-0.0012625601
droplet,-0.0012625917
coordin,-0.0012632307
relat,-0.0012634057
thus,-0.001264276
when,-0.0012643621
length,-0.0012647362
nanodroplet,-0.0012649668
coval,-0.0012651319
various,-0.0012651501
configur,-0.0012654484
catalyt,-0.0012657054
consid,-0.0012661446
three,-0.0012664178
chang,-0.0012665137
while,-0.0012666722
lead,-0.0012667628
spin,-0.0012677255
3,-0.0012678099
superson,-0.0012679193
import,-0.0012683197
scale,-0.0012693423
slow,-0.0012693877
most,-0.0012695596
complex,-0.0012699945
fock,-0.0012701156
ev,-0.0012706461
compos,-0.0012711863
net,-0.0012712927
b3lyp,-0.0012723736
role,-0.0012728034
spectrum,-0.0012729223
applic,-0.0012735458
reveal,-0.0012742933
photoelectron,-0.0012745248
ccsd,-0.0012752248
emiss,-0.0012762591
dataset,-0.001276742
recent,-0.0012783969
shift,-0.0012794951
rang,-0.0012799285
bulk,-0.001280012
under,-0.0012803379
i,-0.0012804375
carri,-0.0012805538
core,-0.001281325
optim,-0.0012814398
particl,-0.001281443
s,-0.0012815078
neutral,-0.0012816447
set,-0.0012816824
rotat,-0.0012817223
polar,-0.0012826512
heteronuclear,-0.0012828169
basin,-0.0012830443
find,-0.0012833858
allow,-0.0012841776
addit,-0.0012843146
mani,-0.0012843752
generat,-0.0012844577
open,-0.0012859037
co2,-0.001286636
veri,-0.0012876933
consider,-0.0012877834
broad,-0.0012879075
case,-0.0012884056
nano,-0.0012891444
relax,-0.0012906383
main,-0.0012910614
larger,-0.0012916824
isomer,-0.0012921665
introduc,-0.0012922958
signific,-0.0012925117
correct,-0.0012925873
nanoclust,-0.0012937001
exist,-0.0012949829
attract,-0.0012953008
extens,-0.0012961427
boron,-0.0012964484
monoxid,-0.0012965343
detail,-0.0012966442
self,-0.001296818
infrar,-0.0012969469
framework,-0.0012970462
within,-0.0012971003
phase,-0.001297378
inform,-0.0012974058
resolv,-0.0012975131
15,-0.0012976411
direct,-0.0012983268
report,-0.0012984619
environ,-0.0012987052
frequenc,-0.0012987469
e,-0.001298977
2,-0.0012990464
level,-0.0012990928
isom,-0.0012991051
lif,-0.0012991051
0,-0.0012997084
spatial,-0.0012997129
timescal,-0.0013002602
includ,-0.0013002944
intern,-0.001300304
lattic,-0.0013004468
water,-0.0013005306
complet,-0.0013006085
ti,-0.0013009239
limit,-0.0013009611
were,-0.0013009744
train,-0.0013009843
hybrid,-0.0013014378
yield,-0.0013015225
c60,-0.0013015425
expans,-0.0013018468
trap,-0.0013030571
select,-0.0013031937
hartre,-0.0013034417
d2,-0.0013037082
short,-0.0013047304
hydrogen,-0.0013050012
full,-0.0013057183
quadrupol,-0.0013061675
close,-0.0013062975
fulleren,-0.0013067517
through,-0.0013068549
re,-0.0013069145
spectroscopi,-0.0013073779
bare,-0.0013074414
so,-0.0013074437
improv,-0.001307509
shake,-0.0013076703
along,-0.0013082514
behavior,-0.001308734
bound,-0.0013088102
basi,-0.0013091398
methanol,-0.0013094188
rh,-0.0013094188
out,-0.0013107307
featur,-0.0013107872
increas,-0.0013108174
techniqu,-0.0013108241
domin,-0.0013108448
similar,-0.0013109666
space,-0.0013110137
point,-0.0013114844
sever,-0.0013114973
coher,-0.0013115994
up,-0.0013120378
low,-0.0013124129
some,-0.0013124808
distribut,-0.0013125287
nuclei,-0.0013128691
consist,-0.001312963
extrem,-0.0013130255
previous,-0.0013134801
auger,-0.0013136088
typic,-0.0013137648
paramet,-0.0013137674
solut,-0.0013139385
aromat,-0.0013141583
photon,-0.0013142126
over,-0.0013144217
angular,-0.0013144306
site,-0.0013144799
0111,-0.0013147187
042904,-0.0013147187
05o,-0.0013147187
20ev,-0.0013147187
2340,-0.0013147187
290k,-0.0013147187
310k,-0.0013147187
320k,-0.0013147187
325k,-0.0013147187
32cs,-0.0013147187
4he2,-0.0013147187
8770,-0.0013147187
aa385,-0.0013147187
al4,-0.0013147187
al4h6,-0.0013147187
ar147,-0.0013147187
ar9,-0.0013147187
au20,-0.0013147187
au40,-0.0013147187
au923,-0.0013147187
b2plyp,-0.0013147187
bnqd,-0.0013147187
bromobenzen,-0.0013147187
c20,-0.0013147187
c30,-0.0013147187
c36,-0.0013147187
cndo,-0.0013147187
cooee,-0.0013147187
crcx,-0.0013147187
cyclohexadien,-0.0013147187
d15nc,-0.0013147187
dc15n,-0.0013147187
decahedron,-0.0013147187
def2tzvpp,-0.0013147187
dibromomethan,-0.0013147187
dorado,-0.0013147187
doy,-0.0013147187
duschinski,-0.0013147187
edabi,-0.0013147187
eletron,-0.0013147187
farad,-0.0013147187
fhva,-0.0013147187
fluoroacetylen,-0.0013147187
gaussian16,-0.0013147187
grotthus,-0.0013147187
h14nc,-0.0013147187
h5o2,-0.0013147187
h9o4,-0.0013147187
haeck,-0.0013147187
haeckelit,-0.0013147187
hc14n,-0.0013147187
he2v,-0.0013147187
hexatrien,-0.0013147187
hnco2,-0.0013147187
hypoxanthin,-0.0013147187
isocyan,-0.0013147187
lici,-0.0013147187
mbmr,-0.0013147187
metallofulleren,-0.0013147187
metalloligand,-0.0013147187
methin,-0.0013147187
monomethin,-0.0013147187
na6,-0.0013147187
nanoaggreg,-0.0013147187
nerr,-0.0013147187
nonempir,-0.0013147187
nonmet,-0.0013147187
nonpreci,-0.0013147187
nu3,-0.0013147187
pafi,-0.0013147187
pcvqz,-0.0013147187
phva,-0.0013147187
pvtz,-0.0013147187
qeq,-0.0013147187
radidationless,-0.0013147187
rasci,-0.0013147187
recollision,-0.0013147187
schamp,-0.0013147187
schoeck,-0.0013147187
sddc,-0.0013147187
shapeless,-0.0013147187
slel,-0.0013147187
surpr,-0.0013147187
tautom,-0.0013147187
tautomer,-0.0013147187
ti8o12,-0.0013147187
trichloromethan,-0.0013147187
univer,-0.0013147187
vernott,-0.0013147187
vlel,-0.0013147187
vxx,-0.0013147187
wb97xd,-0.0013147187
xanthin,-0.0013147187
presenc,-0.0013150299
microscopi,-0.0013154713
shed,-0.0013161236
hydrat,-0.0013162132
microstructur,-0.0013163179
band,-0.00131685
effici,-0.0013175948
ru,-0.0013177579
wigner,-0.0013177857
evolut,-0.0013182102
challeng,-0.0013182487
collect,-0.0013182581
dipol,-0.0013183017
reson,-0.0013183082
achiev,-0.0013183093
mass,-0.0013186068
carbid,-0.0013188126
neural,-0.0013189294
angstrom,-0.0013194052
appli,-0.001319526
spectrometri,-0.0013199847
tip,-0.0013200011
exchang,-0.0013206156
involv,-0.001320912
activ,-0.001321313
requir,-0.0013213617
numer,-0.0013219308
estim,-0.0013219684
manifest,-0.0013222314
moment,-0.0013223634
initi,-0.001322645
type,-0.0013229572
region,-0.0013235707
dure,-0.0013235904
ratio,-0.0013237395
tungsten,-0.0013239755
plastic,-0.0013242492
anion,-0.0013248642
continu,-0.0013250506
design,-0.0013251922
slight,-0.0013252744
character,-0.0013253231
task,-0.0013255068
novel,-0.0013258765
reorgan,-0.0013262604
sodium,-0.0013262604
valu,-0.0013265027
monolay,-0.0013265086
examin,-0.0013266348
ultraviolet,-0.0013267015
represent,-0.0013267763
term,-0.0013269604
test,-0.0013269674
favor,-0.0013270726
n2,-0.0013272366
understand,-0.0013274073
graph,-0.0013274187
shape,-0.0013274363
teller,-0.0013276705
static,-0.0013277091
rate,-0.0013277153
identifi,-0.0013277658
orient,-0.0013280417
wall,-0.00132809
good,-0.0013282136
probe,-0.0013282719
pure,-0.0013286469
picosecond,-0.0013289289
uniqu,-0.0013291661
condit,-0.0013299402
principl,-0.0013300173
n,-0.001330452
creat,-0.0013304836
amplitud,-0.0013305391
contrast,-0.001330862
each,-0.0013309612
evalu,-0.0013309834
stabil,-0.0013310532
tem,-0.0013318998
artefact,-0.0013321784
o,-0.0013323259
specif,-0.0013333902
how,-0.0013337436
gase,-0.0013339769
individu,-0.0013341568
doe,-0.0013342622
0110,-0.0013345182
360o,-0.0013345182
5e13,-0.0013345182
angulon,-0.0013345182
appm,-0.0013345182
bitumen,-0.0013345182
c10,-0.0013345182
diarylmethan,-0.0013345182
dicuss,-0.0013345182
eie,-0.0013345182
electroreduct,-0.0013345182
hexapol,-0.0013345182
nanomesh,-0.0013345182
orbach,-0.0013345182
pitot,-0.0013345182
purin,-0.0013345182
pyrimidin,-0.0013345182
rhodium,-0.0013345182
scanlin,-0.0013345182
tnp,-0.0013345182
zundel,-0.0013345182
elabor,-0.0013345589
dimension,-0.0013346015
oper,-0.0013350542
scan,-0.0013350771
sheet,-0.001335131
imag,-0.001335481
nuclear,-0.0013355527
given,-0.0013356737
damag,-0.0013358503
littl,-0.0013361275
degeneraci,-0.001336553
he,-0.0013367152
os,-0.0013367424
avenu,-0.001336866
togeth,-0.0013369878
characterist,-0.0013372421
deriv,-0.001337375
hole,-0.0013377006
exhibit,-0.0013379541
current,-0.0013379772
detect,-0.0013380235
integr,-0.0013384088
specimen,-0.0013385849
optic,-0.001338619
monom,-0.001339057
vicin,-0.0013392271
h2o,-0.001339503
energet,-0.0013395187
extern,-0.0013395911
magnitud,-0.0013395945
real,-0.0013396639
resembl,-0.00133979
power,-0.0013401563
catalyst,-0.001340307
stm,-0.001340307
excel,-0.00134046
rydberg,-0.001340483
equilibrium,-0.0013405221
follow,-0.0013406037
aluminum,-0.0013407422
heavier,-0.0013407422
hop,-0.0013407556
fs,-0.0013411703
higher,-0.0013412505
pd,-0.001341252
produc,-0.0013413318
mean,-0.0013414638
dissip,-0.0013415393
sourc,-0.0013415604
correspond,-0.0013415671
kinet,-0.0013419247
long,-0.0013421604
second,-0.0013421809
31p,-0.001342211
790,-0.001342211
b4c,-0.001342211
