Term,Mitigated Information
atom,0.01334026
we,-0.0022341106
laser,-0.0023757173
trap,-0.004719251
io,-0.004962062
quantum,-0.0050940528
optic,-0.0052156574
state,-0.005405997
field,-0.005834423
use,-0.0059792195
electron,-0.006477843
interact,-0.0067970306
ultracold,-0.0068599707
rydberg,-0.006903439
excit,-0.007050735
from,-0.007090861
experiment,-0.007108651
reson,-0.0071719633
transit,-0.0071829986
two,-0.007212735
which,-0.0072219996
calcul,-0.007487421
can,-0.00750865
energi,-0.007579935
puls,-0.007700356
molecul,-0.007728621
measur,-0.007764086
result,-0.007848434
coher,-0.007853502
frequenc,-0.007900596
photon,-0.007925039
system,-0.007929824
effect,-0.007975326
high,-0.008150493
our,-0.008183949
model,-0.008195331
light,-0.008237345
time,-0.008294893
show,-0.008424091
studi,-0.008430968
dipol,-0.008519506
wave,-0.008593251
present,-0.0086223995
between,-0.008656159
demonstr,-0.008702523
beam,-0.008708463
paper,-0.008821756
base,-0.008831704
cold,-0.00888538
method,-0.008911837
polar,-0.008921832
here,-0.008935299
strong,-0.008935941
depend,-0.008983279
scatter,-0.008986736
also,-0.008994849
singl,-0.009049388
observ,-0.0090499045
potenti,-0.009061591
experi,-0.009067937
phase,-0.009078268
physic,-0.009151999
one,-0.009160876
propos,-0.009179484
have,-0.00919098
control,-0.009209887
theoret,-0.009251401
order,-0.009259732
differ,-0.009278397
investig,-0.009281209
dynam,-0.009292715
rang,-0.009300129
regim,-0.009300808
bose,-0.009305423
coupl,-0.009328881
proc,-0.009360175
ground,-0.00938319
molecular,-0.00939287
spin,-0.009395871
well,-0.009404816
hyperfin,-0.009496867
induc,-0.009499116
provid,-0.009510895
probe,-0.009532268
cool,-0.009537833
intens,-0.009552068
data,-0.009558092
approach,-0.009603558
both,-0.009616116
perform,-0.009623441
has,-0.009631588
find,-0.00964538
learn,-0.009669667
level,-0.009678266
magnet,-0.009698243
bodi,-0.009713777
hydrogen,-0.0097181965
func,-0.009741971
harmon,-0.009753071
momentum,-0.009767173
new,-0.009769805
non,-0.009769965
gase,-0.009771036
it,-0.009804244
shift,-0.009816209
limit,-0.009831827
report,-0.009834129
genet,-0.009834355
discuss,-0.009861464
where,-0.009868628
matter,-0.009887704
problem,-0.009890084
due,-0.009905914
allow,-0.009907006
compar,-0.009907754
generat,-0.009940764
rubidium,-0.009944035
work,-0.009948919
been,-0.009951101
angular,-0.009952829
direct,-0.009954158
clock,-0.009957134
first,-0.009962244
photoelectron,-0.00997271
collis,-0.009976906
obtain,-0.00998693
spectroscopi,-0.009989555
structur,-0.009993498
spectra,-0.009998944
includ,-0.010003261
larg,-0.010012611
paramet,-0.010013321
net,-0.010014623
theori,-0.010016227
rate,-0.010016478
photoion,-0.010031524
simul,-0.010032095
radiat,-0.010048369
mani,-0.0100528365
applic,-0.010053959
consid,-0.010056763
s,-0.010059219
condens,-0.010066316
caviti,-0.010070192
particl,-0.010084055
number,-0.010085413
numer,-0.010087155
algo,-0.010101407
general,-0.010101941
relat,-0.010111408
electr,-0.010112008
recent,-0.010112708
sensit,-0.010117791
precis,-0.01012031
techniqu,-0.010124271
cross,-0.0101243155
low,-0.010127635
appli,-0.010134138
possibl,-0.010138623
when,-0.010138795
than,-0.010147445
devel,-0.010153776
howev,-0.010154586
neutral,-0.010156793
agreement,-0.010160332
section,-0.010162755
comput,-0.010167908
all,-0.010171525
more,-0.01017987
describ,-0.010186879
equat,-0.010193812
oscil,-0.010194808
dimension,-0.010206062
three,-0.010209131
found,-0.010210256
under,-0.010227274
properti,-0.01023065
fluoresc,-0.010241619
relativist,-0.010242668
lead,-0.010243575
absorpt,-0.010252372
analysi,-0.010254113
densiti,-0.0102558695
realiz,-0.010256904
dataset,-0.010257041
set,-0.0102602905
attosecond,-0.010264493
interferomet,-0.010269042
up,-0.010270667
case,-0.010273599
over,-0.010277446
helium,-0.0102821
suppress,-0.010282125
spatial,-0.010282579
strength,-0.010283936
long,-0.010287545
temperatur,-0.010287777
electromagnet,-0.010296526
combin,-0.010296717
space,-0.010299099
approxim,-0.010306048
increas,-0.010308138
mechan,-0.010309892
onli,-0.010318826
while,-0.010321791
other,-0.010323296
exist,-0.010329724
through,-0.010333346
signific,-0.010334173
predict,-0.010350035
condit,-0.01035483
scheme,-0.010363853
character,-0.010364175
introduc,-0.010372521
improv,-0.010375741
coulomb,-0.010378513
achiev,-0.010383773
distribut,-0.010384682
inform,-0.01038483
train,-0.010385791
open,-0.010389384
detect,-0.010391619
valu,-0.0103934845
task,-0.010394779
free,-0.01040608
particular,-0.010406537
linear,-0.010410138
1,-0.010413331
determin,-0.0104137845
emiss,-0.010414018
amplitud,-0.010415392
interfer,-0.010417118
magnitud,-0.010422322
addit,-0.010425061
requir,-0.0104275895
effici,-0.010427638
import,-0.010430373
qubit,-0.010433767
interferometri,-0.010442481
how,-0.010447409
ensembl,-0.010458178
nuclear,-0.0104587525
weak,-0.01046692
optim,-0.010469124
enhanc,-0.010471091
most,-0.010471957
repuls,-0.010479079
prepar,-0.010479085
mode,-0.010481747
shown,-0.010486805
form,-0.010488944
confin,-0.010489453
motion,-0.0104943365
veri,-0.01049668
term,-0.010497258
even,-0.010500574
rotat,-0.010506104
via,-0.010515168
oper,-0.010517482
scale,-0.010526206
within,-0.010526434
deriv,-0.010529567
configur,-0.010530876
some,-0.010533241
photoassoci,-0.010547778
drive,-0.0105477795
correl,-0.010547918
analyt,-0.010548423
thermal,-0.010552932
solut,-0.01056218
point,-0.010562997
complex,-0.01056672
framework,-0.010567859
spectrum,-0.0105678905
featur,-0.010569267
may,-0.010569606
implement,-0.0105696805
fundament,-0.01057005
einstein,-0.010570565
design,-0.010571438
local,-0.010572314
alkali,-0.010573084
bound,-0.010573236
doppler,-0.010579751
classic,-0.010581298
sever,-0.010589444
detail,-0.010592451
isotop,-0.010592811
extern,-0.010593099
each,-0.0105955545
type,-0.010596851
like,-0.010597202
simpl,-0.010598317
analyz,-0.010599052
various,-0.010601117
charg,-0.01060123
entangl,-0.010601615
previous,-0.010605777
ultrafast,-0.010617475
specif,-0.01061826
emit,-0.010619559
challeng,-0.010620649
account,-0.010621665
decay,-0.010625261
contribut,-0.0106263645
moment,-0.010627582
rabi,-0.010629613
novel,-0.0106298365
speci,-0.010629933
2,-0.010632968
evalu,-0.010635578
lattic,-0.010638483
magneto,-0.010639802
second,-0.010642132
way,-0.010642146
explor,-0.010642682
driven,-0.010649312
forc,-0.010651126
initi,-0.01065282
hhg,-0.010656769
symmetri,-0.010660943
power,-0.010661656
exhibit,-0.010662716
popul,-0.010665641
pump,-0.010666919
metrolog,-0.010668335
current,-0.010668912
correspond,-0.010670078
presenc,-0.010670569
microwav,-0.010671414
shape,-0.010671533
out,-0.01067181
estim,-0.010677235
manipul,-0.010677252
doubl,-0.010679493
consist,-0.010679631
real,-0.010680647
85rb,-0.010683753
e,-0.010685421
neural,-0.010686602
narrow,-0.010686692
employ,-0.010689694
mhz,-0.010691731
feshbach,-0.010692055
line,-0.01069321
resolv,-0.01070175
split,-0.010704774
broaden,-0.010706442
polariz,-0.010709823
prove,-0.010710063
finit,-0.010711821
wide,-0.0107150385
collision,-0.010715197
natur,-0.0107162725
mean,-0.01072008
given,-0.010720406
review,-0.010721049
extend,-0.010722686
schr,-0.010722914
test,-0.010724928
produc,-0.010724937
spectral,-0.010727883
vibrat,-0.010728355
strontium,-0.010728982
close,-0.01072939
chang,-0.010729711
orbit,-0.010734638
creat,-0.010734734
imag,-0.010737149
exampl,-0.0107405335
perturb,-0.010743215
give,-0.010744229
nm,-0.010748337
final,-0.010748921
detun,-0.010750136
reduc,-0.010751747
transfer,-0.010752291
make,-0.010752915
shell,-0.010755209
apparatus,-0.010755654
wavelength,-0.010756242
sideband,-0.010758223
matrix,-0.010759079
object,-0.010759472
fluctuat,-0.010761218
sourc,-0.010766162
signal,-0.010767794
sympathet,-0.010768033
below,-0.010768046
threshold,-0.010769133
behavior,-0.010770454
multipl,-0.010770581
enabl,-0.010771368
