Term,Mitigated Information
we,-0.0018952388
biolog,-0.0027444442
protein,-0.0034831963
cell,-0.0036400035
model,-0.00463821
dynam,-0.0056574745
use,-0.0059676366
here,-0.00621368
which,-0.0062852185
can,-0.0064619286
from,-0.006554728
show,-0.006970466
mechan,-0.0071210647
studi,-0.0073275594
between,-0.0073492336
result,-0.0074916314
activ,-0.007514991
system,-0.007570704
our,-0.0078835245
molecular,-0.008066522
simul,-0.008322926
effect,-0.008354442
proc,-0.008429414
molecul,-0.00857689
time,-0.008635225
also,-0.008728769
interact,-0.008744623
base,-0.008744709
have,-0.008845473
func,-0.008956587
two,-0.008957316
structur,-0.009005834
cellular,-0.009033288
differ,-0.00903567
observ,-0.009051937
diffus,-0.009119942
find,-0.009146547
has,-0.009149256
experiment,-0.009157972
forc,-0.009188405
complex,-0.009227442
non,-0.009230172
live,-0.009247875
state,-0.009273216
both,-0.009276768
dna,-0.00928128
provid,-0.009332452
devel,-0.009342557
present,-0.009407162
method,-0.0094746435
propos,-0.009507916
suggest,-0.009541561
been,-0.009542181
paper,-0.009570494
it,-0.009576282
depend,-0.009585248
high,-0.009602622
chang,-0.0096228095
singl,-0.00963872
may,-0.009641737
tissu,-0.009660689
understand,-0.009663926
organ,-0.0096743805
motion,-0.009697108
how,-0.009708606
one,-0.009742396
motil,-0.009742885
investig,-0.0097428905
data,-0.009752338
role,-0.009755618
paramet,-0.009760958
concentr,-0.00976593
approach,-0.009768119
rate,-0.009789932
reaction,-0.00979182
net,-0.009833415
properti,-0.009885942
under,-0.009890824
scale,-0.00991755
popul,-0.0099258
numer,-0.009933105
well,-0.009940057
through,-0.009950977
analysi,-0.009970351
more,-0.009972585
physic,-0.010005653
increas,-0.010006535
describ,-0.010017756
howev,-0.010032481
work,-0.010033647
bacteria,-0.010036348
predict,-0.010039133
when,-0.010053482
than,-0.010055698
demonstr,-0.010063331
respons,-0.010063423
rang,-0.010074519
equilibrium,-0.010080392
emerg,-0.010085193
perform,-0.010086591
where,-0.010089584
mem,-0.010093817
kinet,-0.0101107275
limit,-0.010114761
behavior,-0.01012265
experi,-0.010122692
general,-0.010125335
pattern,-0.010134377
small,-0.010135075
relat,-0.010148176
lead,-0.010150472
chemic,-0.010152034
potenti,-0.010154507
motor,-0.010173751
new,-0.010190053
energi,-0.010190789
coupl,-0.010197845
import,-0.010200441
theori,-0.010204976
measur,-0.010205506
induc,-0.010208085
first,-0.010235863
mani,-0.01024541
phase,-0.010248848
direct,-0.010258707
due,-0.010267084
simpl,-0.010274772
compar,-0.010276495
consid,-0.010279433
comput,-0.010284748
swim,-0.010289172
s,-0.01029443
theoret,-0.010298202
field,-0.0103031015
order,-0.01030821
speci,-0.010315353
other,-0.010323008
distribut,-0.010338183
larg,-0.010342757
number,-0.010350678
fluid,-0.010366905
problem,-0.010371723
particl,-0.010379145
individu,-0.010381237
self,-0.010389332
form,-0.010389562
transport,-0.010389866
allow,-0.010394131
shape,-0.010403074
stochast,-0.010409192
surfac,-0.010427512
length,-0.0104324715
recent,-0.01043506
neuron,-0.010436885
transit,-0.010440274
physiolog,-0.010446947
appli,-0.010449478
lipid,-0.010451745
deriv,-0.010451852
onli,-0.010465661
local,-0.010465927
includ,-0.010467982
bacteri,-0.010468106
fluoresc,-0.0104681365
condit,-0.010469874
statist,-0.010471614
case,-0.010476443
spatial,-0.01047972
regul,-0.010484001
like,-0.010490413
while,-0.010495121
signific,-0.010496867
effici,-0.010497341
control,-0.010505242
conform,-0.010507381
intracellular,-0.010507788
mean,-0.010515278
environ,-0.010519381
applic,-0.0105216745
long,-0.010531822
particular,-0.010538199
obtain,-0.010538972
inform,-0.010561686
generat,-0.010566511
biochem,-0.010566575
vitro,-0.010568332
equat,-0.010576309
actin,-0.010578123
bind,-0.010579469
learn,-0.010583097
size,-0.010586521
biomolecular,-0.0105895465
remain,-0.010591112
all,-0.010595817
exhibit,-0.010600017
extern,-0.010600163
format,-0.010601364
determin,-0.0106059555
natur,-0.010606781
analyt,-0.010610485
biophys,-0.010614303
within,-0.010619778
e,-0.010631649
reveal,-0.010638775
combin,-0.010642828
three,-0.010643331
optim,-0.010649933
quantit,-0.010653321
addit,-0.0106563065
level,-0.010656845
further,-0.01066054
sever,-0.010668077
design,-0.010668249
exist,-0.0106687555
consist,-0.010672212
possibl,-0.01067539
character,-0.010680419
set,-0.010696044
algo,-0.010697389
signal,-0.010699996
along,-0.010702777
introduc,-0.010710306
discuss,-0.010715402
steadi,-0.0107165575
propel,-0.010720976
anim,-0.010725712
fluctuat,-0.010727627
correl,-0.010736838
collect,-0.01073732
each,-0.010741924
photosynthet,-0.010745841
term,-0.01074921
growth,-0.010750385
cytoplasm,-0.0107581755
framework,-0.010767871
elast,-0.0107739745
relev,-0.010779527
known,-0.010780274
flow,-0.010790608
solut,-0.0107990755
similar,-0.0108016515
final,-0.010806282
vivo,-0.010815142
filament,-0.010819989
some,-0.010822947
exampl,-0.010823062
gene,-0.010823597
specif,-0.010824105
light,-0.010830804
analyz,-0.010834401
featur,-0.010838747
techniqu,-0.01083879
space,-0.010841637
point,-0.010842413
type,-0.010844086
fundament,-0.010844984
over,-0.010850113
free,-0.010850128
posit,-0.010857987
microscopi,-0.010861541
improv,-0.010862253
driven,-0.010870282
enzym,-0.010870534
biomolecul,-0.010876732
found,-0.010880362
account,-0.010880686
power,-0.010881992
strong,-0.010882332
microtubul,-0.010884662
way,-0.010886176
previous,-0.010887247
gel,-0.010889815
brownian,-0.010890012
move,-0.010892014
acid,-0.010892301
calcul,-0.01089571
influenc,-0.010898669
detail,-0.010907786
dimension,-0.010915716
connect,-0.010915799
rna,-0.010917
brain,-0.010917312
regim,-0.010917885
thus,-0.010920075
most,-0.010922542
veloc,-0.010923756
stress,-0.010926129
identifi,-0.010927294
requir,-0.010930256
substrat,-0.010936797
swimmer,-0.010939081
i,-0.010947808
low,-0.010949062
dataset,-0.010953611
mathemat,-0.010960215
contractil,-0.010962096
challeng,-0.0109626595
same,-0.010964741
densiti,-0.010965405
coli,-0.010966876
key,-0.010968241
cytoskeleton,-0.01097044
linear,-0.010970649
select,-0.010971015
associ,-0.010973531
random,-0.010974846
play,-0.010976701
take,-0.010977823
vesicl,-0.010978924
achiev,-0.010979485
fold,-0.0109796
task,-0.010981567
vari,-0.010983293
microorgan,-0.010989763
dure,-0.01099274
various,-0.010995323
separ,-0.010995342
even,-0.010999927
valu,-0.011000925
current,-0.011002822
elucid,-0.011003759
presenc,-0.011006641
oscil,-0.011011103
critic,-0.01101311
explain,-0.011015748
thermodynam,-0.011020098
1,-0.011029722
estim,-0.011030247
strand,-0.011038565
law,-0.011039843
nonlinear,-0.011040404
chemotaxi,-0.011041624
report,-0.011044856
repres,-0.011044979
train,-0.011045108
insight,-0.011050492
tool,-0.011055988
slow,-0.011059668
spontan,-0.011060864
nois,-0.011061537
imag,-0.011062549
receptor,-0.011062896
decreas,-0.011063184
wide,-0.011067787
stabil,-0.011067993
