Term,Mitigated Information
molecular,0.0014738431
molecul,0.0008141077
we,-0.0033925176
energi,-0.006117117
electron,-0.00678783
chemic,-0.007073557
use,-0.0073045474
system,-0.0089001
which,-0.008917466
from,-0.008932384
reaction,-0.009153303
model,-0.009428952
dynam,-0.009597255
can,-0.009628104
calcul,-0.009800614
densiti,-0.00983103
state,-0.010075712
result,-0.010181833
func,-0.010282281
quantum,-0.010287581
atom,-0.010292973
method,-0.010312221
theori,-0.010488447
structur,-0.010593109
here,-0.010818487
simul,-0.010871959
potenti,-0.010942474
base,-0.0110351555
water,-0.011069937
chemistri,-0.0110846395
show,-0.0110872295
effect,-0.011139924
studi,-0.011145013
high,-0.011170955
approach,-0.011208767
present,-0.011301343
our,-0.011340303
interact,-0.01153229
comput,-0.011631301
between,-0.011652557
excit,-0.011687414
properti,-0.011694606
two,-0.011732621
differ,-0.011736086
experiment,-0.011764979
time,-0.011785697
also,-0.01186198
bond,-0.011877308
surfac,-0.011944428
provid,-0.011949837
have,-0.011964991
proc,-0.012035901
demonstr,-0.01218644
has,-0.012211543
depend,-0.012229074
been,-0.012254553
vibrat,-0.01230304
io,-0.012305451
non,-0.012374812
paper,-0.012378857
one,-0.012400462
devel,-0.012409722
both,-0.012464277
work,-0.01247032
coupl,-0.012472475
propos,-0.0124953855
well,-0.012576574
hydrogen,-0.0125828115
correl,-0.012600651
field,-0.012699861
new,-0.012702645
kinet,-0.012717183
applic,-0.012723578
predict,-0.0127237085
charg,-0.012781093
mechan,-0.012781866
it,-0.012790779
initio,-0.012791648
data,-0.012823243
more,-0.012845355
obtain,-0.01285583
investig,-0.012865493
perform,-0.012873517
approxim,-0.01288457
transit,-0.012949393
rang,-0.01296358
ab,-0.0129705295
than,-0.013003378
describ,-0.013035081
general,-0.013040444
materi,-0.013046847
accur,-0.013051738
larg,-0.013054062
first,-0.013054212
find,-0.01305547
observ,-0.013111302
recent,-0.013118412
effici,-0.013135258
appli,-0.013161359
temperatur,-0.013171498
singl,-0.013191399
phase,-0.01321557
theoret,-0.013270883
howev,-0.013286062
limit,-0.013294869
liquid,-0.013299332
order,-0.013303576
dissoci,-0.01331338
includ,-0.013333023
compar,-0.013348224
onli,-0.013361058
combin,-0.013368787
import,-0.013369725
complex,-0.013374765
low,-0.013381726
strong,-0.013397741
signific,-0.013445953
addit,-0.013456105
found,-0.013464021
electrolyt,-0.0134720635
allow,-0.01347663
deriv,-0.013495015
due,-0.013502108
mani,-0.013514276
scale,-0.0135153895
local,-0.013525967
solut,-0.013541822
relat,-0.01356779
report,-0.013575535
physic,-0.013586175
problem,-0.013588198
orbit,-0.013593477
number,-0.013609673
when,-0.013610383
equat,-0.01361441
where,-0.0136394
transfer,-0.013642524
spectroscopi,-0.013643347
thermodynam,-0.013648688
space,-0.013653869
dft,-0.0136574
all,-0.013668328
introduc,-0.013671566
while,-0.013674281
increas,-0.013686544
rate,-0.013701815
diffus,-0.013701914
other,-0.013717987
forc,-0.013735248
free,-0.013749321
set,-0.013758876
algo,-0.0137641905
generat,-0.013765937
organ,-0.0137722
condit,-0.013773419
1,-0.013773746
through,-0.013796842
within,-0.013801305
experi,-0.013801561
reactiv,-0.013803831
equilibrium,-0.0138048595
protein,-0.013808539
size,-0.013809571
case,-0.013810015
carbon,-0.013813947
under,-0.013817716
analysi,-0.013827656
numer,-0.013839062
consid,-0.013839465
discuss,-0.01384609
measur,-0.013847315
concentr,-0.013853339
s,-0.013870196
net,-0.01387084
particular,-0.013871413
lead,-0.013872846
term,-0.013886866
reduc,-0.013889333
learn,-0.013889432
activ,-0.013889855
agreement,-0.013896862
optim,-0.01390034
determin,-0.013940915
solvent,-0.013952169
improv,-0.013956226
requir,-0.013957815
most,-0.013959313
metal,-0.013963023
three,-0.013973268
particl,-0.013984881
chem,-0.013994388
design,-0.013998033
techniqu,-0.014002398
exact,-0.014003011
dipol,-0.014003091
aqueous,-0.014014794
small,-0.014024203
sever,-0.014030619
direct,-0.014032549
dimension,-0.014036069
classic,-0.014056385
speci,-0.014057958
were,-0.014067139
level,-0.014068469
induc,-0.014074398
framework,-0.014086173
spectra,-0.014093582
paramet,-0.014094746
polym,-0.014098932
up,-0.014105793
solvat,-0.014111315
role,-0.014111994
accuraci,-0.014112721
linear,-0.014113175
consist,-0.014115202
how,-0.014118072
exist,-0.014123691
over,-0.014125638
principl,-0.014128996
form,-0.014133293
format,-0.014137126
light,-0.01414462
long,-0.014145965
distribut,-0.014155648
possibl,-0.014163052
configur,-0.014170788
dimer,-0.0141850775
inform,-0.014187113
valu,-0.014187625
mean,-0.014199467
transport,-0.014211585
previous,-0.014213045
some,-0.014214423
enhanc,-0.014220544
adsorpt,-0.01422168
ground,-0.014224134
open,-0.014224571
enabl,-0.014225778
further,-0.0142267225
2,-0.014235172
challeng,-0.014245004
natur,-0.014250524
achiev,-0.014261164
various,-0.014265578
behavior,-0.01426828
select,-0.014269493
correct,-0.014279879
contribut,-0.014280986
point,-0.014281379
featur,-0.014285968
e,-0.01428691
solid,-0.014288556
integr,-0.014293315
understand,-0.014304929
regim,-0.014310932
electrostat,-0.014316406
diatom,-0.014316551
simpl,-0.0143175395
respect,-0.014318232
correspond,-0.01432025
reactant,-0.0143233435
hartre,-0.014332303
basi,-0.014334716
like,-0.014335002
specif,-0.014337221
shown,-0.014337518
current,-0.0143384775
employ,-0.014346519
hamiltonian,-0.014348564
reveal,-0.014351269
