Term,Mitigated Information
we,-0.0017788825
use,-0.0035778154
equat,-0.003659749
electromagnet,-0.0036916155
which,-0.0038826591
wave,-0.0039649177
from,-0.004082878
motion,-0.0041811615
can,-0.004225078
result,-0.004286646
model,-0.0044362117
system,-0.004472303
mechan,-0.004478657
forc,-0.0044814968
field,-0.004494841
present,-0.0045043156
time,-0.004590909
show,-0.004622553
s,-0.0046500843
two,-0.0046923915
between,-0.0047136564
general,-0.004728019
elast,-0.0047587017
studi,-0.0047770487
also,-0.0048266295
deriv,-0.0048277033
numer,-0.0048533985
our,-0.0048875012
case,-0.0048985975
base,-0.004914073
physic,-0.004917962
one,-0.0049259085
materi,-0.0049299416
it,-0.004931851
effect,-0.0049376297
theori,-0.0049476423
method,-0.004961929
paper,-0.0050246613
classic,-0.0050273445
relat,-0.0050581587
have,-0.0051034726
solut,-0.005114736
consid,-0.0051156464
propos,-0.0051252223
non,-0.0051434776
law,-0.00515432
particl,-0.0051575545
obtain,-0.005159742
energi,-0.005201649
differ,-0.005222882
describ,-0.0052256486
well,-0.0052284123
problem,-0.0052461205
experiment,-0.005249692
acoust,-0.0052581807
approach,-0.0052682394
dynam,-0.005276493
order,-0.0052797315
properti,-0.0052840845
propag,-0.005303269
has,-0.0053038015
frequenc,-0.0053124595
plane,-0.005323507
space,-0.0053239353
data,-0.0053514508
when,-0.005367445
radiat,-0.005373045
shown,-0.0053791325
analyt,-0.005383646
condit,-0.005386935
here,-0.0053936704
state,-0.005426124
func,-0.005427321
linear,-0.0054280893
veloc,-0.0054316064
perform,-0.0054375464
both,-0.0054380842
point,-0.0054411455
medium,-0.005446375
provid,-0.00544835
bodi,-0.005450496
demonstr,-0.0054538883
first,-0.005461656
simul,-0.005464334
particular,-0.005473146
proc,-0.00547967
appli,-0.0054843314
principl,-0.005489598
discuss,-0.0054939287
work,-0.0055128955
dielectr,-0.0055156862
devel,-0.005519655
onli,-0.0055339523
beam,-0.005550291
charg,-0.0055589816
structur,-0.0055607725
finit,-0.005561513
new,-0.005561916
possibl,-0.005564708
form,-0.0055668503
depend,-0.0055705453
reson,-0.0055726888
applic,-0.005574054
investig,-0.005574583
under,-0.005579192
learn,-0.005581348
oscil,-0.005584331
simpl,-0.0055905487
observ,-0.005600839
dimension,-0.0056016473
move,-0.0056017153
stress,-0.0056036282
rigid,-0.005604605
calcul,-0.0056077274
ani,-0.0056247623
allow,-0.0056332485
exampl,-0.0056353095
been,-0.0056387214
fluid,-0.0056390828
direct,-0.0056410213
metamateri,-0.005641954
high,-0.005642258
other,-0.0056466814
analysi,-0.005649233
find,-0.0056506465
paramet,-0.0056510544
more,-0.005651319
some,-0.0056516505
correspond,-0.00566073
lorentz,-0.0056690695
lagrangian,-0.0056694564
electr,-0.0056777843
comput,-0.0056789448
through,-0.005680484
veri,-0.005687831
net,-0.0056940657
term,-0.0056951405
nonlinear,-0.0056978934
determin,-0.0057006003
experi,-0.005703252
known,-0.005704402
mass,-0.0057059266
magnet,-0.0057159886
approxim,-0.0057183676
maxwel,-0.005719252
introduc,-0.005719281
found,-0.00572244
surfac,-0.005723641
where,-0.0057250373
dataset,-0.0057250867
includ,-0.005727996
train,-0.005730994
second,-0.005731132
all,-0.0057359627
recent,-0.0057371827
due,-0.0057388144
howev,-0.0057389904
larg,-0.0057415008
predict,-0.0057525043
set,-0.0057529053
algo,-0.0057569365
generat,-0.005759294
constant,-0.0057603167
measur,-0.005760573
design,-0.0057638506
conserv,-0.0057655238
formal,-0.0057662516
express,-0.0057673696
formul,-0.005767709
electrodynam,-0.005772759
so,-0.005773026
limit,-0.0057741
given,-0.005777515
special,-0.005778224
free,-0.0057797
exist,-0.005780052
potenti,-0.005781342
rotat,-0.0057838983
compar,-0.005784646
than,-0.0057864273
analyz,-0.0057866406
boundari,-0.0057918276
theoret,-0.005792928
natur,-0.005795408
number,-0.0057973727
valid,-0.0057982393
concept,-0.00580662
phase,-0.0058183195
behavior,-0.005821911
imped,-0.005822315
requir,-0.0058237445
may,-0.0058246306
while,-0.0058266907
addit,-0.0058267834
focus,-0.005829686
agreement,-0.0058394466
consist,-0.0058401637
pressur,-0.0058403313
displac,-0.005840735
shape,-0.005843895
speed,-0.0058480436
momentum,-0.00584899
sever,-0.0058511742
period,-0.005852627
integr,-0.005853073
inform,-0.00585345
1,-0.00585371
symmetri,-0.005854586
improv,-0.0058604837
import,-0.00586361
interact,-0.0058667515
coupl,-0.0058695544
out,-0.005869922
along,-0.005871021
extend,-0.0058743735
plate,-0.005875727
way,-0.005876228
e,-0.005878878
distribut,-0.005879094
relativist,-0.005879438
scatter,-0.0058802795
without,-0.0058803647
optim,-0.0058804634
scale,-0.0058807987
over,-0.0058832094
valu,-0.0058837
element,-0.0058840266
task,-0.005888035
complex,-0.005890133
lead,-0.005892672
geometr,-0.005896686
each,-0.005896778
like,-0.0058973096
power,-0.0058973623
signific,-0.0058973795
effici,-0.0058985264
achiev,-0.005900863
arbitrari,-0.005902275
transfer,-0.0059048324
three,-0.005905727
homogen,-0.0059099626
art,-0.0059137642
challeng,-0.005914782
solv,-0.0059195776
abraham,-0.0059209256
sound,-0.005921035
dispers,-0.0059214407
framework,-0.0059242654
give,-0.005925576
i,-0.005926068
final,-0.0059263944
influenc,-0.0059275753
vibrat,-0.005927687
most,-0.0059320233
doe,-0.005932112
transform,-0.005932798
chang,-0.005933183
type,-0.0059334533
friction,-0.0059350543
defin,-0.0059377393
trajectori,-0.0059382385
thermodynam,-0.0059386003
geometri,-0.0059388275
account,-0.005939167
local,-0.005939677
sourc,-0.005941016
increas,-0.0059427656
various,-0.0059447754
how,-0.0059469063
equival,-0.0059530665
novel,-0.0059556733
optic,-0.005956566
techniqu,-0.005956698
2,-0.0059576696
control,-0.0059622633
featur,-0.005963172
solid,-0.005963487
flow,-0.0059635076
specif,-0.0059651285
exact,-0.005965467
damp,-0.005965484
hamiltonian,-0.0059675416
take,-0.0059691113
strain,-0.0059698396
minkowski,-0.0059699505
small,-0.0059702042
mathemat,-0.0059707416
explicit,-0.005974059
evalu,-0.0059754266
wavelength,-0.0059773624
expans,-0.005979204
mode,-0.0059798714
absorb,-0.005980398
size,-0.00598391
mean,-0.005984526
circular,-0.0059852707
mani,-0.0059853103
quantum,-0.0059855417
textbook,-0.0059863543
extern,-0.0059865597
acceler,-0.0059871078
singl,-0.0059877452
previous,-0.005988467
coordin,-0.005992314
pure,-0.005994079
low,-0.005995112
light,-0.005995553
self,-0.0059979344
gravit,-0.0060004303
estim,-0.0060009803
relev,-0.006001785
intern,-0.0060029007
sphere,-0.006003367
oper,-0.00600672
subject,-0.0060067787
real,-0.006006842
dissip,-0.0060087373
green,-0.0060091075
lagrang,-0.006009533
variat,-0.0060098884
same,-0.0060128393
construct,-0.0060128607
theorem,-0.006012885
long,-0.0060133277
part,-0.0060133636
multi,-0.0060156304
regim,-0.0060176323
fundament,-0.0060198097
reduc,-0.006020157
frame,-0.0060209646
appropri,-0.006021221
illustr,-0.0060213883
constitut,-0.0060220435
follow,-0.006022918
were,-0.006023046
test,-0.0060237595
make,-0.0060254396
densiti,-0.0060258512
much,-0.00602606
respect,-0.006027704
suggest,-0.006027887
continu,-0.0060280003
character,-0.0060281386
posit,-0.0060283253
amplitud,-0.0060293367
seri,-0.0060302895
level,-0.0060322606
