Term,Mitigated Information
we,-0.004520687
simul,-0.005624215
use,-0.006577491
method,-0.007957812
numer,-0.008207477
comput,-0.008369803
equat,-0.0098193325
model,-0.00986506
can,-0.010500322
which,-0.010802333
result,-0.010973254
from,-0.011164352
system,-0.011288451
base,-0.0113794245
present,-0.0114146825
dynam,-0.011687785
high,-0.012119365
physic,-0.012273825
approach,-0.012514304
show,-0.012967715
func,-0.012996852
calcul,-0.013015494
time,-0.013023976
energi,-0.013161482
problem,-0.013167522
two,-0.013179734
our,-0.013179995
devel,-0.013398094
algo,-0.01345786
studi,-0.013490656
effici,-0.013539557
accur,-0.013564272
demonstr,-0.013598654
propos,-0.0136015015
molecular,-0.013621773
perform,-0.013657083
order,-0.013694866
implement,-0.013705262
also,-0.013770137
accuraci,-0.013806766
structur,-0.013842587
dimension,-0.013881044
have,-0.013959762
proc,-0.0139715625
properti,-0.014007184
applic,-0.014039912
differ,-0.014084182
densiti,-0.014202493
one,-0.01420326
scheme,-0.014222696
materi,-0.014228194
solut,-0.014253213
state,-0.014365101
effect,-0.014396505
new,-0.014412768
approxim,-0.014428819
electron,-0.014458767
potenti,-0.0144661665
between,-0.014484217
well,-0.014493871
provid,-0.014513184
paper,-0.014534806
field,-0.014547727
flow,-0.014621176
both,-0.014640306
data,-0.014660943
compar,-0.014680874
here,-0.014703992
solv,-0.0147499
scale,-0.014797626
fluid,-0.014839878
work,-0.014846835
complex,-0.0148719605
general,-0.014937146
has,-0.01494539
larg,-0.014982392
non,-0.015011283
obtain,-0.015130611
discret,-0.0151617285
it,-0.015169114
paramet,-0.015174767
theori,-0.015185289
finit,-0.015194349
interact,-0.015207546
predict,-0.015230287
case,-0.015241212
test,-0.015287605
first,-0.015294446
rang,-0.015320676
more,-0.01532465
appli,-0.015379959
allow,-0.015386544
includ,-0.015406607
particl,-0.015418604
number,-0.015435754
depend,-0.01545407
direct,-0.015474883
investig,-0.015499993
atom,-0.015530273
been,-0.015546752
coupl,-0.015553625
