Term,Mitigated Information
student,0.009050465
cours,0.0017502377
physic,0.0016306556
educ,0.0011033496
teach,0.0008449713
introductori,-1.5745405E-05
undergradu,-4.3671578E-05
we,-0.00096782844
school,-0.0010970802
classroom,-0.0015350601
use,-0.0015407784
instructor,-0.0016982605
learn,-0.0017753851
teacher,-0.0018493384
from,-0.0019461683
research,-0.0019552815
concept,-0.002045602
scienc,-0.002061436
instruct,-0.002147586
devel,-0.0022551732
univers,-0.0022630766
engag,-0.0022781426
about,-0.0022819303
present,-0.0023447354
think,-0.0023611549
can,-0.002395196
understand,-0.0023970478
which,-0.0023998572
semest,-0.0024605587
curriculum,-0.0024674889
discuss,-0.0024714535
base,-0.0024736947
were,-0.002498158
how,-0.0025293792
result,-0.0025382347
activ,-0.0025625506
experi,-0.0025746739
more,-0.0025752985
skill,-0.002610708
conceptu,-0.0026109626
topic,-0.0026363984
studi,-0.002656706
our,-0.0026622063
model,-0.002671656
institut,-0.002689729
scientif,-0.0026971858
level,-0.002700246
have,-0.0027083987
taught,-0.0027257209
focus,-0.0027281812
who,-0.002730108
graduat,-0.0027364388
differ,-0.0027528736
lab,-0.0027627358
mechan,-0.0027756544
one,-0.0027838845
paper,-0.0027851763
colleg,-0.0027873982
interview,-0.0027983175
question,-0.0028068395
also,-0.0028148107
show,-0.002816903
way,-0.0028226105
between,-0.0028257726
laboratori,-0.0028260953
s,-0.0028330148
describ,-0.002834934
data,-0.002857742
provid,-0.0029023588
difficulti,-0.0029090827
all,-0.0029093556
administ,-0.0029112592
grade,-0.0029126718
year,-0.002916171
work,-0.0029200027
propos,-0.0029446797
than,-0.0029523864
both,-0.002952695
method,-0.0029556383
approach,-0.002956844
includ,-0.0029673027
has,-0.0029707467
two,-0.002973679
textbook,-0.0029787708
pedagog,-0.0029802965
relat,-0.0029809105
through,-0.002981601
analysi,-0.0029961504
tool,-0.002998224
particip,-0.003002501
problem,-0.0030038434
design,-0.003006032
goal,-0.0030134676
help,-0.0030204076
time,-0.0030269723
proc,-0.0030308287
some,-0.0030350795
system,-0.0030369458
didact,-0.0030439475
assess,-0.0030449838
high,-0.003047035
mathemat,-0.0030481264
find,-0.0030487976
effect,-0.0030496325
evid,-0.0030556559
astronomi,-0.0030564286
investig,-0.0030581239
first,-0.0030595646
engin,-0.0030619076
suggest,-0.0030641386
lectur,-0.003066804
it,-0.003075705
perform,-0.0030963698
respons,-0.0030980827
class,-0.0031002783
knowledg,-0.0031068095
colorado,-0.0031068856
simpl,-0.0031151967
did,-0.0031193735
found,-0.0031194368
calculus,-0.0031211555
other,-0.0031290457
impact,-0.0031300122
practic,-0.0031369498
scientist,-0.003138872
articl,-0.003140321
what,-0.0031406947
program,-0.0031423194
make,-0.0031452493
mani,-0.0031463355
new,-0.0031470922
context,-0.0031495478
do,-0.0031498028
disciplin,-0.0031542736
dure,-0.0031577167
