Term,Mitigated Information
flow,0.015383637
fluid,0.009062344
turbul,-0.004515641
we,-0.005768912
numer,-0.006667037
veloc,-0.008287091
simul,-0.009453995
equat,-0.009695111
dynam,-0.010081471
use,-0.010734913
model,-0.011087442
reynold,-0.011206794
which,-0.01180931
from,-0.012141026
result,-0.012383093
two,-0.012914222
stoke,-0.012977082
studi,-0.013038181
show,-0.0137174465
can,-0.013798988
surfac,-0.013897603
pressur,-0.014097592
scale,-0.014353894
forc,-0.014451061
viscous,-0.014545488
navier,-0.014622685
between,-0.014675951
shear,-0.014872359
present,-0.014913796
effect,-0.014925781
liquid,-0.015024887
wave,-0.015266686
boundari,-0.015278365
number,-0.015398148
hydrodynam,-0.01544215
field,-0.0155537585
method,-0.0155767165
differ,-0.015596763
time,-0.0156147685
vortic,-0.015630033
system,-0.015634561
wall,-0.015738918
investig,-0.01575197
base,-0.015787905
also,-0.015884796
water,-0.015941883
our,-0.015955826
viscos,-0.016107578
solut,-0.016128475
high,-0.016238928
dimension,-0.016271677
direct,-0.016317554
particl,-0.016520174
droplet,-0.0166256
condit,-0.016699672
order,-0.0167404
eddi,-0.016751641
propos,-0.016763067
motion,-0.01679927
non,-0.016815005
have,-0.016861742
physic,-0.016892603
observ,-0.016907182
predict,-0.016948638
experiment,-0.017001137
depend,-0.017031575
structur,-0.01705736
small,-0.017060772
regim,-0.017099094
instabl,-0.017116854
case,-0.017138349
devel,-0.017142352
obtain,-0.017163986
both,-0.017165579
mechan,-0.01719191
energi,-0.017195588
paper,-0.017208543
convect,-0.017224086
comput,-0.01727613
three,-0.017286496
larg,-0.017301437
vortex,-0.017302766
analysi,-0.017341925
stress,-0.017395929
well,-0.017396227
has,-0.017413579
when,-0.01744904
nonlinear,-0.017470103
one,-0.017506842
due,-0.017517569
compar,-0.017521672
approach,-0.017549118
data,-0.017555237
linear,-0.01758376
paramet,-0.017617386
problem,-0.017619384
proc,-0.017684441
consid,-0.017730637
work,-0.017751306
provid,-0.01775514
relat,-0.017775912
here,-0.017795289
found,-0.017796414
interfac,-0.017811812
it,-0.017824601
find,-0.01784087
dissip,-0.01784654
