Term,Mitigated Information
we,-0.0017887119
physic,-0.0037537264
theori,-0.004107105
which,-0.004131033
gravit,-0.004283162
quantum,-0.004289923
energi,-0.0043949652
from,-0.0044112587
field,-0.0045083975
use,-0.004522561
equat,-0.0046103136
particl,-0.00471733
univers,-0.0047811028
relat,-0.0048806015
model,-0.0049064215
can,-0.004978083
result,-0.004986409
shown,-0.0050080004
s,-0.0050370703
also,-0.00515905
cosmolog,-0.00520071
our,-0.005213383
show,-0.005311138
space,-0.0053248564
paper,-0.0053309184
vacuum,-0.0053376523
general,-0.005337715
two,-0.0053590015
matter,-0.0053657396
present,-0.005371822
time,-0.0054057743
system,-0.0054525845
has,-0.0054634116
base,-0.0054903612
have,-0.0054933205
wave,-0.005508489
method,-0.0055372
studi,-0.0055499566
propos,-0.0055572977
electromagnet,-0.0055701663
obtain,-0.005580914
principl,-0.005597725
observ,-0.005610377
constant,-0.00561268
graviti,-0.005619352
mechan,-0.005644179
possibl,-0.0056465175
lorentz,-0.0056514703
consid,-0.005654533
one,-0.005681738
relativist,-0.0056846617
state,-0.005711505
perform,-0.0057222177
law,-0.0057259896
between,-0.0057487446
new,-0.0057511292
some,-0.005754052
differ,-0.0057618036
effect,-0.0057626106
data,-0.0057745143
einstein,-0.0057760132
maxwel,-0.005782792
learn,-0.005787179
deriv,-0.0058173686
may,-0.00583461
mass,-0.0058473567
discuss,-0.005848423
it,-0.0058693294
all,-0.0058697807
approach,-0.005871133
solut,-0.0058819954
provid,-0.0059238775
light,-0.005927126
classic,-0.0059275604
natur,-0.005935045
concept,-0.0059371907
been,-0.0059395577
describ,-0.0059509706
proc,-0.0059572863
dark,-0.0059828185
other,-0.0059850225
forc,-0.005988172
charg,-0.0059885923
onli,-0.0059993276
motion,-0.006005086
problem,-0.0060271686
work,-0.0060273833
well,-0.00604019
both,-0.0060405773
net,-0.0060501555
first,-0.006054656
structur,-0.0060550226
demonstr,-0.0060643973
func,-0.006066247
point,-0.006067967
interpret,-0.006068652
high,-0.0060778144
more,-0.0060917977
algo,-0.006092421
dynam,-0.006094961
case,-0.0061072432
non,-0.0061073694
acceler,-0.006115454
recent,-0.0061173094
experi,-0.006126597
order,-0.006129665
lead,-0.0061310036
when,-0.006133051
explain,-0.006136012
exist,-0.006151631
comput,-0.006156954
properti,-0.0061609894
here,-0.006162428
form,-0.006164399
dataset,-0.006165878
howev,-0.006173793
larg,-0.006176431
out,-0.0061803674
