Term,Mitigated Information
seismic,0.0006222853
earthquak,-0.0008823043
we,-0.001440431
use,-0.0020055943
model,-0.0022963374
earth,-0.0024879375
from,-0.00261269
which,-0.0028635184
data,-0.0028672533
result,-0.0030717838
numer,-0.0034480146
can,-0.0034810493
studi,-0.003495531
present,-0.0035295698
time,-0.0035705331
differ,-0.0036021427
method,-0.003682625
show,-0.0036828842
two,-0.0037041456
geophys,-0.003713037
have,-0.0037155545
flow,-0.0037162392
subsurfac,-0.0037266095
between,-0.0037312054
rock,-0.003756887
observ,-0.003806308
base,-0.003812434
our,-0.0038258599
geolog,-0.0038448689
mantl,-0.0038815364
water,-0.0038961854
surfac,-0.003907879
high,-0.0039096363
ocean,-0.0039306856
proc,-0.003943909
s,-0.0039707823
simul,-0.0040122885
aftershock,-0.0040128673
suggest,-0.0040212236
has,-0.004027615
scale,-0.0040653152
also,-0.004073252
predict,-0.0040787454
effect,-0.004099479
both,-0.0041016107
field,-0.0041123666
devel,-0.0041364348
analysi,-0.004154025
provid,-0.004161665
wave,-0.004174998
estim,-0.0041968394
rang,-0.004211201
propos,-0.0042113136
pressur,-0.0042132665
approach,-0.004215961
invers,-0.004228971
compar,-0.0042344173
been,-0.0042446028
event,-0.004265893
here,-0.0042809
includ,-0.0042961626
measur,-0.0042993184
more,-0.0043034274
perform,-0.0043047504
were,-0.004305955
larg,-0.0043234793
climat,-0.0043266118
1,-0.0043380028
find,-0.0043455334
system,-0.004348611
well,-0.004356525
soil,-0.004363514
it,-0.0043638027
new,-0.004368297
record,-0.004379468
paper,-0.004383553
condit,-0.0043841237
one,-0.0043923697
distribut,-0.004399118
investig,-0.0044055497
howev,-0.004415862
dynam,-0.0044228476
than,-0.0044335765
demonstr,-0.0044491654
year,-0.0044576298
zone,-0.004459542
direct,-0.004480365
fluid,-0.004483566
veloc,-0.0044866814
structur,-0.0044880547
comput,-0.0044883518
may,-0.004489637
volcan,-0.0045020576
spatial,-0.004507521
stress,-0.004516012
region,-0.0045160763
relat,-0.0045230086
problem,-0.0045327405
shear,-0.004544441
geomagnet,-0.004555711
depend,-0.0045606196
assess,-0.004566186
when,-0.004571724
obtain,-0.0045760507
signific,-0.0045789806
first,-0.004594934
dure,-0.0046007996
found,-0.0046114502
appli,-0.0046207965
net,-0.004623673
sourc,-0.0046258476
determin,-0.0046266904
occur,-0.004627301
state,-0.004630681
convect,-0.0046318816
combin,-0.0046418854
depth,-0.00464711
while,-0.004648371
consid,-0.0046492857
generat,-0.0046504447
non,-0.004650628
chang,-0.0046515246
sediment,-0.004653205
due,-0.0046557714
func,-0.0046562916
paramet,-0.00465771
small,-0.0046581733
geoscienc,-0.0046629696
experi,-0.00466366
pore,-0.004667927
order,-0.0046784985
recent,-0.0046788035
mechan,-0.0046793255
respons,-0.00468265
activ,-0.0046845167
crust,-0.0046886047
general,-0.004689509
2,-0.0046895286
tecton,-0.004689736
applic,-0.004692101
ice,-0.004695736
work,-0.004695897
potenti,-0.0046959645
rate,-0.0046998635
test,-0.0047002537
describ,-0.0047003897
import,-0.0047013694
natur,-0.0047042924
turbul,-0.0047050854
addit,-0.004705521
could,-0.0047079553
physic,-0.0047224863
onli,-0.004723649
through,-0.0047256574
southern,-0.0047276528
atmospher,-0.0047293915
basin,-0.0047315517
fractur,-0.0047320873
improv,-0.0047392407
form,-0.004747453
global,-0.00474817
valu,-0.004748829
about,-0.0047508273
over,-0.004751198
within,-0.0047520157
sedimentari,-0.0047523803
properti,-0.004753576
inform,-0.004754154
permeabl,-0.004756316
km,-0.004757897
set,-0.0047682454
case,-0.0047685336
locat,-0.0047687483
low,-0.004770603
reservoir,-0.0047765174
waveform,-0.0047774613
linear,-0.004778092
algo,-0.0047782087
featur,-0.0047818897
other,-0.0047820914
limit,-0.004782955
seri,-0.0047838585
most,-0.0047870544
equat,-0.0047875154
mean,-0.004790776
day,-0.00479237
framework,-0.004794483
solut,-0.0047951094
resolut,-0.00479655
imag,-0.0047989707
learn,-0.0047993073
similar,-0.0048006456
produc,-0.0048093996
requir,-0.004809917
under,-0.0048109763
where,-0.004811179
respect,-0.0048118928
0,-0.0048128543
crustal,-0.0048132576
materi,-0.004813763
co2,-0.004815027
understand,-0.0048163044
increas,-0.004816364
nonlinear,-0.0048168204
previous,-0.0048199855
i,-0.0048218323
all,-0.004824723
elast,-0.004828127
character,-0.0048290826
law,-0.0048318068
associ,-0.004832161
long,-0.004834955
further,-0.0048367656
number,-0.004838072
three,-0.004841462
lead,-0.0048425226
forc,-0.0048468355
strong,-0.0048507983
how,-0.00485135
volcano,-0.0048515564
temperatur,-0.004855044
consist,-0.0048558554
statist,-0.0048560435
core,-0.0048569655
layer,-0.0048611984
regim,-0.0048637497
energi,-0.004869951
allow,-0.0048700157
period,-0.004870289
exist,-0.0048728264
level,-0.004874539
deep,-0.0048777205
explain,-0.004880153
identifi,-0.004884452
interpret,-0.004885183
wavefield,-0.004888267
along,-0.0048903134
indic,-0.0048912284
deposit,-0.0048912806
magnitud,-0.004892561
subduct,-0.004892969
3,-0.004893869
deriv,-0.0048976517
introduc,-0.004900691
occurr,-0.004900881
accur,-0.0049011293
repres,-0.004901298
geodynamo,-0.004901404
caus,-0.0049020876
origin,-0.004904635
magma,-0.0049056085
california,-0.0049065994
quantifi,-0.0049088234
river,-0.0049089664
induc,-0.0049090497
complex,-0.004912668
reduc,-0.0049140453
final,-0.0049150884
effici,-0.0049165743
fault,-0.0049182945
vertic,-0.0049198377
3d,-0.0049223057
granular,-0.004922965
format,-0.004924264
experiment,-0.004926733
like,-0.0049270703
e,-0.0049271425
each,-0.0049272315
sever,-0.004927729
wide,-0.004927778
local,-0.004927788
techniqu,-0.0049280263
space,-0.0049283993
reveal,-0.004928513
plume,-0.004930059
phase,-0.0049307486
frequenc,-0.00493123
sea,-0.00493254
limeston,-0.004934279
size,-0.0049358583
driven,-0.0049361475
geochem,-0.004937233
particular,-0.004938524
dimension,-0.004940827
boundari,-0.0049409643
evolut,-0.004941956
main,-0.004942001
point,-0.004942457
coast,-0.0049430174
area,-0.004947099
variabl,-0.0049472223
profil,-0.004948902
accuraci,-0.0049498
histori,-0.004949956
achiev,-0.0049507273
japan,-0.0049535576
variat,-0.0049558203
possibl,-0.004956521
topographi,-0.004958666
some,-0.004964764
initi,-0.0049672057
calcul,-0.00496743
season,-0.004967562
seismolog,-0.004968673
type,-0.0049710143
compon,-0.0049722027
transport,-0.0049740467
implement,-0.004975793
valid,-0.0049766917
near,-0.0049771997
approxim,-0.0049780644
ratio,-0.0049784565
satur,-0.004980353
theori,-0.0049814633
stor,-0.00498315
current,-0.0049843923
dynamo,-0.0049857437
make,-0.0049857753
shallow,-0.004985909
correl,-0.0049881423
mode,-0.004988183
laboratori,-0.0049920743
discuss,-0.004993447
term,-0.004994512
sampl,-0.0049945395
uncertainti,-0.004995669
optim,-0.0049972204
composit,-0.0049984264
ruptur,-0.004998568
intern,-0.004999394
impact,-0.0050004064
second,-0.005001098
interact,-0.0050013945
analys,-0.0050027585
characterist,-0.0050029643
contribut,-0.0050032167
dataset,-0.005003488
train,-0.0050038393
specif,-0.005004624
pattern,-0.0050049284
influenc,-0.0050051925
eddi,-0.005007058
thus,-0.0050077625
analyz,-0.0050084707
design,-0.005009005
element,-0.0050092665
flux,-0.00500967
5,-0.005010643
evalu,-0.0050122826
fwi,-0.0050125853
known,-0.0050129914
various,-0.0050141728
mar,-0.0050171455
concentr,-0.0050189607
mani,-0.0050192904
erupt,-0.0050215083
horizont,-0.005021513
sensit,-0.0050222888
tempor,-0.0050232075
less,-0.0050233305
extend,-0.005023365
terrestri,-0.0050238124
forecast,-0.005023849
propag,-0.0050249076
theoret,-0.005027151
power,-0.0050284443
challeng,-0.005029001
detect,-0.0050292676
heat,-0.0050313883
melt,-0.0050366325
reflect,-0.005037241
synt,-0.005039379
map,-0.0050396784
advanc,-0.0050404132
therefor,-0.0050452943
conduct,-0.0050479025
comparison,-0.0050483486
porous,-0.005048352
mainshock,-0.0050485553
land,-0.0050495733
behavior,-0.0050496166
magnet,-0.005050805
sand,-0.0050520226
part,-0.0050526075
north,-0.005054477
integr,-0.005057192
detail,-0.005057477
role,-0.0050579063
hydrolog,-0.0050579477
amplitud,-0.0050587524
full,-0.0050591533
creat,-0.0050605824
averag,-0.0050620604
quantum,-0.005062398
slip,-0.0050635915
planetari,-0.005063972
tohoku,-0.0050642113
poros,-0.005066087
novel,-0.005069243
research,-0.0050715115
real,-0.005071831
support,-0.0050720377
bed,-0.005073527
becaus,-0.0050744754
befor,-0.005075927
mass,-0.0050767837
epicent,-0.005077205
interannu,-0.005077205
monitor,-0.005079827
mountain,-0.0050809784
major,-0.005081322
futur,-0.0050821453
intens,-0.0050824885
veri,-0.00508255
remot,-0.005082583
6,-0.005082876
typic,-0.005082996
traveltim,-0.005083438
signal,-0.0050839474
satellit,-0.005084404
neural,-0.0050861384
out,-0.0050864792
given,-0.0050867544
densiti,-0.0050869
simpl,-0.0050871065
planet,-0.0050871945
singl,-0.0050881156
maximum,-0.005088662
remain,-0.0050914437
common,-0.0050920327
domin,-0.005092597
engin,-0.005092639
assimil,-0.0050936583
multipl,-0.005094058
m,-0.005094648
exampl,-0.0050953445
transit,-0.0050958437
shape,-0.0050962423
circul,-0.005097018
robust,-0.0050978656
volum,-0.005098495
