Term,Mitigated Information
detector,0.007980021
we,-0.0034831914
measur,-0.003961765
use,-0.0045188055
high,-0.005342352
beam,-0.006802421
experi,-0.0068752808
present,-0.0070623397
electron,-0.0074210586
from,-0.0074455314
scintil,-0.007456083
resolut,-0.007573789
readout,-0.007599242
perform,-0.0077191554
design,-0.00782493
time,-0.008161524
chamber,-0.008185815
which,-0.008320842
devel,-0.008353823
result,-0.008417287
particl,-0.008451367
energi,-0.008461836
can,-0.00850445
sensit,-0.00861378
detect,-0.008623104
optic,-0.008634945
low,-0.00868303
base,-0.008810116
ray,-0.009040958
has,-0.009101853
model,-0.009141063
been,-0.009182985
system,-0.009206488
test,-0.009235301
have,-0.009269012
signal,-0.009295518
silicon,-0.0092989225
proc,-0.0093083
neutrino,-0.009319867
physic,-0.009385297
oper,-0.0094767725
calorimet,-0.009551677
two,-0.009564363
muon,-0.009582827
data,-0.009596395
method,-0.009617847
our,-0.00963155
new,-0.009670772
studi,-0.009675341
show,-0.0097546745
charg,-0.009767275
nois,-0.009786314
1,-0.009816927
it,-0.009821146
requir,-0.009830626
event,-0.009832327
photon,-0.009851311
reconstruct,-0.009859255
sensor,-0.009868733
demonstr,-0.009897096
applic,-0.009920788
laboratori,-0.009955129
paper,-0.009981021
effect,-0.010029994
provid,-0.010060792
rang,-0.010065756
also,-0.010075609
devic,-0.0100849345
field,-0.0100849755
propos,-0.010111447
instrument,-0.010161192
calibr,-0.010189947
report,-0.01019301
pixel,-0.01019676
photomultipli,-0.010229113
simul,-0.010248464
techniqu,-0.010257767
larg,-0.010258223
describ,-0.0102633545
first,-0.010276288
current,-0.010283871
upgrad,-0.010296797
algo,-0.010298088
prototyp,-0.010315237
io,-0.010330284
achiev,-0.010337169
precis,-0.010347094
radiat,-0.010355578
singl,-0.010358874
sourc,-0.0103765465
experiment,-0.010382094
collid,-0.010407791
one,-0.010421459
array,-0.010421801
imag,-0.010424927
background,-0.010430012
differ,-0.010431317
track,-0.010432346
dark,-0.0104324315
laser,-0.010444983
liquid,-0.010446021
