Term,Mitigated Information
imag,0.00045371067
clinic,-0.00057276385
use,-0.0016754457
we,-0.0016949187
tissu,-0.0017121017
phantom,-0.0021206273
dose,-0.0024618662
method,-0.002623382
reconstruct,-0.0028316393
patient,-0.0028527905
from,-0.0028651971
were,-0.0030026855
result,-0.0031250059
base,-0.0031578727
mri,-0.00327348
tomographi,-0.003405551
vivo,-0.0034806055
high,-0.0034884205
measur,-0.0035175802
treatment,-0.0035848485
perform,-0.0036141598
can,-0.0036317715
data,-0.003759345
which,-0.0037636093
model,-0.0038137005
time,-0.00383043
devel,-0.0038698786
compar,-0.0038751343
medic,-0.0039392663
differ,-0.00394837
studi,-0.0039554713
ct,-0.004020399
therapi,-0.004057083
simul,-0.004102147
radiotherapi,-0.0041196467
demonstr,-0.0041297297
propos,-0.004167992
radiat,-0.0042221113
scan,-0.004223508
approach,-0.0042263176
present,-0.0042422386
show,-0.0042601246
brain,-0.004350478
comput,-0.004359698
has,-0.004379517
provid,-0.0043867547
qualiti,-0.004391292
two,-0.0044078697
our,-0.0044238176
acquisit,-0.0044677323
work,-0.0044743614
effect,-0.004495142
evalu,-0.0044975188
techniqu,-0.0045746043
tumor,-0.0045844386
both,-0.0045932215
cancer,-0.0045941216
have,-0.004606923
howev,-0.004608551
proc,-0.0046371925
resolut,-0.0046462715
improv,-0.0046710838
contrast,-0.004676434
between,-0.0046851803
invas,-0.0047018407
scanner,-0.004704405
diseas,-0.004710083
reson,-0.0047145514
reduc,-0.004715924
pet,-0.004719355
0,-0.00472208
human,-0.0047367853
system,-0.0047577694
healthi,-0.004759833
due,-0.0047773453
test,-0.004792282
applic,-0.004809374
algo,-0.0048209387
potenti,-0.004830547
more,-0.004850306
spatial,-0.0048515815
beam,-0.0048749396
also,-0.0048767156
purpos,-0.004894415
undersampl,-0.004901591
quantit,-0.0049062613
signific,-0.0049126493
artifact,-0.004917185
achiev,-0.0049212133
paper,-0.004927
than,-0.004930283
direct,-0.0049363696
optim,-0.0049401475
signal,-0.0049433997
investig,-0.004961219
experiment,-0.00496852
appli,-0.004970011
acquir,-0.004974506
field,-0.0049750647
limit,-0.004979859
cardiac,-0.004979932
ultrasound,-0.004984125
been,-0.004984175
feasibl,-0.004988908
valid,-0.005004691
specif,-0.005006738
conclus,-0.0050093103
2,-0.005011433
increas,-0.005021061
magnet,-0.005034934
one,-0.0050358274
estim,-0.0050365115
it,-0.0050423928
each,-0.005042487
effici,-0.0050522946
requir,-0.0050680386
well,-0.0050791195
3d,-0.0050867815
through,-0.005087027
while,-0.0050887875
anatom,-0.005089062
analysi,-0.0050938344
respiratori,-0.005094904
diagnost,-0.005113652
net,-0.005113837
rate,-0.005114781
here,-0.0051162643
allow,-0.005125075
new,-0.0051282574
bone,-0.005128644
learn,-0.0051443996
generat,-0.0051467773
non,-0.005164694
promis,-0.0051690266
func,-0.005171228
blood,-0.005180282
volum,-0.005181429
arteri,-0.005193615
therapeut,-0.0051937653
challeng,-0.005194814
assess,-0.005200012
combin,-0.0052051162
5,-0.005207915
accur,-0.005210761
novel,-0.005212124
multi,-0.0052130492
paramet,-0.005213756
sensit,-0.005213854
singl,-0.005214484
may,-0.0052156155
enabl,-0.005216876
obtain,-0.0052230274
plan,-0.0052281464
determin,-0.005231622
set,-0.00523199
calcul,-0.005237635
low,-0.0052388767
first,-0.0052442225
dure,-0.0052482113
problem,-0.0052533755
other,-0.0052568056
monitor,-0.0052573024
convent,-0.0052603036
enhanc,-0.005263675
includ,-0.0052656815
design,-0.005266214
state,-0.005267785
case,-0.0052717617
s,-0.005273336
rang,-0.0052748853
lung,-0.005275646
train,-0.0052802335
x,-0.005283806
dosimetri,-0.005287339
structur,-0.005289389
deep,-0.0052913735
standard,-0.0052916184
diagnosi,-0.005301019
when,-0.005303852
respect,-0.0053167497
inform,-0.005318466
realiti,-0.0053280354
breast,-0.0053282944
relat,-0.0053298357
larg,-0.005331074
proton,-0.00533358
ray,-0.0053354534
three,-0.005335472
bodi,-0.005337932
distribut,-0.005340811
intens,-0.005344403
1,-0.0053460696
could,-0.0053467555
physiolog,-0.0053529167
featur,-0.0053542964
aim,-0.0053547993
detector,-0.005355333
accuraci,-0.0053604683
photoacoust,-0.0053622937
nois,-0.005362296
predict,-0.0053670844
sever,-0.005367237
detect,-0.0053698807
all,-0.0053767487
optic,-0.005376899
complex,-0.005382945
term,-0.005384656
attenu,-0.005385781
experi,-0.005388296
dynam,-0.0053901025
biolog,-0.005390336
physic,-0.00539065
properti,-0.0053911423
produc,-0.0054016216
onli,-0.005404514
numer,-0.0054053375
sampl,-0.0054054433
level,-0.0054087318
tool,-0.0054090903
general,-0.005410623
under,-0.0054183393
introduc,-0.0054235617
gold,-0.0054257126
target,-0.005428871
mean,-0.0054355995
retrospect,-0.0054366044
correct,-0.0054372516
order,-0.0054404074
capabl,-0.005442431
util,-0.005447372
mm,-0.0054477584
addit,-0.0054482287
without,-0.0054485956
current,-0.005449696
neural,-0.0054512424
cost,-0.005452869
indic,-0.0054573254
error,-0.00545856
segment,-0.005458964
consist,-0.005462397
map,-0.005463269
lead,-0.0054671234
head,-0.0054676537
number,-0.0054704696
frequenc,-0.005472628
recent,-0.0054744347
over,-0.005474787
