Term,Mitigated Information
optic,0.018674606
we,-0.0055709835
photon,-0.0066637006
light,-0.008211712
laser,-0.01442826
mode,-0.017325345
demonstr,-0.018544422
use,-0.019430194
can,-0.019772988
here,-0.019908655
reson,-0.021281876
field,-0.021640874
frequenc,-0.022025725
which,-0.022134729
plasmon,-0.022560257
from,-0.022689346
puls,-0.022945073
beam,-0.023367023
experiment,-0.023683101
high,-0.023754552
wavelength,-0.02385582
waveguid,-0.024125868
wave,-0.024162194
result,-0.024679963
nonlinear,-0.02475984
show,-0.024891533
polar,-0.025041347
system,-0.02528198
our,-0.025282143
two,-0.025564507
phase,-0.02563128
quantum,-0.025740033
propag,-0.025930058
base,-0.025986165
applic,-0.026027668
model,-0.026287584
intens,-0.026531832
effect,-0.026782053
pump,-0.026836634
caviti,-0.026963644
coupl,-0.02717928
materi,-0.027240125
singl,-0.027262006
devic,-0.027351126
electromagnet,-0.02736662
studi,-0.027492158
between,-0.02767447
excit,-0.027721843
state,-0.027752228
generat,-0.027863037
dielectr,-0.027881213
time,-0.027964137
present,-0.027968656
fiber,-0.028085465
scatter,-0.028137637
have,-0.028169936
structur,-0.02820662
control,-0.02831852
coher,-0.028332392
refract,-0.028334035
dispers,-0.028402435
measur,-0.028420195
method,-0.0284823
spectral,-0.02854376
differ,-0.028548043
crystal,-0.028563892
also,-0.02860647
paper,-0.028648712
provid,-0.028699217
propos,-0.028704433
spatial,-0.028812304
rang,-0.028889509
has,-0.029040838
properti,-0.029227681
one,-0.029333219
modul,-0.029372748
both,-0.02940788
limit,-0.029592726
new,-0.029607955
radiat,-0.029640201
realiz,-0.02969633
nm,-0.02972302
direct,-0.029758027
proc,-0.029767025
order,-0.029806022
theoret,-0.029873256
report,-0.029897459
approach,-0.029900037
induc,-0.029970447
achiev,-0.029990295
perform,-0.03014436
power,-0.030164681
data,-0.03019885
enhanc,-0.03020056
diffract,-0.030264908
design,-0.030375127
near,-0.030375134
depend,-0.03037644
non,-0.03038106
absorpt,-0.030385904
interact,-0.030431729
numer,-0.030466685
it,-0.030519405
effici,-0.03053457
through,-0.030558258
metasurfac,-0.030575745
work,-0.030622467
surfac,-0.03065158
investig,-0.030679408
well,-0.030685363
imag,-0.030696966
emiss,-0.030771405
devel,-0.030803945
enabl,-0.030845435
been,-0.03086265
strong,-0.03090455
howev,-0.030915882
dynam,-0.03095346
observ,-0.030995246
potenti,-0.03101281
physic,-0.031028904
polariton,-0.031046517
techniqu,-0.031057224
chip,-0.03112399
func,-0.031124216
regim,-0.031134909
fabric,-0.03123239
due,-0.031234931
electron,-0.03125601
energi,-0.031264458
broadband,-0.031297293
simul,-0.03134955
metal,-0.031391278
medium,-0.03139667
allow,-0.0314434
respons,-0.03145208
silicon,-0.031458702
sourc,-0.03145901
incid,-0.031524967
signal,-0.0315328
find,-0.03154538
electr,-0.03154972
nanophoton,-0.031552378
when,-0.031561278
subwavelength,-0.03158482
problem,-0.031598702
dimension,-0.031608213
than,-0.03161423
reflect,-0.031662755
low,-0.031671237
larg,-0.031677477
fundament,-0.031714085
relat,-0.03171796
transmiss,-0.031727668
array,-0.031734057
general,-0.031752132
loss,-0.031781655
inform,-0.031786405
all,-0.031800214
atom,-0.03181371
manipul,-0.031832416
integr,-0.031836927
media,-0.03189283
first,-0.03190317
obtain,-0.031906288
learn,-0.03190895
local,-0.03190974
metamateri,-0.031910498
possibl,-0.03192533
mechan,-0.031939823
onli,-0.031945083
tunabl,-0.03196887
band,-0.031986352
s,-0.031999595
includ,-0.032026105
index,-0.032028373
while,-0.03204091
amplitud,-0.032043282
over,-0.032049518
nanoparticl,-0.032062255
lead,-0.03206771
space,-0.03206889
where,-0.032081567
bandwidt,-0.03208192
femtosecond,-0.03208626
resolut,-0.03209472
increas,-0.032115374
linear,-0.032116644
microscopi,-0.032117233
recent,-0.03211808
shape,-0.03211886
more,-0.032136597
comput,-0.032190934
soliton,-0.032203965
