Term,Mitigated Information
plasma,0.02358206
electron,-0.0022891047
io,-0.002558112
magnet,-0.0029562504
we,-0.0031589335
particl,-0.003298632
field,-0.0044073975
simul,-0.0046041477
energi,-0.005115659
laser,-0.005939501
use,-0.006115149
kinet,-0.00627682
wave,-0.006334913
from,-0.006517072
result,-0.006692097
tokamak,-0.00670561
which,-0.0067529543
instabl,-0.0069048735
turbul,-0.0070223236
densiti,-0.0071496065
model,-0.0071573397
can,-0.0072314744
mhd,-0.0073252367
effect,-0.007602333
heat,-0.0076498296
equat,-0.007880292
studi,-0.007916613
present,-0.007926615
beam,-0.008063001
high,-0.008112563
show,-0.008209989
acceler,-0.008328918
charg,-0.008367631
collisionless,-0.008389857
magnetohydrodynam,-0.008412876
two,-0.008418244
discharg,-0.008433398
nonlinear,-0.008438478
reconnect,-0.00846591
numer,-0.008466217
puls,-0.008474844
electromagnet,-0.00848204
fusion,-0.008573286
time,-0.0085982885
dynam,-0.008604804
strong,-0.008605278
cell,-0.008623162
our,-0.008671124
veloc,-0.008697619
temperatur,-0.008729288
observ,-0.0087619
also,-0.008786998
pressur,-0.008817876
fluid,-0.008828203
system,-0.008833507
interact,-0.008878545
have,-0.008914101
current,-0.008924217
has,-0.008943014
physic,-0.008950738
base,-0.009011129
flux,-0.0090263495
propag,-0.009034102
between,-0.009044182
relativist,-0.009100642
scale,-0.009124106
method,-0.009144476
electr,-0.009148561
paper,-0.009152648
found,-0.009157749
propos,-0.00917526
than,-0.009176152
regim,-0.009180871
differ,-0.009185513
mode,-0.009206925
intens,-0.009207345
investig,-0.009222944
drift,-0.009231242
one,-0.009257064
pic,-0.009259415
confin,-0.009308643
shown,-0.009311201
collision,-0.009317096
amplitud,-0.009318572
astrophys,-0.0093312
frequenc,-0.009332184
electrostat,-0.009336966
flow,-0.00933743
radiat,-0.009342393
both,-0.009362619
generat,-0.00936722
compar,-0.009368105
region,-0.009369558
linear,-0.009370048
proc,-0.009398903
structur,-0.009421266
non,-0.009424729
when,-0.009432632
gyrokinet,-0.009450763
cyclotron,-0.009461882
been,-0.009496011
mechan,-0.009511947
transport,-0.009516112
where,-0.009528517
depend,-0.009531224
well,-0.009535013
solar,-0.009540899
data,-0.0095459875
analyt,-0.009563269
func,-0.009564027
wakefield,-0.009566119
provid,-0.009588533
approach,-0.009590361
larg,-0.009596647
distribut,-0.009599769
experiment,-0.0096015595
rang,-0.009604206
demonstr,-0.009617503
due,-0.009619349
devel,-0.009622936
vlasov,-0.009626631
space,-0.009636953
dimension,-0.009641702
low,-0.009643503
new,-0.009644362
alfv,-0.009646048
it,-0.00966492
direct,-0.009669805
lead,-0.009679696
more,-0.009682359
perform,-0.009686275
state,-0.009696538
work,-0.009707712
first,-0.009709376
s,-0.009712309
