Term,Mitigated Information
we,-0.00052834663
earth,-0.00090342434
physic,-0.0010607656
from,-0.0010879419
which,-0.0011690155
use,-0.001200965
time,-0.001213068
s,-0.0012991822
civil,-0.0013102805
can,-0.0013775027
discuss,-0.0013951492
way,-0.001413242
planet,-0.0014147684
model,-0.0014277631
paper,-0.0014289267
have,-0.0014545297
seti,-0.0014561234
result,-0.0014587431
show,-0.0014631278
our,-0.00146841
would,-0.0014710146
extraterrestri,-0.0014724701
scientif,-0.0014768456
judo,-0.0014890324
more,-0.0014960368
one,-0.0015256836
present,-0.0015294785
been,-0.0015296545
other,-0.0015326329
possibl,-0.0015331937
all,-0.0015478021
also,-0.0015522792
some,-0.0015551874
celesti,-0.0015578702
base,-0.0015589065
two,-0.0015612328
scienc,-0.001566858
has,-0.0015730045
may,-0.0015768285
observ,-0.0015845485
between,-0.0015866854
so,-0.0015885589
studi,-0.0015901212
solar,-0.0015908997
propos,-0.0015923197
system,-0.0015996074
idea,-0.0016008145
method,-0.0016025545
most,-0.0016062311
drake,-0.0016077161
provid,-0.0016130947
could,-0.0016183151
interstellar,-0.0016199832
mani,-0.0016209681
ancient,-0.00162343
relat,-0.0016236445
planetari,-0.0016246449
year,-0.0016247999
throw,-0.0016281769
live,-0.0016288743
general,-0.0016310324
it,-0.0016455955
astronom,-0.001647017
than,-0.0016499201
today,-0.0016502617
alien,-0.0016543699
like,-0.0016562426
data,-0.001657901
univers,-0.0016579527
high,-0.0016581051
effect,-0.0016602537
travel,-0.0016626042
fuel,-0.0016670168
mar,-0.0016688162
question,-0.0016693939
perform,-0.0016717628
well,-0.0016744687
describ,-0.0016755603
about,-0.0016756956
approach,-0.0016822908
new,-0.0016826313
life,-0.0016835295
principl,-0.0016837908
centuri,-0.0016840055
how,-0.0016879818
differ,-0.0016880601
mechan,-0.001689205
state,-0.0016892928
energi,-0.0016932602
engin,-0.0016936304
mission,-0.0016953548
student,-0.0016964284
far,-0.001696892
limit,-0.0017007983
includ,-0.0017010466
beacon,-0.0017017277
devel,-0.001702863
were,-0.0017042262
work,-0.0017049077
view,-0.0017077826
learn,-0.0017129607
even,-0.0017133966
fall,-0.0017142891
theori,-0.0017155665
basic,-0.001716533
societi,-0.001716908
onli,-0.0017176765
mass,-0.0017198996
star,-0.0017206848
proc,-0.0017228378
both,-0.0017238872
first,-0.0017241447
known,-0.0017253715
concept,-0.0017262076
object,-0.0017262357
