Term,Mitigated Information
solar,0.0034470023
plasma,0.0008997221
magnet,-6.1204424E-05
wind,-0.000119164586
spacecraft,-0.00042855367
heliospher,-0.0008200607
observ,-0.0008983307
earth,-0.0009831901
coron,-0.0010177623
we,-0.0010681159
from,-0.0012912201
io,-0.0013006738
interplanetari,-0.0013383449
sun,-0.0016201021
particl,-0.0017143802
field,-0.0017529987
eject,-0.0018046899
mission,-0.0018777775
event,-0.0019294806
magnetospher,-0.0019660706
space,-0.0020394705
energet,-0.0020681194
corona,-0.0020826478
shock,-0.002090467
region,-0.00209309
use,-0.0021930686
reconnect,-0.0022101048
energi,-0.0022190898
turbul,-0.0022265338
which,-0.002279609
studi,-0.002282104
dure,-0.002292438
result,-0.002339636
have,-0.0023743464
flux,-0.0023749564
mhd,-0.0023805525
model,-0.002550265
electron,-0.0025568139
wave,-0.0025582006
flare,-0.0025778802
than,-0.002591153
magnetohydrodynam,-0.0026001434
can,-0.0026088185
orbit,-0.0026211296
situ,-0.0026228968
high,-0.0026458143
time,-0.0026526523
present,-0.0026531531
between,-0.0026654128
acceler,-0.0026877113
au,-0.002688591
alfv,-0.002708125
has,-0.0027098437
simul,-0.0027148386
alfven,-0.002724161
scale,-0.0027384416
measur,-0.0027455345
cmes,-0.0027714802
s,-0.0027753867
differ,-0.0027787355
two,-0.0027846098
mass,-0.0028359583
also,-0.0028660814
suggest,-0.0028759665
weather,-0.002882474
data,-0.0028928076
proton,-0.0028946176
been,-0.002907116
our,-0.002907332
show,-0.002908702
sep,-0.0029310638
cme,-0.0029359756
satellit,-0.002983666
proc,-0.003008781
kinet,-0.003031399
instrument,-0.0030406008
it,-0.0030414087
interact,-0.0030470616
heat,-0.0030516752
relat,-0.0030739794
effect,-0.0030749533
base,-0.0030845916
more,-0.003095403
first,-0.0030964743
1,-0.0031026958
includ,-0.0031112598
larg,-0.0031154654
both,-0.0031158596
provid,-0.003119197
atmospher,-0.00312242
well,-0.0031309475
parker,-0.003136349
analysi,-0.003144011
speed,-0.003146899
2,-0.0031523744
distribut,-0.0031559584
paper,-0.0031676667
intens,-0.003168204
evolut,-0.0031710719
propag,-0.0031743573
one,-0.003177375
veloc,-0.0031779942
propos,-0.003182742
system,-0.0031846887
possibl,-0.0031949277
densiti,-0.0031955508
collisionless,-0.0031964097
heliocentr,-0.0031976749
rang,-0.0032015364
ray,-0.0032046295
indic,-0.0032054568
method,-0.0032063562
mechan,-0.0032132904
around,-0.0032228539
find,-0.003225206
investig,-0.0032258423
compar,-0.0032309487
activ,-0.003234587
physic,-0.0032378163
geomagnet,-0.0032379264
import,-0.0032403353
low,-0.0032514657
3,-0.0032517964
close,-0.003253292
moon,-0.0032565207
direct,-0.0032735597
erupt,-0.0032741555
near,-0.0032760124
24,-0.0032877028
numer,-0.0032879699
increas,-0.0032910688
were,-0.0032984188
rope,-0.0033010957
planetari,-0.0033021828
new,-0.0033058287
current,-0.0033106776
here,-0.00331081
three,-0.0033146658
discuss,-0.003316733
neutral,-0.003317422
structur,-0.0033175386
photospher,-0.0033195927
most,-0.0033224076
stereo,-0.0033229562
may,-0.0033245515
astrophys,-0.0033255976
similar,-0.0033276156
voyag,-0.0033282796
icm,-0.0033282894
sub,-0.0033287308
radial,-0.003331106
signific,-0.0033321455
caus,-0.0033350526
mar,-0.003335936
associ,-0.0033381837
strong,-0.0033385414
statist,-0.0033391633
origin,-0.0033409041
while,-0.003344946
perform,-0.0033469026
whistler,-0.0033477694
when,-0.0033486597
fluctuat,-0.003348727
where,-0.0033551226
determin,-0.0033582381
form,-0.0033588624
found,-0.0033619031
like,-0.0033619134
howev,-0.0033647793
belt,-0.003365533
launch,-0.003367155
sheet,-0.0033674957
within,-0.003367718
fast,-0.0033687588
occur,-0.003371001
estim,-0.0033721416
previous,-0.003373691
drift,-0.003376169
supratherm,-0.0033771573
approach,-0.0033817564
dissip,-0.0033825361
instabl,-0.0033885965
predict,-0.0033896314
state,-0.003391395
domin,-0.0033923448
impact,-0.003395167
surfac,-0.0033963504
due,-0.0034010576
small,-0.0034014077
obtain,-0.0034073824
generat,-0.0034088225
thermal,-0.0034089
auror,-0.003408947
year,-0.0034093992
x,-0.0034095875
spectra,-0.003410319
sourc,-0.0034124325
consist,-0.0034164751
cyclotron,-0.003417521
enic,-0.0034176297
latitud,-0.0034192663
presenc,-0.0034194044
other,-0.0034229187
saturn,-0.0034235711
through,-0.0034282722
coronagraph,-0.003432493
polar,-0.0034346057
over,-0.0034348255
lunar,-0.0034367265
probe,-0.0034409512
radiat,-0.0034423752
sheath,-0.0034440882
flow,-0.0034444924
work,-0.0034471187
emiss,-0.003447195
depend,-0.0034473608
learn,-0.0034493054
pressur,-0.0034493834
cosmic,-0.0034504416
power,-0.0034517574
number,-0.0034519935
dynam,-0.0034521478
