Term,Mitigated Information
protein,0.0074572787
molecul,0.0002177459
molecular,-0.0004844534
we,-0.00066783396
bind,-0.0011346044
structur,-0.0012173561
drug,-0.0014162697
biolog,-0.0014624897
dna,-0.0016935798
predict,-0.0017044552
model,-0.0017657165
conform,-0.0017797028
use,-0.0019837504
fold,-0.0021363408
ligand,-0.0021404608
rna,-0.0022388035
from,-0.0022609024
acid,-0.0023125773
sequenc,-0.0023147385
base,-0.0023989212
which,-0.0024216496
can,-0.0025765148
amino,-0.0025959592
have,-0.0026153284
interact,-0.0026589087
func,-0.0026966992
our,-0.0027065002
method,-0.002771181
data,-0.002786008
between,-0.0028342723
energi,-0.0028650668
proc,-0.0028885119
site,-0.0028907047
result,-0.0028944258
studi,-0.002898091
chemic,-0.0029447249
here,-0.0029839452
show,-0.0029855473
high,-0.0030345037
nativ,-0.0030527094
experiment,-0.0030654424
approach,-0.0030664825
discoveri,-0.0030720248
also,-0.0030981947
design,-0.0031113192
properti,-0.0031213702
demonstr,-0.0031401096
strand,-0.0031453623
comput,-0.0031454246
differ,-0.0031464112
two,-0.0031625654
dynam,-0.0031645186
effect,-0.0031737396
potenti,-0.0031776452
enzym,-0.0032121956
recent,-0.0032184906
role,-0.0032210648
singl,-0.0032225014
present,-0.0032350102
generat,-0.0032368714
has,-0.0032413648
complex,-0.0032466925
it,-0.0032490003
import,-0.0032510732
one,-0.0032658896
devel,-0.0032823368
mechan,-0.0032823803
simul,-0.0032834061
learn,-0.00328358
dock,-0.003287776
state,-0.0032891436
than,-0.0032926379
propos,-0.0032928232
howev,-0.0033217948
both,-0.0033252183
perform,-0.003336387
more,-0.0033400948
kinet,-0.0033627707
analysi,-0.0033632983
provid,-0.0033651763
system,-0.0033797987
been,-0.0033850297
tool,-0.0033867145
time,-0.0033927027
affin,-0.00340227
three,-0.0034046196
target,-0.0034082474
new,-0.0034168335
paper,-0.0034252978
non,-0.0034286543
determin,-0.0034332396
novel,-0.0034751385
activ,-0.0034754565
optim,-0.0034784842
mutat,-0.0034945807
antibodi,-0.0034988164
therapeut,-0.0035037072
compar,-0.0035103534
signific,-0.0035152694
applic,-0.0035189746
first,-0.0035199898
small,-0.003523512
experi,-0.003534252
