Term,Mitigated Information
biolog,0.00094677275
net,0.00071349536
gene,0.0005658674
protein,0.00010037003
reaction,-0.0003446074
cell,-0.0003663532
we,-0.0004137857
regulatori,-0.0007966383
model,-0.0008080836
system,-0.0010870643
biochem,-0.0012603842
metabol,-0.001322036
dynam,-0.0013536864
from,-0.001454686
can,-0.001468657
use,-0.0015232665
which,-0.0015439553
regul,-0.0016260631
pathway,-0.0017540576
transcript,-0.0017691612
func,-0.0017903736
chemic,-0.0018132306
interact,-0.0018196322
here,-0.0018309124
molecular,-0.0018498895
complex,-0.0018703535
dna,-0.0018948636
studi,-0.0019011316
differ,-0.0019148604
state,-0.0019491275
have,-0.0019757706
stochast,-0.001976973
our,-0.0019919544
result,-0.0020132689
show,-0.0020352975
proc,-0.0020444873
enzym,-0.00205962
base,-0.0020604907
speci,-0.0020613556
express,-0.0020645405
bind,-0.0020657664
number,-0.0020677852
molecul,-0.0020744216
concentr,-0.002075058
cellular,-0.002085432
other,-0.0021414408
steadi,-0.002171038
boolean,-0.002182029
receptor,-0.0021844897
role,-0.0021982624
between,-0.0021997774
paramet,-0.0022110827
how,-0.0022191682
also,-0.0022213007
approach,-0.0022213857
time,-0.002221567
organ,-0.0022232216
provid,-0.0022329406
data,-0.0022338615
kinet,-0.0022345951
method,-0.00223629
has,-0.0022371165
under,-0.0022502465
genom,-0.0022633004
simul,-0.002266693
yeast,-0.002271286
bistabl,-0.002274634
analysi,-0.0022776932
phenotyp,-0.002289001
present,-0.002295625
paper,-0.002304188
propos,-0.0023050972
signal,-0.0023184281
genet,-0.0023277388
howev,-0.0023313498
two,-0.0023333959
mechan,-0.0023401126
mani,-0.0023419994
comput,-0.0023569432
devel,-0.0023587048
suggest,-0.0023659987
ligand,-0.0023662583
larg,-0.0023704278
when,-0.0023713596
well,-0.0023868124
specif,-0.002399993
it,-0.0024021675
understand,-0.00240791
find,-0.00240867
describ,-0.002414833
activ,-0.0024197255
control,-0.0024209674
through,-0.0024224627
effect,-0.0024233859
type,-0.002432119
structur,-0.002433801
inform,-0.0024374698
one,-0.0024396128
set,-0.002440138
allow,-0.002442643
drug,-0.0024432528
switch,-0.0024514878
tool,-0.0024530385
each,-0.0024541183
synt,-0.002461509
signific,-0.0024637845
differenti,-0.002464368
general,-0.0024676297
requir,-0.0024677515
identifi,-0.0024688903
properti,-0.0024694363
scale,-0.0024715248
been,-0.0024734798
case,-0.0024755918
