Term,Mitigated Information
brain,0.0079703
neuron,0.0043814057
neural,-0.0007782028
we,-0.0013486074
net,-0.0019460592
activ,-0.0021909468
spike,-0.0028130529
neurosci,-0.0029792613
use,-0.003314055
cognit,-0.003361094
model,-0.0033921679
from,-0.003435329
fire,-0.0035452154
can,-0.0039218077
synapt,-0.0039937114
cortic,-0.003999211
func,-0.0042683883
here,-0.0042922962
which,-0.004410457
between,-0.004438128
connect,-0.004455191
biolog,-0.0048030396
studi,-0.0048093316
human,-0.004920707
dynam,-0.0049605323
how,-0.0049904054
result,-0.0050273994
our,-0.0050326465
comput,-0.0050547966
differ,-0.00507032
proc,-0.0051184455
cortex,-0.0052071065
learn,-0.005232382
have,-0.00523651
system,-0.005260757
stimuli,-0.005263688
data,-0.0053758053
provid,-0.0053796875
base,-0.0053810356
fmri,-0.005463768
excitatori,-0.0054658502
inform,-0.0055047935
show,-0.0055211848
inhibitori,-0.005537613
time,-0.005542537
understand,-0.0055727586
pattern,-0.005577419
structur,-0.0055878144
has,-0.005633219
eeg,-0.005677928
mechan,-0.0057513467
synaps,-0.0057532527
record,-0.005756672
stimulus,-0.005786431
method,-0.005854728
also,-0.005905395
connectom,-0.0059245927
approach,-0.0059455344
propos,-0.005961005
two,-0.0060285605
signal,-0.006041943
devel,-0.0060775443
sensori,-0.0060778446
been,-0.006124217
present,-0.006129901
plastic,-0.006131137
state,-0.0061773076
more,-0.006179476
respons,-0.0061845495
may,-0.0062051527
visual,-0.00621098
perform,-0.0062155873
neuroimag,-0.006220377
high,-0.006227766
subject,-0.006229888
complex,-0.0062526036
suggest,-0.006272052
tempor,-0.006287377
seizur,-0.006288448
demonstr,-0.006299657
effect,-0.006318245
relat,-0.006339589
task,-0.006339728
nervous,-0.006358237
it,-0.0063760905
work,-0.006380169
across,-0.00638286
level,-0.006389087
organ,-0.006392539
mem,-0.006393379
s,-0.0064015244
imag,-0.006402679
while,-0.0064053526
well,-0.0064090593
paper,-0.0064131105
featur,-0.0064167054
potenti,-0.00641902
one,-0.006419599
find,-0.00642315
predict,-0.0064478368
input,-0.0064611225
both,-0.006479093
analysi,-0.006480667
behavior,-0.006487075
when,-0.006489697
specif,-0.0065200506
rest,-0.006534189
under,-0.0065364186
recent,-0.00655637
individu,-0.0065568774
larg,-0.0065588662
howev,-0.006559383
investig,-0.0065598404
associ,-0.006564999
correl,-0.0065694936
other,-0.0066323625
framework,-0.00664288
region,-0.006648285
appli,-0.0066496497
control,-0.00665919
were,-0.0066694524
cell,-0.00666962
theori,-0.006701993
measur,-0.0067249136
each,-0.006734534
train,-0.006734818
through,-0.006739291
includ,-0.0067411573
repres,-0.006747235
depend,-0.006748171
than,-0.006766765
first,-0.006767405
distribut,-0.006774652
generat,-0.006786474
nois,-0.0068023466
import,-0.0068085166
circuit,-0.006811036
allow,-0.006814896
number,-0.006818209
healthi,-0.006825968
motor,-0.006837329
scale,-0.0068481155
popul,-0.006853219
compar,-0.006853898
set,-0.006854412
describ,-0.0068561765
statist,-0.0068638064
observ,-0.0068682814
dure,-0.0068717375
artifici,-0.00687364
anim,-0.0068738847
experiment,-0.0068762237
patient,-0.0068777935
rate,-0.006897643
evid,-0.0069017974
where,-0.0069039604
represent,-0.00690848
problem,-0.006911448
stimul,-0.006912977
new,-0.0069178026
general,-0.006919638
previous,-0.0069213333
dataset,-0.006927537
novel,-0.0069341846
properti,-0.0069518485
identifi,-0.0069536865
similar,-0.0069575584
integr,-0.006968929
non,-0.0069695725
chang,-0.0069883848
current,-0.0069961827
signific,-0.006996227
explain,-0.0069981576
within,-0.006998603
research,-0.007000058
way,-0.007000614
interact,-0.0070057646
experi,-0.0070130597
multipl,-0.0070133777
encod,-0.007017765
role,-0.007018311
algo,-0.0070193633
introduc,-0.007025353
reveal,-0.0070296386
deep,-0.0070316847
character,-0.00703301
recurr,-0.007034423
physiolog,-0.00703529
field,-0.0070385924
most,-0.007040387
evok,-0.007040484
consist,-0.0070411046
theoret,-0.00704175
emerg,-0.0070527727
singl,-0.007052998
make,-0.0070544276
onli,-0.007056875
over,-0.0070570423
space,-0.007057217
test,-0.0070573622
conscious,-0.007062225
three,-0.007067389
all,-0.0070712157
simul,-0.007071796
limit,-0.0070719947
particular,-0.0070806546
deriv,-0.007082842
applic,-0.007083769
hypothesi,-0.007087115
mean,-0.0070904186
variabl,-0.007094926
sever,-0.007098003
mani,-0.0071002906
natur,-0.0071018683
term,-0.007113195
robust,-0.007114021
map,-0.0071187513
spatial,-0.007119862
combin,-0.007123584
axon,-0.0071268105
e,-0.007127656
anatom,-0.0071288715
order,-0.0071312864
i,-0.0071324734
coupl,-0.0071330736
exist,-0.0071346085
analyz,-0.0071350583
consid,-0.0071350774
infer,-0.0071364543
diseas,-0.0071407855
lead,-0.007141917
paramet,-0.007144516
epilepsi,-0.007146778
remain,-0.007150635
indic,-0.0071512153
weight,-0.0071592852
captur,-0.007163442
interpret,-0.0071656494
effici,-0.007169474
select,-0.007173039
inspir,-0.0071747717
increas,-0.0071847336
thus,-0.007185176
distinct,-0.00718736
explor,-0.007188875
area,-0.0071932026
further,-0.007202804
improv,-0.0072046765
long,-0.0072054584
synchr,-0.0072063426
stdp,-0.007206909
accuraci,-0.007207057
biophys,-0.007207455
could,-0.00721214
neurolog,-0.0072131497
architectur,-0.007213625
optim,-0.0072136912
requir,-0.007214808
evalu,-0.007217054
auditori,-0.007222269
some,-0.0072241826
tool,-0.0072256443
challeng,-0.0072309873
intracrani,-0.00723429
presynapt,-0.007237128
second,-0.0072372584
electroencephalogram,-0.0072392374
electrophysiolog,-0.007242493
fundament,-0.0072436947
type,-0.0072445804
mathemat,-0.0072447583
local,-0.0072453865
direct,-0.0072459383
discuss,-0.0072459476
leaki,-0.007247232
found,-0.0072484626
classif,-0.0072492566
rat,-0.007250816
exhibit,-0.007257335
form,-0.0072578224
hippocampus,-0.0072665783
inhibit,-0.00727008
like,-0.007270169
condit,-0.0072717303
after,-0.0072718486
low,-0.0072743534
contrast,-0.007284391
key,-0.007284862
epilept,-0.007286467
possibl,-0.0072884676
case,-0.007289269
abil,-0.0072893966
obtain,-0.0072949883
implement,-0.007298318
same,-0.007301936
rang,-0.0073109744
random,-0.0073118177
addit,-0.007316442
what,-0.007316599
do,-0.0073168227
sampl,-0.0073188394
about,-0.007321747
insight,-0.007325565
percept,-0.007326922
final,-0.007328187
techniqu,-0.0073282276
avail,-0.007329124
estim,-0.0073300423
design,-0.0073328824
concept,-0.007333317
common,-0.0073333457
plausibl,-0.007336251
wide,-0.0073365644
determin,-0.007338354
via,-0.0073386803
self,-0.007340785
achiev,-0.0073442305
extern,-0.007344988
linear,-0.007347456
neuromorph,-0.0073478753
support,-0.007350621
frequenc,-0.0073515633
dendrit,-0.007358415
cerebr,-0.0073589436
those,-0.007361363
often,-0.0073621897
strength,-0.007363671
adapt,-0.0073706578
given,-0.00737597
involv,-0.0073769204
assess,-0.007377724
better,-0.007380338
focus,-0.007387001
disord,-0.0073900903
stochast,-0.0073901056
detect,-0.0073909154
yet,-0.0073912404
although,-0.0073918677
point,-0.0073927892
facilit,-0.0073945387
1,-0.0073961793
play,-0.0073978393
whole,-0.0073999567
advanc,-0.007402462
due,-0.0074025057
reproduc,-0.0074025313
clinic,-0.007402708
various,-0.00740289
adult,-0.0074035972
action,-0.007403946
known,-0.0074044815
respect,-0.0074060406
enabl,-0.007412607
dimension,-0.0074139307
influenc,-0.007414408
hodgkin,-0.0074165775
heterogen,-0.0074167643
macaqu,-0.007419619
object,-0.0074198367
account,-0.007421934
2,-0.007422552
code,-0.0074233525
solut,-0.0074235704
defin,-0.0074251555
build,-0.007425788
occur,-0.007425851
graph,-0.007426331
mammalian,-0.00742687
vari,-0.0074273045
machin,-0.0074289907
simpl,-0.0074299937
accur,-0.007430846
intellig,-0.007431121
valu,-0.00743197
mental,-0.007432563
interest,-0.00743512
induc,-0.007438112
valid,-0.007438654
call,-0.0074408124
alzheim,-0.007441153
relev,-0.0074428115
small,-0.007444395
empir,-0.007447737
phase,-0.0074484157
affect,-0.007448913
multi,-0.0074490416
hippocamp,-0.007451535
scienc,-0.00745283
group,-0.007454034
rule,-0.0074558747
need,-0.0074599907
pre,-0.007460109
intern,-0.007461421
numer,-0.0074614226
particip,-0.00746427
success,-0.0074669397
therefor,-0.0074679996
crucial,-0.0074714874
rhythm,-0.007471909
compon,-0.007472532
futur,-0.007476731
power,-0.0074769654
principl,-0.0074771154
impair,-0.0074789366
energi,-0.0074794195
real,-0.0074815964
construct,-0.007482627
electroencephalographi,-0.0074850377
postsynapt,-0.0074851695
thalamus,-0.0074851695
exampl,-0.007486358
noisi,-0.007490668
without,-0.0074912845
even,-0.007492177
central,-0.0074954373
essenti,-0.007496753
hebbian,-0.0074999426
mri,-0.00750003
posit,-0.007500318
might,-0.0075009307
address,-0.0075031295
transform,-0.0075033894
huxley,-0.00750444
astrocyt,-0.0075044488
world,-0.0075051347
initi,-0.0075058714
interneuron,-0.0075062867
transfer,-0.0075066243
probabl,-0.0075068474
link,-0.0075074844
oscil,-0.007507909
conclus,-0.0075082034
higher,-0.0075084916
convolut,-0.0075097186
typic,-0.007510117
excit,-0.0075110593
unit,-0.0075132307
capabl,-0.0075137494
earli,-0.00751564
topolog,-0.007516255
nonlinear,-0.007517339
so,-0.007518197
aris,-0.007518513
short,-0.0075197103
elegan,-0.0075200945
shown,-0.0075207655
oper,-0.007520931
cultur,-0.007522185
feedback,-0.0075258343
step,-0.007527007
collect,-0.007527044
thought,-0.0075275437
rather,-0.007528799
hypothes,-0.0075319987
attent,-0.0075320513
neuroscientist,-0.007533761
size,-0.007535658
moreov,-0.0075361254
ani,-0.0075379084
cluster,-0.0075393375
reson,-0.007540279
quantum,-0.0075420802
offer,-0.00754226
review,-0.007542494
produc,-0.007543836
reduc,-0.0075439056
ganglia,-0.0075475457
strong,-0.0075500747
togeth,-0.007551959
factor,-0.007553879
class,-0.00755608
view,-0.007557465
modul,-0.007559015
global,-0.007559254
sourc,-0.0075595076
correspond,-0.007560071
equat,-0.0075622085
approxim,-0.007564443
them,-0.0075644744
aspect,-0.0075667184
relationship,-0.0075672795
acquir,-0.0075676227
progress,-0.007569291
interspik,-0.007570958
up,-0.007571174
biomark,-0.0075714653
lack,-0.0075717145
help,-0.007573906
neurobiolog,-0.007574171
examin,-0.0075749326
out,-0.007576191
neurodegen,-0.007576272
main,-0.007577352
error,-0.007578122
movement,-0.007578823
express,-0.0075791455
veri,-0.007579432
understood,-0.0075803087
spontan,-0.007580877
perceptu,-0.007581361
part,-0.0075814314
implic,-0.0075815376
inter,-0.0075818924
output,-0.007582121
question,-0.00758437
physic,-0.0075876503
environ,-0.0075877127
mind,-0.00758882
perspect,-0.007589611
standard,-0.0075907614
driven,-0.0075912895
extract,-0.0075917905
slow,-0.007592881
still,-0.007593819
phenomena,-0.00759616
us,-0.007596297
extend,-0.0075964215
shape,-0.0075999666
electrod,-0.007600553
spars,-0.0076041003
report,-0.0076041874
contain,-0.007604991
take,-0.0076066637
recognit,-0.0076068616
open,-0.0076079923
drosophila,-0.0076082908
overal,-0.0076089287
conceptu,-0.0076102847
tissu,-0.007610342
latent,-0.007612514
abl,-0.007613589
characterist,-0.007614252
basic,-0.007616127
project,-0.007619303
degre,-0.007620419
age,-0.0076205595
sinc,-0.007620801
knowledg,-0.0076213554
aim,-0.0076215737
node,-0.0076221144
follow,-0.007622308
domain,-0.007622572
g,-0.0076229842
extens,-0.0076246704
creativ,-0.0076250383
neocortex,-0.0076257708
spatiotempor,-0.0076260944
averag,-0.007627764
differenti,-0.0076283105
despit,-0.007628414
systemat,-0.007628698
3,-0.007629352
much,-0.007630971
diffus,-0.007631161
art,-0.0076311682
whether,-0.007631949
drive,-0.0076322323
layer,-0.0076330192
adolesc,-0.0076334984
issu,-0.007634361
interict,-0.007634857
monkey,-0.0076351427
continu,-0.007635221
transit,-0.007635558
normal,-0.0076369974
evolv,-0.0076370076
origin,-0.0076373257
conduct,-0.0076373713
depress,-0.0076375087
employ,-0.0076375497
basal,-0.0076381946
realist,-0.007639
patholog,-0.007639853
prove,-0.007639965
sleep,-0.007642361
score,-0.00764429
causal,-0.007645828
sensorimotor,-0.007646016
white,-0.0076465216
variat,-0.0076484843
situat,-0.0076485965
give,-0.0076492727
establish,-0.0076502752
independ,-0.0076507074
schizophrenia,-0.0076511973
magnet,-0.0076515735
context,-0.007651663
free,-0.0076519223
contribut,-0.0076520713
along,-0.007653686
anatomi,-0.0076543204
diagnosi,-0.0076570213
