Term,Mitigated Information
popul,0.0036793444
we,-0.0015724978
model,-0.0018804092
infect,-0.002125557
evolutionari,-0.002152973
speci,-0.0038350623
individu,-0.0043708207
epidem,-0.00442613
dynam,-0.0045730826
mutat,-0.0048858537
which,-0.0049329144
from,-0.005087189
evolut,-0.0050880793
use,-0.0051735574
can,-0.005361263
phylogenet,-0.005441053
diseas,-0.0055993334
ecolog,-0.005845486
here,-0.005891339
between,-0.005898512
show,-0.005957228
studi,-0.0060956734
spread,-0.0061009526
result,-0.0061588213
our,-0.0062214676
biolog,-0.0062380424
differ,-0.0062553706
time,-0.0062753544
covid,-0.0064074476
have,-0.006455026
reproduct,-0.0064885775
number,-0.006607107
outbreak,-0.0066581257
also,-0.0067347977
select,-0.0067879176
has,-0.006810897
may,-0.006819415
base,-0.0069111288
data,-0.0069247396
two,-0.006935782
rate,-0.0069733355
virus,-0.006977075
19,-0.006990619
when,-0.006997356
effect,-0.007007707
proc,-0.0070397696
how,-0.007100177
stochast,-0.0071114353
gene,-0.0071705496
simul,-0.0071835136
mathemat,-0.00720754
find,-0.00723807
epidemiolog,-0.007273446
case,-0.007287639
system,-0.007289093
other,-0.007321943
genom,-0.007329862
more,-0.007335605
one,-0.00735436
both,-0.0073645217
extinct,-0.0073702373
provid,-0.0073851617
death,-0.00741223
infecti,-0.0074264538
strategi,-0.007432788
devel,-0.0074598845
vaccin,-0.007481592
social,-0.0075159958
pandem,-0.007531481
evolv,-0.0075605735
genet,-0.007587916
paper,-0.0076110633
present,-0.0076290905
new,-0.0076368125
increas,-0.007655748
chang,-0.0076648784
game,-0.007666873
it,-0.007679453
method,-0.0076873675
propos,-0.0077075963
under,-0.007710508
interact,-0.0077189337
larg,-0.0077318135
fit,-0.0077432217
suscept,-0.007748259
condit,-0.0077537373
consid,-0.0077579524
all,-0.007772944
state,-0.007775451
tree,-0.007778397
well,-0.007779849
general,-0.007780202
approach,-0.0077956123
immun,-0.007795679
size,-0.007798256
been,-0.0077997455
than,-0.007814861
growth,-0.007816835
analysi,-0.007841957
where,-0.007853688
predict,-0.007863288
level,-0.007865447
import,-0.007900305
depend,-0.007913372
paramet,-0.007915113
organ,-0.007937472
pathogen,-0.007977153
describ,-0.007978745
suggest,-0.008006114
howev,-0.008007732
cooper,-0.008011301
observ,-0.008018038
allow,-0.00802089
