Term,Mitigated Information
market,0.00096227275
econom,0.00027920987
financi,-0.0001368369
price,-0.00017134234
we,-0.00059751933
investor,-0.00090072374
economi,-0.0009488486
return,-0.0010324987
stock,-0.0010572755
trade,-0.0010706624
countri,-0.0012200763
risk,-0.0012542465
from,-0.0012762117
invest,-0.0012973851
use,-0.0013210796
capit,-0.0013454778
asset,-0.0013634121
model,-0.0013687554
paper,-0.0014968095
volatil,-0.0015106383
show,-0.0015289132
which,-0.0015291632
base,-0.0015544835
time,-0.0015548401
can,-0.0015612555
firm,-0.0015734268
result,-0.0015821568
studi,-0.0016136896
profit,-0.0016390383
data,-0.0016672706
our,-0.0016725827
one,-0.0016802696
has,-0.001689452
portfolio,-0.0016960639
agent,-0.001696192
bank,-0.0017063053
between,-0.0017068449
crisi,-0.0017082593
indic,-0.0017138957
system,-0.0017178426
two,-0.0017178601
s,-0.0017297245
propos,-0.0017368715
differ,-0.0017386153
effect,-0.0017420953
period,-0.0017429994
polici,-0.0017494855
more,-0.0017568585
also,-0.0017599625
have,-0.0017610204
distribut,-0.0017612823
devel,-0.0017674341
growth,-0.00176817
compani,-0.0017733012
present,-0.0017883449
suppli,-0.0018061771
law,-0.0018095052
statist,-0.0018239918
credit,-0.0018248069
analysi,-0.0018274437
debt,-0.0018303455
money,-0.0018321371
other,-0.0018323503
wealth,-0.0018375678
year,-0.0018378743
method,-0.0018429189
decis,-0.0018438273
product,-0.0018447157
relat,-0.0018449022
examin,-0.0018476315
increas,-0.0018493606
incom,-0.0018563133
valu,-0.0018666114
net,-0.001871489
rate,-0.0018724462
econophys,-0.0018822431
find,-0.0018969389
suggest,-0.0018982119
tax,-0.0019113481
consid,-0.0019129466
behavior,-0.0019130656
when,-0.0019157289
provid,-0.0019162605
approach,-0.0019190056
first,-0.001919607
perform,-0.0019218924
govern,-0.0019229339
transact,-0.0019233038
all,-0.0019248243
than,-0.0019248512
dynam,-0.0019271355
while,-0.0019296082
emerg,-0.0019319642
proc,-0.0019372951
fund,-0.0019393701
monetari,-0.0019395141
repres,-0.0019395399
measur,-0.0019415062
high,-0.0019431713
corpor,-0.0019434359
idea,-0.0019445688
both,-0.0019455317
general,-0.0019458686
problem,-0.0019501892
styliz,-0.0019541276
theori,-0.0019547453
relationship,-0.0019550277
new,-0.0019554594
it,-0.0019575527
index,-0.0019575693
discuss,-0.0019605767
taxat,-0.00196227
larg,-0.0019623442
well,-0.0019626964
most,-0.0019631125
been,-0.0019633125
compar,-0.0019634406
crise,-0.001963735
gdp,-0.001963735
chang,-0.00196402
state,-0.0019648417
predict,-0.0019669638
exogen,-0.0019684099
do,-0.0019763133
structur,-0.0019775857
func,-0.0019802656
financ,-0.0019847609
describ,-0.0019880752
appli,-0.0019882831
interest,-0.0019885027
empir,-0.0019892831
over,-0.0019904356
optim,-0.001991246
introduc,-0.0019921332
explain,-0.0019947179
intermediari,-0.0019979156
methodolog,-0.0019993759
major,-0.0020009677
capita,-0.0020025463
sector,-0.002002628
daili,-0.0020053585
gibrat,-0.0020053908
megaproject,-0.0020053908
inform,-0.0020064735
tail,-0.002009412
equiti,-0.0020114158
real,-0.0020139627
like,-0.0020144056
mani,-0.0020147855
how,-0.0020162063
good,-0.0020164908
condit,-0.0020183958
term,-0.0020197416
short,-0.0020200326
framework,-0.002020388
depend,-0.0020205185
under,-0.00202072
demonstr,-0.0020207693
signific,-0.0020211695
securit,-0.0020215283
set,-0.0020222922
howev,-0.002026709
exist,-0.0020276583
analyz,-0.0020283929
sale,-0.00202897
work,-0.0020290713
lead,-0.0020291398
estat,-0.002030297
long,-0.0020316408
recent,-0.0020321608
case,-0.0020328616
fama,-0.0020329359
oecd,-0.0020329359
onli,-0.0020336069
determin,-0.0020338702
default,-0.002034789
central,-0.002035372
crypto,-0.0020364758
cost,-0.002037055
equilibrium,-0.0020392414
comput,-0.0020407503
main,-0.0020415587
second,-0.0020425308
order,-0.0020440752
higher,-0.0020448137
level,-0.0020454936
where,-0.002046375
institut,-0.0020467965
purchas,-0.0020472156
includ,-0.0020472337
global,-0.0020486247
busi,-0.0020491842
each,-0.0020498952
complex,-0.002050035
allow,-0.0020500848
manag,-0.0020519542
util,-0.002052238
social,-0.0020534715
learn,-0.0020548976
socio,-0.0020559272
trader,-0.0020562038
research,-0.0020563828
number,-0.0020579603
applic,-0.002058923
field,-0.0020592115
forecast,-0.0020596012
issuer,-0.0020609712
may,-0.0020612015
make,-0.0020614008
some,-0.0020623952
e,-0.002063672
potenti,-0.0020644057
algo,-0.002064713
obtain,-0.002064745
macroeconom,-0.002065338
per,-0.002065402
initi,-0.0020658635
generat,-0.0020668963
demand,-0.0020686095
befor,-0.0020692823
observ,-0.0020693599
establish,-0.0020702227
blockchain,-0.00207136
public,-0.0020717164
non,-0.0020721906
strateg,-0.002076481
intern,-0.0020774135
probabl,-0.0020777185
various,-0.0020782116
here,-0.0020785911
deriv,-0.0020789332
competit,-0.0020791995
subject,-0.002079222
simul,-0.0020793574
galor,-0.0020806082
custom,-0.0020813264
factor,-0.0020838985
same,-0.002084779
similar,-0.0020849165
industri,-0.002085493
concept,-0.002086854
imag,-0.0020869055
euro,-0.0020869896
world,-0.0020879547
riski,-0.0020881891
individu,-0.002088621
identifi,-0.0020894965
stakehold,-0.0020903386
