Term,Mitigated Information
quantum,0.10746842
we,-0.0116955945
state,-0.027449735
entangl,-0.034141645
qubit,-0.03984055
system,-0.04415056
can,-0.049407326
use,-0.051777504
which,-0.05200811
two,-0.055375293
show,-0.0569852
classic,-0.05745258
from,-0.05980563
photon,-0.06089432
our,-0.062080443
result,-0.062185194
measur,-0.06315892
between,-0.06435438
one,-0.06438912
model,-0.0652589
time,-0.06668594
also,-0.0677716
here,-0.068270266
studi,-0.06864239
non,-0.06922001
coher,-0.06977801
coupl,-0.07015791
interact,-0.07027434
field,-0.07047242
base,-0.07058759
atom,-0.07112695
oper,-0.07119831
effect,-0.07171708
present,-0.071811944
optic,-0.07201852
provid,-0.07205483
propos,-0.072156414
demonstr,-0.072163545
physic,-0.07218434
dynam,-0.07222988
singl,-0.072257236
general,-0.07239404
method,-0.07290504
inform,-0.07307466
have,-0.073147416
phase,-0.073369004
theori,-0.073466375
hamiltonian,-0.07348164
comput,-0.07359019
experiment,-0.07372958
differ,-0.07375793
proc,-0.07392909
paper,-0.07406488
circuit,-0.074160814
spin,-0.074573055
approach,-0.074918486
correl,-0.075024694
has,-0.07512329
mechan,-0.07513155
find,-0.075186476
number,-0.07619783
it,-0.07625507
work,-0.076265976
data,-0.076597355
local,-0.07670598
both,-0.07673891
limit,-0.076794475
func,-0.07702012
perform,-0.07706463
relat,-0.077165
applic,-0.077172935
consid,-0.077178605
observ,-0.07739034
high,-0.077537365
well,-0.07757374
energi,-0.07758719
particl,-0.07788984
investig,-0.077964276
when,-0.077988766
mode,-0.07814724
problem,-0.07815531
obtain,-0.07831953
case,-0.07833182
discuss,-0.07837447
how,-0.07838673
properti,-0.07846994
allow,-0.07848698
onli,-0.078538835
possibl,-0.07854433
new,-0.07859239
s,-0.07862918
where,-0.07877503
realiz,-0.07878317
caviti,-0.078972444
depend,-0.078998834
decoher,-0.07901178
space,-0.079080045
order,-0.079201356
mani,-0.07929831
potenti,-0.079331994
scheme,-0.07951076
recent,-0.07951574
gate,-0.07955033
control,-0.07959636
all,-0.079607554
particular,-0.07963315
dimension,-0.07971236
unitari,-0.07977765
been,-0.0798207
more,-0.07987742
first,-0.07992001
paramet,-0.07993736
under,-0.07995471
implement,-0.08002206
generat,-0.0800749
howev,-0.08022289
effici,-0.08038762
appli,-0.08039959
reson,-0.08041962
describ,-0.08044109
experi,-0.08049538
than,-0.08054188
set,-0.080542654
other,-0.08060773
simul,-0.080623224
introduc,-0.08069041
larg,-0.080704674
algo,-0.08071162
requir,-0.08085769
transit,-0.0808907
devel,-0.08093017
optim,-0.08099
ani,-0.08107189
numer,-0.08107358
regim,-0.08108568
deriv,-0.08111133
theoret,-0.08113817
bell,-0.08115882
excit,-0.08124956
structur,-0.08143267
evolut,-0.08144666
equat,-0.08154325
strong,-0.081549875
while,-0.08164201
learn,-0.081654556
term,-0.08165799
light,-0.08173571
compar,-0.081763566
wave,-0.08177769
condit,-0.08180624
includ,-0.081811935
probabl,-0.08189904
through,-0.08191195
protocol,-0.08197082
net,-0.081978254
oscil,-0.08207924
level,-0.08211237
distribut,-0.082120866
achiev,-0.08228287
direct,-0.08234154
exist,-0.08236886
bound,-0.08237438
way,-0.08241363
fundament,-0.08242642
trap,-0.0824877
some,-0.08249607
lead,-0.082520954
character,-0.082530946
fidel,-0.08256076
bodi,-0.08262071
valu,-0.08266167
nois,-0.08267428
due,-0.08272688
devic,-0.082729645
over,-0.08279263
scale,-0.08287555
point,-0.08289022
complex,-0.08291131
addit,-0.082918584
correspond,-0.08295715
exampl,-0.08297423
initi,-0.082981765
arbitrari,-0.08298345
import,-0.08299518
shown,-0.082998
construct,-0.08303483
open,-0.08304779
known,-0.0831227
form,-0.08317754
techniqu,-0.08319953
linear,-0.08321014
natur,-0.08325297
calcul,-0.08327094
prepar,-0.08333052
squeez,-0.08333208
signific,-0.08334061
analysi,-0.08336769
finit,-0.08340895
densiti,-0.08350362
three,-0.08352712
1,-0.08363694
improv,-0.0836541
frequenc,-0.08367112
even,-0.083712116
dataset,-0.08371458
analyz,-0.0837217
increas,-0.0837404
may,-0.083742276
i,-0.08378615
ground,-0.083873406
give,-0.08390954
solut,-0.08391086
error,-0.08392087
thermal,-0.08392437
rang,-0.08392442
induc,-0.0839308
matrix,-0.0839618
long,-0.08396695
symmetri,-0.08402355
framework,-0.08404317
electron,-0.084077075
final,-0.08411927
analyt,-0.084194094
via,-0.084200025
type,-0.084204614
design,-0.084289156
independ,-0.08428922
principl,-0.08429225
given,-0.084319085
rate,-0.084324054
approxim,-0.08433066
specif,-0.08433636
entropi,-0.084354945
boson,-0.0843594
determin,-0.08436822
out,-0.08437888
train,-0.08439793
extend,-0.084405914
exact,-0.08442043
featur,-0.084432565
each,-0.08447035
detect,-0.084494844
superposit,-0.084552206
presenc,-0.08457779
e,-0.08460645
most,-0.08465049
reduc,-0.08465071
explor,-0.08466322
within,-0.08466939
up,-0.08469463
mean,-0.08471167
sever,-0.08480518
predict,-0.08480576
channel,-0.08480608
superconduct,-0.08481966
simpl,-0.0848297
temperatur,-0.084861636
class,-0.08487148
2,-0.08489541
key,-0.084943205
without,-0.08498961
pair,-0.08499945
challeng,-0.08504096
lattic,-0.08508993
consist,-0.08509391
laser,-0.08509816
novel,-0.08512199
interest,-0.08513499
various,-0.085151926
connect,-0.085175365
low,-0.08519093
complet,-0.08519241
posit,-0.08520006
exhibit,-0.08522495
continu,-0.08522929
pure,-0.08524549
further,-0.08526539
combin,-0.085290454
previous,-0.08532542
like,-0.08533299
dissip,-0.085344724
estim,-0.08534564
so,-0.08535931
degre,-0.08540284
defin,-0.08542645
evalu,-0.085431635
free,-0.08543633
second,-0.08549107
task,-0.08550627
adiabat,-0.08550753
thus,-0.085526295
magnet,-0.085528284
test,-0.085551545
integr,-0.085552424
make,-0.085567914
same,-0.08556944
bath,-0.08557301
prove,-0.08557885
identifi,-0.08559918
weak,-0.08562539
real,-0.08562668
respect,-0.08562879
communic,-0.08564973
standard,-0.0856753
random,-0.085708015
phys,-0.08572304
current,-0.0857414
solv,-0.08575225
enabl,-0.08575682
power,-0.08577065
enhanc,-0.08581338
technolog,-0.08585955
freedom,-0.085880674
correct,-0.085883774
emerg,-0.08588785
momentum,-0.085895985
separ,-0.085896
involv,-0.08590062
dimens,-0.08594924
behavior,-0.08595051
statist,-0.08596731
imag,-0.08598277
hilbert,-0.086010605
bose,-0.0860373
resourc,-0.08605654
inequ,-0.08605817
univers,-0.08606313
puls,-0.08606333
eigenst,-0.08606792
strength,-0.086069055
small,-0.08607208
close,-0.08609659
size,-0.08610023
transform,-0.08614783
found,-0.08615499
call,-0.08617706
multipartit,-0.08618107
variabl,-0.08618866
express,-0.08621039
condens,-0.086234786
employ,-0.0862395
sourc,-0.08624607
hermitian,-0.08625356
matter,-0.08626398
multi,-0.08628519
associ,-0.0863063
role,-0.08633056
formal,-0.08634359
multipl,-0.08634554
robust,-0.08637611
topolog,-0.08639008
spatial,-0.086391576
us,-0.0864476
focus,-0.08645502
markovian,-0.086461276
bipartit,-0.08647075
establish,-0.08648209
interfer,-0.0865112
