Term,Mitigated Information
data,0.0006577454
use,-0.003158891
model,-0.0034272573
we,-0.0035905656
estim,-0.005242248
from,-0.006716747
method,-0.0072706467
statist,-0.007744908
propos,-0.007906749
studi,-0.008390378
simul,-0.008653474
bayesian,-0.0087998435
base,-0.009126886
approach,-0.009644764
which,-0.009828215
analysi,-0.00984001
can,-0.010177929
result,-0.010613309
time,-0.0106433015
our,-0.010685902
regress,-0.010978261
proc,-0.011158558
devel,-0.011310782
predict,-0.011357462
paper,-0.011386581
perform,-0.0114776585
differ,-0.01179158
provid,-0.011989189
distribut,-0.012043983
have,-0.012072997
effect,-0.012085173
show,-0.012093783
compar,-0.012162931
variabl,-0.012181068
also,-0.012184459
infer,-0.01219052
between,-0.012283176
two,-0.012305556
sampl,-0.012317596
appli,-0.012410375
test,-0.012454035
present,-0.012645548
set,-0.012739018
inform,-0.012842039
measur,-0.012940399
health,-0.012964582
under,-0.012989855
has,-0.013005702
more,-0.013010259
outcom,-0.013030076
random,-0.013053708
applic,-0.013063904
covari,-0.013086608
when,-0.013104161
illustr,-0.013121524
both,-0.013161095
high,-0.0131875565
likelihood,-0.013229154
real,-0.013244476
one,-0.013346985
probabl,-0.01335939
problem,-0.013376914
includ,-0.013423438
new,-0.013455374
howev,-0.013511734
algo,-0.013543866
demonstr,-0.013555898
paramet,-0.013559686
been,-0.013561586
over,-0.013581956
number,-0.013610061
improv,-0.013610962
framework,-0.013633871
account,-0.013648786
larg,-0.013651963
often,-0.013667814
identifi,-0.013691287
observ,-0.013697195
assess,-0.013714135
popul,-0.013716721
well,-0.0137472795
through,-0.013748801
system,-0.0137562305
each,-0.013814968
func,-0.0138265
consid,-0.013836986
select,-0.013840169
risk,-0.013840945
relat,-0.013853351
forecast,-0.013853685
s,-0.013858423
uncertainti,-0.013860959
comput,-0.013864024
import,-0.013869438
find,-0.013870104
evalu,-0.01389881
factor,-0.0139059415
it,-0.013930565
general,-0.013930685
avail,-0.01393828
than,-0.013971485
individu,-0.014006627
case,-0.01400992
signific,-0.014018342
work,-0.014026745
mani,-0.014036099
level,-0.014055183
multivari,-0.014072624
allow,-0.014074255
error,-0.014079016
sever,-0.014088923
methodolog,-0.0140889315
seri,-0.014100612
most,-0.014149933
research,-0.014167654
valu,-0.014170648
other,-0.014174768
treatment,-0.01418573
structur,-0.014186453
how,-0.014187696
diseas,-0.01419167
depend,-0.014197318
introduc,-0.0142042795
where,-0.014206327
state,-0.014211432
specif,-0.014252576
non,-0.014257826
net,-0.014275211
interest,-0.014313117
make,-0.014315194
multipl,-0.014321573
effici,-0.014338577
novel,-0.014376158
particular,-0.014377806
challeng,-0.014401137
increas,-0.014418903
fit,-0.0144347
common,-0.014437707
condit,-0.014437993
while,-0.014439119
may,-0.014442753
all,-0.014460053
exist,-0.0144685
addit,-0.014473884
mean,-0.014483678
point,-0.014500517
first,-0.014506462
across,-0.014547881
clinic,-0.014552653
address,-0.014553398
event,-0.014563291
posterior,-0.014563417
trial,-0.014571373
learn,-0.014603978
analyz,-0.01460429
requir,-0.014605211
type,-0.0146055855
spatial,-0.014618645
linear,-0.014634549
gaussian,-0.014645029
techniqu,-0.014649574
dataset,-0.014660415
chang,-0.014665801
analys,-0.01466617
practic,-0.014667848
associ,-0.014674802
dynam,-0.014686128
investig,-0.014698961
varianc,-0.014702219
power,-0.014704616
relationship,-0.014708591
order,-0.014711896
term,-0.014716828
standard,-0.014727333
impact,-0.014729517
among,-0.014730532
implement,-0.014735722
rate,-0.014745763
quantifi,-0.014746798
accur,-0.014751064
obtain,-0.014752883
nation,-0.014756152
onli,-0.014756997
complex,-0.01476232
understand,-0.014765771
potenti,-0.01476935
optim,-0.014802609
valid,-0.014814606
within,-0.01482567
discuss,-0.014829165
patient,-0.014829653
bias,-0.014850006
due,-0.014850878
some,-0.014863194
recent,-0.014874633
assumpt,-0.014877474
markov,-0.014882384
i,-0.014884815
empir,-0.014887457
indic,-0.01489039
examin,-0.014894249
generat,-0.014897138
carlo,-0.014900661
correl,-0.0149186235
about,-0.014919929
mont,-0.014934589
captur,-0.014962219
area,-0.014964509
detect,-0.014968229
focus,-0.014977426
design,-0.014978369
respons,-0.014989639
field,-0.0150040435
robust,-0.015004516
better,-0.0150071
scale,-0.01500727
experi,-0.01501814
tool,-0.01504093
vari,-0.015041679
combin,-0.015050338
decis,-0.015053363
limit,-0.015056317
subject,-0.015069411
nonparametr,-0.015073165
record,-0.015091497
were,-0.015091913
accuraci,-0.015093362
exampl,-0.015123265
causal,-0.015128536
altern,-0.015129329
e,-0.015138317
quantum,-0.015140793
consist,-0.015147222
compon,-0.015147353
approxim,-0.015151196
characterist,-0.015158085
various,-0.015161302
featur,-0.015168196
via,-0.015172331
aim,-0.0151729835
year,-0.015182657
joint,-0.015183152
size,-0.015190086
properti,-0.01519266
direct,-0.0151947625
countri,-0.01519495
three,-0.015197227
