Term,Mitigated Information
estim,0.005730584
data,0.0007606484
we,-0.0041076327
simul,-0.0041943844
model,-0.0054030083
method,-0.005558072
propos,-0.0067951865
use,-0.0077402154
statist,-0.009048168
studi,-0.011108872
distribut,-0.011337211
regress,-0.011499196
sampl,-0.011642428
infer,-0.011677487
bayesian,-0.011826672
covari,-0.012050512
approach,-0.012910677
can,-0.013517073
base,-0.013688008
which,-0.0137178525
from,-0.013781058
illustr,-0.013815535
variabl,-0.013891026
our,-0.014119629
proc,-0.014446376
likelihood,-0.014885465
paper,-0.015180954
under,-0.015491787
set,-0.0155489985
paramet,-0.015597911
random,-0.015771108
perform,-0.015989605
analysi,-0.016056633
result,-0.016410476
show,-0.016714744
when,-0.016723681
provid,-0.016937066
effect,-0.017046586
multivari,-0.017131781
asymptot,-0.017215611
two,-0.017234143
devel,-0.017299123
also,-0.017314645
applic,-0.017332204
outcom,-0.017335283
real,-0.017409364
test,-0.017474957
appli,-0.017476091
func,-0.017581664
problem,-0.017726175
nonparametr,-0.017762482
observ,-0.017817779
algo,-0.018021034
general,-0.01807062
between,-0.018145576
have,-0.018154215
demonstr,-0.018154517
posterior,-0.018299982
time,-0.018359285
comput,-0.018380243
treatment,-0.018398907
new,-0.018420111
differ,-0.01846601
compar,-0.018487338
both,-0.018514797
often,-0.018625012
assumpt,-0.018718047
where,-0.018728524
effici,-0.018811168
methodolog,-0.018840758
has,-0.018876582
causal,-0.018917616
linear,-0.018937098
framework,-0.018953683
consid,-0.019074269
select,-0.019183954
one,-0.019199213
probabl,-0.019221388
high,-0.019238899
mont,-0.0193718
carlo,-0.0193742
condit,-0.019396428
allow,-0.01942688
present,-0.019449295
exampl,-0.019454926
it,-0.01946816
gaussian,-0.019492205
measur,-0.019511133
through,-0.019561462
error,-0.019566141
well,-0.019669794
introduc,-0.019697446
predict,-0.019704133
case,-0.019713525
howev,-0.019741988
exist,-0.019805605
practic,-0.019874481
varianc,-0.019899799
common,-0.0199434
inform,-0.019944206
other,-0.019948788
structur,-0.020009188
system,-0.020016652
mani,-0.020032518
more,-0.020033399
parametr,-0.020045161
depend,-0.020063275
number,-0.02008428
fit,-0.020148028
been,-0.02016957
dimension,-0.02020624
properti,-0.020239066
non,-0.020246692
mean,-0.020265061
some,-0.020279517
multipl,-0.02030218
includ,-0.020357257
specif,-0.020370666
implement,-0.020400422
identifi,-0.020403638
deriv,-0.020413851
larg,-0.020452732
consist,-0.020469066
prior,-0.020473653
valu,-0.020474298
interest,-0.020478984
than,-0.020510547
avail,-0.020570345
optim,-0.020616023
sever,-0.02063421
work,-0.02064932
