artificial intelligence|ai
machine learning|ml
large language model|llm
k-nearest neighbor|knn|k-nn
natural language processing|nlp
computer vision|cv
support vector machine|svm
convolutional neural network|cnn
recurrent neural network|rnn
generative adversarial network|gan
long short-term memory|lstm
graphical user interface|gui
central processing unit|cpu
graphics processing unit|gpu
random access memory|ram
read-only memory|rom
internet protocol|ip
transmission control protocol|tcp
user datagram protocol|udp
hypertext markup language|html
cascading style sheets|css
javascript object notation|json
representational state transfer|rest
application programming interface|api
structured query language|sql
relational database management system|rdbms
object-oriented programming|oop
integrated development environment|ide
version control system|vcs
uniform resource locator|url
hypertext transfer protocol|http
simple mail transfer protocol|smtp
domain name system|dns
simple object access protocol|soap
extensible markup language|xml
websocket protocol|ws
virtual private network|vpn
cloud computing|cc
docker container|dc
virtual machine|vm
solid state drive|ssd
hard disk drive|hdd
field-programmable gate array|fpga
machine-to-machine|m2m
deep learning|dl
edge computing|ec
internet of things|iot
distributed denial of service|ddos
content delivery network|cdn
public key infrastructure|pki
advanced encryption standard|aes
virtual reality|vr
augmented reality|ar
mixed reality|mr
lightweight directory access protocol|ldap
high-performance computing|hpc
data loss prevention|dlp
multi-factor authentication|mfa
role-based access control|rbac
data warehouse|dw
extract, transform, load|etl
big data|bd
business intelligence|bi
data science|ds
data engineering|de
neural network|nn
transformer neural network|tnn
secure shell|ssh
public key cryptography|pkc
asymmetric encryption|ae
symmetric encryption|se
computational fluid dynamics|cfd
finite element analysis|fea
lossless compression|lc
lossy compression|lc
network address translation|nat
artificial neural network|ann
generative pre-trained transformer|gpt
transfer learning|tl
bayesian network|bn
principal component analysis|pca
turing machine|tm
hash-based message authentication code|hmac
secure sockets layer|ssl
transport layer security|tls
data visualization|dv
quantum computing|qc
differential privacy|dp
data mining|dm
software development kit|sdk
application lifecycle management|alm
test-driven development|tdd
continuous integration|ci
continuous deployment|cd
pair programming|pp
automated teller machine|atm
natural user interface|nui
proportional-integral-derivative|pid
data encryption standard|des
near-field communication|nfc
object-relational mapping|orm
message queue telemetry transport|mqtt
remote procedure call|rpc
internet service provider|isp
multi-threading|mt
finite state machine|fsm
approximate nearest neighbor|ann
genetic algorithm|ga
information retrieval|ir
multi-layer perceptron|mlp
short message service|sms
peer-to-peer|p2p
point-to-point|ptp
zero-knowledge proof|zkp
secure multi-party computation|smc
data lake|dl
machine-readable code|mrc
cross-site scripting|xss
sql injection|sqli
