Term,Mitigated Information
genom,0.0048519876
gene,0.0033926885
sequenc,0.0015545326
dna,0.00041823846
data,-0.00021381758
we,-0.0005744551
biolog,-0.00069037545
protein,-0.0011072052
genet,-0.0011244337
from,-0.0011544658
use,-0.0011590002
rna,-0.0011930952
chromosom,-0.0013830033
nucleotid,-0.0014182886
method,-0.0015013749
analysi,-0.0015141782
bioinformat,-0.0015159671
cancer,-0.0015186276
have,-0.0015423321
which,-0.0015979253
base,-0.0016047888
read,-0.0016097028
cell,-0.0016550733
transcriptom,-0.001656125
high,-0.0016608306
seq,-0.0016924699
mutat,-0.0017072145
our,-0.0017116246
diseas,-0.001715793
transcript,-0.001721444
can,-0.0017276979
studi,-0.0017668398
model,-0.0018032724
phenotyp,-0.0018055602
snp,-0.0018166543
identifi,-0.001818266
gwas,-0.0018457837
tool,-0.0018483947
result,-0.0018599461
devel,-0.0018848594
between,-0.0018873253
propos,-0.0018883955
differ,-0.0018984773
mrna,-0.001921786
present,-0.0019238387
has,-0.0019319126
here,-0.0019443103
select,-0.0019452171
number,-0.001947825
were,-0.0019608603
comput,-0.0019726232
algo,-0.0019735377
speci,-0.001976794
loci,-0.0019792481
sampl,-0.0019840014
proc,-0.002004107
chromatin,-0.0020070048
other,-0.0020202012
also,-0.0020251097
wide,-0.002026226
avail,-0.0020270303
genotyp,-0.0020313908
snps,-0.0020324413
assembl,-0.0020375103
express,-0.0020499472
show,-0.002051327
associ,-0.0020516932
func,-0.0020575637
omic,-0.002078203
been,-0.0020836513
provid,-0.0020854508
trait,-0.0020886308
approach,-0.0020919403
perform,-0.0020956062
cluster,-0.002104792
well,-0.0021175132
predict,-0.0021292455
howev,-0.0021439404
organ,-0.0021611233
it,-0.0021639874
inform,-0.0021641105
regul,-0.0021642498
two,-0.002164474
specif,-0.0021847168
relat,-0.0021880516
dataset,-0.0021881494
singl,-0.0021898558
set,-0.00219815
human,-0.002201441
signific,-0.0022120846
includ,-0.0022163712
variat,-0.0022203121
import,-0.0022237566
protocol,-0.002235251
phylogenet,-0.0022397093
polymorph,-0.002241536
larg,-0.002244409
bacteri,-0.0022449517
understand,-0.0022455507
individu,-0.0022578759
than,-0.0022657975
divers,-0.0022667348
novel,-0.0022677847
analyz,-0.0022683092
research,-0.0022691533
evolutionari,-0.0022696378
both,-0.00227422
novo,-0.0022744914
mani,-0.0022758082
paper,-0.0022762397
marker,-0.0022770246
one,-0.0022812635
generat,-0.0022824528
variant,-0.002282945
allel,-0.002289054
known,-0.0022892468
each,-0.0022901047
short,-0.0022903457
infer,-0.0022946305
may,-0.0022949555
throughput,-0.0022973143
more,-0.0022993558
haplotyp,-0.002299949
relationship,-0.0023022338
site,-0.0023036127
structur,-0.0023082653
new,-0.0023087878
demonstr,-0.0023090807
regulatori,-0.0023103582
most,-0.002311613
recent,-0.0023147112
while,-0.002317627
sever,-0.002320188
phylogeni,-0.0023259623
featur,-0.0023489282
